순번,회사명,대표자명,공장대표주소(도로명),공장대표주소(지번),대표업종번호,업종번호,업종명,행정기관,등록일,종업원수,생산품
175,(주)이열라이팅,최지혜,"경기도 여주시 월평로 17, 1층 102호(월송동)",경기도 여주시 월송동 313-48 1층 102호,28422,"28422, 28903",일반용 전기 조명장치 제조업 외 1 종,경기도 여주시,2024-07-22,3,"LED등기구, LED보안등, LED경관조명, 조명기구"
404,라이팅콘트롤(주),김경선,경기도 여주시 여양로 553 (오금동),경기도 여주시 오금동 369-2,28422,"28422, 28123",일반용 전기 조명장치 제조업 외 1 종,경기도 여주시,2021-04-06,6,조명장치
136,(주)엔세라텍,이응암,경기도 여주시 대신면 보통1길 40 외 1필지,경기도 여주시 대신면 보통리 135-1번지 외 1필지,20411,"20411, ",일반용 도료 및 관련제품 제조업,경기도 여주시,2020-01-16,4,"세라믹도료, 코팅제"
442,산림조합중앙회 중부목재사업본부,최남수,"경기도 여주시 농산로 90, 산림조합중앙회중부목재(상거동) 외 1필지",경기도 여주시 상거동 124-11 산림조합중앙회중부목재 외 1필지,16101,"16101, 16102, 16103, 16212, 16229, 20112, 20499, 21301, 32029, 33302, 33992",일반 제재업 외 10 종,경기도 여주시,2025-03-31,40,"각재, 목재덱, 목재판재"
417,목봉우드,강민아,경기도 여주시 능여로 372-9 (연라동),경기도 여주시 연라동 265-47번지,16101,"16101, 16102",일반 제재업 외 1 종,경기도 여주시,2021-06-21,1,"목봉(원목), 각재, 톱밥"
637,주식회사 라움,"이진석, 이현철",경기도 여주시 점동면 장여로 1260,경기도 여주시 점동면 처리 577-11번지,16101,"16101, 16102",일반 제재업 외 1 종,경기도 여주시,2025-02-24,5,"마루, 벽장재"
259,가나목재,양석자,경기도 여주시 가남읍 경충대로 1087,경기도 여주시 가남읍 심석리 84번지,16101,"16101, ",일반 제재업,경기도 여주시,2015-11-24,4,각재
464,상향고건축,주동균,경기도 여주시 흥천면 오근동길 60,경기도 여주시 흥천면 신근리 77-1번지,16101,"16101, ",일반 제재업,경기도 여주시,2010-03-05,5,한옥부포재
477,성남제재소,"박총명, 박슬기",경기도 여주시 흥천면 동이점길 206,경기도 여주시 흥천면 계신리 446번지,16101,"16101, ",일반 제재업,경기도 여주시,2022-01-27,6,건축자재
52,(주)디엠에스,정동권,경기도 여주시 가남읍 상활2길 60 외 1필지,경기도 여주시 가남읍 상활리 376 외 1필지,26221,"26221, 26222, 26223",인쇄회로기판용 적층판 제조업 외 2 종,경기도 여주시,2024-06-18,79,인쇄회로기판
124,(주)에스아이케이,손일식,경기도 여주시 세종대왕면 양화로 438,경기도 여주시 세종대왕면 마래리 327-4,10895,"10895, 10309, 10512, 10519, 10701, 10709",인삼식품 제조업 외 5 종,경기도 여주시,2012-10-10,10,"인삼관련식품, 생식제품, 과일칩"
138,(주)엠피엠,이건형/김선익,경기도 여주시 대신면 여양1로 112-17 외 1필지,경기도 여주시 대신면 천서리 193-3 외 1필지,10895,"10895, ",인삼식품 제조업,경기도 여주시,2022-10-04,4,"인삼추출물, 버섯추출물"
209,(주)케이에이치앤비,한진호,경기도 여주시 장여로 1679 (점봉동) 외 2필지,경기도 여주시 점봉동 185-4번지 외 2필지,10895,"10895, ",인삼식품 제조업,경기도 여주시,2019-03-13,15,인삼차
246,(주)헬스앤라이프,장영훈,경기도 여주시 가남읍 여주남로 714-58 외 4필지,경기도 여주시 가남읍 본두리 394-1번지 외 4필지,10895,"10895, ",인삼식품 제조업,경기도 여주시,2017-06-09,6,"홍삼파우치, 홍삼액기스"
685,천삼정영농조합법인,김현창,경기도 여주시 가남읍 여주남로 714-62 외 4필지,경기도 여주시 가남읍 본두리 394번지 외 4필지,10895,"10895, ",인삼식품 제조업,경기도 여주시,2015-12-07,25,"홍삼액기스, 홍삼파우치"
413,메탈시스템,박두원,경기도 여주시 점동면 장여로 1049-10,경기도 여주시 점동면 청안리 35-5,29250,"29250, ",음ㆍ식료품 및 담배 가공기계 제조업,경기도 여주시,2020-02-11,2,제과제빵 기계
655,주식회사 유니바이오텍,성은혜,경기도 여주시 멱곡동 412-1번지,경기도 여주시 멱곡동 412-1번지,29250,"29250, ",음ㆍ식료품 및 담배 가공기계 제조업,경기도 여주시,2025-02-14,12,"캡슐 젤라또 추출기계, 자동디스펜서 추출기계"
54,(주)락희스틸,신선원,경기도 여주시 강천면 곱새기로 24-29,경기도 여주시 강천면 간매리 555-3번지,25113,"25113, 24199, 25114",육상 금속 골조 구조재 제조업 외 2 종,경기도 여주시,2017-02-10,20,철근가공품
359,대영철강(주),권영삼,경기도 여주시 세종대왕면 양화로 430,경기도 여주시 세종대왕면 마래리 476-1,25113,"25113, 25114, 25923",육상 금속 골조 구조재 제조업 외 2 종,경기도 여주시,2015-11-25,15,복공판
36,(주)덕성정공,전소정,경기도 여주시 세종대왕면 북성산로 104,경기도 여주시 세종대왕면 신지리 72-6,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,경기도 여주시,2013-10-21,9,"스틸판넬, 갱폼"
42,(주)동명스틸,"이동국, 정유선",경기도 여주시 던드레길 64 (멱곡동),경기도 여주시 멱곡동 412-8번지,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,경기도 여주시,2018-01-08,13,철골 제작
126,(주)에스에이씨메탈,한승훈,경기도 여주시 흥천면 부흥로 566,경기도 여주시 흥천면 귀백리 361번지,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,경기도 여주시,2016-01-27,30,반도체용튜브
165,(주)유림철구,조성일,경기도 여주시 던드레길 78 (멱곡동),경기도 여주시 멱곡동 464-1번지,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,경기도 여주시,2016-11-03,12,H빔
167,(주)유진건철,김현철,경기도 여주시 점동면 안평로 98-1 외 3필지,경기도 여주시 점동면 장안리 605 외 3필지,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,경기도 여주시,2019-02-08,70,"강구조물, 철강재"
178,(주)인건토건,조성민,경기도 여주시 가남읍 은봉길 51 외 1필지,경기도 여주시 가남읍 건장리 45-10번지 외 1필지,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,경기도 여주시,2023-05-03,3,유로폼및부속자재
195,(주)지음,김국정,경기도 여주시 가남읍 여주남로 654-22 외 1필지,경기도 여주시 가남읍 본두리 555-31 외 1필지,25113,"25113, 13224",육상 금속 골조 구조재 제조업 외 1 종,경기도 여주시,2020-09-16,6,"철구조물, 텐트, H-BEAM임가공"
496,세종기공(주),김종복,경기도 여주시 가남읍 금당5길 85,경기도 여주시 가남읍 금당리 222-9번지,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,경기도 여주시,2020-10-08,25,"철구조가공품, 택크플래이트"
743,하이테크 주식회사,박상갑,경기도 여주시 점동면 청안로 156-11,경기도 여주시 점동면 청안리 163-9번지,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,경기도 여주시,2020-02-07,18,조립금속구조재
67,(주)바로건설기술,"서현주, 김영춘",경기도 여주시 대신면 여양1로 381 외 1필지,경기도 여주시 대신면 계림리 554-1번지 외 1필지,25113,"25113, ",육상 금속 골조 구조재 제조업,경기도 여주시,2024-07-11,12,"DBS브라켓, 철골가설재 등"
152,(주)우일시스템,김준석,경기도 여주시 흥천면 흥천로 128-3,경기도 여주시 흥천면 신근리 362-7,25113,"25113, ",육상 금속 골조 구조재 제조업,경기도 여주시,2024-04-01,9,"무대장치, 무대용 구조재"
184,(주)정우스틸,신재영,경기도 여주시 점동면 선사길 114 외 1필지,경기도 여주시 점동면 처리 318-4 외 1필지,25113,"25113, ",육상 금속 골조 구조재 제조업,경기도 여주시,2021-08-02,2,금속구조물
225,(주)평안철강,윤태감,경기도 여주시 점동면 성주로 1210,경기도 여주시 점동면 사곡리 88-10,25113,"25113, ",육상 금속 골조 구조재 제조업,경기도 여주시,2022-08-25,15,복공판
301,나산엔지니어링,신평곤,경기도 여주시 흥천면 남산로 136-6 외 1필지,경기도 여주시 흥천면 상대리 372-1 외 1필지,25113,"25113, ",육상 금속 골조 구조재 제조업,경기도 여주시,2018-10-01,5,철 구조물
680,진우금속산업,이진우,경기도 여주시 흥천면 샘다리길 151 외 1필지,경기도 여주시 흥천면 상대리 50-57 외 1필지,25113,"25113, ",육상 금속 골조 구조재 제조업,경기도 여주시,2022-10-14,5,H형강
719,태강건설 주식회사,강현성,경기도 여주시 세종대왕면 월평로 480,경기도 여주시 세종대왕면 광대리 266-2,25113,"25113, ",육상 금속 골조 구조재 제조업,경기도 여주시,2019-12-23,20,H빔
8,(주)경동식품,이상국,"경기도 여주시 여흥로4번길 11-8, 1호 (하동)",경기도 여주시 하동 420-7번지 1호,10122,"10122, ",육류 포장육 및 냉동육 가공업 (가금류 제외),경기도 여주시,2024-11-04,4,돈육
321,농업회사법인 피엘(주),박선영,경기도 여주시 명성로 140-7(능현동) 외 1필지,경기도 여주시 능현동 151 외 1필지,10122,"10122, ",육류 포장육 및 냉동육 가공업 (가금류 제외),경기도 여주시,2021-10-07,8,"돼지, 족발"
432,보뜰미트,조용민,경기도 여주시 여양로 372-2(오학동),경기도 여주시 오학동 99-1,10122,"10122, ",육류 포장육 및 냉동육 가공업 (가금류 제외),경기도 여주시,2023-02-14,6,식육
686,천서리F & D,이인옥,경기도 여주시 대신면 보통1길 86-3,경기도 여주시 대신면 보통리 194-5번지,10129,"10129, 10121, 10122, 10513, 10820",육류 기타 가공 및 저장처리업 (가금류 제외) 외 4 종,경기도 여주시,2006-06-16,3,"막국수,편육,소스"
634,주식회사 대경햄,"유병관,유지예",경기도 여주시 산북면 금품2로 192-18,경기도 여주시 산북면 송현리 171-8,10129,"10129, 10121, 10122, 10893",육류 기타 가공 및 저장처리업 (가금류 제외) 외 3 종,경기도 여주시,2024-05-23,36,"햄, 소시지, 절임류"
329,농업회사법인주식회사긍정영농,곽미덕,경기도 여주시 점동면 가남로 950-50,경기도 여주시 점동면 청안리 566번지,20313,"20313, 20312",유기질 비료 및 상토 제조업 외 1 종,경기도 여주시,2024-05-29,4,유기질비료
193,(주)지성바이오,박광민,경기도 여주시 북내면 여양3로 77-20 외 1필지,경기도 여주시 북내면 서원리 212번지 외 1필지,20313,"20313, ",유기질 비료 및 상토 제조업,경기도 여주시,2023-06-27,5,미량요소복합비료
307,농업회사법인 (주)경기바이오,신은철,경기도 여주시 대신면 송촌2길 157-38,경기도 여주시 대신면 송촌리 172-8,20313,"20313, ",유기질 비료 및 상토 제조업,경기도 여주시,2021-12-29,3,가축분퇴비
673,지엠프레쉬(주),조보미,경기도 여주시 주내로 793 (멱곡동),경기도 여주시 멱곡동 298-3번지,17902,"17902, ",위생용 종이제품 제조업,경기도 여주시,2017-04-05,5,화장지
47,(주)동원세라믹,윤경선,경기도 여주시 가남읍 본두3길 54-52 외 1필지,경기도 여주시 가남읍 본두리 142-4번지 외 1필지,23222,"23222, ",위생용 및 산업용 도자기 제조업,경기도 여주시,2021-11-02,10,산업용세라믹
105,(주)신기애자,박현숙,경기도 여주시 현암4길 42 (현암동) 외 3필지,경기도 여주시 현암동 425번지 외 3필지,23222,"23222, ",위생용 및 산업용 도자기 제조업,경기도 여주시,2010-08-05,4,애자
242,(주)해피세라믹,이정래,경기도 여주시 현암4길 14-8 (현암동),경기도 여주시 현암동 405,23222,"23222, ",위생용 및 산업용 도자기 제조업,경기도 여주시,2018-10-30,13,공업용 세라믹 부품
286,극동도기(주),강정열,경기도 여주시 학동1길 16 (오학동),경기도 여주시 오학동 292-59번지,23222,"23222, ",위생용 및 산업용 도자기 제조업,경기도 여주시,2013-12-27,42,애자
732,파나시아아트,이상희,경기도 여주시 가남읍 본두3길 54-52,경기도 여주시 가남읍 본두리 142-1번지,23222,"23222, ",위생용 및 산업용 도자기 제조업,경기도 여주시,2019-12-13,15,바이오세라믹
659,주식회사 퀀텀,장진복,경기도 여주시 가남읍 가남로 909-15,경기도 여주시 가남읍 금곡리 439,28202,"28202, 27214, 28119, 28209",운송장비용 이차전지 제조업 외 3 종,경기도 여주시,2024-11-29,14,"리튬인산철, 축전지, 전력량계"
597,유케이비배터리 주식회사,김진만,경기도 여주시 세종대왕면 안양동2길 36,경기도 여주시 세종대왕면 구양리 550-3,28202,"28202, 28209",운송장비용 이차전지 제조업 외 1 종,경기도 여주시,2022-02-15,8,축전지
199,(주)진성플라스틱,신형균,경기도 여주시 대신면 대신로 407,경기도 여주시 대신면 상구리 32-1번지,22241,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1 종,경기도 여주시,1995-04-14,11,가정용 플라스틱
181,(주)일성,최정채,경기도 여주시 세종대왕면 양화로 597,경기도 여주시 세종대왕면 마래리 145-5,13104,"13104, ",연사 및 가공사 제조업,경기도 여주시,2024-11-26,10,"가연사,실"
622,정우산업,김철훈,경기도 여주시 능서면 중부대로 2204,경기도 여주시 능서면 용은리 419번지,13104,"13104, ",연사 및 가공사 제조업,경기도 여주시,2003-02-25,8,실
223,(주)파코,최진,경기도 여주시 여주남로 94 (월송동) 외 1필지,경기도 여주시 월송동 345-1번지 외 1필지,23992,"23992, ",연마재 제조업,경기도 여주시,2008-09-23,57,연마재
631,주식회사 경광피앤아이,이동윤,,경기도 여주시 산북면 상품리 528-19,11201,"11201, ",얼음 제조업,경기도 여주시,2025-05-02,1,식용얼음
270,경수환경(주),윤길원,경기도 여주시 능서면 능여로 330-10,경기도 여주시 능서면 오계리 70번지,29176,"29176, 27199, 27216, 28113, 28119, 28909, 29261, 29299",액체 여과기 제조업 외 7 종,경기도 여주시,2007-03-07,12,"폐수처리장치,자동화제어장치,자외선살균소독장치,가스발전기장치"
709,케이에스엔바이로(주),김송현,경기도 여주시 가남읍 가남로 76,경기도 여주시 가남읍 삼군리 416번지,29176,"29176, 28909, 29261, 29299",액체 여과기 제조업 외 3 종,경기도 여주시,2020-01-07,5,"정수설비,자외선소독기,오존발생기,산기관,경수연화장치,산기관 등"
422,미래와환경이엔지(주),정의택,경기도 여주시 가남읍 여주남로 923,경기도 여주시 가남읍 삼군리 206-8번지,29176,"29176, 25122, 29169",액체 여과기 제조업 외 2 종,경기도 여주시,2017-09-29,3,"액체여과기, 설치용 금속탱크 및 저장용기 등"
606,이콜랩워터(주),류양권,경기도 여주시 가남읍 여주남로 923,경기도 여주시 가남읍 삼군리 206-8,29176,"29176, 25122",액체 여과기 제조업 외 1 종,경기도 여주시,2024-12-12,1,"액체여과기, 금속탱크 등 저장용기"
135,(주)에프엔테크놀로지,여승훈,경기도 여주시 산북면 주어로 33-7,경기도 여주시 산북면 상품리 48-68,29176,"29176, ",액체 여과기 제조업,경기도 여주시,2025-04-03,4,추순수제조기
485,성일우레탄(주),이민우,경기도 여주시 강천면 긴등길 18,경기도 여주시 강천면 간매리 259번지,29175,"29175, ",액체 여과기 제조업,경기도 여주시,2007-08-28,6,샌드필터(폐수·정수처리시설용)
603,이온워터,한희석,경기도 여주시 현암3길 62 (현암동) 외 1필지,경기도 여주시 현암동 162-2번지 외 1필지,29176,"29176, ",액체 여과기 제조업,경기도 여주시,2014-07-02,1,정수기
120,(주)아이제이캐스트,김인규,경기도 여주시 점봉길 58 (점봉동) 외 2필지,경기도 여주시 점봉동 201 외 2필지,24321,"24321, ",알루미늄주물 주조업,경기도 여주시,2023-04-24,5,"전기자동차 부품소재, 배터리 케이스"
316,농업회사법인 델텍스(주),안진상,경기도 여주시 능서면 구양1길 7-39,경기도 여주시 능서면 구양리 28-4번지,24222,"24222, 25112","알루미늄 압연, 압출 및 연신제품 제조업 외 1 종",경기도 여주시,2010-03-15,11,온실용보온덥패
92,(주)성원유리,이영재,경기도 여주시 가남읍 건은로 76,경기도 여주시 가남읍 건장리 210-5번지,23112,"23112, 23119",안전유리 제조업 외 1 종,경기도 여주시,2015-07-08,17,복층유리
500,솔나강 테크,김해솔,경기도 여주시 가남읍 송삼로 455,경기도 여주시 가남읍 금곡리 363,23112,"23112, 23119",안전유리 제조업 외 1 종,경기도 여주시,2023-12-12,16,접합유리
31,(주)대광아스콘,임철수,경기도 여주시 가남읍 여주남로 761 외 3필지,경기도 여주시 가남읍 본두리 885 외 3필지,23991,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,경기도 여주시,2024-11-22,11,"아스콘, 상온 아스콘"
76,(주)삼광아스콘,김학연,경기도 여주시 강천면 강천로 4,경기도 여주시 강천면 간매리 502-15번지,23991,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,경기도 여주시,2006-06-13,12,아스콘
226,(주)포이닉스,김병채,경기도 여주시 흥천면 흥천로 259 외 2필지,경기도 여주시 흥천면 대당리 25-5번지 외 2필지,23991,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,경기도 여주시,2019-04-08,6,아스콘
726,태창산업(주),홍창기,경기도 여주시 북내면 외재로 172,경기도 여주시 북내면 외룡리 383-4번지,23991,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,경기도 여주시,2022-12-13,8,아스콘
782,현대환경(주),고광만,경기도 여주시 가남읍 대신리길 213 외 1필지,경기도 여주시 가남읍 대신리 145-8 외 1필지,23991,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,경기도 여주시,2024-01-30,11,아스팔트콘크리트
109,(주)신우에프엠,박창수,경기도 여주시 가남읍 자유그린길 21 외 1필지,경기도 여주시 가남읍 삼군리 475번지 외 1필지,10831,"10831, ","식초, 발효 및 화학 조미료 제조업",경기도 여주시,2018-12-31,7,복합조미식품(소고기맛 다시다)
16,(주)글로브,정남,경기도 여주시 점동면 원부로 190,경기도 여주시 점동면 원부리 25-2,10413,"10413, ",식용 정제유 및 가공유 제조업,경기도 여주시,2022-08-12,6,"해바라기유(정제), 대두유(정제)"
319,농업회사법인 주식회사 여주게걸무,강기홍,경기도 여주시 가남읍 안금3길 35,경기도 여주시 가남읍 안금리 114-3,10413,"10413, ",식용 정제유 및 가공유 제조업,경기도 여주시,2020-08-19,4,생들기름
91,(주)성원물산,임갑진,경기도 여주시 여주남로 191-22 (가업동),경기도 여주시 가업동 191-1번지,10412,"10412, 10901, 10902, 10903",식물성 유지 제조업 외 3 종,경기도 여주시,2016-01-20,10,"바이오연료원료, 사료용유지"
689,천우푸드기계,진정심,경기도 여주시 가남읍 여주남로 1021-85,경기도 여주시 가남읍 삼군리 446-1,10412,"10412, ",식물성 유지 제조업,경기도 여주시,2025-03-04,1,호두기름
754,한국전사,"손재숙, 서기배",경기도 여주시 어영실로 45-11(천송동),경기도 여주시 천송동 503-36,18112,"18112, ",스크린 인쇄업,경기도 여주시,2020-02-15,6,도자용전사지(스티커)
536,에어코리아(주),김광섭,경기도 여주시 주내로 799-16 (멱곡동) 외 2필지,경기도 여주시 멱곡동 237-5번지 외 2필지,20121,"20121, 20122, 25122, 25123",수소 제조업 외 3 종,경기도 여주시,2022-01-26,28,산업용 가스및 특수용기
79,(주)상우에프엔에스,김문규,경기도 여주시 대신면 대신로 606 외 3필지,경기도 여주시 대신면 장풍리 70번지 외 3필지,10220,"10220, ",수산식물 가공 및 저장 처리업,경기도 여주시,2020-03-31,3,다시마 튀김
200,(주)진양,김형노,경기도 여주시 가남읍 경충대로 1024,경기도 여주시 가남읍 은봉리 233-5번지,10220,"10220, ",수산식물 가공 및 저장 처리업,경기도 여주시,2010-09-24,48,조미김
299,김경수 여주공방 ,김경수,경기도 여주시 대신면 초현길 76 외 1필지,경기도 여주시 대신면 초현리 356-5번지 외 1필지,25992,"25992, ",수동식 식품 가공기기 및 금속 주방용기 제조업,경기도 여주시,2012-06-27,8,금속주방용품
40,(주)동도엘엠에스,전성열,"경기도 여주시 가남읍 연삼로 284, 1동2층",경기도 여주시 가남읍 삼승리 479 1동2층,27214,"27214, 28422, 28429",속도계 및 적산계기 제조업 외 2 종,경기도 여주시,2025-02-05,13,"전기 조명장치, 적산 전력계"
556,영동가구,이경희 외 1인,경기도 여주시 가남읍 경충대로 1473-48,경기도 여주시 가남읍 신해리 657-8번지,32019,"32019, ",소파 및 기타 내장가구 제조업,경기도 여주시,2014-11-28,5,"식탁,식탁의자,소파"
617,임페리얼가구,김석경,경기도 여주시 흥천면 다리고삿길 7-27,경기도 여주시 흥천면 상대리 82-10번지,32019,"32019, ",소파 및 기타 내장가구 제조업,경기도 여주시,2006-09-27,4,"가구,쇼파"
362,대한민국 월남전참전자회 장애인보호작업장,김진태,경기도 여주시 강천면 강문로 808 외 3필지,경기도 여주시 강천면 간매리 390-1 외 3필지,22222,"22222, 13219, 22229, 26421, 26429, 26529, 28123, 28422, 28423, 28429, 29163, 29176, 29299",설치용 및 위생용 플라스틱제품 제조업 외 12 종,경기도 여주시,2022-08-18,45,"cctv, 구내방송장치, 분전반 보안등, 하수처리장치, 기타 물탱크용 덮게, 보행매트"
480,성안디앤씨(주),이명수,경기도 여주시 평장길 112 (현암동) 외 1필지,경기도 여주시 현암동 35-2 외 1필지,23312,"23312, ",석회 및 플라스터 제조업,경기도 여주시,2020-12-11,8,플라스터
68,(주)바이오에너지홀딩스,김주섭,경기도 여주시 강천면 가정긴골길 38,경기도 여주시 강천면 이호리 334-2번지,20119,"20119, ",석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,경기도 여주시,2014-09-26,28,"글리세린,지방산에스테르"
70,(주)비씨월드제약,홍성한,경기도 여주시 가남읍 여주남로 872-23,경기도 여주시 가남읍 삼군리 11번지,21211,"21211, 21100, 21212",생물 의약품 제조업 외 2 종,경기도 여주시,2016-03-28,44,"의약품,주사제,내용고형제"
14,(주)그린바이오농산,송종환,경기도 여주시 북내면 여양3로 77-20 외 1필지,경기도 여주시 북내면 서원리 212번지 외 1필지,20322,"20322, ",생물 살균.살충제 및 식물보호제 제조업,경기도 여주시,2019-08-30,4,천연식물보호제
644,주식회사 빅팬테크,박성현,"경기도 여주시 가남읍 가남로 437, B동",경기도 여주시 가남읍 양귀리 519 B동,29174,"29174, 28519",산업용 송풍기 및 배기장치 제조업 외 1 종,경기도 여주시,2023-04-06,3,실링팬
32,(주)대신티앤에스,정준환,경기도 여주시 점동면 장여로 1351-3,경기도 여주시 점동면 처리 618-19,29174,"29174, ",산업용 송풍기 및 배기장치 제조업,경기도 여주시,2021-09-13,39,환풍기
522,쓰리디 아트웍스,전덕준,경기도 여주시 주내로 885 (점봉동),경기도 여주시 점봉동 21,29280,"29280, 23999",산업용 로봇 제조업 외 1 종,경기도 여주시,2021-12-29,10,"산업용 로봇, 흙벽동 및 황토블럭"
601,이(e)부영교구,소영순,경기도 여주시 세종대왕면 구양1길 58,경기도 여주시 세종대왕면 구양리 158-9,29180,"29180, 32029",사무용 기계 및 장비 제조업 외 1 종,경기도 여주시,2022-06-21,7,"칠판, 화이트보드, 게시판"
28,(주)다옴베이크,최희준,경기도 여주시 점동면 장여로 1049-10,경기도 여주시 점동면 청안리 35-5번지,10602,"10602, ",빵류 제조업,경기도 여주시,2025-05-13,22,"빵,쿠키,냉동생지"
51,(주)디앤푸드,박성규,경기도 여주시 능서면 매양로 14,경기도 여주시 능서면 용은리 223번지,10602,"10602, ",빵류 제조업,경기도 여주시,2021-08-17,50,붕어빵
65,(주)미듬,김순자,경기도 여주시 가남읍 자유그린길 24-6 (가남면 주식회사 미듬 여주공장) 외 2필지,경기도 여주시 가남읍 심석리 274번지 외 2필지,25933,"25933, 29132",비동력식 수공구 제조업 외 1 종,경기도 여주시,2014-12-05,40,"에어건, 실리콘건, 콤프레샤"
247,(주)현암,김영근,경기도 여주시 독바위길 62 (현암동),경기도 여주시 현암동 131번지,23321,"23321, 23324, 23326",비내화 모르타르 제조업 외 2 종,경기도 여주시,2007-05-16,11,"콘크리트 기와, 벽돌"
769,한일시멘트(주) 여주공장,전근식,경기도 여주시 장여로 1463-81 (삼교동) 외 3필지,경기도 여주시 삼교동 559번지 외 3필지,23321,"23321, ",비내화 모르타르 제조업,경기도 여주시,2021-12-09,77,레미탈(비내화모르타르)
231,(주)한국샌드플랜트,구재용,경기도 여주시 삼교2길 54-37 (삼교동),경기도 여주시 삼교동 388-9번지,23993,"23993, ",비금속광물 분쇄물 생산업,경기도 여주시,2021-03-30,22,"콘크리트제조업모래, 황토"
78,(주)상시,이근원,경기도 여주시 대신면 대신로 725 외 3필지,경기도 여주시 대신면 장풍리 264-2번지 외 3필지,33993,"33993, 23121",비 및 솔 제조업 외 1 종,경기도 여주시,2014-12-29,16,
541,엠케이씨,민경자,경기도 여주시 산북면 금품2로 116-7,경기도 여주시 산북면 송현리 296-9,13992,"13992, ",부직포 및 펠트 제조업,경기도 여주시,2025-01-20,8,마스크팩
788,화성테크,이나린,경기도 여주시 산북면 금품1로 198 외 1필지,경기도 여주시 산북면 후리 65-2 외 1필지,13992,"13992, ",부직포 및 펠트 제조업,경기도 여주시,2024-08-23,8,마스크팩
399,디에스 주식회사,김홍숙,"경기도 여주시 세종로 338(교동, 여주대학)",경기도 여주시 교동 454-4 여주대학,25941,"25941, ",볼트 및 너트류 제조업,경기도 여주시,2025-06-02,0,창호시공 매립 앙카볼트
82,(주)생명탄,박덕례,경기도 여주시 가남읍 자유그린길 4,경기도 여주시 가남읍 심석리 282-2번지,20312,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종,경기도 여주시,2009-09-15,8,미생물비료
240,(주)해강바이오,이종식,경기도 여주시 북내면 외재로 226,경기도 여주시 북내면 외룡리 321-8번지,20312,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종,경기도 여주시,2024-07-19,32,유기질임상 비료
318,농업회사법인 유기자원 주식회사,"이은순, 현국환",경기도 여주시 대신면 상구1길 87-60 외 1필지,경기도 여주시 대신면 후포리 181-1 외 1필지,20312,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종,경기도 여주시,2020-09-02,5,유기질비료
326,농업회사법인(주)농우바이오,이병각,경기도 여주시 가남읍 양화로 113-141,경기도 여주시 가남읍 정단리 537-47번지,20312,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종,경기도 여주시,2019-02-20,8,화분용성토
550,여주영농조합법인,신정옥,경기도 여주시 점동면 가남로 950-19 외 3필지,경기도 여주시 점동면 청안리 546번지 외 3필지,20312,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종,경기도 여주시,2006-11-28,5,유기질비료
669,중암양돈,박호광,경기도 여주시 북내면 당전로 613-28,경기도 여주시 북내면 중암리 208-3번지,20312,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종,경기도 여주시,2004-03-15,8,유기질비료
142,(주)여흥전자,정수진,경기도 여주시 북내면 석우길 22,경기도 여주시 북내면 석우리 150-1번지,28112,"28112, ",변압기 제조업,경기도 여주시,1990-12-20,35,변압기제조
410,맹가노니시스템,김경화,"경기도 여주시 삼밭골길 26-16, 1동 (월송동)",경기도 여주시 월송동 214 1동,28123,"28123, 26410, 26421, 27215, 27216, 28901",배전반 및 전기 자동제어반 제조업 외 5 종,경기도 여주시,2024-11-27,4,"배전반 및 전지 자동제어반, 계장/계측제어장치"
411,맹가노니시스템,이철우,경기도 여주시 여주남로 306(연라동),경기도 여주시 연라동 392-2,28123,"28123, 27215, 27216, 58221, 58222, 62021",배전반 및 전기 자동제어반 제조업 외 5 종,경기도 여주시,2022-06-23,3,"배전반 및 전지 자동제어반, 계장/계측제어장치 외"
272,경인엔지니어링(주),정재원,경기도 여주시 점동면 한밭들길 7,경기도 여주시 점동면 관한리 393-2번지,28123,"28123, 26224, 27214, 27215",배전반 및 전기 자동제어반 제조업 외 3 종,경기도 여주시,2020-01-20,5,"수배전반, 계측기기, 자동제어반"
