순번,회사명,대표자명,공장대표주소(도로명),공장대표주소(지번),대표업종번호,업종번호,업종명,행정기관,등록일,종업원수,생산품
711,케이엠씨밸브(주),김성철,경기도 여주시 가남읍 흑석로 115 외 1필지,경기도 여주시 가남읍 심석리 26-6번지 외 1필지,29133,"29133, ","탭, 밸브 및 유사장치 제조업",경기도 여주시,2021-08-01,30,밸브
739,플로우 콘트롤(주) 여주공장,전수형,경기도 여주시 점동면 장여로 1318-20,경기도 여주시 점동면 처리 374-3번지,29133,"29133, ","탭, 밸브 및 유사장치 제조업",경기도 여주시,2018-09-17,3,자동화밸브
332,능서탁주합동제조장,박현자,경기도 여주시 세종대왕면 마장로 79,경기도 여주시 세종대왕면 번도리 493,11111,"11111, ",탁주 및 약주 제조업,경기도 여주시,2014-04-18,2,탁주
757,한길주,이병복,경기도 여주시 대신면 여양로 1430-3,경기도 여주시 대신면 율촌리 282-3,11111,"11111, ",탁주 및 약주 제조업,경기도 여주시,2018-11-08,2,탁주
229,(주)피플러스세라믹,박동철,경기도 여주시 점동면 장여로 841,경기도 여주시 점동면 덕평리 189-11번지,23232,"23232, ",타일 및 유사 비내화 요업제품 제조업,경기도 여주시,2014-07-22,10,아트타일
283,규림도예,이종원,"경기도 여주시 여양로 588-7, 1층 규림도예 (오금동)",경기도 여주시 오금동 235-5 1층 규림도예,23232,"23232, ",타일 및 유사 비내화 요업제품 제조업,경기도 여주시,2025-03-13,2,"그림타일, 모자이크타일, 부조타일"
284,규림세라믹,이현규,경기도 여주시 오학길 6 (오학동),경기도 여주시 오학동 141-1번지,23232,"23232, ",타일 및 유사 비내화 요업제품 제조업,경기도 여주시,2019-07-02,4,벽화타일
708,케이에스세라믹,김경숙,경기도 여주시 강천면 적금리길 55,경기도 여주시 강천면 적금리 118-1,23232,"23232, ",타일 및 유사 비내화 요업제품 제조업,경기도 여주시,2022-12-20,5,아트타일
264,강남건영(주)제2공장,신승호,경기도 여주시 던드레길 63 (멱곡동) 외 9필지,경기도 여주시 멱곡동 461번지 외 9필지,23324,"23324, 23325, 23326, 25113, 25114","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 4 종",경기도 여주시,2016-09-07,10,콘크리트벽돌블럭
61,(주)명산지에프알씨,정영순,경기도 여주시 북내면 여양2로 623 외 3필지,경기도 여주시 북내면 외룡리 388-1 외 3필지,23324,"23324, 23325, 23326, 23329","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 3 종",경기도 여주시,2025-03-14,17,"섬유시멘트제품, 섬유시멘트제품"
377,동산콘크리트산업(주),전진용,경기도 여주시 던드레길 30 (멱곡동),경기도 여주시 멱곡동 412-11번지,23324,"23324, 23325, 23326, 23329","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 3 종",경기도 여주시,2015-12-15,10,"환경친화형 블록, 맨홀"
585,원영콘크리트산업(주),"김식원,박준철",경기도 여주시 점동면 안평로 98,경기도 여주시 점동면 장안리 605-8번지,23324,"23324, 23325, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",경기도 여주시,2023-02-22,30,"보강토블럭, 친환경호안블럭"
12,(주)그랜드코단,김성채,경기도 여주시 가남읍 삼정길 124,경기도 여주시 가남읍 송림리 150-18번지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2019-02-01,10,보도용블럭 및 호안블럭
13,(주)그랜드코단,김성채,경기도 여주시 가남읍 연삼로 324-35,경기도 여주시 가남읍 삼승리 394-1번지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2012-11-22,5,"보도용블럭, 호안블럭"
19,(주)금성,김방모,경기도 여주시 흥천면 흥천로 251 외 4필지,경기도 여주시 흥천면 대당리 25-27번지 외 4필지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2022-08-19,10,"블럭벽돌, 블럭벽돌"
37,(주)덕윤기업,"고무송, 고석주",경기도 여주시 던드레길 51 (총 4 필지),경기도 여주시 멱곡동 412-2번지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2022-11-15,13,벽돌 블럭
99,(주)수리산업,"이수언,이성훈",경기도 여주시 가남읍 여주남로 554,경기도 여주시 가남읍 본두리 12-1번지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2012-12-04,22,콘크리트 타일
100,(주)수리산업,"이수언,이성훈",경기도 여주시 능서면 양화로 530,경기도 여주시 능서면 마래리 238번지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2015-12-11,12,"콘크리트타일,테라조타일"
