docity,do,city,longitude,latitude,dist_Wolseong_km,dist_Kori_Saeul_km,dist_Hanul_km,dist_Hanbit_km,
충청달빛1로,충청,달빛1로,127.2463,36.509374,193.5990071,221.4572084,265.4507834,142.4299341,142.4299341
충청달빛로,충청,달빛로,127.25066,36.508065,193.1847328,221.0580516,265.0847877,142.5104003,142.5104003
충청시청대로,충청,시청대로,127.296956,36.484202,188.3062233,216.1555195,261.3698759,142.5150112,142.5150112
충청마음로,충청,마음로,127.232222,36.518492,195.1723695,223.0719853,266.5606983,142.644685,142.644685
충청마음안1로,충청,마음안1로,127.236121,36.517357,194.8037145,222.7174482,266.2321557,142.715799,142.715799
충청마음안로,충청,마음안로,127.236121,36.517357,194.8037145,222.7174482,266.2321557,142.715799,142.715799
충청종촌동,충청,종촌동,127.247612,36.5119569,193.6178875,221.5356274,265.295431,142.736046,142.736046
충청아름동,충청,아름동,127.2482222,36.51204167,193.5728612,221.4976719,265.2401197,142.7726079,142.7726079
충청국책연구원1로,충청,국책연구원1로,127.29562,36.488994,188.6439912,216.5716681,261.4089936,142.8924363,142.8924363
충청고운동,충청,고운동,127.236112,36.519901,194.9275678,222.8878491,266.1953812,142.9578106,142.9578106
충청소담동,충청,소담동,127.3000509,36.488897,188.282292,216.2491976,261.0187948,143.1028463,143.1028463
충청절재로,충청,절재로,127.262509,36.50843,192.2484548,220.2359563,264.03029,143.1044596,143.1044596
충청옥천군,충청,옥천군,127.5736333,36.30355,157.4688664,184.2910208,240.9984749,143.1669919,143.1669919
충청다솜1로,충청,다솜1로,127.254501,36.516156,193.2673916,221.3247874,264.6222922,143.4562871,143.4562871
충청보듬2로,충청,보듬2로,127.265305,36.51288,192.2398384,220.3351021,263.7149398,143.6564468,143.6564468
충청보듬3로,충청,보듬3로,127.265305,36.51288,192.2398384,220.3351021,263.7149398,143.6564468,143.6564468
충청보듬4로,충청,보듬4로,127.265305,36.51288,192.2398384,220.3351021,263.7149398,143.6564468,143.6564468
충청도담동,충청,도담동,127.2623972,36.51731111,192.6895943,220.8399806,263.9057853,143.9369014,143.9369014
충청예산군,충청,예산군,126.850875,36.67980556,233.6291858,261.1541229,298.7145417,145.7840885,145.7840885
충청연기면,충청,연기면,127.2737741,36.5418737,192.9993848,221.7006679,262.5444778,146.7942677,146.7942677
충청태안군,충청,태안군,126.299975,36.74266667,281.3069229,306.1732062,347.4119138,148.0492306,148.0492306
충청부강면,충청,부강면,127.370376,36.527112,184.5794082,213.9255003,254.1979012,150.1539582,150.1539582
