번호,회사명,단지명,대표자명,공장대표주소,업종명
1,호남제재소,,한*석,전라북도 익산시 인화동2가 63번지,일반 제재업
2,영농조합법인 부성,,오*만,전라북도 익산시 왕궁면 쌍제1길 45 (총 3 필지),기타 비료 및 질소화합물 제조업
3,주식회사 하다,,하*우,전라북도 익산시 여산면 가람로 52-18,농업 및 임업용 기계 제조업
4,복석산업(주),,진*섭,전라북도 익산시 황등면 황등리 87번지,건설용 석제품 제조업 외 1 종
5,농업회사법인농협양곡(주),,조*형,전라북도 익산시 함열읍 함낭로 428,곡물 도정업
6,석교정미소,,임*명,전라북도 군산시 옥산면 당북리 46-24번지,곡물 도정업
7,주식회사 티디씨전력기술,,한*철,전라북도 완주군 이서면 콩쥐팥쥐로 1040-94,기타 발전기 및 전기변환장치 제조업 외 6 종
8,도로시설산업,,조*근,전라북도 정읍시 영원면 풍지길 209 (한진태크),기타 석제품 제조업
9,경동흥업(주)전주제1공장,전주제1지방산업단지,한*성,전라북도 전주시 덕진구 기린대로 711 (팔복동2가),내의 및 잠옷 제조업
10,(주)동양/건재부문 군산공장,군산지방산업단지,박*병,"전라북도 군산시 외항로 466 (소룡동, 금강물류) (총 5 필지)",레미콘 제조업 외 1 종
11,(주)BYC,완주이서농공단지,한*범,전라북도 완주군 이서면 콩쥐팥쥐로 984-74 (㈜BYC),면 방적업
12,씨제이제일제당(주) 군산공장,군산지방산업단지,김*하,"전라북도 군산시 외항1길 426 (소룡동, CJ군산공장)",동물용 사료 및 조제식품 제조업
13,서한산기(주),정읍북면농공단지,조*희,전라북도 정읍시 북면 북면공단2길 104 (성원무역),기타 물품취급장비 제조업
14,주식회사 청림우드,,박*,전라북도 군산시 성산면 송호로 156 (성산면),일반 제재업 외 3 종
15,(주)창성상품전주공장,전주제1지방산업단지,한*용,"전라북도 전주시 덕진구 구렛들3길 35 (팔복동1가, (주)백양)",내의 및 잠옷 제조업
16,(주)뉴젠팜,익산제2지방산업단지,정*기,"전라북도 익산시 석암로9길 117,  (지방산업단지내) (석암동)",완제 의약품 제조업
17,(주)삼일하우징,,정*무,전라북도 정읍시 옹동면 매당1길 7,목재문 및 관련제품 제조업
18,신젠타코리아(주),익산제2지방산업단지,시노라토**키,"전라북도 익산시 석암로11길 87,  (지방산업단지내) (석암동)",농약 제조업
19,(주)삼원오토텍,군산국가산업단지,우*제,"전라북도 군산시 외항로 758 (소룡동, (주)삼원오토텍)",기계장비 조립용 플라스틱제품 제조업
20,(주)삼호화공기계제작소,전주제1지방산업단지,심*섭,"전라북도 전주시 덕진구 구렛들1길 28-20 (팔복동1가, 삼호화공기계제작소)",금속 조립구조재 제조업
21,천양피앤비(주),,최*재,전라북도 완주군 소양면 원암로 126,기타 종이 및 판지 제조업
22,(유)동성물산,완주산업단지,송*석,전라북도 완주군 봉동읍 완주산단5로 200-10,그외 기타 자동차 부품 제조업
23,(유)대현물산,,강*형,전라북도 전주시 덕진구 동부대로 804 (호성동1가),코코아 제품 및 과자류 제조업
24,(주) 신우알앤씨,,나*태,전라북도 김제시 용지면 용지로 149 (청우레미콘(유)),레미콘 제조업
25,농업회사법인주식회사원광,,라*동,전라북도 군산시 서수면 동군산로 1075-60 (㈜원광냉동냉장식품),기타 과실·채소 가공 및 저장처리업 외 1 종
26,(주)중일,,전*권,전라북도 군산시 성산면 만동2길 170,기타 건축용 플라스틱 조립제품 제조업 외 1 종
27,(주)군산지관,군산옥구농공단지,김*일,전라북도 군산시 옥구읍 광월안길 32-11,그외 기타 종이 및 판지 제품 제조업
28,(주)태산공사,군산국가산업단지,서*석,"전라북도 군산시 산단로 110-4 (소룡동, ㈜태산공사)",그외 기타 금속가공업
29,(주)대평세라믹스산업,,이*석,전라북도 군산시 성산면 수림로 375-1 (벽돌공장),"점토벽돌, 블록 및 유사 비내화 요업제품 제조업"
30,우성공업(주),정읍북면농공단지,원*철,전라북도 정읍시 북면 북면공단2길 86 (㈜우성공업),그외 기타 전자부품 제조업
31,(주)대성이엔씨,정읍제3지방산업단지,김*성,전라북도 정읍시 북면 3산단1길 88 (㈜정일테크),볼베어링 및 롤러베어링 제조업
32,정읍농업협동조합,,유*영,전라북도 정읍시 덕천면 달천리 995번지,곡물 도정업
33,정산식품영농조합법인,,김*대,전라북도 정읍시 산내면 태산로 1716 (정산식품 영농조합법인),천연 및 혼합조제 조미료 제조업
34,남원도자기,,김*웅,전라북도 남원시 고죽동 1-3번지,기타 일반 도자기 제조업
35,(유)중앙포장산업,,김*숙,전라북도 남원시 이백면 이백오산길 52 (중앙포장),골판지 및 골판지상자 제조업
36,라제산업(주),,변*섭,전라북도 무주군 무주읍 원용포길 43,레미콘 제조업
37,(주)진성기업,임실신평농공단지,윤*호,전라북도 임실군 신평면 대리3길 26-11 (㈜진성기업),금속 가구 제조업 외 2 종
38,그린자연식품,,노*석,전라북도 임실군 성수면 오봉1길 38-3,두부 및 유사식품 제조업
39,(주)기픈샘,,백*철,전라북도 순창군 팔덕면 태촌길 1-64 ((주)기픈샘),장류 제조업
40,세영개발(주),,최*필,전라북도 고창군 성송면 운선암길 48-69 (세영개발(주)) (총 2 필지),아스콘 제조업
41,영농조합법인 오성미곡종합처리장,,최*진,전라북도 고창군 해리면 동서대로 435 (오성미곡종합처리장),곡물 도정업
42,(주)대양스치로폴,,곽*상,전라북도 김제시 백구면 번영로 2309 (㈜ 그린판넬),플라스틱 발포 성형제품 제조업
43,(주)그린판넬,,이*웅,전라북도 김제시 백구면 번영로 2309 (㈜ 그린판넬),기타 구조용 금속제품 제조업
44,(주)코리웰,,문*대,전라북도 김제시 죽산면 해학로 240-55,그외 기타 플라스틱 제품 제조업
45,(주)에스더블유,,홍*진,전라북도 김제시 금구면 연동길 96-150,그외 기타 자동차 부품 제조업 외 1 종
46,(주)솔토,,채*현,전라북도 김제시 진봉면 정당길 65 (호산농산) (총 3 필지),코코아 제품 및 과자류 제조업
47,동 김제농업협동조합,,최*오,전라북도 김제시 봉남면 대송로 100 (동김제 농협 미곡처리장) (총 2 필지),곡물 도정업
48,(주)새한기업,,김*근,전라북도 김제시 만경읍 백석로 371 (㈜ 새한기업),금속 조립구조재 제조업 외 2 종
49,유수종합환경(주),익산제2지방산업단지,유*하,"전라북도 익산시 서동로 589-14,  (지방산업단지내) (팔봉동)",금속원료 재생업
50,(주)대신창호산업,,유*권,전라북도 익산시 망성면 동안로 299 ((주)대신창호산업),플라스틱 창호 제조업 외 1 종
51,(주)에스제이켐,,배*수,전라북도 익산시 왕궁면 무왕로 2243-23 (SJ캠),기타 기초무기화학물질 제조업
52,중앙건재사,,이*석,전라북도 익산시 황등면 황등로 159-1 (금개한약방),일반 제재업
53,월성정미소,,김*규,전라북도 익산시 월성동 571번지,곡물 도정업
54,진안사삼유통조합법인,,이*우,전라북도 진안군 진안읍 전진로 2755 (더덕가공공장),건강기능식품 제조업
55,(주)청송,,김*신,전라북도 군산시 양촌1길 18 (조촌동),일반 제재업
56,한창화학,정읍북면농공단지,한*수,전라북도 정읍시 북면 북면공단2길 98 (한창화학),합성수지 및 기타 플라스틱물질 제조업 외 1 종
57,(주)삼한전자,,한*수,전라북도 김제시 용지면 금백로 638 (삼한전자),"다이오드, 트랜지스터 및 유사 반도체소자 제조업"
58,성내직물,,유*호,전라북도 정읍시 입암면 마석리 137번지,면직물 직조업
59,신아출판사,,서*환,전라북도 전주시 완산구 공북1길 16 (태평동),스크린 인쇄업
60,농업회사법인 지리산두레팜 유한회사,,김*수,전라북도 남원시 산내면 천왕봉로 579-5 (뱀사골감식초공장),장류 제조업
61,전주이강주,,조*형,"전라북도 전주시 덕진구 매암길 28 (원동, 전주이강주)",기타 발효주 제조업 외 1 종
62,현대본차이나,,김*택,전라북도 익산시 왕궁면 온천길 35,기타 일반 도자기 제조업
63,정읍주조공사,,이*원,"전라북도 정읍시 벚꽃로 565 (송산동, 내장산 서래봉 복분자주)",탁주 및 약주 제조업
64,금호석재,,김*권,전라북도 익산시 황등면 황등8길 54 (주택),건설용 석제품 제조업 외 1 종
65,서해유기질,,심*일,"전라북도 김제시 백산면 조종리 648-9번지 648-10,648-11",기타 비료 및 질소화합물 제조업
66,서해안영어조합법인,,김*환,전라북도 부안군 계화면 돈지로 299 (낙원농수산해태배양장),수산식물 가공 및 저장 처리업
67,(유)더보케이블,,김*훈,전라북도 전주시 덕진구 반룡로 158-1 (여의동),기타 절연선 및 케이블 제조업
68,엔지니어스(주),,이*열,전라북도 전주시 덕진구 원만성로 21-28 (여의동),기타 기초무기화학물질 제조업 외 1 종
69,(주)나비스,,소*성,전라북도 전주시 덕진구 초포다리로 51 (호성동1가),기타 방적업 외 1 종
70,대건벤딩산업,전주제1지방산업단지,김*관,전라북도 전주시덕진구 팔복동1가번지 279-11,금속선 가공제품 제조업 외 1 종
71,주식회사수면과건강,,황*풍,"전라북도 전주시 완산구 백제대로 440 (서신동, 서신프른솔약국)",정형외과용 및 신체보정용 기기 제조업
72,(주) 해일정보,,박*래,전라북도 전주시 완산구 마전중앙로 21 (효자동3가),유선 통신장비 제조업
73,비엠에스,,이*주,"전라북도 전주시 완산구 천잠로 303, 309호(벤처창업관) (효자동2가, 전주대학교)",기기용 자동측정 및 제어장치 제조업 외 3 종
74,(유)서은옥푸드,,서*옥,전라북도 전주시 완산구 태진로 44-9 (태평동),빵류 제조업
75,주식회사 제이앤이메탈,전주시자원순환특화단지,김*영,"전라북도 전주시 완산구 정여립로 655-11, (상림동 764-1) (상림동)",금속원료 재생업
76,(주)첫눈,,박*주,"전라북도 전주시 완산구 바우배기2길 23, 3층 이지빌딩 (효자동2가)",유선 통신장비 제조업 외 3 종
77,(주)다담,,이*석,전라북도 전주시 완산구 메너머3길 13-12 (중화산동2가),가금류 가공 및 저장 처리업
78,(주)석청코리아,전주시자원순환특화단지,박*영,전라북도 전주시 완산구 상림동 762-1번지,비금속원료 재생업
79,(유)신진금속,전주시자원순환특화단지,김*순,전라북도 전주시 완산구 상림동 762-8번지,금속원료 재생업 외 1 종
80,전주시장애인단체총연합회인쇄사업단 한들,,정*수,전라북도 전주시 완산구 평화17길 10-8 (평화동1가),기타 인쇄업
81,우정정공,,이*,전라북도 전주시 덕진구 감수길 30-20 (팔복동4가),그외 기타 특수목적용 기계 제조업
82,(주)오르테크,전주제2지방산업단지,전*우,"전라북도 전주시 덕진구 팔과정로 20, 전주아파트형공장 302-1 (팔복동3가)",그외 기타 특수목적용 기계 제조업
83,성진인쇄사,,문*주,전라북도 전주시 덕진구 공북5길 33-2 (진북동),기타 인쇄업 외 1 종
84,(유)꽃탑월드,,김*철,전라북도 전주시 덕진구 가재미3길 9-3 (인후동1가),전자부품 실장기판 제조업
85,화이트유리,전주제1지방산업단지,정*조,"전라북도 전주시 덕진구 신복천변로 23-11, 팔복동1가 267-5 (팔복동1가)",가정용 유리제품 제조업
86,제논전장(주),전주제2지방산업단지,김*일 외1,"전라북도 전주시 덕진구 팔과정로 20, 아파트형공장 201-1호 (팔복동3가)",자동차용 전기장치 제조업 외 1 종
87,(주)모리아성구사,,김*호,전라북도 전주시덕진구 팔복동2가 797-4번지,기타 목재가구 제조업
88,(주)경원통신건설,,김*석,전라북도 전주시 덕진구 온고을로 485 (여의동),방송장비 제조업 외 1 종
89,라인광고산업,,양*진,전라북도 전주시 덕진구 안덕원로 26 (진북동),간판 및 광고물 제조업
90,(유)삼성인슈판넬,,김*곤,전라북도 전주시 덕진구 온고을로 570-11 (여의동) (총 3 필지),금속 조립구조재 제조업 외 1 종
91,펀커뮤니케이션컨설팅(주),,송*진,전라북도 전주시덕진구 호성동1가 637-5 번지,간판 및 광고물 제조업
92,두인기획,,박*석,전라북도 전주시 덕진구 무삼지2길 10-3 (인후동1가),기타 인쇄업
93,(주)화인텍,,전*순,"전라북도 전주시 덕진구 유상로 49 (팔복동2가, 뉴파워플라즈마)",그외 기타 전자부품 제조업
94,가인금속,,최*우,전라북도 전주시 덕진구 한내로 17 (팔복동4가),기타 구조용 금속제품 제조업
95,(주)대경산전,,김*호,"전라북도 전주시 덕진구 신복로 26, 전력설비동 (팔복동1가)",배전반 및 전기자동제어반 제조업 외 11 종
96,미래테크,,박*남,전라북도 전주시 덕진구 삼례로 77 (반월동),그외 기타 금속가공업
97,(주)휴먼드림,전주제2지방산업단지,김*경,"전라북도 전주시 덕진구 팔과정로 20, 4층 403-1 (팔복동3가, 덕진아파트형공장)",그외 기타 의료용 기기 제조업
98,주식회사 사운드코리아,,김*미,전라북도 전주시 덕진구 기린대로 321 (진북동),"라디오, 녹음 및 재생 기기 제조업 외 4 종"
99,(주)이오렉스,,조*현,전라북도 전주시 덕진구 비석날로 51 (여의동),액체 여과기 제조업 외 1 종
100,(주)성우이앤씨,,한*도,"전라북도 전주시 덕진구 암실길 81,  제1-B동 (반월동)",일반용 전기 조명장치 제조업 외 1 종
101,진성산업,,이*혜,전라북도 전주시 덕진구 만경강남로 31-23 (화전동),금속표시판 제조업 외 1 종
102,삼성자동문,,박*근,전라북도 전주시 덕진구 신복1길 16-1 (팔복동1가),"금속 문, 창, 셔터 및 관련제품 제조업"
103,지앤엠주식회사,,이*희,"전라북도 전주시 덕진구 원장동길 111-18 (장동, 전북생물산업진흥원)",동물용 사료 및 조제식품 제조업 외 5 종
104,(유)주원산업개발,,박*환,전라북도 전주시 덕진구 삼례로 53 (반월동),놀이터용 장비 제조업 외 6 종
105,한국종합기계,,김*희,전라북도 전주시 덕진구 원화전1길 57-94,일반저울 제조업 외 1 종
106,(주)에이피에스,전주도시첨단산업단지,김*훈,"전라북도 전주시 덕진구 반룡로 109, 벤쳐지원동 308호 (팔복동2가)",선박 구성부분품 제조업 외 1 종
107,금호실업,전주제1지방산업단지,김*호,"전라북도 전주시 덕진구 기린대로 711, 601호 (팔복동2가)",내의 및 잠옷 제조업
108,(주)그룬,전주친환경첨단복합산업단지(1단계),이*호,전라북도 전주시 덕진구 원만성로 109 (팔복동2가),액체 여과기 제조업
109,아이키즈,,김*두,전라북도 전주시 덕진구 사평로 5-31 (덕진동1가),유아용 의복 제조업
110,지오레이저,전주친환경첨단복합산업단지(1단계),봉*,"전라북도 전주시 덕진구 운암로 30, 835-8 (팔복동2가)",전자응용 공작기계 제조업
111,주식회사 한진기획 광고개발,,이*교,전라북도 전주시 덕진구 추천로 111-1 (팔복동2가),간판 및 광고물 제조업
112,(주)티엔티리써치,,이*연,전라북도 전주시 덕진구 원장동길 102 (장동),그외 기타 분류안된 화학제품 제조업
113,삼풍화학,,류*곤,전라북도 전주시 덕진구 감수길 46 (팔복동4가),그외 기타 분류안된 화학제품 제조업
114,에스디테크,,곽*규,"전라북도 전주시 덕진구 암실길 81, 제1-A동 (반월동)",그외 기타 특수목적용 기계 제조업 외 2 종
115,한라이엔지,,전*덕,전라북도 전주시 덕진구 전미동2가 86-4번지,설치용 금속탱크 및 저장용기 제조업
116,주식회사 오피체,전주제1지방산업단지,정*철,전라북도 전주시 덕진구 상리2길 31 (팔복동2가),기타 목재가구 제조업 외 1 종
117,(주)데코라,,김*종,전라북도 전주시 덕진구 동부대로 1566 (고랑동),주방용 및 음식점용 목재가구 제조업 외 1 종
118,한국그린에너지(주),전주제1지방산업단지,신*찬,"전라북도 전주시 덕진구 신복로 121, 1호 (팔복동1가)",구조용 금속판제품 및 금속공작물 제조업 외 4 종
119,주식회사 에스디씨,전주제1지방산업단지,유*운,전라북도 전주시 덕진구 상리1길 51 (팔복동2가),얼음 제조업
120,보현,,강*균,전라북도 전주시 덕진구 여산로 130-16 (여의동),유아용 의복 제조업
121,(주)세우테크윈,전주제1지방산업단지,손*환,전라북도 전주시 덕진구 구렛들2길 35 (팔복동1가),배전반 및 전기자동제어반 제조업 외 3 종
122,아그로마켓팅코리아,,이*수,전라북도 군산시 개정면 통사리 442번지,기타 비료 및 질소화합물 제조업
123,한국유리공업(주),군산지방산업단지,이*성,"전라북도 군산시 외항1길 296 (소룡동, 한국유리공업)",판유리 제조업 외 1 종
124,(주)콘스텍코리아,,"정*, 황*수",전라북도 군산시 나포면 십자들로 778,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
125,(주)삼호네트,군산옥구농공단지,박*원,전라북도 군산시 옥구읍 광월안길 6 (삼호네트),어망 및 기타 끈가공품 제조업
126,대상(주),군산국가산업단지,명*섭,"전라북도 군산시 외항로 884 (소룡동, 대상㈜)",곡물 도정업 외 7 종
127,(주)세화캐스터,군산2국가산업단지,고*영,전라북도 군산시 동가도길 55 (오식도동),절삭가공 및 유사처리업
128,(유)삼양포장,군산옥구농공단지,최*회,전라북도 군산시 옥구읍 광월안길 43,골판지 및 골판지상자 제조업
129,대영엔지니어링(주),군산2국가산업단지,김*영,전라북도 군산시 산단동서로 31 (오식도동),도장 및 기타 피막처리업 외 3 종
130,(주)동촌,군산2국가산업단지,이*숙,"전라북도 군산시 군산산단로 152 (오식도동, ㈜동촌목재)",일반 제재업
131,태천목재,군산2국가산업단지,이*웅,전라북도 군산시 외항로 863 (오식도동),일반 제재업
132,주식회사KHE,군산자유무역지역,송*종,"전라북도 군산시 자유무역3길 19 (오식도동, ㈜KHE) (총 11 필지)","증류기,열교환기 및 가스발생기 제조업"
133,(주)해운테크,군산2국가산업단지,"최*규, 정*기","전라북도 군산시 산단동서로 44-26 (오식도동, (주)해운테크)",자동차 차체용 부품 제조업 외 1 종
134,(주)하나에너지,군산2국가산업단지,박*성,"전라북도 군산시 군산산단로 143-48 (비응도동, ㈜성림ENG)",비금속원료 재생업
135,가나이엔텍,군산2국가산업단지,이*기,전라북도 군산시 중가도길 70 (오식도동),그외 기타 자동차 부품 제조업
136,(주)삼보캐피탈,군산2국가산업단지,이*철,전라북도 군산시 외항로 961 (오식도동),기타 구조용 금속제품 제조업
137,게렌합북,,정*,전라북도 군산시 서수면 탑천로 594-1,건강기능식품 제조업 외 1 종
138,탱크테크(주),군산2국가산업단지,주*일,"전라북도 군산시 군산산단로 38 (오식도동, ㈜TKT)",선박 구성부분품 제조업
139,(유)기웅,,김*순,전라북도 군산시 임피면 항쟁로 62 (기웅 코리아),그외 기타 고무제품 제조업
140,현대중공업(주),군산국가산업단지,"최*선, 권*갑",전라북도 군산시 동장산로 232 (소룡동),전동기 및 발전기 제조업
141,(주)코일뱅크기계산업,군산2국가산업단지,임*엽,전라북도 군산시 외항로 967 (오식도동),그외 기타 자동차 부품 제조업 외 1 종
142,(주)해성굿쓰리,군산2국가산업단지,이*국,전라북도 군산시 산단동서로 246 (오식도동),기어 및 동력전달장치 제조업
143,(주)김장독,,문*호,전라북도 군산시 성산면 송호로 157-5,과실 및 채소 절임식품 제조업
144,(유)에스에이치이앤지,군산2국가산업단지,김*현,"전라북도 군산시 산단동서로 266 (오식도동, (유)원포커스)",기타 구조용 금속제품 제조업 외 1 종
145,픽스테아(주),군산자유무역지역,박*규,"전라북도 군산시 자유무역2길 15 (오식도동, DAT SYSTEM)","다이오드, 트랜지스터 및 유사 반도체소자 제조업 외 4 종"
146,(주)필로스스포츠인터내셔널,군산자유무역지역,*섭사무**,"전라북도 군산시 자유무역2길 15 (오식도동, DAT SYSTEM)",기타 운동 및 경기용구 제조업 외 3 종
147,대승금형,군산2국가산업단지,김*기,"전라북도 군산시 산단로 42,  304호 (오식도동)",주형 및 금형 제조업
148,(주)휴먼컴퍼지트,군산국가산업단지,양*운,전라북도 군산시 서해로 249 (소룡동),전동기 및 발전기 제조업 외 1 종
149,(주)우일오토텍,군산국가산업단지,황*찬,"전라북도 군산시 자유로 20 (소룡동, 우일정밀㈜)",자동차 차체용 부품 제조업
150,(주)티투앤아이,군산2국가산업단지,김*원,전라북도 군산시 외항로 913-16 (오식도동),주형 및 금형 제조업 외 1 종
151,한국몰딩주식회사,,이*형,전라북도 군산시 임피면 서원석곡로 432,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종"
152,(주)유성테크,군산2국가산업단지,온*자,전라북도 군산시 자유무역로 166-26 (오식도동),액체 여과기 제조업 외 1 종
153,(주)조은세상,군산2국가산업단지,이*진,전라북도 군산시 산단로 17-28 (오식도동),저장용 및 위생용 플라스틱제품 제조업 외 1 종
154,(유)제일공업,,고*화,전라북도 군산시 외항로 215 (산북동) (총 2 필지),토목공사 및 유사용 기계장비 제조업 외 1 종
155,(주)건영플랜트,군산2국가산업단지,박*근,전라북도 군산시 동가도길 62 (오식도동),설치용 금속탱크 및 저장용기 제조업 외 1 종
156,(주)디티에스,군산자유무역지역,손*철,전라북도 군산시 자유무역2길 45 (오식도동),"증류기,열교환기 및 가스발생기 제조업 외 2 종"
157,(유)내고향시푸드,,김*호,전라북도 군산시 개정면 아동리 611 번지,수산동물 건조 및 염장품 제조업
158,선진에스앤피,군산2국가산업단지,하*순,전라북도 군산시 무역로 156-17 (오식도동),도장 및 기타 피막처리업 외 1 종
159,주식회사 농협사료,군산지방산업단지,장*환,전라북도 군산시 임해로 447 (소룡동) 주식회사 농협사료 군산바이오,동물용 사료 및 조제식품 제조업
160,(유)제이티와이,군산2국가산업단지,김*덕,전라북도 군산시 군산산단로 143-25 (비응도동),"라이터, 연소물 및 흡연용품 제조업"
161,(주)코리아벤더,군산2국가산업단지,노*홍,전라북도 군산시 자유로 297-22 (소룡동),금속압형제품 제조업
162,(주)진흥라이팅,군산옥구농공단지,장*윤,전라북도 군산시 옥구읍 광월안길 13,일반용 전기 조명장치 제조업 외 1 종
163,주식회사 하이원전기통신,군산서수농공단지,이*희,전라북도 군산시 서수면 상장곤윗길 66,방송장비 제조업 외 2 종
164,(주)풍천엔지니어링,군산2국가산업단지,이*천,전라북도 군산시 새만금북로 397,공기조화장치 제조업 외 1 종
165,대한,군산지방산업단지,김*자,전라북도 군산시 소룡동 116번지 외 2필지,유압기기 제조업
166,(주)지앤엘테크,군산2국가산업단지,구*서,"전라북도 군산시 산단남북로 169, 101호 (오식도동)",자동차 차체용 부품 제조업
167,농업회사법인주식회사대한식품,,강*경,전라북도 군산시 개정면 번영로 491,기타 과실·채소 가공 및 저장처리업
168,(유)재건플랜트,군산2국가산업단지,윤*삼,전라북도 군산시 자유무역로 143-26 (오식도동),선박 구성부분품 제조업
169,(주)새만금스틸,군산국가산업단지,장*수,전라북도 군산시 소룡동 1648-8번지,선박 구성부분품 제조업
170,엘케이산업(주),군산2국가산업단지,김*훈,전라북도 군산시 가도로 149-11 (오식도동),절삭가공 및 유사처리업
171,(주)제이앤제이코리아,군산2국가산업단지,안*희,전라북도 군산시 외항로 901 (오식도동),컨베이어장치 제조업 외 5 종
172,바이크하우스,,김*,전라북도 군산시 미성로 470 (산북동),자전거 및 환자용 차량 제조업
173,대원수출포장,군산2국가산업단지,이*용,전라북도 군산시 중가도길 76 (오식도동),"목재 포장용 상자, 드럼 및 유사용기 제조업"
174,(주)세스,군산2국가산업단지,김*현,"전라북도 군산시 산단남북로 169, 친환경R&D센터 301호 (오식도동)",기타 발전기 및 전기변환장치 제조업
175,(유)일강,군산국가산업단지,김*인,전라북도 군산시 외항로 838 (소룡동),금속 절삭기계 제조업
176,경원에스티,군산국가산업단지,김*규,전라북도 군산시 자유로 241 (소룡동),"도금, 착색 및 기타 표면처리강재 제조업"
177,주식회사 크라스코,,박*호,전라북도 군산시 성산면 고봉3길 9,일반 제재업
178,(주)신호테크,군산2국가산업단지,김*훈,"전라북도 군산시 군산산단로 146-29 (오식도동, (유)나산기업)",금속압형제품 제조업
179,(주)한국플랜트,군산2국가산업단지,성*수,전라북도 군산시 오식도동 852-18번지,금속 조립구조재 제조업
180,주식회사 더존디자인조명,군산서수농공단지,강*경,전라북도 군산시 서수면 상장곤윗길 66,전구 및 램프 제조업 외 3 종
181,디와이몰드(주),군산성산농공단지,박*성,전라북도 군산시 성산면 동군산로 136-7,주형 및 금형 제조업
182,(유)호남레미콘,,정*산,전라북도 익산시 왕궁면 무왕로 2204,레미콘 제조업
183,신농영농조합법인,,진*경,전라북도 익산시 망성면 무형길 412,곡물 도정업
184,주식회사 남양스톤,,백*선,전라북도 익산시 여산면 가람로 529-119,건설용 석제품 제조업
185,(주)모드테크,익산자유무역지역,황*연,"전라북도 익산시 약촌로8길 77-9 (어양동, (주)모드테크)",합성섬유 제조업
186,(주)동일안전유리,,윤*규,전라북도 익산시 춘포면 궁성로 249 (강화유리),판유리 가공품 제조업
187,(주)코멕스,익산국가산업단지,정*용,전라북도 익산시 영등동 215-35번지,귀금속 및 관련제품 제조업
188,(유)한화산업개발,,임*구,전라북도 익산시 성당면 갈산리 334번지 외 2필지,플라스틱 창호 제조업
189,(주)극동테크,,권*신,"전라북도 익산시 왕궁면 궁성로 418, (발산리 423-10) (왕궁면)",그외 기타 자동차 부품 제조업
190,한국특수가스(주),익산제2지방산업단지,서*남,"전라북도 익산시 석암로7길 19,  (지방산업단지내) (용제동)",무기안료 및 기타금속산화물 제조업 외 2 종
191,(주)유광드럼,익산제2지방산업단지,유*원,전라북도 익산시 석암로1길 149 (팔봉동),금속캔 및 기타 포장용기 제조업
192,(주)디에이티,익산낭산농공단지,송*민,"전라북도 익산시 낭산면 낭산농공단지길 33,  낭산농공단지",그외 기타 달리 분류되지 않은 제품 제조업
193,유한섬유,,유*종,"전라북도 익산시 보석로2길 16-2 (금강동, 명성섬유)",편조원단 제조업
194,(주)한나산업,익산삼기농공단지,심*구,"전라북도 익산시 삼기면 삼기농공단지길 6-13,  (익산삼기농공단지내)",구두류 제조업 외 2 종
195,백광정보통신,,엄*천,"전라북도 익산시 익산대로22길 38 (남중동, 동인당한약방)",비디오 및 기타 영상기기 제조업
196,자연들,,이*철,"전라북도 익산시 목천로6길 11 (인화동1가, 주택)",기타 비료 및 질소화합물 제조업
197,(주)광산테크,익산제2지방산업단지,김*화,전라북도 익산시 석암로13길 71 (팔봉동),그외 기타 자동차 부품 제조업 외 5 종
198,동광개발,익산황등농공단지,박*운,전라북도 익산시 황등면 석재단지길 91-27,기타 석제품 제조업
199,(주)그린테크,,박*준,전라북도 익산시 함라면 함라3길 3-10 ((유)대일공영),농업 및 임업용 기계 제조업 외 1 종
200,(주)에이치엔지에프,,신*병,전라북도 익산시 신기길 12 (만석동),천연 및 혼합조제 조미료 제조업
201,로얄사,익산국가산업단지,서*연,전라북도 익산시 선화로63길 24-1 (영등동),귀금속 및 관련제품 제조업
202,만물석재,익산황등농공단지,이*형,"전라북도 익산시 황등면 석재단지길 52-11,  (황등농공단지내)",건설용 석제품 제조업 외 1 종
203,농업회사법인유한회사축협농산,,한*배,전라북도 익산시 여산면 가람로 52-6 ((주)삼화웰빙),기타 과실·채소 가공 및 저장처리업
204,(주)태산이-코리아,,강*호,"전라북도 익산시 목천로16길 11 (인화동2가, ㈜한광)",배전반 및 전기자동제어반 제조업 외 4 종
205,(주)빗살,익산황등농공단지,이*수,전라북도 익산시 황등면 석재단지길 82,건설용 석제품 제조업
206,(유)동성사,익산왕궁농공단지,정*영,전라북도 익산시 왕궁면 광암리 1371번지 (왕궁농공단지내),농업 및 임업용 기계 제조업 외 1 종
207,유한회사 금정산업,,박*주,전라북도 익산시 황등면 죽촌리 555-12번지,금속 조립구조재 제조업 외 1 종
208,(주)동호스톤 익산지점,익산황등농공단지,김*범,"전라북도 익산시 황등면 석재단지길 66-15,  (황등농공단지 내)",건설용 석제품 제조업
209,김인영,익산삼기농공단지,김*영,"전라북도 익산시 삼기면 삼기농공단지길 68,  삼기농공단지",비주거용 건물 임대업
210,한양철강(주)제2공장,익산제2지방산업단지,김*준,"전라북도 익산시 석암로13길 125,  (제2지방산업단지) (팔봉동)",강관 제조업
211,농업회사법인(주)참드레,,황*석,전라북도 익산시 번영로1길 25 (목천동),기타 과실·채소 가공 및 저장처리업
