번호,회사명,단지명,대표자명,공장대표주소,업종명
2881,지엔기계기술(주),군산2국가산업단지,김*숙,"전라북도 군산시 산단남북로 169, 친환경R&D센터 308-2 (오식도동)",절삭가공 및 유사처리업
2882,(주)대정,군산2국가산업단지,신*형,전라북도 군산시 산단남북로 158 (오식도동),자동차 차체용 부품 제조업
2883,(주)평화정공,군산2국가산업단지,김*민,전라북도 군산시 외항로 948 (소룡동),선박 구성부분품 제조업
2884,(주)지에스엠,군산국가산업단지,조*용,전라북도 군산시 동장산로 105-9 (소룡동),그외 기타 자동차 부품 제조업 외 1 종
2885,광은실업,군산2국가산업단지,윤*호,"전라북도 군산시 자유무역로 52 (오식도동, 세아제강)",강관 제조업
2886,성준산업,군산국가산업단지,이*열,전라북도 군산시 외항로 728 (소룡동),그외 기타 자동차 부품 제조업
2887,(주)기린정공,군산2국가산업단지,김*,전라북도 군산시 무역로 48 (오식도동),금속 조립구조재 제조업
2888,(주)이삭특장차,군산2국가산업단지,김*,전라북도 군산시 산단동서로 233 (오식도동),차체 및 특장차 제조업
2889,(유)엠케이에이앤더블유,,문*열,전라북도 군산시 성산면 송호로 138,"금속 문, 창, 셔터 및 관련제품 제조업"
2890,(주)태백,군산2국가산업단지,김*겸,전라북도 군산시 외항로 925-9 (오식도동),금속 조립구조재 제조업 외 5 종
2891,(주)케이엠씨,군산2국가산업단지,김*근,전라북도 군산시 가도로 129-13 (오식도동),절삭가공 및 유사처리업
2892,엔티씨,군산2국가산업단지,이*석,전라북도 군산시 동가도길 55 (오식도동),액체 펌프 제조업 외 10 종
2893,빛담정농원,익산제2지방산업단지,윤*정,"전라북도 익산시 서동로 688,  (지방산업단지내) (팔봉동)",두부 및 유사식품 제조업
2894,흰돌석재,,전*복,전라북도 익산시 함열읍 미륵사지로 1077 (한빛석재) (총 3 필지),건설용 석제품 제조업
2895,케이원명과,,김*권,"전라북도 익산시 나룻가신천길 4-7 (인화동2가, 주택)",빵류 제조업
2896,(주)경호,익산자유무역지역,장*훈,"전라북도 익산시 약촌로8길 86 (어양동, ㈜경호골프)",기타 운동 및 경기용구 제조업
2897,능동기업,,정*돈,전라북도 익산시 금마면 고도길 147 ((유)능동기업),일반 제재업
2898,심우테크,익산자유무역지역,"이*만, 김*경","전라북도 익산시 약촌로8길 37 (어양동, 광전자(주)제6공장)",그외기타전자부품제조업
2899,태원철강,,정*원,"전라북도 익산시 목천로10길 8 (인화동1가, 주택)",그외 기타 1차 철강 제조업
2900,(주)기원전자,익산국가산업단지,방*원,"전라북도 익산시 보석로6길 109 (신흥동, (주)기원전자)",그외 기타 자동차 부품 제조업 외 2 종
2901,(주)삼보씨앤피,익산국가산업단지,김*률,"전라북도 익산시 보석로6길 74 (신흥동, 아이파크익산공장(주))",골판지 및 골판지상자 제조업
2902,스카이버보석,익산국가산업단지,최*호,"전라북도 익산시 선화로63길 5-2 (영등동, 스카이버산업)",귀금속 및 관련제품 제조업
2903,(주)서연인테크,익산제2지방산업단지,이*곤,"전라북도 익산시 석암로17길 131 (팔봉동, (주)한일내장)",그외 기타 자동차 부품 제조업
2904,(주)화곡주가,,김*수,전라북도 익산시 왕궁면 왕궁로 587-9 (주택),탁주 및 약주 제조업
2905,신영건철,,김*성,"전라북도 익산시 나룻가신천길 3-52 (인화동2가, 주택) (총 2 필지)",그외 기타 1차 철강 제조업
