순번,단지명,회사명,대표자명,공장대표주소(도로명),대표업종번호,업종명,생산품
421,개별입지,(주)그린,안성국,전북특별자치도 김제시 용지면 신정리 580-5번지 외 6필지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,재생플라스틱원료
422,개별입지,(주)그린나래,조찬일,전북특별자치도 김제시 금산면 구성길 224,13992,부직포 및 펠트 제조업,식생매트 및 조경관련자재
423,개별입지,(주)그린판넬,이재웅,전북특별자치도 김제시 백구면 번영로 2309 (㈜ 그린판넬) 외 1필지,25119,기타 구조용 금속제품 제조업,샌드위치판넬
424,개별입지,(주)글로벌백,김성현,전북특별자치도 김제시 금구면 양시로 198,17223,식품 위생용 종이 상자 및 용기 제조업,하드케이스
425,개별입지,(주)금만,남궁준,전북특별자치도 김제시 진봉면 정당길 65 (호산농산),1123,종자 및 묘목 생산업,버선종균
426,개별입지,(주)금산씨알에이,김재우,전북특별자치도 김제시 금산면 금평로 281-177 외 39필지,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,PHC파일
427,개별입지,(주)금산씨알에이,김재우,전북특별자치도 김제시 금산면 금평로 281-177,23991,아스팔트 콘크리트 및 혼합제품 제조업,아스콘
428,개별입지,(주)금산씨알에이,김재우,"전북특별자치도 김제시 금산면 금평로 281-177, (성계리 358-1)",23322,레미콘 제조업,레미콘
429,개별입지,(주)김정문알로에,최연매,전북특별자치도 김제시 금구면 금백로 459 ((주)김경문알로에),10309,기타 과실ㆍ채소 가공 및 저장 처리업,알로에제품
430,개별입지,(주)김제이피에스,손경선,전북특별자치도 김제시 하흥로 426(흥사동),22251,폴리스티렌 발포 성형제품 제조업,난연 스치로폼
431,개별입지,(주)나인글로벌,박흥용,전북특별자치도 김제시 금구면 봉두로 49-19,13229,기타 직물제품 제조업,마스크
432,개별입지,(주)농협목우촌김제육가공공장,박철진,전북특별자치도 김제시 금산면 구성길 630 ((주) 농협 목우촌 전주지점) 외 23필지,10111,육류 도축업(가금류 제외) 외 3 종,"둔부돈육, 햄소세지, 통조림"
433,개별입지,(주)다인무역,최점석,전북특별자치도 김제시 백구면 학동2길 86-7,23911,건설용 석제품 제조업 외 1 종,석가공품
434,개별입지,(주)대륜,신성환,"전북특별자치도 김제시 일신길 58 (하동, 대륜)",22211,"플라스틱 선, 봉, 관 및 호스 제조업",지중전선관
435,개별입지,(주)대양스치로폴,이재웅,전북특별자치도 김제시 백구면 번영로 2309,22251,폴리스티렌 발포 성형제품 제조업 외 2 종,"스치로폴, 스치로폴, 스치로폴"
436,개별입지,(주)대진,장경선,전북특별자치도 김제시 공덕면 청공로 782-27,25121,산업용 난방보일러 및 방열기 제조업,산업용보일러
437,개별입지,(주)더블유에스,유기상,전북특별자치도 김제시 황산로 81(백학동),20321,화학 살균.살충제 및 농업용 약제 제조업 외 2 종,"살균소독제, 보조사료"
438,개별입지,(주)돔하우스코리아,김미라(폐업),전북특별자치도 김제시 황산면 황산로 518-146,22251,폴리스티렌 발포 성형제품 제조업 외 1 종,EPS패널
439,개별입지,(주)동성정공,송영석,전북특별자치도 김제시 백구면 번영로 2640-74 (㈜ 동성정공),30399,그 외 자동차용 신품 부품 제조업 외 3 종,"MUFFLER,PIPE"
440,개별입지,(주)동아유통군산수협중매인이십육번,신형태,전북특별자치도 김제시 백구면 백구7길 4 (㈜ 동아 유통) (총 2 필지) 외 1필지,10220,수산식물 가공 및 저장 처리업,구운 김
441,개별입지,(주)동우,김미자,전북특별자치도 김제시 봉남로 739(도장동),28519,기타 가정용 전기기기 제조업,환풍기
442,개별입지,(주)들판,박성일,전북특별자치도 김제시 봉남면 봉산로 382 (전북 정농),10121,가금류 가공 및 저장 처리업,육류가공저장처리
443,개별입지,(주)디쏠,정용식 ,전북특별자치도 김제시 용지면 용지로 102,23995,탄소섬유 제조업,탄소섬유
444,개별입지,(주)만수루 미곡처리장,임주영,"전북특별자치도 김제시 제월1길 9, . (제월동) 외 1필지",10611,곡물 도정업,쌀
445,개별입지,(주)모던글라스,노재훈,"전북특별자치도 김제시 하흥로 419 (흥사동, 승화공업사)",23112,안전유리 제조업 외 1 종,복층강화유리
446,개별입지,(주)미래,오민재,전북특별자치도 김제시 황산면 남양2길 333,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,자동차부품파렛트
447,개별입지,(주)미래클,이재환,"전북특별자치도 김제시 공덕면 황경2길 7, (황산리 1236-1)",30201,차체 및 특장차 제조업 외 5 종,"특장차 제조, "
448,개별입지,(주)백산엘앤티,오희수,전북특별자치도 김제시 하동4길 24-3 (하동),28422,일반용 전기 조명장치 제조업 외 1 종,LED 조명등기구
449,개별입지,(주)벤트에어,윤영희,전북특별자치도 김제시 백구면 금백로 1189 (주식회사벤트에어),25112,구조용 금속 판제품 및 공작물 제조업,원형덕트
450,개별입지,(주)부광산업,이재실,전북특별자치도 김제시 진봉면 해학로 775 ((유) 부광산업) (총 3 필지) 외 2필지,10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"우,돈육"
451,개별입지,(주)비앤제이에너지,전혜환,전북특별자치도 김제시 금구면 남산로 428,25130,핵반응기 및 증기보일러 제조업,증기보일러
452,개별입지,(주)살강,조미자,전북특별자치도 김제시 용지면 석정로 712 (㈜살강) (총 3 필지) 외 2필지,16211,"박판, 합판 및 유사 적층판 제조업 외 2 종","PB접착가공합판,주방용목제가구,일반목제"
453,개별입지,(주)삼기엔텍,강성순,전북특별자치도 김제시 성덕면 해학로 631,38321,비금속류 해체 및 선별업 외 4 종,"탄성포장재,우레탄칩,폴리우레탄, 흙콘크리트"
454,개별입지,(주)삼기칼라콘,서민석,전북특별자치도 김제시 성덕면 해학로 631,23321,비내화 모르타르 제조업,콘크리트용 혼합물
455,개별입지,(주)삼진라인,이상환,전북특별자치도 김제시 황산면 풍요로 765-4 (삼진 철강) (총 3 필지) 외 2필지,25944,금속선 가공제품 제조업 외 2 종,"용접철망,수로철망,철근가공제품"
456,개별입지,(주)삼진라인,이상환,전북특별자치도 김제시 황산면 풍요로 765-4 (삼진 철강),25944,금속선 가공제품 제조업,"용접철망, 수로철망"
457,개별입지,(주)삼진콘텍,이정인,전북특별자치도 김제시 황산면 풍요로 744 외 1필지,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,콘크리트 수로관
458,개별입지,(주)삼한전자,한봉수,전북특별자치도 김제시 용지면 금백로 638 (삼한전자),26121,발광 다이오드 제조업 외 1 종,트렌지스터
459,개별입지,(주)삼호유비,김영태,전북특별자치도 김제시 용지면 금백로 875 (㈜ 삼호유비) (총 5 필지) 외 4필지,20312,복합비료 및 기타 화학비료 제조업 외 1 종,유기질비료
460,개별입지,(주)서로바이오,박건수,전북특별자치도 김제시 효자로 60-5(신풍동),10792,차류 가공업,"분말두부, 두유, 곡물분말"
461,개별입지,(주)서로바이오,박건수,전북특별자치도 김제시 효자로 60-3(신풍동),10792,차류 가공업,"분말두부, 두부, 곡물분말"
462,개별입지,(주)서원산업,장정자,"전북특별자치도 김제시 황산면 콩쥐팥쥐로 444-21, . (㈜서원)",23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,콘크리트맨홀
463,개별입지,(주)서원포장,김대중,전북특별자치도 김제시 성덕면 대목리 504-8번지 외 1필지 외 1필지,17221,종이 포대 및 가방 제조업,종이포대
464,개별입지,(주)서정,이판규,전북특별자치도 김제시 황산면 남양1길 15 (㈜ 서정 육가공),10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"등심,삼겹,갈비,후지원료육"
