순번,단지명,회사명,대표자명,공장대표주소(도로명),대표업종번호,업종명,생산품
546,개별입지,공덕농협 농산물가공사업소,문용수,전북특별자치도 김제시 공덕면 공덕리 113-10,10309,기타 과실ㆍ채소 가공 및 저장 처리업,고구마 앙금
547,개별입지,공덕농협농산물가공사업소,문용수,전북특별자치도 김제시 공덕면 공덕8길 65-1,10711,떡류 제조업 외 1 종,유기농우리쌀떡국떡
548,개별입지,관동종합샤링,이필한,전북특별자치도 김제시 백산면 석정로 53-8 (㈜ 태양 프라스틱),25999,그 외 기타 분류 안된 금속 가공 제품 제조업,가스통 보호망
549,개별입지,광고인기획 유한회사,홍규철,전북특별자치도 김제시 벽성로 474-7 (서암동),28422,일반용 전기 조명장치 제조업 외 1 종,"조명기기, 간판(광고물)"
550,개별입지,광웅식품,윤재원,전북특별자치도 김제시 백산면 조종3길 79,10301,김치류 제조업 외 1 종,단무지
551,개별입지,광원농기계,정경수,"전북특별자치도 김제시 만경로 83 (갈공동, 광원농기계)",29210,농업 및 임업용 기계 제조업,"비료살포기,볕씨발인기,쌀겨펠레기"
552,개별입지,그린공예,정성복,전북특별자치도 김제시 금구면 대송로 388 (총 2 필지) 외 1필지,16291,목재 도구 및 주방용 나무제품 제조업,"교자상,원목다과상,원목쟁반"
553,개별입지,근주식품,조백현,"전북특별자치도 김제시 금산면 구성길 238, 근주",10301,김치류 제조업 외 1 종,단무지
554,개별입지,글로벌코리아(주),김정헌,전북특별자치도 김제시 금구면 광현1길 112,23222,위생용 및 산업용 도자기 제조업,양변기
555,개별입지,금광산업,최대현,전북특별자치도 김제시 용지면 효정2길 38 (금광 산업),25923,도장 및 기타 피막처리업,"도자기,유기가공"
556,개별입지,금남산기,이영배,"전북특별자치도 김제시 백구면 석담4길 87-20, (석담리 381-1) 외 1필지",25119,기타 구조용 금속제품 제조업,"UV살균기, 환경오염방지기기, 금속판 제품"
557,개별입지,금만농업협동조합미곡처리장,최승운,전북특별자치도 김제시 청하면 월현2길 24 (금만 미곡 종합처리장),10611,곡물 도정업,백미
558,개별입지,금모래마당,조성천,전북특별자치도 김제시 금산면 금평로 193-18,10620,전분제품 및 당류 제조업,"엿류, 다류"
559,개별입지,금산기계,김산,"전북특별자치도 김제시 복죽로 542 (연정동, 금산기계) (총 3 필지) 외 2필지",29241,건설 및 채광용 기계장비 제조업,"건설기계, 장비"
560,개별입지,금산농업협동조합,김복남,전북특별자치도 김제시 금산면 구성길 382 (총 5 필지) 외 3필지,10309,기타 과실ㆍ채소 가공 및 저장 처리업,감식초
561,개별입지,금산벽돌,반영곤,전북특별자치도 김제시 금산면 원평로 111,23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","벽돌, 브럭"
562,개별입지,금산석재,최유용,전북특별자치도 김제시 금산면 구성7길 6 (금산 석재),23919,기타 석제품 제조업 외 1 종,판석
563,개별입지,금성레이저,"최미옥, 고영석","전북특별자치도 김제시 벽성로 483 (서암동, 금성샤링) 외 1필지",25113,육상 금속 골조 구조재 제조업 외 1 종,"절단,절곡가공품"
564,개별입지,금송식품,이경숙 ,전북특별자치도 김제시 금산면 금산리 425-5번지,10743,장류 제조업,"된장, 간장"
565,개별입지,김제농업협동조합미곡종합처리장,나건찬,"전북특별자치도 김제시 봉황로 1089 (월성동, 김제농협미곡종합처리장)",10611,곡물 도정업,"쌀,보리"
566,개별입지,김제시우리밀영농조합법인,이재병,전북특별자치도 김제시 죽산면 죽백12길 32 (총 2 필지) 외 1필지,10712,빵류 제조업,찐빵
567,개별입지,김제지평선울금(영),오성수,전북특별자치도 김제시 하동4길 24-3 (하동),10796,건강보조용 액화식품 제조업 외 1 종,"울금환,울금액기스"
568,개별입지,김제지평선울금영농조합법인,오성수,전북특별자치도 김제시 하동4길 23-4 (하동) 외 1필지,11111,탁주 및 약주 제조업,울금막걸리
569,개별입지,김제콘크리트,안용복,"전북특별자치도 김제시 하공로 59 (하동, 김제콘크리트)",23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","벽돌, 블럭"
570,개별입지,꾸지뽕전문꿈꾸지농장,고한석,전북특별자치도 김제시 봉남면 봉황로 438-57,10792,차류 가공업,꾸지봉 액상차
571,개별입지,나노화인 주식회사,이근호,전북특별자치도 김제시 공덕면 청공로 715,29175,액체 여과기 제조업 외 1 종,"액체여과기,기체여과기"
572,개별입지,나우에스엔씨 주식회사,김병호,전북특별자치도 김제시 용지면 황토로 414-42 외 2필지,25113,육상 금속 골조 구조재 제조업 외 2 종,단열이중보온관
573,개별입지,남부도예기기,강성호,전북특별자치도 김제시 콩쥐팥쥐로 147 (순동),23221,가정용 및 장식용 도자기 제조업,"도자기,화분"
574,개별입지,남영석재,이영순,전북특별자치도 김제시 백구면 학동2길 51 (남영석재) (총 6 필지) 외 5필지,23911,건설용 석제품 제조업 외 1 종,석제품
575,개별입지,남해화학주식회사,하형수,"전북특별자치도 김제시 용지면 용수4길 15, (신정리 52-26번지)",20312,복합비료 및 기타 화학비료 제조업 외 1 종,혼합유기질비료
576,개별입지,내쇼날씨엔디 주식회사,이준,전북특별자치도 김제시 황산면 황산로 518-146,22229,기타 건축용 플라스틱 조립제품 제조업 외 4 종,"관람석 의자, 야외용 벤치, 사계절 썰매, 미니 콜프, 옥외용 벤치"
577,개별입지,네오시스템,김순미,전북특별자치도 김제시 금구면 옥용3길 30,32029,기타 목재가구 제조업,사무용가구
578,개별입지,농업법인 주식회사 우리농촌살리기 공동네트워크,심상준,전북특별자치도 김제시 황산면 남산리 4-1,10730,"면류, 마카로니 및 유사식품 제조업",밀국수
579,개별입지,농업회사법인 (주)나눔,김훈,"전북특별자치도 김제시 만경읍 대장로 284-53, 외 3필",10611,곡물 도정업,"백미,벼"
580,개별입지,농업회사법인 (주)더반,최정운,"전북특별자치도 김제시 용지면 백자1길 86, (부교리87-32) 외 1필지",10799,그 외 기타 식료품 제조업,생강분말
581,개별입지,농업회사법인 (주)사조원,이창우,전북특별자치도 김제시 금산면 구성6길 122 외 8필지,10121,가금류 가공 및 저장 처리업 외 1 종,닭고기 및 육계가공품
582,개별입지,농업회사법인 농협에코아그로 주식회사 호남본부,조영철,전북특별자치도 김제시 용지면 장신2길 33,20312,복합비료 및 기타 화학비료 제조업 외 1 종,부산물비료
583,개별입지,농업회사법인 더고운 주식회사,주성남,전북특별자치도 김제시 효자로 60-5 (신풍동),10612,곡물 제분업,"분말가공식품, 분말소재가공"
584,개별입지,농업회사법인 신벽골제유한회사,배순임,전북특별자치도 김제시 부량면 용골길 16,10611,곡물 도정업,"흑미,백미,찹쌀"
585,개별입지,농업회사법인 우리보리살림협동조합(주),신동수,"전북특별자치도 김제시 성덕면 대석로 100, 석동리 15-18 외 4필지",10612,곡물 제분업,발아보리가루
586,개별입지,농업회사법인 유한회사 새만금유기농꾸지뽕,이정모,전북특별자치도 김제시 금산면 금산사4길 208,11209,기타 비알코올 음료 제조업,구지뽕 즙 및 발효액
587,개별입지,농업회사법인 유한회사 성덕농산,윤상철,전북특별자치도 김제시 부량면 대평리 266-15번지,10611,곡물 도정업,"쌀, 보리"
588,개별입지,농업회사법인 유한회사 케이알브이,유귀석,전북특별자치도 김제시 봉남면 초처로 197,29173,산업용 송풍기 및 배기장치 제조업,농축산용환풍기
589,개별입지,농업회사법인 주식회사 그린농산,박용우,전북특별자치도 김제시 금산면 삼봉리 614-9번지 외 2필지,10309,기타 과실ㆍ채소 가공 및 저장 처리업,가공 무
590,개별입지,농업회사법인 주식회사 성농,황인환,"전북특별자치도 김제시 공덕면 공덕8길 17, (마현리756)",10309,기타 과실ㆍ채소 가공 및 저장 처리업,"고구마말랭이, 냉동고구마"
591,개별입지,농업회사법인 주식회사 쉘바이오텍,최명애,전북특별자치도 김제시 황산로 81 (백학동),20321,화학 살균.살충제 및 농업용 약제 제조업 외 2 종,친환경 미네랄 고칼슘
592,개별입지,농업회사법인 주식회사 씨에프,김철민,전북특별자치도 김제시 금산면 성계리 36-30번지 외 3필지,10403,식용 정제유 및 가공유 제조업,"향미유, 미강유"
593,개별입지,농업회사법인 평화에프앤지(주),정평화,전북특별자치도 김제시 백구면 영상3길 39,10799,그 외 기타 식료품 제조업,"볶음참깨, 혼합21곡"
594,개별입지,농업회사법인(주)사조원 금구공장,이창우,전북특별자치도 김제시 금구면 봉두로 161,10121,가금류 가공 및 저장 처리업,육계가공품
595,개별입지,농업회사법인(주)삼보,박문수,전북특별자치도 김제시 용지면 부교리 194-2번지 외 16필지,10611,곡물 도정업,쌀
596,개별입지,농업회사법인(주)우리농촌살리기공동네트워크,심상준,전북특별자치도 김제시 황산면 봉산로 383,10612,곡물 제분업,"밀가루, 쌀가루"
597,개별입지,농업회사법인(주)태성식품,이강욱,전북특별자치도 김제시 백구면 공술길 65,10759,기타 식사용 가공처리 조리식품 제조업,핫도그
598,개별입지,농업회사법인(주)토리팜,김형열,전북특별자치도 김제시 용지면 사산길 39-2,20313,유기질 비료 및 상토 제조업,"상토2호,유기농업자재"
599,개별입지,농업회사법인(주)한우물,최정운,전북특별자치도 김제시 용지면 백자1길 112 외 4필지,10309,기타 과실ㆍ채소 가공 및 저장 처리업 외 3 종,냉동볶음밥
600,개별입지,농업회사법인주식회사 우리농촌살리기공동네트워크,심상준,전북특별자치도 김제시 봉남면 봉산로 382,10612,곡물 제분업,부침가루
601,개별입지,농업회사법인힘찬농원유한회사,이도윤,전북특별자치도 김제시 신곡2길 117 (신곡동),10309,기타 과실ㆍ채소 가공 및 저장 처리업 외 2 종,"기타가공품(환,분말),액상차,장류"
602,개별입지,농우미생물,이종헌,전북특별자치도 김제시 백구면 월연대길 7,10802,단미 사료 및 기타 사료 제조업,보조사료
603,개별입지,농축산영농조합법인,김성열,전북특별자치도 김제시 만경읍 장산리 362-10번지 외 1필지 외 1필지,20312,복합비료 및 기타 화학비료 제조업 외 1 종,유기질비료
604,개별입지,대경석재,조영식,전북특별자치도 김제시 백구면 학동2길 34 (우금석재),23911,건설용 석제품 제조업 외 1 종,석재품
605,개별입지,대동산업,김선자,전북특별자치도 김제시 만경읍 대동1길 126-16,,,
606,개별입지,대륙석재,김태현,전북특별자치도 김제시 백구면 학동2길 63 (대륙석재),23911,건설용 석제품 제조업 외 1 종,석제품
607,개별입지,대성주조장,임성기,"전북특별자치도 김제시 중앙로 287 (신풍동, 성운마트)",11111,탁주 및 약주 제조업,탁주
608,개별입지,대양화학(주),노진준,전북특별자치도 김제시 용지면 부교리 229-3번지,20202,합성수지 및 기타 플라스틱 물질 제조업,폴리우레탄
609,개별입지,대일경량,김승중,전북특별자치도 김제시 백구면 백구7길 1-8,25113,육상 금속 골조 구조재 제조업 외 1 종,"경량철골,엠바,케링,스터드 등"
610,개별입지,대정기공,정형철,전북특별자치도 김제시 만경읍 화포리 131-1번지,25929,그 외 기타 금속가공업,"탐승함, 운반카"
611,개별입지,대창위탁영농조합법인,김동석,전북특별자치도 김제시 죽산면 해학로 236,10611,곡물 도정업,"현미, 백미 도정"
612,개별입지,대한섬유,한화준,전북특별자치도 김제시 백구면 부용1길 33,13999,그 외 기타 분류 안된 섬유제품 제조업 외 1 종,편조제품
613,개별입지,대한유리공업(주),김철형,전북특별자치도 김제시 백구면 번영로 2640-52 (대한유리공업㈜),23129,기타 산업용 유리제품 제조업 외 6 종,"　에칭유리, 페어유리,온돌마루, 방음벽 및 방음판"
614,개별입지,더 담다,최민정,전북특별자치도 김제시 명덕동 227-3,10619,기타 곡물 가공품 제조업,4종버섯채모음
615,개별입지,더스틸,김윤진,전북특별자치도 김제시 백구면 영상3길 114,25111,"금속 문, 창, 셔터 및 관련제품 제조업",금속 문
616,개별입지,더탑후로아,장희정,전북특별자치도 김제시 성덕면 해학로 631,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,미끄럼방지포장재
617,개별입지,덕진유과,유은희,전북특별자치도 김제시 용지면 구암리 508-2 외 3필지,10713,과자류 및 코코아 제품 제조업,유과
618,개별입지,동김제농협 산지유통센터,최진오,전북특별자치도 김제시 금구면 봉두4길 59-20,10309,기타 과실ㆍ채소 가공 및 저장 처리업,"농산물(양파, 대파)슬라이스, 농산물(양파,대파) 다이스"
619,개별입지,동방기업,문인숙,전북특별자치도 김제시 공덕면 청공로 680-7 (동방화학),22212,플라스틱 필름 제조업 외 1 종,폴리에틸렌필름
620,개별입지,동신산업,최춘선,전북특별자치도 김제시 백구면 석담리 376 번지 외 5필지,25923,도장 및 기타 피막처리업,농기계 부품
621,개별입지,동아식품,김일순,전북특별자치도 김제시 금산면 금산사로 59-8,10619,기타 곡물 가공품 제조업 외 1 종,"뻥튀기, 전병"
622,개별입지,동일농산,최동주,전북특별자치도 김제시 공덕면 동계리 144번지 외 2필지 외 2필지,16300,코르크 및 조물제품 제조업,고공품
623,개별입지,동진강낙농축산업협동조합,김투호,전북특별자치도 김제시 금구면 옥성리 760번지,10801,배합 사료 제조업 외 1 종,TMR배합사료
624,개별입지,두리원,김기곤,전북특별자치도 김제시 용지면 황토로 383-13,10743,장류 제조업,된장
625,개별입지,두지프로바이오틱스(주),장성완,전북특별자치도 김제시 금산면 금평로 281-131,10129,육류 기타 가공 및 저장처리업 (가금류 제외),"생햄, 발효소시지"
626,개별입지,디엠알미늄 주식회사,김정열,전북특별자치도 김제시 벽성로 383 (서암동),25111,"금속 문, 창, 셔터 및 관련제품 제조업",금속문.창.셔터및관련제품제조
627,개별입지,디자인스톤,김민지,전북특별자치도 김제시 백구면 학동2길 72,23911,건설용 석제품 제조업 외 1 종,석재가공품
628,개별입지,리코라이프,이윤서,전북특별자치도 김제시 용지면 금백로 653,16229,기타 건축용 나무제품 제조업,벽패널
629,개별입지,맛있는누룽지준식품,양지연,"전북특별자치도 김제시 순동1길 36 (순동, 지평선 누룽지)",10619,기타 곡물 가공품 제조업,누룽지
630,개별입지,매일두부,박계순,전북특별자치도 김제시 동서12길 40-4 (요촌동),10794,두부 및 유사식품 제조업,두부
631,개별입지,명일기공,서창엽,전북특별자치도 김제시 복죽로 555 (연정동) 외 2필지,25933,비동력식 수공구 제조업 외 1 종,쟁기
632,개별입지,모악산오디영농조합법인,김양섭,전북특별자치도 김제시 금산면 구월1길 17,10309,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,"오디엑기스,뽕잎차등"
633,개별입지,미도공업사,이재진,전북특별자치도 김제시 황산면 용마로 426,16292,장식용 목제품 제조업,목재미술도구
634,개별입지,미성제지,한진수,"전북특별자치도 김제시 아리랑로 1944 (순동, 미성제지) (총 2 필지)",17129,기타 종이 및 판지 제조업 외 2 종,.판지.종이
635,개별입지,미소진,곽혜진,전북특별자치도 김제시 백산면 학당길 66,10309,기타 과실ㆍ채소 가공 및 저장 처리업,"도라지정과, 도라지진액"
636,개별입지,민상사,최재성,"전북특별자치도 김제시 금구면 봉두로 173, (월전리592)",32021,주방용 및 음식점용 목재가구 제조업,씽크대
637,개별입지,믿음석재,조병호,전북특별자치도 김제시 백구면 학동2길 99 (백옥석재),23911,건설용 석제품 제조업 외 1 종,석재가공품
638,개별입지,박씨네누룽지 영농조합법인,박종복,전북특별자치도 김제시 금구면 용복리 269-34번지 외 1필지,10619,기타 곡물 가공품 제조업,누룽지
639,개별입지,반석중공업(주),김범중,전북특별자치도 김제시 금구면 풍요로 831,25113,육상 금속 골조 구조재 제조업 외 1 종,철 구조물
640,개별입지,반석피이비(주),김범중,전북특별자치도 김제시 금구면 풍요로 829 외 4필지,25113,육상 금속 골조 구조재 제조업 외 1 종,철 구조물
641,개별입지,발승뚷,신선숙,전북특별자치도 김제시 황산면 용마4길 141,28121,"전기회로 개폐, 보호장치 제조업 외 1 종",태양광모듈 정선박스
642,개별입지,백구농업협동조합미곡종합처리장,장승환,전북특별자치도 김제시 백구면 황토로 1256,10611,곡물 도정업,쌀가공
643,개별입지,백옥석재,김진하,전북특별자치도 김제시 백구면 학동2길 99,23911,건설용 석제품 제조업 외 1 종,석재가공품
644,개별입지,백일도정공장,권경숙,전북특별자치도 김제시 만경로 117-4 (갈공동) 외 1필지,10611,곡물 도정업,"백미, 현미"
645,개별입지,백제산업,최인수,전북특별자치도 김제시 상동로 366 (상동동) 외 1필지,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,철근콘크리트암거블록
646,개별입지,벤코코리아(주),김정수,"전북특별자치도 김제시 입석로 237 (연정동, ㈜건지)",29210,농업 및 임업용 기계 제조업,"자동급이기, 자동급수설비, 자동난상"
647,개별입지,보드&퍼니피아,이성연,전북특별자치도 김제시 용지면 용수리 407-12번지 외 1필지 외 1필지,29180,사무용 기계 및 장비 제조업 외 3 종,교구용 칠판
648,개별입지,부국보일러,배현녕,"전북특별자치도 김제시 아리랑로 1991 (상동동, 대원오토(유))",25121,산업용 난방보일러 및 방열기 제조업,보일러
649,개별입지,부량농업협동조합,김성모,전북특별자치도 김제시 부량면 대평리 21-11번지 외 8필지,10611,곡물 도정업,건조벼
650,개별입지,부량종합기계,임성택,전북특별자치도 김제시 부량면 금강로 311,34019,기타 일반 기계 및 장비 수리업,"콤바인, 트랙터 수리"
651,개별입지,사회복지법인 애국단체원 대한민국석회사업단,손문엽,전북특별자치도 김제시 금구면 하신리 486-108번지,23312,석회 및 플라스터 제조업,액상석회
652,개별입지,삼광바이오텍(주),이권재,"전북특별자치도 김제시 봉황로 1134, 삼광바이오텍 (월성동)",10801,배합 사료 제조업 외 2 종,동물성단백질 혼합사료
653,개별입지,삼광석재,노찬호,전북특별자치도 김제시 백구면 학동2길 109-5 (삼광석재),23911,건설용 석제품 제조업 외 1 종,석재가공품
654,개별입지,삼광종합상사,박인순,전북특별자치도 김제시 금구면 광현1길 112 (삼광종합상사),17901,문구용 종이제품 제조업,"노트, 도화지, 복사용지,연습장"
655,개별입지,삼성농기,김창곤,전북특별자치도 김제시 황산면 풍요로 713-37 (삼성농기),29210,농업 및 임업용 기계 제조업 외 1 종,"비닐살포기,농업용유압모타"
656,개별입지,삼정가스텍(주),심승일,"전북특별자치도 김제시 아리랑로 1879, . (상동동)",20121,산업용 가스 제조업,산업용가스
657,개별입지,새한기업 주식회사,김종근,전북특별자치도 김제시 만경읍 백석로 371 (㈜ 새한기업),25113,육상 금속 골조 구조재 제조업 외 3 종,H형강
658,개별입지,서광기업,김용덕,전북특별자치도 김제시 황산면 남양2길 243 (서광기업),32029,기타 목재가구 제조업 외 3 종,컴퓨터및사무용책상
659,개별입지,서김제농협쌀조합공동사법인,김상록,전북특별자치도 김제시 광활면 광활로 465 (광활농협) 외 1필지,10611,곡물 도정업,"쌀,보리"
660,개별입지,서김제농협쌀조합공동사업법인,김상록,전북특별자치도 김제시 진봉면 진봉로 480 (미맥공동건조저장처리장) (총 2 필지) 외 1필지,10611,곡물 도정업,"쌀,보리"
661,개별입지,서나루 주식회사,서왕렬,전북특별자치도 김제시 용지면 금백로 651,29210,농업 및 임업용 기계 제조업,"마늘선별기, 컨베어, 전동운반차"
662,개별입지,서릿골식품,전은자,전북특별자치도 김제시 금산면 구성3길 114-20 (서릿골 식품),11209,기타 비알코올 음료 제조업,음료
663,개별입지,서울공업사,박점숙,전북특별자치도 김제시 흥사동 276-2 번지,29241,건설 및 채광용 기계장비 제조업,토목공사및유사용기계장비제조업
664,개별입지,서원산업,송용봉,전북특별자치도 김제시 황산동 12-5번지,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,.
665,개별입지,서원산업(주),김학방,전북특별자치도 김제시 금구면 애통길 64 (서원 산업㈜),22223,플라스틱 창호 제조업,pvc창호
666,개별입지,서해농기구푸라우,김신영,전북특별자치도 김제시 죽산면 내재2길 9 (서해 농기구),29210,농업 및 임업용 기계 제조업,쟁기
667,개별입지,서호 엔지니어링,이경자,전북특별자치도 김제시 백구면 석담4길 131-57,29223,금속 절삭기계 제조업,농업용 필름 생산기계
668,개별입지,선한바이오,이석우,"전북특별자치도 김제시 공덕면 유강3길 133, 창업보육센터 104호",10801,배합 사료 제조업 외 5 종,"보조사료(생균제), 탈취제"
669,개별입지,세원화학,김성근,"전북특별자치도 김제시 봉남로 711-5 (도장동, 세윤 화학)",,,마스타?S치
670,개별입지,수생태복원주식회사,김흥섭,전북특별자치도 김제시 성덕면 성덕로 10,23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 3 종","식생수로관, 어도, STRIP옹벽블록, 수처리용여과재"
671,개별입지,승일ENG,조영현,전북특별자치도 김제시 벽성로 505 (요촌동) 외 1필지,25112,구조용 금속 판제품 및 공작물 제조업 외 1 종,"금속판제품, 금속가공품"
672,개별입지,시골전통식품,윤석창,전북특별자치도 김제시 용지면 황토로 383-13 (전통장류시범사업장),10743,장류 제조업,장류
673,개별입지,신강기업(주),양재명,전북특별자치도 김제시 용지면 황토로 308 (유일산업),25122,금속탱크 및 저장용기 제조업 외 1 종,"　산업용탱크,집진기등"
674,개별입지,신선화학,정승용,전북특별자치도 김제시 용지면 금백로 787 (신선화학) (총 2 필지) 외 1필지,22212,플라스틱 필름 제조업 외 2 종,"플라스틱포대,비닐봉투"
675,개별입지,신성기계공업사,배근혁,전북특별자치도 김제시 백산면 지평선산단로 481,29210,농업 및 임업용 기계 제조업,농업용기계(도정기계)
676,개별입지,신영산업,이준영,전북특별자치도 김제시 백구면 학동2길 35,23911,건설용 석제품 제조업 외 1 종,석재가공품
677,개별입지,신일컨테이너하우스,김영식,전북특별자치도 김제시 갈공동 40-8번지 외 1필지 외 1필지,25119,기타 구조용 금속제품 제조업,"컨테이너, 조립식건축물"
678,개별입지,신일테크(주),신관철,전북특별자치도 김제시 백구면 번영로 2475,29250,음ㆍ식료품 및 담배 가공기계 제조업 외 1 종,식품가공기계
679,개별입지,신흥영농조합법인,김지영,전북특별자치도 김제시 용지면 금백로 731-87,20312,복합비료 및 기타 화학비료 제조업 외 1 종,비료(퇴비)
680,개별입지,쌍용석재,홍형득,전북특별자치도 김제시 백구면 학동2길 29-1,23911,건설용 석제품 제조업,바닥용대리석
681,개별입지,쏠라쏠트테크,김태형,전북특별자치도 김제시 백구면 유강로 454,33999,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,키워먹는 콩나물
682,개별입지,아람퍼니처,장승호,전북특별자치도 김제시 금구면 연동길 47,32021,주방용 및 음식점용 목재가구 제조업,주방가구
683,개별입지,아름드리영농조합법인,송광석,전북특별자치도 김제시 금구면 산동리 251-15번지 외 1필지,10309,기타 과실ㆍ채소 가공 및 저장 처리업,볶음밥용 야채
684,개별입지,아트팜오스,고건륜,전북특별자치도 김제시 황산면 남산리 365-16,29176,"증류기, 열교환기 및 가스발생기 제조업","친환경농업용수 산소, 오존발생기(ART-5S)"
685,개별입지,에너지엔(주) 김제,"안강일, 정종구",전북특별자치도 김제시 용지면 용지로 147 (에스피씨㈜) (총 2 필지) 외 1필지,29119,기타 기관 및 터빈 제조업 외 16 종,"열교환기,복수기,급수가열기,발전기부품, ㄱ자 선반받침대, 콘트롤패널, 크랭크축, 유압밸브, 버켓, FAN등 "
686,개별입지,에버그린영농조합법인,임형관,전북특별자치도 김제시 공덕면 마현리 833-1번지 2필지,10801,배합 사료 제조업 외 1 종,조사료
687,개별입지,에스에이치피(주),이정재,전북특별자치도 김제시 백구면 황토로 1223-16 외 1필지,25112,구조용 금속 판제품 및 공작물 제조업 외 1 종,"닥트, 금속주방용기"
688,개별입지,에스에이치피(주),이정재,전북특별자치도 김제시 백구면 백구7길 4 외 1필지,25112,구조용 금속 판제품 및 공작물 제조업 외 1 종,"금속판제품, 금속공작물"
689,개별입지,에스엘컴퍼니 (주),유경종,전북특별자치도 김제시 하동 336번지,13219,특수 직물 및 기타 직물 직조업,"타올,소창"
690,개별입지,에이피 텍(AP TECH),황인순,전북특별자치도 김제시 순동1길 11 (검산동),20312,복합비료 및 기타 화학비료 제조업,제4종 복합비료
691,개별입지,역전식품,김순진,"전북특별자치도 김제시 서편길 60 (서암동, 역전담수물)",10219,기타 수산동물 가공 및 저장 처리업,"냉동만두류, 양념류"
692,개별입지,연봉두부,박홍남,전북특별자치도 김제시 만경읍 만경로 839-18,10794,두부 및 유사식품 제조업,두부
693,개별입지,연산글로벌(주),최승재,전북특별자치도 김제시 백구면 번영로 2640-47,30201,차체 및 특장차 제조업,"베어샷시, 레이져가공품"
694,개별입지,영남석재,유용현,전북특별자치도 김제시 백구면 학동2길 58,23911,건설용 석제품 제조업 외 1 종,석제품
695,개별입지,영농조합법인 자연바이오,안우근,"전북특별자치도 김제시 용지면 석정로 746, (용암리19-2) 외 2필지",20312,복합비료 및 기타 화학비료 제조업 외 1 종,비료
696,개별입지,영농조합법인 청하농산,김성관,전북특별자치도 김제시 공덕면 청공로 673 (청하농산),10611,곡물 도정업,찹쌀
697,개별입지,영농조합법인신흥바이오,"임은성, 임재곤",전북특별자치도 김제시 용지면 용지로 850-126,20312,복합비료 및 기타 화학비료 제조업 외 1 종,비료(퇴비)
698,개별입지,영농조합법인용성양계,유병연,전북특별자치도 김제시 용지면 쌍용2길 25,10799,그 외 기타 식료품 제조업,"전란,액란,홀란"
699,개별입지,영농조합법인지평선항공,유장필,전북특별자치도 김제시 벽성로 397(서암동),31312,무인 항공기 및 무인 비행장치 제조업,농업용 드론
700,개별입지,오성푸드,김희자,"전북특별자치도 김제시 금산면 모악5길 84, (261-1, 262-5) (금산면)",10619,기타 곡물 가공품 제조업 외 2 종,"누룽지, 컵누룽지"
701,개별입지,오성푸드,김희자,"전북특별자치도 김제시 금산면 모악5길 84, (392-1, 392-10) (금산면)",10612,곡물 제분업 외 1 종,"밀가루, 약과"
702,개별입지,오성푸드,김희자,"전북특별자치도 김제시 금산면 모악5길 92-7, (392-4, 395)",10619,기타 곡물 가공품 제조업,누룽지
703,개별입지,온누리무인항공,홍영미외 1명,"전북특별자치도 김제시 남북5길 11,   (신풍동)",31312,무인 항공기 및 무인 비행장치 제조업 외 5 종,드론 및 드론 장착 작업기
704,개별입지,온누리황토,배중효,전북특별자치도 김제시 황산면 용마리 43-15 번지 외 2필지 외 2필지,23999,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,황토벽돌
705,개별입지,완전정보통신(주),정현자,전북특별자치도 김제시 황산면 용홍로 66 외 1필지,26421,방송장비 제조업 외 7 종,"방송장비, CCTV, 전광판 등"
706,개별입지,용산화학,김승수,전북특별자치도 김제시 용지면 효정1길 24 (용산화학),20203,혼성 및 재생 플라스틱 소재 물질 제조업,페플라스틱
707,개별입지,우리특장,김천식,전북특별자치도 김제시 봉남면 대송로 138,29241,건설 및 채광용 기계장비 제조업,특장차부품(호파)
708,개별입지,우성 인더스트리,임영규,전북특별자치도 김제시 하흥로 411 (흥사동),30399,그 외 자동차용 신품 부품 제조업 외 1 종,자동차 부품
709,개별입지,우원ENG,김해경,전북특별자치도 김제시 용지면 와룡1길 22-6,25113,육상 금속 골조 구조재 제조업 외 2 종,금속구조재 및 가공제품
710,개별입지,우정공사,우종섭,전북특별자치도 김제시 공덕면 유강로 262 (총 2 필지) 외 1필지,25111,"금속 문, 창, 셔터 및 관련제품 제조업","금속문, 창,셔터"
711,개별입지,우진지게차중기공업,전창해,전북특별자치도 김제시 금구면 정농2길 6,29241,건설 및 채광용 기계장비 제조업,건설기계 장비 및 부품 가공
712,개별입지,우진퍼니쳐,최혜숙,"전북특별자치도 김제시 백구면 번영로 2743-14, (마산리 414-11번지)",32029,기타 목재가구 제조업,사무용가구
713,개별입지,웅진케미칼,김정용,전북특별자치도 김제시 백산면 지평선산단로 481,10620,전분제품 및 당류 제조업,전분제품
714,개별입지,원일석재,서선희,전북특별자치도 김제시 백구면 학동2길 48 (원일석재),23911,건설용 석제품 제조업 외 1 종,석재가공품
