시도,군구,관광지,내/외국인,총계(2023.01 ~ 2025.12),2023년,,,,,,,,,,,,,2024년,,,,,,,,,,,,,2025년,,,,,,,,,,,,,
,,,,,인원계,2023년 01월,2023년 02월,2023년 03월,2023년 04월,2023년 05월,2023년 06월,2023년 07월,2023년 08월,2023년 09월,2023년 10월,2023년 11월,2023년 12월,인원계,2024년 01월,2024년 02월,2024년 03월,2024년 04월,2024년 05월,2024년 06월,2024년 07월,2024년 08월,2024년 09월,2024년 10월,2024년 11월,2024년 12월,인원계,2025년 01월,2025년 02월,2025년 03월,2025년 04월,2025년 05월,2025년 06월,2025년 07월,2025년 08월,2025년 09월,2025년 10월,2025년 11월,2025년 12월,
인천광역시,중구,인천개항장 근대건축전시관,내국인,"166,136","46,491","1,011","1,707","1,897","2,697","3,203","3,895","3,534","6,189","6,116","9,457","3,832","2,953","64,329","4,019","3,172","2,863","5,377","10,023","7,035","3,549","4,107","5,144","10,772","5,291","2,977","55,316","3,092","3,064","3,652","4,051","6,811","6,408","3,511","3,923","7,142","6,353","4,257","3,052",
인천광역시,중구,인천개항장 근대건축전시관,외국인,"19,787","3,854",22,49,165,748,663,"1,081",328,231,169,142,50,206,"10,520","1,207","2,001","3,355","1,757",41,364,367,427,224,523,142,112,"5,413",409,175,281,405,314,281,259,79,"1,077","1,113",943,77,
인천광역시,중구,인천개항장 근대건축전시관,합계,"185,923","50,345","1,033","1,756","2,062","3,445","3,866","4,976","3,862","6,420","6,285","9,599","3,882","3,159","74,849","5,226","5,173","6,218","7,134","10,064","7,399","3,916","4,534","5,368","11,295","5,433","3,089","60,729","3,501","3,239","3,933","4,456","7,125","6,689","3,770","4,002","8,219","7,466","5,200","3,129",
인천광역시,중구,인천대교기념관,내국인,"64,161","21,728",818,"1,187","1,404","1,914","2,627","2,681","1,956","1,933","1,755","2,464","1,674","1,315","23,768","1,533","1,569","2,244","2,675","3,012","2,468","1,293","2,174","1,817","2,009","1,474","1,500","18,665","1,345","1,165","1,459","2,697","2,736","1,590","1,441","1,151","1,300","1,063","1,513","1,205",
인천광역시,중구,인천대교기념관,외국인,"2,105",822,5,18,30,50,109,39,25,396,51,56,43,0,718,0,68,92,96,110,42,21,75,7,84,119,4,565,15,24,12,96,77,2,76,0,0,75,42,146,
인천광역시,중구,인천대교기념관,합계,"66,266","22,550",823,"1,205","1,434","1,964","2,736","2,720","1,981","2,329","1,806","2,520","1,717","1,315","24,486","1,533","1,637","2,336","2,771","3,122","2,510","1,314","2,249","1,824","2,093","1,593","1,504","19,230","1,360","1,189","1,471","2,793","2,813","1,592","1,517","1,151","1,300","1,138","1,555","1,351",
인천광역시,중구,인천학생과학관,내국인,"362,842","127,032","6,628","10,448","9,204","11,038","12,441","13,085","13,911","9,142","10,039","10,104","11,297","9,695","130,706","12,063","8,431","10,262","8,088","12,419","11,775","12,632","14,360","9,165","7,427","12,117","11,967","105,104","10,375","9,191","7,906","8,018","12,223","8,831","13,473","15,479","11,089","3,670",948,"3,901",
인천광역시,중구,인천학생과학관,합계,"362,842","127,032","6,628","10,448","9,204","11,038","12,441","13,085","13,911","9,142","10,039","10,104","11,297","9,695","130,706","12,063","8,431","10,262","8,088","12,419","11,775","12,632","14,360","9,165","7,427","12,117","11,967","105,104","10,375","9,191","7,906","8,018","12,223","8,831","13,473","15,479","11,089","3,670",948,"3,901",
인천광역시,중구,중구생활사전시관,내국인,"240,503","67,106","1,761","3,151","2,946","4,400","4,358","5,735","4,163","9,709","8,408","13,146","5,494","3,835","90,207","3,971","4,352","5,752","7,674","10,398","11,754","5,300","6,260","6,813","17,699","6,584","3,650","83,190","4,007","4,359","4,663","5,120","9,120","11,655","5,019","5,505","14,760","8,416","6,661","3,905",
인천광역시,중구,중구생활사전시관,합계,"240,503","67,106","1,761","3,151","2,946","4,400","4,358","5,735","4,163","9,709","8,408","13,146","5,494","3,835","90,207","3,971","4,352","5,752","7,674","10,398","11,754","5,300","6,260","6,813","17,699","6,584","3,650","83,190","4,007","4,359","4,663","5,120","9,120","11,655","5,019","5,505","14,760","8,416","6,661","3,905",
