시도,군구,관광지,내/외국인,총계(2023.01 ~ 2025.12),2023년,,,,,,,,,,,,,2024년,,,,,,,,,,,,,2025년,,,,,,,,,,,,,
,,,,,인원계,2023년 01월,2023년 02월,2023년 03월,2023년 04월,2023년 05월,2023년 06월,2023년 07월,2023년 08월,2023년 09월,2023년 10월,2023년 11월,2023년 12월,인원계,2024년 01월,2024년 02월,2024년 03월,2024년 04월,2024년 05월,2024년 06월,2024년 07월,2024년 08월,2024년 09월,2024년 10월,2024년 11월,2024년 12월,인원계,2025년 01월,2025년 02월,2025년 03월,2025년 04월,2025년 05월,2025년 06월,2025년 07월,2025년 08월,2025년 09월,2025년 10월,2025년 11월,2025년 12월,
인천광역시,서구,검단 선사박물관,합계,"168,560","26,641","2,073","2,184","1,775","2,291","2,313","2,231","1,933","2,877","2,833","2,223","2,195","1,713","62,241","2,861","3,057","3,828","4,218","4,750","5,610","6,363","7,169","6,511","5,642","5,513","6,719","79,678","7,786","7,926","6,902","6,994","5,437","4,848","7,481","7,289","5,943","6,010","6,082","6,980",
인천광역시,서구,녹청자박물관,내국인,"121,948","34,718","2,532","2,010","2,252","2,728","3,327","2,524","2,781","3,331","2,860","4,946","2,497","2,930","43,002","3,102","2,179","2,475","3,459","4,031","4,101","4,743","4,263","3,049","4,721","3,413","3,466","44,228","2,553","2,395","3,465","3,223","3,098","3,887","5,013","4,920","4,821","2,994","4,080","3,779",
인천광역시,서구,녹청자박물관,합계,"121,948","34,718","2,532","2,010","2,252","2,728","3,327","2,524","2,781","3,331","2,860","4,946","2,497","2,930","43,002","3,102","2,179","2,475","3,459","4,031","4,101","4,743","4,263","3,049","4,721","3,413","3,466","44,228","2,553","2,395","3,465","3,223","3,098","3,887","5,013","4,920","4,821","2,994","4,080","3,779",
인천광역시,서구,세어도,내국인,"1,689",0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,48,68,69,78,76,90,72,12,"1,176",7,8,83,104,209,186,129,88,85,146,87,44,
인천광역시,서구,세어도,합계,"1,689",0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,48,68,69,78,76,90,72,12,"1,176",7,8,83,104,209,186,129,88,85,146,87,44,
인천광역시,강화군,강화 농경문화관,내국인,"9,033","3,124",123,268,262,366,475,245,133,199,262,507,153,131,"3,951",332,268,262,451,479,439,307,387,213,337,368,108,"1,958",130,180,247,245,361,0,,,,374,299,122,
인천광역시,강화군,강화 농경문화관,합계,"9,033","3,124",123,268,262,366,475,245,133,199,262,507,153,131,"3,951",332,268,262,451,479,439,307,387,213,337,368,108,"1,958",130,180,247,245,361,0,,,,374,299,122,
인천광역시,강화군,강화갯벌센터,내국인,"3,931","2,736",103,147,95,304,376,299,347,283,312,208,157,105,"1,195",90,49,112,132,165,210,61,136,111,129,,,,,,,,,,,,,,,,
인천광역시,강화군,강화갯벌센터,외국인,20,20,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
인천광역시,강화군,강화갯벌센터,합계,"3,951","2,756",103,147,95,319,376,304,347,283,312,208,157,105,"1,195",90,49,112,132,165,210,61,136,111,129,,,,,,,,,,,,,,,,
인천광역시,강화군,강화나들길(1코스~20코스),내국인,"736,273","736,273","22,521","29,028","57,494","85,167","93,285","95,445","83,264","78,598","58,614","78,665","27,552","26,640",,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시,강화군,강화나들길(1코스~20코스),합계,"736,273","736,273","22,521","29,028","57,494","85,167","93,285","95,445","83,264","78,598","58,614","78,665","27,552","26,640",,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시,강화군,강화씨사이드리조트,내국인,"664,610",,,,,,,,,,,,,,"350,457","11,000","18,200","24,100","29,100","35,000","36,500","35,050","41,643","40,114","47,558","30,557","1,635","314,153","13,692","15,081","22,484","23,091","39,397","34,547","27,278","39,150","23,400","39,695","25,778","10,560",
인천광역시,강화군,강화씨사이드리조트,합계,"664,610",,,,,,,,,,,,,,"350,457","11,000","18,200","24,100","29,100","35,000","36,500","35,050","41,643","40,114","47,558","30,557","1,635","314,153","13,692","15,081","22,484","23,091","39,397","34,547","27,278","39,150","23,400","39,695","25,778","10,560",
인천광역시,강화군,강화역사박물관,내국인,"336,916","113,904","5,010","8,250","7,128","13,393","15,623","9,477","7,757","11,342","10,090","11,786","8,540","5,508","111,933","6,046","6,774","8,807","10,913","13,702","10,362","6,666","12,306","10,215","13,655","8,066","4,421","111,079","6,260","6,432","8,033","8,385","14,940","9,784","7,397","10,940","8,035","16,691","8,579","5,603",
인천광역시,강화군,강화역사박물관,외국인,6,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,강화군,강화역사박물관,합계,"336,922","113,910","5,010","8,250","7,130","13,397","15,623","9,477","7,757","11,342","10,090","11,786","8,540","5,508","111,933","6,046","6,774","8,807","10,913","13,702","10,362","6,666","12,306","10,215","13,655","8,066","4,421","111,079","6,260","6,432","8,033","8,385","14,940","9,784","7,397","10,940","8,035","16,691","8,579","5,603",
인천광역시,강화군,강화자연사박물관,내국인,"301,250","103,422","4,749","7,820","6,683","11,977","14,724","8,143","7,146","10,392","9,266","9,862","7,505","5,155","103,106","5,996","6,910","8,290","9,186","13,014","9,393","6,502","12,376","9,245","11,601","6,813","3,780","94,722","5,849","5,708","7,102","7,179","13,859","9,172","7,179","10,875","3,647","10,064","8,472","5,616",
인천광역시,강화군,강화자연사박물관,외국인,14,14,0,0,0,5,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,강화군,강화자연사박물관,합계,"301,264","103,436","4,749","7,820","6,683","11,982","14,725","8,147","7,148","10,392","9,266","9,864","7,505","5,155","103,106","5,996","6,910","8,290","9,186","13,014","9,393","6,502","12,376","9,245","11,601","6,813","3,780","94,722","5,849","5,708","7,102","7,179","13,859","9,172","7,179","10,875","3,647","10,064","8,472","5,616",
인천광역시,강화군,강화전적지5개소,내국인,"961,690","384,627","14,810","23,623","27,691","58,045","50,389","35,729","21,104","22,602","34,109","49,702","29,053","17,770","280,848","15,837","21,949","24,180","40,416","32,929","21,627","13,795","14,702","23,739","37,551","24,619","9,504","296,215","14,497","13,628","18,742","32,098","44,679","28,498","12,809","18,988","22,396","44,762","31,817","13,301",
인천광역시,강화군,강화전적지5개소,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,강화군,강화전적지5개소,합계,"961,690","384,627","14,810","23,623","27,691","58,045","50,389","35,729","21,104","22,602","34,109","49,702","29,053","17,770","280,848","15,837","21,949","24,180","40,416","32,929","21,627","13,795","14,702","23,739","37,551","24,619","9,504","296,215","14,497","13,628","18,742","32,098","44,679","28,498","12,809","18,988","22,396","44,762","31,817","13,301",
인천광역시,강화군,강화평화전망대,내국인,"604,911","200,617","9,183","11,972","12,260","21,211","22,483","20,032","13,651","17,580","19,782","28,329","14,632","9,502","209,401","8,608","10,334","13,301","19,373","23,667","21,691","13,774","18,705","21,852","28,630","18,901","10,565","194,893","10,691","9,027","12,782","16,572","23,872","18,523","12,532","18,650","15,031","30,375","18,765","8,073",
인천광역시,강화군,강화평화전망대,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,강화군,강화평화전망대,합계,"604,911","200,617","9,183","11,972","12,260","21,211","22,483","20,032","13,651","17,580","19,782","28,329","14,632","9,502","209,401","8,608","10,334","13,301","19,373","23,667","21,691","13,774","18,705","21,852","28,630","18,901","10,565","194,893","10,691","9,027","12,782","16,572","23,872","18,523","12,532","18,650","15,031","30,375","18,765","8,073",
인천광역시,강화군,강화화문석문화관,내국인,"15,507","4,015",118,265,254,371,422,430,340,388,519,393,256,259,"5,446",232,296,416,419,659,440,435,925,389,500,445,290,"6,046",110,344,427,484,759,489,528,"1,194",407,493,565,246,
인천광역시,강화군,강화화문석문화관,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,강화군,강화화문석문화관,합계,"15,507","4,015",118,265,254,371,422,430,340,388,519,393,256,259,"5,446",232,296,416,419,659,440,435,925,389,500,445,290,"6,046",110,344,427,484,759,489,528,"1,194",407,493,565,246,
인천광역시,강화군,마니산,내국인,"482,076","179,313","14,272","16,103","24,241","14,366","13,929","16,112","8,276","8,586","14,919","27,685","13,337","7,487","162,183","11,781","8,445","22,921","16,434","15,739","14,215","5,461","6,042","11,082","22,006","19,732","8,325","140,580","11,906","9,365","17,704","6,676","16,465","13,101","5,512","7,535","9,010","17,944","18,352","7,010",
인천광역시,강화군,마니산,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,강화군,마니산,합계,"482,076","179,313","14,272","16,103","24,241","14,366","13,929","16,112","8,276","8,586","14,919","27,685","13,337","7,487","162,183","11,781","8,445","22,921","16,434","15,739","14,215","5,461","6,042","11,082","22,006","19,732","8,325","140,580","11,906","9,365","17,704","6,676","16,465","13,101","5,512","7,535","9,010","17,944","18,352","7,010",
인천광역시,강화군,석모도 자연휴양림,내국인,"118,499","39,591","3,053","3,153","3,027","3,300","3,565","3,294","3,572","3,766","3,291","3,558","3,112","2,900","40,988","3,348","3,319","2,993","3,020","2,095","3,356","3,058","4,663","4,953","3,629","3,450","3,104","37,920","3,219","2,832","2,644","3,226","3,628","2,968","3,172","3,578","2,978","3,133","3,125","3,417",
인천광역시,강화군,석모도 자연휴양림,합계,"118,499","39,591","3,053","3,153","3,027","3,300","3,565","3,294","3,572","3,766","3,291","3,558","3,112","2,900","40,988","3,348","3,319","2,993","3,020","2,095","3,356","3,058","4,663","4,953","3,629","3,450","3,104","37,920","3,219","2,832","2,644","3,226","3,628","2,968","3,172","3,578","2,978","3,133","3,125","3,417",
인천광역시,강화군,석모도미네랄스파,내국인,"331,900","216,882","20,648","22,169","18,584","17,925","18,425","14,233","13,840","15,204","16,809","19,936","18,203","20,906","44,809","6,926","5,339","4,803","3,600","3,361","2,908","2,714","2,240","2,358","3,200","3,121","4,239","70,209","3,825","2,774","3,826","3,100","3,673","2,600","3,493","6,803","5,574","11,706","10,887","11,948",
인천광역시,강화군,석모도미네랄스파,합계,"331,900","216,882","20,648","22,169","18,584","17,925","18,425","14,233","13,840","15,204","16,809","19,936","18,203","20,906","44,809","6,926","5,339","4,803","3,600","3,361","2,908","2,714","2,240","2,358","3,200","3,121","4,239","70,209","3,825","2,774","3,826","3,100","3,673","2,600","3,493","6,803","5,574","11,706","10,887","11,948",
인천광역시,강화군,소창체험관,내국인,"195,737","67,933","2,320","3,231","3,742","8,592","5,621","5,435","5,704","6,891","6,450","11,308","4,551","4,088","64,153","3,193","3,230","4,805","5,819","8,503","5,576","4,281","5,422","4,737","8,099","7,347","3,141","63,651","2,984","4,348","4,658","7,487","6,587","6,023","4,556","6,113","5,180","7,454","5,007","3,254",
인천광역시,강화군,소창체험관,합계,"195,737","67,933","2,320","3,231","3,742","8,592","5,621","5,435","5,704","6,891","6,450","11,308","4,551","4,088","64,153","3,193","3,230","4,805","5,819","8,503","5,576","4,281","5,422","4,737","8,099","7,347","3,141","63,651","2,984","4,348","4,658","7,487","6,587","6,023","4,556","6,113","5,180","7,454","5,007","3,254",
인천광역시,강화군,옥토끼우주센터,내국인,"366,838","111,280","12,040","12,338","5,767","7,086","9,086","8,599","7,997","12,046","8,333","11,482","5,619","10,887","143,780","11,402","65,478","2,996","2,996","7,497","6,382","5,752","10,088","5,540","4,725","8,055","12,869","111,778","17,524","10,850","8,358","4,427","12,531","8,083","7,657","11,383","4,970","10,411","7,273","8,311",
인천광역시,강화군,옥토끼우주센터,합계,"366,838","111,280","12,040","12,338","5,767","7,086","9,086","8,599","7,997","12,046","8,333","11,482","5,619","10,887","143,780","11,402","65,478","2,996","2,996","7,497","6,382","5,752","10,088","5,540","4,725","8,055","12,869","111,778","17,524","10,850","8,358","4,427","12,531","8,083","7,657","11,383","4,970","10,411","7,273","8,311",
인천광역시,강화군,함허동천,내국인,"263,639","94,011","2,199","4,520","12,226","5,997","6,142","8,734","11,684","18,744","8,047","9,443","3,994","2,281","95,289","2,228","3,396","11,106","6,518","6,804","8,644","9,007","21,394","9,021","9,480","5,569","2,122","74,339","2,343","2,497","8,068","2,938","7,565","8,234","11,041","14,898","4,650","5,841","4,436","1,828",
인천광역시,강화군,함허동천,외국인,16,16,0,0,0,4,0,4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,강화군,함허동천,합계,"263,655","94,027","2,199","4,520","12,226","6,001","6,142","8,738","11,685","18,744","8,054","9,443","3,994","2,281","95,289","2,228","3,396","11,106","6,518","6,804","8,644","9,007","21,394","9,021","9,480","5,569","2,122","74,339","2,343","2,497","8,068","2,938","7,565","8,234","11,041","14,898","4,650","5,841","4,436","1,828",
인천광역시,강화군,화개정원,내국인,"961,501",,,,,,,,,,,,,,"515,622","14,513","21,078","28,598","117,174","61,037","47,633","22,531","26,395","35,581","74,568","49,597","16,917","445,879","16,025","12,847","25,937","39,367","64,441","43,344","16,808","27,817","41,240","85,384","59,071","13,598",
인천광역시,강화군,화개정원,합계,"961,501",,,,,,,,,,,,,,"515,622","14,513","21,078","28,598","117,174","61,037","47,633","22,531","26,395","35,581","74,568","49,597","16,917","445,879","16,025","12,847","25,937","39,367","64,441","43,344","16,808","27,817","41,240","85,384","59,071","13,598",
인천광역시,옹진군,대청면,내국인,"57,262","17,214",652,666,905,"1,398","2,395","2,102","1,567","1,738","2,212","2,225",678,676,"17,233",717,689,824,"1,597","2,122","1,675","1,095","2,243","2,104","2,021","1,383",763,"22,815",773,722,"1,148","1,663","2,890","2,263","2,297","2,711","2,719","2,863","1,867",899,
인천광역시,옹진군,대청면,합계,"57,262","17,214",652,666,905,"1,398","2,395","2,102","1,567","1,738","2,212","2,225",678,676,"17,233",717,689,824,"1,597","2,122","1,675","1,095","2,243","2,104","2,021","1,383",763,"22,815",773,722,"1,148","1,663","2,890","2,263","2,297","2,711","2,719","2,863","1,867",899,
인천광역시,옹진군,덕적면,내국인,"333,150","107,414","2,369","3,072","5,427","9,904","13,100","13,129","9,970","12,370","15,153","14,917","4,945","3,058","106,296","2,022","3,788","4,266","11,247","13,731","13,751","6,517","13,791","12,988","13,823","8,274","2,098","119,440","2,547","2,181","6,144","10,656","18,716","11,133","11,280","14,593","12,147","18,254","8,538","3,251",
인천광역시,옹진군,덕적면,합계,"333,150","107,414","2,369","3,072","5,427","9,904","13,100","13,129","9,970","12,370","15,153","14,917","4,945","3,058","106,296","2,022","3,788","4,266","11,247","13,731","13,751","6,517","13,791","12,988","13,823","8,274","2,098","119,440","2,547","2,181","6,144","10,656","18,716","11,133","11,280","14,593","12,147","18,254","8,538","3,251",
인천광역시,옹진군,백령면,내국인,"223,946","65,205","1,777","2,278","3,383","6,123","9,950","9,062","5,457","6,741","7,943","8,427","2,087","1,977","62,102","1,890","2,169","2,816","6,435","8,540","6,644","3,757","7,194","7,615","8,650","4,106","2,286","96,639","2,620","2,459","4,714","7,927","13,609","11,906","9,110","11,233","10,479","12,359","7,378","2,845",
인천광역시,옹진군,백령면,합계,"223,946","65,205","1,777","2,278","3,383","6,123","9,950","9,062","5,457","6,741","7,943","8,427","2,087","1,977","62,102","1,890","2,169","2,816","6,435","8,540","6,644","3,757","7,194","7,615","8,650","4,106","2,286","96,639","2,620","2,459","4,714","7,927","13,609","11,906","9,110","11,233","10,479","12,359","7,378","2,845",
인천광역시,옹진군,북도면,내국인,"997,485","347,254","11,691","14,143","23,546","38,666","36,032","43,665","28,786","32,825","42,011","44,843","18,041","13,005","341,074","10,285","16,132","19,073","43,863","38,732","39,295","22,167","35,704","38,406","40,619","24,266","12,532","309,157","11,175","9,832","19,949","30,808","42,344","36,211","26,322","33,445","26,064","39,030","22,376","11,601",
인천광역시,옹진군,북도면,합계,"997,485","347,254","11,691","14,143","23,546","38,666","36,032","43,665","28,786","32,825","42,011","44,843","18,041","13,005","341,074","10,285","16,132","19,073","43,863","38,732","39,295","22,167","35,704","38,406","40,619","24,266","12,532","309,157","11,175","9,832","19,949","30,808","42,344","36,211","26,322","33,445","26,064","39,030","22,376","11,601",
인천광역시,옹진군,연평면,내국인,"90,812","24,940","1,322","1,376","1,744","2,057","2,505","3,013","1,999","2,534","2,974","2,674","1,571","1,171","26,599","1,031","1,385","1,539","2,104","2,909","2,851","1,850","3,066","2,901","3,145","2,434","1,384","39,273","1,647","1,568","2,531","2,968","4,676","4,376","3,831","4,048","4,136","4,360","3,134","1,998",
인천광역시,옹진군,연평면,합계,"90,812","24,940","1,322","1,376","1,744","2,057","2,505","3,013","1,999","2,534","2,974","2,674","1,571","1,171","26,599","1,031","1,385","1,539","2,104","2,909","2,851","1,850","3,066","2,901","3,145","2,434","1,384","39,273","1,647","1,568","2,531","2,968","4,676","4,376","3,831","4,048","4,136","4,360","3,134","1,998",
인천광역시,옹진군,영흥에너지파크,내국인,"14,228","2,269",0,0,0,0,0,0,201,480,227,192,360,809,"6,027",753,118,111,527,"1,250",391,521,650,397,568,374,367,"5,932",210,305,376,611,608,735,671,677,484,639,393,223,
인천광역시,옹진군,영흥에너지파크,외국인,354,52,0,0,0,0,0,0,0,0,43,5,4,0,213,0,0,14,119,50,0,0,0,0,20,10,0,89,0,0,0,0,0,0,0,0,10,33,46,0,
인천광역시,옹진군,영흥에너지파크,합계,"14,582","2,321",0,0,0,0,0,0,201,480,270,197,364,809,"6,240",753,118,125,646,"1,300",391,521,650,397,588,384,367,"6,021",210,305,376,611,608,735,671,677,494,672,439,223,
인천광역시,옹진군,자월면,내국인,"404,197","109,030","2,134","2,653","6,746","12,952","16,036","18,132","12,941","14,477","8,996","8,872","3,269","1,822","130,361","2,095","3,830","4,982","13,688","17,524","17,831","8,937","17,749","15,270","16,500","9,365","2,590","164,806","2,496","2,269","8,348","15,351","25,432","21,560","14,607","17,956","17,227","23,920","12,397","3,243",
인천광역시,옹진군,자월면,합계,"404,197","109,030","2,134","2,653","6,746","12,952","16,036","18,132","12,941","14,477","8,996","8,872","3,269","1,822","130,361","2,095","3,830","4,982","13,688","17,524","17,831","8,937","17,749","15,270","16,500","9,365","2,590","164,806","2,496","2,269","8,348","15,351","25,432","21,560","14,607","17,956","17,227","23,920","12,397","3,243",
