산업체,성북구사업체수,성북구종사자수,돈암1동사업체수,돈암1동종사자수,돈암2동사업체수,돈암2동종사자수,안암동사업체수,안암동종사자수,보문동사업체수,보문동종사자수,정릉1동사업체수,정릉1동종사자수,정릉2동사업체수,정릉2동종사자수,정릉3동사업체수,정릉3동종사자수,정릉4동사업체수,정릉4동종사자수,길음1동사업체수,길음1동종사자수,길음2동사업체수,길음2동종사자수,월곡1동사업체수,월곡1동종사자수,월곡2동사업체수,월곡2동종사자수,장위1동사업체수,장위1동종사자수,장위2동사업체수,장위2동종사자수,장위3동사업체수,장위3동종사자수,성북동사업체수,성북동종사자수,삼선동사업체수,삼선동종사자수,동선동사업체수,동선동종사자수,종암동사업체수,종암동종사자수,석관동사업체수,석관동종사자수
제판 및 조판업,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47,,,,,,,,
제책업,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,1,7,,,1,3
기타 인쇄관련 산업,1,3,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,
화학물질 및 화학제품 제조업; 의약품 제외,14,51,1,2,,,1,1,,,1,3,,,,,1,3,2,5,1,3,1,3,,,,,,,1,1,1,1,1,3,2,23,,,1,3
합성고무 및 플라스틱 물질 제조업,1,3,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,
합성고무 및 플라스틱 물질 제조업,1,3,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,
합성수지 및 기타 플라스틱 물질 제조업,1,3,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,
"비료, 농약 및 살균, 살충제 제조업",1,3,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,
살균·살충제 및 농약 제조업,1,3,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,
화학 살균·살충제 및 농업용 약제 제조업,1,3,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,
기타 화학제품 제조업,11,44,1,2,,,,,,,1,3,,,,,,,2,5,1,3,,,,,,,,,1,1,1,1,1,3,2,23,,,1,3
"세제, 화장품 및 광택제 제조업",11,44,1,2,,,,,,,1,3,,,,,,,2,5,1,3,,,,,,,,,1,1,1,1,1,3,2,23,,,1,3
"치약, 비누 및 기타 세제 제조업",9,39,,,,,,,,,1,3,,,,,,,2,5,1,3,,,,,,,,,1,1,1,1,1,3,1,20,,,1,3
화장품 제조업,2,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,
화학섬유 제조업,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화학섬유 제조업,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
재생섬유 제조업,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료용 물질 및 의약품 제조업,3,22,,,,,,,,,,,,,,,1,7,,,,,,,1,4,,,,,,,,,,,,,,,1,11
의료용품 및 기타 의약 관련제품 제조업,3,22,,,,,,,,,,,,,,,1,7,,,,,,,1,4,,,,,,,,,,,,,,,1,11
의료용품 및 기타 의약 관련제품 제조업,3,22,,,,,,,,,,,,,,,1,7,,,,,,,1,4,,,,,,,,,,,,,,,1,11
의료용품 및 기타 의약 관련제품 제조업,3,22,,,,,,,,,,,,,,,1,7,,,,,,,1,4,,,,,,,,,,,,,,,1,11
고무 및 플라스틱제품 제조업,12,73,,,,,1,3,,,1,28,,,,,,,,,,,1,2,2,13,2,4,2,15,1,3,,,,,,,1,3,1,2
고무제품 제조업,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,,,,
기타 고무제품 제조업,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,,,,
그 외 기타 고무제품 제조업,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,,,,
플라스틱제품 제조업,11,59,,,,,1,3,,,1,28,,,,,,,,,,,1,2,2,13,2,4,1,1,1,3,,,,,,,1,3,1,2
1차 플라스틱제품 제조업,2,3,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,1,,,,,,,,,,,,
"플라스틱 선, 봉, 관 및 호스 제조업",1,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
플라스틱 시트 및 판 제조업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
포장용 플라스틱제품 제조업,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2
"플라스틱 포대, 봉투 및 유사제품 제조업",2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2
기타 플라스틱제품 제조업,7,51,,,,,1,3,,,1,28,,,,,,,,,,,,,2,13,2,4,,,1,3,,,,,,,,,,
플라스틱 접착처리 제품 제조업,1,28,,,,,,,,,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그 외 기타 플라스틱 제품 제조업,6,23,,,,,1,3,,,,,,,,,,,,,,,,,2,13,2,4,,,1,3,,,,,,,,,,
비금속 광물제품 제조업,6,12,,,,,,,,,3,3,,,,,,,,,,,,,1,5,,,,,,,,,,,,,1,1,1,3
유리 및 유리제품 제조업,3,9,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,1,1,1,3
판유리 및 판유리 가공품 제조업,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
안전유리 제조업,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
산업용 유리 제조업,1,5,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,
기타 산업용 유리제품 제조업,1,5,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,
기타 유리제품 제조업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
그 외 기타 유리제품 제조업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
"내화, 비내화 요업제품 제조업",3,3,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비내화 일반도자기 제조업,3,3,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가정용 및 장식용 도자기 제조업,2,2,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
위생용 및 산업용 도자기 제조업,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1차 금속 제조업,2,4,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
1차 비철금속 제조업,2,4,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"비철금속 압연, 압출 및 연신제품 제조업",2,4,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"동 압연, 압출 및 연신제품 제조업",1,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"알루미늄 압연, 압출 및 연신제품 제조업",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
금속가공제품 제조업; 기계 및 가구 제외,70,140,,,,,1,2,1,2,4,5,2,2,1,3,1,1,1,1,,,5,13,9,16,5,9,7,10,4,15,3,4,,,1,1,17,37,8,19
"구조용 금속제품, 탱크 및 증기발생기 제조업",32,69,,,,,,,,,4,5,1,1,,,,,1,1,,,1,1,2,4,2,3,6,9,3,12,3,4,,,1,1,2,12,6,16
구조용 금속제품 제조업,31,68,,,,,,,,,4,5,1,1,,,,,1,1,,,1,1,2,4,2,3,5,8,3,12,3,4,,,1,1,2,12,6,16
"금속 문, 창, 셔터 및 관련제품 제조업",27,54,,,,,,,,,4,5,1,1,,,,,,,,,1,1,1,3,2,3,5,8,3,12,3,4,,,1,1,,,6,16
구조용 금속 판제품 및 공작물 제조업,2,2,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,
육상 금속 골조 구조재 제조업,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,,
"산업용 난방보일러, 금속탱크 및 유사 용기 제조업",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
금속탱크 및 저장용기 제조업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
기타 금속 가공제품 제조업,38,71,,,,,1,2,1,2,,,1,1,1,3,1,1,,,,,4,12,7,12,3,6,1,1,1,3,,,,,,,15,25,2,3
"금속 단조, 압형 및 분말야금 제품 제조업",9,18,,,,,,,,,,,,,1,3,,,,,,,,,1,2,1,2,,,1,3,,,,,,,5,8,,
금속 단조제품 제조업,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
자동차용 금속 압형제품 제조업,2,5,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,1,2,,
그 외 금속 압형제품 제조업,6,11,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,3,,,,,,,4,6,,
"금속 열처리, 도금 및 기타 금속가공업",10,17,,,,,1,2,,,,,,,,,,,,,,,2,5,1,3,1,1,,,,,,,,,,,4,5,1,1
금속 열처리업,1,3,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,
도장 및 기타 피막처리업,1,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
절삭가공 및 유사처리업,6,9,,,,,,,,,,,,,,,,,,,,,2,5,,,1,1,,,,,,,,,,,2,2,1,1
그 외 기타 금속가공업,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,
"날붙이, 수공구 및 일반철물 제조업",5,8,,,,,,,,,,,,,,,1,1,,,,,1,3,,,,,1,1,,,,,,,,,1,1,1,2
일반철물 제조업,5,8,,,,,,,,,,,,,,,1,1,,,,,1,3,,,,,1,1,,,,,,,,,1,1,1,2
"금속파스너, 스프링 및 금속선 가공제품 제조업",1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
볼트 및 너트류 제조업,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
그 외 기타 금속가공제품 제조업,13,27,,,,,,,1,2,,,1,1,,,,,,,,,1,4,4,6,1,3,,,,,,,,,,,5,11,,
수동식 식품 가공기기 및 금속 주방용기 제조업,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금속 위생용품 제조업,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,
그 외 기타 분류 안된 금속 가공 제품 제조업,11,21,,,,,,,1,2,,,,,,,,,,,,,1,4,4,6,1,3,,,,,,,,,,,4,6,,
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",15,121,,,,,2,63,2,10,,,1,2,,,1,3,,,,,,,3,12,,,1,16,,,2,7,1,1,,,,,2,7
반도체 제조업,1,4,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전자집적회로 제조업,1,4,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메모리용 전자집적회로 제조업,1,4,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전자부품 제조업,4,10,,,,,,,,,,,1,2,,,1,3,,,,,,,1,3,,,,,,,,,,,,,,,1,2
인쇄회로기판 및 전자부품 실장기판 제조업,1,3,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,
연성 및 기타 인쇄회로기판 제조업,1,3,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,
기타 전자부품 제조업,3,7,,,,,,,,,,,1,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,,1,2
전자감지장치 제조업,1,3,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,
그 외 기타 전자부품 제조업,2,4,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
컴퓨터 및 주변장치 제조업,2,64,,,,,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
컴퓨터 제조업,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
컴퓨터 제조업,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
기억장치 및 주변기기 제조업,1,59,,,,,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 주변기기 제조업,1,59,,,,,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
통신 및 방송 장비 제조업,5,35,,,,,,,1,6,,,,,,,,,,,,,,,2,9,,,1,16,,,1,4,,,,,,,,
유선 통신장비 제조업,2,9,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,,,,,,,,,,
유선 통신장비 제조업,2,9,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,,,,,,,,,,
방송 및 무선 통신장비 제조업,3,26,,,,,,,1,6,,,,,,,,,,,,,,,,,,,1,16,,,1,4,,,,,,,,
방송장비 제조업,2,22,,,,,,,1,6,,,,,,,,,,,,,,,,,,,1,16,,,,,,,,,,,,
기타 무선 통신장비 제조업,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,
영상 및 음향기기 제조업,3,8,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,,,,,,
"텔레비전, 비디오 및 기타 영상기기 제조업",2,5,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
비디오 및 기타 영상기기 제조업,2,5,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
"오디오, 스피커 및 기타 음향기기 제조업",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,
기타 음향기기 제조업,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,
"의료, 정밀, 광학기기 및 시계 제조업",36,163,2,25,,,3,5,2,6,1,1,4,13,,,,,,,2,8,2,10,4,17,1,1,1,2,,,1,1,1,3,2,9,4,16,6,46
의료용 기기 제조업,27,139,2,25,,,1,3,2,6,1,1,1,4,,,,,,,2,8,2,10,3,11,1,1,1,2,,,1,1,1,3,2,9,3,15,4,40
기타 의료용 기기 제조업,27,139,2,25,,,1,3,2,6,1,1,1,4,,,,,,,2,8,2,10,3,11,1,1,1,2,,,1,1,1,3,2,9,3,15,4,40
치과용 기기 제조업,1,9,,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,
정형외과용 및 신체보정용 기기 제조업,25,129,2,25,,,1,3,2,6,1,1,1,4,,,,,,,2,8,1,1,3,11,1,1,1,2,,,1,1,1,3,2,9,2,14,4,40
의료용 가구 제조업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",4,10,,,,,1,1,,,,,1,2,,,,,,,,,,,1,6,,,,,,,,,,,,,,,1,1
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업",4,10,,,,,1,1,,,,,1,2,,,,,,,,,,,1,6,,,,,,,,,,,,,,,1,1
"레이더, 항행용 무선기기 및 측량기구 제조업",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"물질 검사, 측정 및 분석기구 제조업",2,7,,,,,1,1,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,
속도계 및 적산계기 제조업,1,2,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시계 및 시계부품 제조업,5,14,,,,,1,1,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5
시계 및 시계부품 제조업,5,14,,,,,1,1,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5
시계 및 시계부품 제조업,5,14,,,,,1,1,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5
전기장비 제조업,27,100,1,1,,,3,25,1,9,4,8,,,1,15,1,3,1,2,,,1,1,2,3,1,1,1,1,2,5,1,5,2,5,1,1,2,8,2,7
"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",3,15,,,,,1,9,,,1,5,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
"전동기, 발전기 및 전기 변환장치 제조업",1,5,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
변압기 제조업,1,5,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전기 공급 및 제어장치 제조업,2,10,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
"전기회로 개폐, 보호장치 제조업",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
전기회로 접속장치 제조업,1,9,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전구 및 조명장치 제조업,18,52,,,,,2,16,1,9,2,2,,,,,1,3,1,2,,,1,1,2,3,1,1,1,1,1,4,,,2,5,1,1,1,3,1,1
전구 및 램프 제조업,1,9,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전구 및 램프 제조업,1,9,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조명장치 제조업,17,43,,,,,2,16,,,2,2,,,,,1,3,1,2,,,1,1,2,3,1,1,1,1,1,4,,,2,5,1,1,1,3,1,1
일반용 전기 조명장치 제조업,4,20,,,,,1,14,,,1,1,,,,,,,,,,,1,1,,,,,,,1,4,,,,,,,,,,
전시 및 광고용 조명장치 제조업,13,23,,,,,1,2,,,1,1,,,,,1,3,1,2,,,,,2,3,1,1,1,1,,,,,2,5,1,1,1,3,1,1
가정용 기기 제조업,4,17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,1,5,1,6
가정용 전기기기 제조업,4,17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,1,5,1,6
주방용 전기기기 제조업,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,1,6
기타 가정용 전기기기 제조업,2,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,
기타 전기장비 제조업,2,16,,,,,,,,,1,1,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 전기장비 제조업,2,16,,,,,,,,,1,1,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
전기경보 및 신호장치 제조업,2,16,,,,,,,,,1,1,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 기계 및 장비 제조업,23,68,,,,,2,7,,,,,1,2,,,,,,,,,6,33,1,6,1,1,3,4,1,1,,,,,2,5,5,8,1,1
일반 목적용 기계 제조업,1,2,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"냉각, 공기조화, 여과, 증류 및 가스발생기 제조업",1,2,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업용 송풍기 및 배기장치 제조업,1,2,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
특수 목적용 기계 제조업,22,66,,,,,2,7,,,,,,,,,,,,,,,6,33,1,6,1,1,3,4,1,1,,,,,2,5,5,8,1,1
가공 공작기계 제조업,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,1
금속 절삭기계 제조업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
금속 성형기계 제조업,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,
"섬유, 의복 및 가죽 가공기계 제조업",4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,5,1,2,,
"기타 섬유, 의복 및 가죽 가공 기계 제조업",4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,5,1,2,,
산업용 로봇 제조업,3,13,,,,,2,7,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,
산업용 로봇 제조업,3,13,,,,,2,7,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,
기타 특수 목적용 기계 제조업,12,40,,,,,,,,,,,,,,,,,,,,,6,33,,,1,1,3,4,,,,,,,,,2,2,,
펄프 및 종이 가공용 기계 제조업,1,16,,,,,,,,,,,,,,,,,,,,,1,16,,,,,,,,,,,,,,,,,,
주형 및 금형 제조업,10,23,,,,,,,,,,,,,,,,,,,,,4,16,,,1,1,3,4,,,,,,,,,2,2,,
그 외 기타 특수목적용 기계 제조업,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
자동차 및 트레일러 제조업,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2
자동차 신품 부품 제조업,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2
자동차용 기타 신품 부품 제조업,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2
그 외 자동차용 신품 부품 제조업,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2
기타 운송장비 제조업,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
철도장비 제조업,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
철도장비 제조업,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
철도차량 부품 및 관련 장치물 제조업,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
가구 제조업,23,53,,,,,,,2,9,,,1,1,,,1,3,,,,,,,1,2,3,8,4,9,,,,,4,11,,,3,4,4,6
가구 제조업,23,53,,,,,,,2,9,,,1,1,,,1,3,,,,,,,1,2,3,8,4,9,,,,,4,11,,,3,4,4,6
목재가구 제조업,17,42,,,,,,,2,9,,,1,1,,,1,3,,,,,,,,,2,5,3,8,,,,,2,7,,,3,4,3,5
주방용 및 음식점용 목재가구 제조업,10,23,,,,,,,,,,,,,,,1,3,,,,,,,,,1,4,3,8,,,,,,,,,3,4,2,4
기타 목재가구 제조업,7,19,,,,,,,2,9,,,1,1,,,,,,,,,,,,,1,1,,,,,,,2,7,,,,,1,1
기타 가구 제조업,6,11,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,1,,,,,2,4,,,,,1,1
금속 가구 제조업,3,6,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,,,,,,,,,,,,,1,1
그 외 기타 가구 제조업,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,4,,,,,,
기타 제품 제조업,127,371,,,,,5,20,3,7,6,11,5,13,1,1,2,9,3,7,1,1,24,50,10,25,3,5,4,8,5,70,8,13,6,24,7,16,25,55,9,36
귀금속 및 장신용품 제조업,20,45,,,,,1,2,,,1,1,,,,,,,1,3,,,,,3,7,1,3,,,1,6,1,1,,,1,1,10,21,,
귀금속 및 관련제품 제조업,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
귀금속 및 관련제품 제조업,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모조 귀금속 및 모조 장신용품 제조업,19,44,,,,,1,2,,,,,,,,,,,1,3,,,,,3,7,1,3,,,1,6,1,1,,,1,1,10,21,,
모조 귀금속 및 모조 장신용품 제조업,19,44,,,,,1,2,,,,,,,,,,,1,3,,,,,3,7,1,3,,,1,6,1,1,,,1,1,10,21,,
악기 제조업,1,4,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,
악기 제조업,1,4,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,
기타 악기 제조업,1,4,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,
운동 및 경기용구 제조업,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,
운동 및 경기용구 제조업,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,
기타 운동 및 경기용구 제조업,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,
"인형, 장난감 및 오락용품 제조업",3,13,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,1,2,1,8,,,,,,
"인형, 장난감 및 오락용품 제조업",3,13,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,1,2,1,8,,,,,,
인형 및 장난감 제조업,2,11,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,1,8,,,,,,
기타 오락용품 제조업,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,
그 외 기타 제품 제조업,102,305,,,,,4,18,3,7,5,10,5,13,1,1,1,5,2,4,1,1,24,50,6,15,2,2,4,8,4,64,6,10,4,12,6,15,15,34,9,36
간판 및 광고물 제조업,40,91,,,,,,,1,3,5,10,3,3,,,1,5,1,1,1,1,5,5,,,1,1,2,5,1,7,3,7,2,2,5,10,2,2,7,29
간판 및 광고물 제조업,40,91,,,,,,,1,3,5,10,3,3,,,1,5,1,1,1,1,5,5,,,1,1,2,5,1,7,3,7,2,2,5,10,2,2,7,29
사무 및 회화용품 제조업,9,16,,,,,,,1,3,,,,,,,,,1,3,,,1,1,,,1,1,2,3,,,,,,,,,2,3,1,2
사무 및 회화용품 제조업,9,16,,,,,,,1,3,,,,,,,,,1,3,,,1,1,,,1,1,2,3,,,,,,,,,2,3,1,2
"가발, 장식용품 및 전시용 모형 제조업",8,30,,,,,1,11,1,1,,,,,,,,,,,,,1,1,,,,,,,,,2,2,2,10,1,5,,,,
전시용 모형 제조업,3,25,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,1,5,,,,
표구처리업,5,5,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,2,2,1,1,,,,,,
그 외 기타 분류 안된 제품 제조업,45,168,,,,,3,7,,,,,2,10,1,1,,,,,,,17,43,6,15,,,,,3,57,1,1,,,,,11,29,1,5
단추 및 유사 파스너 제조업,34,93,,,,,3,7,,,,,,,,,,,,,,,15,41,6,15,,,,,,,,,,,,,9,25,1,5
"라이터, 연소물 및 흡연용품 제조업",3,9,,,,,,,,,,,1,7,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,
비 및 솔 제조업,5,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,57,,,,,,,2,4,,
그 외 기타 달리 분류되지 않은 제품 제조업,3,5,,,,,,,,,,,1,3,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,
산업용 기계 및 장비 수리업,23,36,1,1,1,2,2,3,1,4,1,1,,,1,1,,,,,,,2,3,1,2,,,2,3,1,1,,,1,1,1,1,5,9,3,4
산업용 기계 및 장비 수리업,23,36,1,1,1,2,2,3,1,4,1,1,,,1,1,,,,,,,2,3,1,2,,,2,3,1,1,,,1,1,1,1,5,9,3,4
