업명,녹번동_사업체수,녹번동_종사자수,불광1동_사업체수,불광1동_종사자수,불광2동_사업체수,불광2동_종사자수,갈현1동_사업체수,갈현1동_종사자수,갈현2동_사업체수,갈현2동_종사자수,구산동_사업체수,구산동_종사자수,대조동_사업체수,대조동_종사자수,응암1동_사업체수,응암1동_종사자수,응암2동_사업체수,응암2동_종사자수,응암3동_사업체수,응암3동_종사자수,역촌동_사업체수,역촌동_종사자수,신사1동_사업체수,신사1동_종사자수,신사2동_사업체수,신사2동_종사자수,증산동_사업체수,증산동_종사자수,수색동_사업체수,수색동_종사자수,진관동_사업체수,진관동_종사자수
애완용 동물 및 관련용품 소매업,6,18,4,4,4,4,3,4,5,5,4,6,8,10,12,36,3,3,7,8,5,6,2,2,3,36,2,3,2,2,4,4
안경 및 렌즈 소매업,18,40,0,0,9,18,3,5,5,5,15,31,7,16,3,3,3,10,13,27,24,56,7,9,6,10,7,9,1,2,6,12
신선 냉동 및 기타 수산물 소매업,3,3,10,17,4,4,1,1,2,2,5,6,4,5,4,6,4,4,6,6,10,11,3,3,4,4,3,3,3,3,5,5
신발 소매업,9,204,5,139,16,479,8,258,9,612,12,251,11,305,6,210,1,38,12,335,17,425,11,246,6,151,6,131,1,8,7,137
시계 및 귀금속 소매업,15,118,7,7,8,104,5,6,6,6,13,44,4,4,14,46,3,5,4,6,16,71,12,80,16,161,6,13,2,5,7,8
슈퍼마켓,18,57,7,13,5,9,5,8,6,10,6,10,4,8,6,8,4,4,4,4,7,16,6,7,5,6,6,15,3,5,16,18
속옷 및 잠옷 소매업,10,21,4,4,4,4,7,10,7,14,5,9,5,13,3,6,2,2,10,26,14,30,7,17,4,6,2,2,3,3,2,4
셔츠 및 블라우스 소매업,28,81,10,16,9,14,4,4,13,21,8,9,15,23,14,26,11,11,12,14,19,24,19,23,5,5,9,33,7,10,34,54
서양식 음식점업,11,47,12,79,10,10,6,6,5,5,9,9,7,7,8,10,2,2,4,4,18,35,3,3,8,12,2,2,1,1,5,6
생맥주 전문점,10,35,6,22,4,12,20,54,12,37,7,21,10,31,12,38,5,31,7,26,19,45,10,27,4,7,5,14,2,6,12,63
빵류 과자류 및 당류 소매업,28,133,3,3,1,4,1,5,1,9,6,7,5,10,14,32,1,1,2,2,8,18,3,8,2,7,5,14,0,0,7,19
비주거용 부동산 관리업,7,30,5,13,5,47,14,24,12,43,4,4,18,37,13,25,4,8,16,45,18,38,7,19,0,0,5,13,0,0,15,73
비주거용 건물 임대업,0,0,4,4,4,7,4,5,5,11,6,13,24,35,9,11,1,1,5,8,0,0,2,2,1,1,2,3,0,0,24,70
불교 단체,0,0,4,4,5,6,4,6,1,1,1,1,23,44,8,15,1,1,8,9,3,3,2,2,3,3,2,2,2,2,13,30
부동산 중개 및 대리업,127,128,85,85,73,73,47,47,72,72,138,138,86,86,88,88,65,65,114,114,183,183,100,100,90,93,69,69,30,30,75,75
보육시설 운영업,2,13,4,24,58,112,41,41,16,89,8,8,75,132,90,107,4,4,3,4,8,54,5,8,3,3,10,10,0,0,4,34
벽지 마루덮개 및 장판류 소매업,4,6,8,49,4,16,8,30,9,31,6,18,9,30,19,63,2,6,6,29,15,47,5,9,1,1,2,23,1,1,10,51
배관 및 냉ㆍ난방 공사업,2,2,11,25,17,33,6,8,4,7,4,6,44,66,11,37,1,2,24,62,12,21,4,8,3,4,5,14,6,8,7,11
방문 복지서비스 제공업,9,27,8,18,7,14,10,22,14,58,6,10,16,39,9,34,4,8,12,25,19,33,7,14,2,2,3,3,1,2,17,57
미술학원,22,42,13,23,7,8,9,18,8,11,7,13,12,53,8,15,8,8,18,38,12,20,4,8,9,21,8,41,7,20,8,57
문구용품 및 회화용품 소매업,7,12,8,10,5,6,5,5,6,12,4,4,8,11,5,16,5,14,5,7,15,25,8,11,3,5,2,3,1,1,1,1
마사지업,11,139,4,4,6,6,7,12,7,14,4,28,5,14,7,38,6,118,5,35,19,69,7,42,7,34,9,45,0,0,3,10
떡류 제조업,9,9,11,11,7,7,6,6,9,9,16,18,8,8,9,11,7,7,11,12,20,51,9,24,10,10,6,7,3,4,9,9
두발 미용업,112,127,114,138,53,59,76,93,67,74,59,69,151,186,98,118,64,74,59,73,106,119,69,88,34,35,60,61,57,68,106,143
독서실 운영업,5,12,9,23,8,13,8,14,7,14,4,8,10,20,16,29,10,11,4,10,14,26,6,11,7,15,3,7,2,5,13,24
도배 실내장식 및 내장 목공사업,13,23,20,31,10,10,7,18,14,25,15,15,12,12,14,15,10,11,13,20,19,32,9,10,15,37,8,16,4,4,20,38
당구장 운영업,12,13,14,16,7,8,13,20,14,17,9,9,23,25,11,14,6,9,10,10,14,15,9,14,4,4,4,6,0,0,11,13
노래연습장 운영업,7,32,35,269,9,49,24,185,16,80,11,66,61,383,42,282,7,39,25,163,21,165,18,138,5,52,10,60,5,15,30,281
내부 전기배선 공사업,2,2,8,11,3,3,1,1,0,0,1,4,23,53,4,6,1,3,4,16,3,3,3,5,2,2,3,4,2,2,24,82
남자용 겉옷 소매업,2,6,10,10,5,5,1,1,3,3,2,2,14,22,3,4,1,1,6,6,8,8,5,6,1,1,2,3,3,4,7,15
김밥 및 기타 간이 음식점업,30,119,23,59,18,33,54,177,43,147,13,27,46,115,22,87,12,27,42,134,41,105,22,67,5,11,14,33,4,8,29,157
기타 주점업,52,127,36,96,18,37,35,90,48,125,32,52,56,152,53,173,17,35,53,130,64,134,26,78,15,29,15,42,10,25,71,255
기타 의복 소매업,14,36,9,17,3,6,8,28,7,16,4,5,11,26,25,80,7,16,7,29,11,31,4,12,2,2,5,18,2,5,27,102
기타 음ㆍ식료품 위주 종합 소매업,21,68,12,16,14,14,18,20,23,30,18,26,15,49,13,59,6,6,31,100,30,74,22,69,20,57,10,19,6,7,7,13
기타 오락장 운영업,7,9,7,27,2,7,2,13,15,52,5,12,4,4,1,1,3,3,1,5,2,2,4,10,4,19,5,10,0,0,23,91
기타 식료품 소매업,9,16,5,5,2,2,4,6,9,11,7,8,3,3,3,5,1,1,3,3,6,6,3,3,0,0,2,4,4,4,8,8
기타 스포츠 교육기관,8,8,25,25,14,14,7,7,7,7,10,10,13,13,7,7,5,5,11,11,13,13,5,6,4,4,4,4,1,2,9,11
기타 비알코올 음료점업,9,9,11,12,7,8,6,8,5,5,4,4,6,10,11,13,7,7,6,8,19,23,5,5,6,6,5,7,3,3,18,28
기타 미용업,8,12,16,35,6,10,5,10,14,20,7,10,25,55,16,44,3,5,13,31,18,32,7,11,6,10,6,13,3,6,10,27
기타 기술 및 직업훈련학원,7,9,3,7,1,1,4,8,11,33,2,2,7,7,4,4,0,0,15,23,7,11,7,9,0,0,6,7,2,2,8,17
기숙사 및 고시원 운영업,6,10,8,11,2,3,3,3,11,13,7,11,7,9,5,10,4,4,3,8,9,13,6,6,4,4,0,0,0,0,10,21
기독교 단체,20,38,25,32,26,27,56,119,39,84,9,13,51,67,31,42,9,11,52,90,54,70,10,15,6,7,9,10,20,21,10,19
그 외 기타 협회 및 단체,12,22,4,4,7,8,2,2,4,4,1,1,8,11,5,5,6,6,4,4,9,14,6,6,8,8,7,7,6,6,19,23
그 외 기타 비거주 복지 서비스업,7,83,10,55,2,11,8,12,2,6,3,4,8,44,14,47,0,0,3,7,10,13,3,14,0,0,4,7,1,9,12,70
그 외 기타 개인 및 가정용품 수리업,8,8,7,7,9,9,4,5,6,6,2,2,13,14,2,3,2,2,4,4,4,4,3,3,0,0,1,1,0,0,6,6
건축설계 및 관련 서비스업,0,0,8,14,0,0,7,8,7,18,3,7,8,25,10,26,1,3,6,6,6,10,8,11,2,2,3,12,3,3,9,21
건강보조식품 소매업,3,3,7,20,5,5,1,1,5,15,4,18,5,6,5,5,4,40,9,10,16,45,3,3,6,36,2,2,3,3,4,10
개별 화물자동차 운송업,61,188,71,151,73,126,72,184,61,130,28,52,132,243,52,141,34,63,96,186,96,208,28,105,14,26,48,100,24,43,74,244
간판 및 광고물 제조업,9,39,1,1,3,19,12,27,6,32,4,8,16,32,7,18,1,7,2,3,14,35,7,14,1,1,4,6,1,1,15,133
간이음식 포장 판매 전문점,10,59,2,5,4,8,3,19,6,14,1,1,11,46,6,8,2,5,5,7,7,14,2,2,3,9,1,1,2,3,7,7
가정용 직물제품 소매업,7,15,10,94,3,4,5,5,4,4,2,2,10,27,8,9,6,6,0,0,9,11,5,5,1,1,5,5,0,0,25,34
가정용 세탁업,36,56,19,37,19,31,20,24,22,26,10,15,79,112,25,46,6,8,19,24,14,22,18,21,6,6,14,15,10,12,23,54
가전제품 소매업,15,377,1,9,2,25,1,1,5,20,6,120,7,13,4,34,3,6,2,4,5,49,3,14,2,11,2,79,2,2,8,28
가구 소매업,1,2,10,17,9,18,6,12,10,16,3,7,11,19,4,9,6,10,5,9,8,15,4,7,1,1,4,5,2,5,6,8
