순번,회사명,공장대표주소(도로명),업종번호,업종명
41,(주)광산,충청남도 아산시 둔포면 윤보선로 286,"22249, 22232, 25923",기타 기계.장비 조립용 플라스틱 제품 제조업 외 2 종
42,(주)광성,충청남도 아산시 신창면 가덕길 32-1,"25992, ",수동식 식품 가공기기 및 금속 주방용기 제조업
43,(주)광성오토모티브,충청남도 아산시 신창면 서부북로 849-21,"30392, ",자동차용 신품 제동장치 제조업
44,(주)광스틸 충남지점,충청남도 아산시 영인면 영인로 174,"25112, 25119",구조용 금속 판제품 및 공작물 제조업 외 1 종
45,(주)광야쇼트,충청남도 아산시 영인면 윤보선로 53 (총 4 필지) 외 3필지,"29230, 25923",금속 주조 및 기타 야금용 기계 제조업 외 1 종
46,(주)광인,충청남도 아산시 음봉면 연암율금로 167-11,"28123, ",배전반 및 전기 자동제어반 제조업
47,(주)광일,충청남도 아산시 어의정로 157 (풍기동),"10749, ",기타 식품 첨가물 제조업
48,(주)광진,충청남도 아산시 도고면 온천대로 542,"25941, ",볼트 및 너트류 제조업
49,(주)광진기계,충청남도 아산시 인주면 인주산단로 23-50 ((주)광진기계),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
50,(주)광토,충청남도 아산시 연암산로 88 -13(음봉면) 1층 외 4필지,"22223, 25111, 25119",플라스틱 창호 제조업 외 2 종
51,(주)구성전기,"충청남도 아산시 영인면 와신길 187-16, (신화리 377-1번지)","28112, ",변압기 제조업
52,(주)국림피앤텍,충청남도 아산시 선장면 부엉산길 48,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
53,(주)국보옵틱스,충청남도 아산시 둔포면 아산밸리중앙로 171-28,"26219, 26212, 26299",기타 표시장치 제조업 외 2 종
54,(주)국제이엔지,충청남도 아산시 인주면 인주로 267-2,"25119, ",기타 구조용 금속제품 제조업
55,(주)굿프렌즈,"충청남도 아산시 배방읍 호서로79번길 20, 호서벤처밸리 103-1호","13229, ",기타 직물제품 제조업
56,(주)귀뚜라미,충청남도 아산시 탕정면 음봉로 850 외 2필지,"22211, 25121, 28512, 28520, 29171, 29172, 29173","플라스틱 선, 봉, 관 및 호스 제조업 외 6 종"
