순번,회사명,공장대표주소(도로명),업종번호,업종명
318,(주)부흥금속,충청남도 아산시 순천향로 386 (기산동),"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
319,(주)브이씨티이,충청남도 아산시 음봉면 신휴리 788번지,"25921, ",금속 열처리업
320,(주)브이원,충청남도 아산시 음봉면 월산로 231 외 1필지,"29299, 29261",그 외 기타 특수목적용 기계 제조업 외 1 종
321,(주)브이원,충청남도 아산시 탕정면 갈산리 820,"29299, ",그 외 기타 특수목적용 기계 제조업
322,(주)블랙드래곤,충청남도 아산시 신창면 서부남로667번길 40-3,"13229, ",기타 직물제품 제조업
323,(주)블루테크,충청남도 아산시 탕정면 탕정면로339번길 23,"25119, ",기타 구조용 금속제품 제조업
324,(주)블루파인,충청남도 아산시 선장면 서부남로151번길 29-14,"11201, ",얼음 제조업
325,(주)비디엔이오토모티브,충청남도 아산시 둔포면 석곡길 40-49,"22251, 22259",폴리스티렌 발포 성형제품 제조업 외 1 종
326,(주)비알디,충청남도 아산시 영인면 아산호로 796,"10801, 10802",배합 사료 제조업 외 1 종
327,(주)비에스에이,충청남도 아산시 음봉면 연암율금로295번길 68-39,"29163, 29169, 29271, 29272",컨베이어장치 제조업 외 3 종
328,(주)비에이치세미콘,충청남도 아산시 음봉면 산동로 433-31,"26222, ",경성 인쇄회로기판 제조업
329,(주)비에이치시스템,충청남도 아산시 음봉면 산동로 278-2,"29299, 29261",그 외 기타 특수목적용 기계 제조업 외 1 종
330,(주)비에이치시스템(2공장),충청남도 아산시 음봉면,"29299, ",그 외 기타 특수목적용 기계 제조업
331,(주)비에이치에스티,"충청남도 아산시 음봉면 산동로 433-31, 지하1층, 지상1층","29271, 29272",반도체 제조용 기계 제조업 외 1 종
332,(주)비엔에이치,충청남도 아산시 음봉면 탕정로 540-28,"29175, ",액체 여과기 제조업
333,(주)비엘엠콘택트,충청남도 아산시 음봉면 월산로 214-28,"27193, ",안경 및 안경렌즈 제조업
334,(주)비엘텍,충청남도 아산시 탕정면 선문로221번길 70 (선문대학교),"28429, 28422, 28423",기타 조명장치 제조업 외 2 종
335,(주)비엠아이,충청남도 아산시 선장면 삽교천로 50 (선장면) 외 11필지,"30320, ",자동차 차체용 신품 부품 제조업
336,(주)비엠이앤씨,충청남도 아산시 신창면 서부남로 766,"29299, ",그 외 기타 특수목적용 기계 제조업
337,(주)비월드,충청남도 아산시 영인면 윤보선로 251,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
338,(주)비테크,충청남도 아산시 둔포면 아산밸리로388번길 98,"25929, ",그 외 기타 금속가공업
339,(주)비티엔,"충청남도 아산시 신창면 순천향로 22  408호,406호,405호,403호 (순천향대학교 앙뜨레프래너관)","10797, 10749, 10802",건강기능식품 제조업 외 2 종
340,(주)비티엔지니어링,충청남도 아산시 음봉면 쌍암리 26-11번지 외 5필지,"29271, ",반도체 제조용 기계 제조업
341,(주)비티케이,충청남도 아산시 영인면 윤보선로 223-22,"13229, ",기타 직물제품 제조업
342,(주)삼도공조,충청남도 아산시 음봉면 아산온천로 377-22,"30399, ",그 외 자동차용 신품 부품 제조업
343,(주)삼도테크,충청남도 아산시 음봉면 아산온천로 377-22,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
344,(주)삼성기전,충청남도 아산시 음봉면 연암산로 71-13,"28123, ",배전반 및 전기 자동제어반 제조업
345,(주)삼아인터내셔날,충청남도 아산시 신창면 서부남로790번길 48 외 1필지,"10713, ",과자류 및 코코아 제품 제조업
346,(주)삼아인터내셔날 2공장,충청남도 아산시 신창면 서부남로790번길 40,"10713, ",과자류 및 코코아 제품 제조업
347,(주)삼안기업,충청남도 아산시 신창면 서부남로667번길 40-2,"30399, ",그 외 자동차용 신품 부품 제조업
348,(주)삼양사,충청남도 아산시 영인면 아산호로 710-46,"10612, 10613",곡물 제분업 외 1 종
349,(주)삼원엔지니어링,충청남도 아산시 음봉면 월암로 336-35,"38321, 38322",비금속류 해체 및 선별업 외 1 종
350,(주)삼원열처리,충청남도 아산시 둔포면 석곡리 1957번지,"25921, ",금속 열처리업
351,(주)삼익브리즈,충청남도 아산시 음봉면 음봉로 352 ((주)삼익금속),"29171, 29172",산업용 냉장 및 냉동 장비 제조업 외 1 종
352,(주)삼일이노팩 둔포공장,충청남도 아산시 둔포면 봉신로 278-27 외 1필지,"22251, 22259",폴리스티렌 발포 성형제품 제조업 외 1 종
353,(주)삼지에프에스,충청남도 아산시 둔포면 충무로 2200-11,"10799, ",그 외 기타 식료품 제조업
354,(주)삼현엔지니어링,충청남도 아산시 음봉면 월산로 128-118,"25924, ",절삭가공 및 유사처리업
355,(주)삼호글로벌,충청남도 아산시 음봉면 월산로 128-92,"29272, 13229",디스플레이 제조용 기계 제조업 외 1 종
356,(주)삼홍,충청남도 아산시 순천향로 664-20 (장존동),"25119, ",기타 구조용 금속제품 제조업
357,(주)삼화롤러스,충청남도 아산시 둔포면 아산밸리서로 14,"22192, ",산업용 그 외 비경화 고무제품 제조업
358,(주)상원이엔씨,충청남도 아산시 인주면 인주로 267 (삼원ENC),"22241, 22249, 29175, 38311, 38312",운송장비 조립용 플라스틱제품 제조업 외 4 종
359,(주)상은,충청남도 아산시 둔포면 운용리 512번지,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
360,(주)상은,충청남도 아산시 둔포면 석곡리 1289,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
361,(주)상지,충청남도 아산시 둔포면 아산호로808번길 11-8,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
362,(주)상지,충청남도 아산시 영인면 토정로 341-31,"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업
363,(주)상진,충청남도 아산시 둔포면 아산밸리로 364 ((주)상진),"26299, 26295",그 외 기타 전자부품 제조업 외 1 종
364,(주)상진,충청남도 아산시 둔포면 아산밸리로 338,"26299, 26295",그 외 기타 전자부품 제조업 외 1 종
365,(주)상현 1공장,충청남도 아산시 염치읍 아산로 789-11,"25113, ",육상 금속 골조 구조재 제조업
366,(주)상현 2공장,충청남도 아산시 염치읍 아산로 789-7,"25113, ",육상 금속 골조 구조재 제조업
367,(주)샘텍코리아,충청남도 아산시 신창면 온천대로 1005,"26421, 26422, 26429",방송장비 제조업 외 2 종
368,(주)샘툴스,충청남도 아산시 둔포면 아산밸리로388번길 167-40,"29299, ",그 외 기타 특수목적용 기계 제조업
369,(주)샤인라이트,충청남도 아산시 음봉면 월산로 213,"28423, ",전시 및 광고용 조명장치 제조업
370,(주)서강이엔지,충청남도 아산시 음봉면 연암율금로295번길 90,"22249, ",기타 기계.장비 조립용 플라스틱 제품 제조업
371,(주)서광산업아산,충청남도 아산시 음봉면 음봉로 232,"30201, ",차체 및 특장차 제조업
372,(주)서연씨엔에프 아산공장,충청남도 아산시 서부남로 199 -39(선장면),"30399, ",그 외 자동차용 신품 부품 제조업
373,(주)서연이화,충청남도 아산시 신창면 서부북로 712,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
374,(주)서연이화 3공장,충청남도 아산시 신창면 서부북로 701,"30320, ",자동차 차체용 신품 부품 제조업
375,(주)서연이화 아산3공장,충청남도 아산시 신창면 서부북로 694,"30399, ",그 외 자동차용 신품 부품 제조업
376,(주)서영,충청남도 아산시 인주면 현대로 770 ((주)서영) (총 5 필지),"16231, 30399",목재 깔판류 및 기타 적재판 제조업 외 1 종
377,(주)서영,충청남도 아산시 인주면 인주산단로 151 ((주)서영),"25991, ",금속 캔 및 기타 포장용기 제조업
378,(주)서진엔지니어링,충청남도 아산시 둔포면 충무로 1332,"22222, 29173, 29174",설치용 및 위생용 플라스틱제품 제조업 외 2 종
379,(주)서진이엔지,충청남도 아산시 음봉면 월암로 385,"28123, 28302",배전반 및 전기 자동제어반 제조업 외 1 종
380,(주)서진캠,충청남도 아산시 둔포면 아산밸리중앙로 103,"30310, 30400",자동차 엔진용 신품 부품 제조업 외 1 종
381,(주)서해물산,충청남도 아산시 인주면 현대로 1317-2,"10742, ",천연 및 혼합조제 조미료 제조업
382,(주)서해실업,충청남도 아산시 둔포면 아산호로840번길 88-69,"20129, ",기타 기초 무기 화학물질 제조업
383,(주)서해테크,충청남도 아산시 선장면 선창리 191-25,"22212, ",플라스틱 필름 제조업
384,(주)선명산업,충청남도 아산시 염치읍 쌍죽길 144-11,"25112, ",구조용 금속 판제품 및 공작물 제조업
385,(주)선명산업개발,충청남도 아산시 쌍죽길 144 -11(염치읍),"25112, ",구조용 금속 판제품 및 공작물 제조업
386,(주)선인,충청남도 아산시 둔포면 아산호로840번길 88-19,"10612, ",곡물 제분업
387,(주)선진도장,충청남도 아산시 음봉면 연암율금로295번길 32-20 (삼성기업),"25923, ",도장 및 기타 피막처리업
388,(주)선텍,충청남도 아산시 음봉면 음봉로 575,"28410, 28422",전구 및 램프 제조업 외 1 종
389,(주)섬신,충청남도 아산시 음봉면 월산로201번길 26-38,"29271, ",반도체 제조용 기계 제조업
390,(주)성건기업,충청남도 아산시 음봉면 월암로 332-51,"29271, ",반도체 제조용 기계 제조업
391,(주)성곡,충청남도 아산시 둔포면 아산밸리중앙로 122,"25112, ",구조용 금속 판제품 및 공작물 제조업
392,(주)성광산업,충청남도 아산시 인주면 인주로 373 (성광산업),"30332, 30400",자동차용 신품 전기장치 제조업 외 1 종
393,(주)성도이엔지,충청남도 아산시 영인면 아산호로746번길 133,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
394,(주)성도이엔지,"충청남도 아산시 음봉면 연암산로 31, 외 2필지 (동암리 567-2, 562-2)","29271, 29272",반도체 제조용 기계 제조업 외 1 종
395,(주)성림기업,충청남도 아산시 신창면 수장로 119,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
396,(주)성림산업,충청남도 아산시 둔포면 이화서길 17,"13999, 17909",그 외 기타 분류 안된 섬유제품 제조업 외 1 종
397,(주)성무이엔지,충청남도 아산시 음봉면 월암로436번길 96-14,"29271, 29272",반도체 제조용 기계 제조업 외 1 종
398,(주)성민산업,충청남도 아산시 영인면 고룡산로 556,"28121, 28122, 28302","전기회로 개폐, 보호장치 제조업 외 2 종"
399,(주)성민트레이딩,"충청남도 아산시 와신길 95 -25(영인면, 영인면 백석포리 8-6 공장)","20132, ","염료, 조제 무기안료, 유연제 및 기타 착색제 제조업"
400,(주)성신이엔지,충청남도 아산시 신창면 가덕길14번길 1-27,"29271, 27216",반도체 제조용 기계 제조업 외 1 종
401,(주)성우금속,충청남도 아산시 수장로 107 -4(신창면) 외 1필지,"25113, ",육상 금속 골조 구조재 제조업
402,(주)성우디엠씨,충청남도 아산시 아산만로 592 -20(선장면),"22299, 25113",그 외 기타 플라스틱 제품 제조업 외 1 종
403,(주)성우산업,충청남도 아산시 신창면 온천대로1092번길 29-22,"25923, ",도장 및 기타 피막처리업
404,(주)성우산업,충청남도 아산시 영인면 토정로 368,"30399, 25923",그 외 자동차용 신품 부품 제조업 외 1 종
405,(주)성우엔지니어링,충청남도 아산시 둔포면 염작리 81-5,"29299, 29261",그 외 기타 특수목적용 기계 제조업 외 1 종
406,(주)성우테크,충청남도 아산시 영인면 신봉길223번길 83-10,"26121, 26129",발광 다이오드 제조업 외 1 종
407,(주)성은글로벌-아산,충청남도 아산시 인주면 현대로 774 (정우TECH),"16231, ",목재 깔판류 및 기타 적재판 제조업
408,(주)성일,충청남도 아산시 음봉면 연암산로 52 ((주)SB테크),"28111, ",전동기 및 발전기 제조업
409,(주)성일인더스트리,충청남도 아산시 둔포면 장영실로 929-38 외 3필지,"23325, ",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
410,(주)성진소재,충청남도 아산시 음봉면 월산로 212,"25924, 29199",절삭가공 및 유사처리업 외 1 종
411,(주)성풍케이블,충청남도 아산시 둔포면 충무로 1552,"24221, ","동 압연, 압출 및 연신제품 제조업"
412,(주)성호폴리텍,충청남도 아산시 배방읍 호서로 2 (HG.TEOCH) (총 3 필지) 외 2필지,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업
413,(주)세계화성,충청남도 아산시 배방읍 솔치로 297-17,"30399, 30391, 30392",그 외 자동차용 신품 부품 제조업 외 2 종
414,(주)세노,충청남도 아산시 음봉면 산동로 264,"29271, 25924, 29292",반도체 제조용 기계 제조업 외 2 종
415,(주)세동,충청남도 아산시 수장로25번길 52 (배미동) (주)세동,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
416,(주)세라컴,충청남도 아산시 온천대로1122번길 46-5 (득산동),"23239, 29150, 29174, 30399",기타 건축용 비내화 요업제품 제조업 외 3 종
417,(주)세림,충청남도 아산시 둔포면 관대길 71 외 2필지,"21220, ",한의약품 제조업
418,(주)세림박스,충청남도 아산시 둔포면 운교길126번길 25 외 1필지,"17211, 17212",골판지 제조업 외 1 종
419,(주)세명테크,충청남도 아산시 둔포면 장영실로 922-5,"20312, ",복합비료 및 기타 화학비료 제조업
420,(주)세명테크 2공장,충청남도 아산시 둔포면 장영실로 922-10,"20129, 10749",기타 기초 무기 화학물질 제조업 외 1 종
421,(주)세미콘테스트,충청남도 아산시 음봉면 연암율금로 288-31,"29271, 27212",반도체 제조용 기계 제조업 외 1 종
422,(주)세미콘팩,충청남도 아산시 음봉면 연암산로 62-8,"22231, ","플라스틱 포대, 봉투 및 유사제품 제조업"
423,(주)세민,충청남도 아산시 음봉면 월암로436번길 96-8,"29163, ",컨베이어장치 제조업
424,(주)세방테크 아산인주지점,충청남도 아산시 인주면 아산호로 107-9,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
425,(주)세보엠이씨,충청남도 아산시 음봉면 연암율금로14번길 59,"25112, ",구조용 금속 판제품 및 공작물 제조업
426,(주)세스텍,충청남도 아산시 음봉면 월산로 134,"29280, 29176, 29271, 29272, 29299",산업용 로봇 제조업 외 4 종
427,(주)세스텍 제2공장,충청남도 아산시 음봉면 월산로 142,"29280, 29176, 29271, 29272, 29299",산업용 로봇 제조업 외 4 종
428,(주)세영테크,충청남도 아산시 신창면 가덕길2번길 35,"30310, ",자동차 엔진용 신품 부품 제조업
429,(주)세원리테크,충청남도 아산시 음봉면 아산밸리로459번길 34,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
430,(주)세원센추리,충청남도 아산시 음봉면 음봉로 258 ((주)세원센추리),"25113, 25114, 28123, 29171, 29172",육상 금속 골조 구조재 제조업 외 4 종
431,(주)세원제이엔지,충청남도 아산시 토정로 356 -11(영인면) (총 2 필지) 외 1필지,"30399, 18112, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 4 종
432,(주)세원테크,충청남도 아산시 배방읍 휴대길 172 (세원테크) 외 15필지,"30320, ",자동차 차체용 신품 부품 제조업
433,(주)세원테크 제2공장,충청남도 아산시 배방읍 휴대길 180,"30320, ",자동차 차체용 신품 부품 제조업
434,(주)세원피엔드디,충청남도 아산시 음봉면 아산밸리로459번길 21,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
435,(주)세인,충청남도 아산시 둔포면 윤보선로336번길 55-14,"28123, ",배전반 및 전기 자동제어반 제조업
436,(주)세종산업,충청남도 아산시 음봉면로 234 -40(음봉면),"23324, ","콘크리트 타일, 기와, 벽돌 및 블록 제조업"
437,(주)세종시스템,충청남도 아산시 신창면 서부북로359번길 7,"28901, ",전기경보 및 신호장치 제조업
438,(주)세종윈,충청남도 아산시 온천대로1122번길 36-13 (득산동),"28123, ",배전반 및 전기 자동제어반 제조업
439,(주)세종이티에스,충청남도 아산시 음봉면 연암율금로 222-6,"29271, 29272",반도체 제조용 기계 제조업 외 1 종
440,(주)세진,충청남도 아산시 음봉면 신휴길 190-20,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
441,(주)세코닉스,충청남도 아산시 신창면 환경공원로 209,"27193, 27301",안경 및 안경렌즈 제조업 외 1 종
442,(주)세크윈,충청남도 아산시 음봉면 연암율금로 329,"29221, ",전자 응용 절삭기계 제조업
443,(주)세프라,충청남도 아산시 둔포면 관대안길 62-38,"20202, ",합성수지 및 기타 플라스틱 물질 제조업
444,(주)세현정공 아산공장,충청남도 아산시 음봉면 신휴리 776번지,"30310, 30400",자동차 엔진용 신품 부품 제조업 외 1 종
445,(주)센솔,충청남도 아산시 염치읍 동정길 37,"29171, 29173",산업용 냉장 및 냉동 장비 제조업 외 1 종
446,(주)센추리,충청남도 아산시 탕정면 음봉로 850 외 2필지,"29172, 29171, 29173",공기 조화장치 제조업 외 2 종
447,(주)센텍,충청남도 아산시 순천향로 1019 (남동),"26421, 26410, 26429, 26521, 26529, 28111, 28903",방송장비 제조업 외 6 종
448,(주)센트라공조,충청남도 아산시 음봉면 음봉로 258,"29172, 29171",공기 조화장치 제조업 외 1 종
449,(주)셀랩,충청남도 아산시 둔포면 윤보선로 291 (주)셀랩,"20423, 20321",화장품 제조업 외 1 종
450,(주)셀마,충청남도 아산시 음봉면 음봉로338번길 30-1,"22192, 25999, 33999",산업용 그 외 비경화 고무제품 제조업 외 2 종
451,(주)셀바이오,충청남도 아산시 도고산로 104 (도고면),"20313, 20499",유기질 비료 및 상토 제조업 외 1 종
452,(주)셀아이콘랩,충청남도 아산시 음봉면 월암로436번길 79-6,"20423, ",화장품 제조업
453,(주)셀텍,충청남도 아산시 둔포면 아산호로 890,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
454,(주)소이빌,"충청남도 아산시 배방읍 호서로79번길 20, 호서대 가공학 및 발효실험동","10743, ",장류 제조업
455,(주)솔라플렉스,충청남도 아산시 음봉면 월산로 128-133,"26129, ",기타 반도체소자 제조업
456,(주)솔테크,충청남도 아산시 둔포면 봉신로230번길 46-5,"22249, 25924",기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종
457,(주)송광,충청남도 아산시 번영로143번길 17 (권곡동),"29120, 29131",유압기기 제조업 외 1 종
458,(주)송덕패키징,충청남도 아산시 음봉면 연암산로 261 ((주)송덕패키징),"16231, 16232",목재 깔판류 및 기타 적재판 제조업 외 1 종
459,(주)송원산업,충청남도 아산시 온천대로1122번길 35-11 (득산동),"25112, 25923, 25999",구조용 금속 판제품 및 공작물 제조업 외 2 종
460,(주)수산세보틱스 아산공장,충청남도 아산시 음봉면 월암로 365 외 2필지,"29161, 29241, 30201, 31201",산업용 트럭 및 적재기 제조업 외 3 종
461,(주)수지개발,충청남도 아산시 음봉면 연암산로 237-46,"23993, ",비금속광물 분쇄물 생산업
462,(주)쉐어앤쉐어,"충청남도 아산시 탕정면 선문로221번길 70, 선문대학교 산학협력단 413B호","28121, ","전기회로 개폐, 보호장치 제조업"
463,(주)스크린솔루션,충청남도 아산시 둔포면 봉신로 278-15 ((주)스크린솔루션),"22292, 26529, 27302","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 2 종"
464,(주)스페이스솔루션,충청남도 아산시 도고면 도고면로 48-47,"29133, ","탭, 밸브 및 유사장치 제조업"
465,(주)스페커,충청남도 아산시 음봉면 연암율금로 288-9,"13229, 18129",기타 직물제품 제조업 외 1 종
466,(주)스프레이디자인,충청남도 아산시 둔포면 관대안길 62-46 외 2필지,"29133, 33999","탭, 밸브 및 유사장치 제조업 외 1 종"
467,(주)승리엔지니어링,충청남도 아산시 영인면 신봉길232번길 114,"28123, ",배전반 및 전기 자동제어반 제조업
468,(주)승정,충청남도 아산시 영인면 신봉길 83-26,"30399, 22241, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 4 종
469,(주)승진기계,충청남도 아산시 환경공원로 59 (실옥동),"29199, ",그 외 기타 일반목적용 기계 제조업
470,(주)시에스,충청남도 아산시 둔포면 윤보선로 361-22 외 3필지,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
471,(주)시온카리스,충청남도 아산시 배방읍 휴대세교길 149,"13922, ",어망 및 기타 끈 가공품 제조업
472,(주)시원한,충청남도 아산시 음봉면 월암로436번길 95,"29171, 29172",산업용 냉장 및 냉동 장비 제조업 외 1 종
473,(주)신광버핑,충청남도 아산시 음봉면 월산로 214-42,"25929, ",그 외 기타 금속가공업
474,(주)신라하이텍 아산,충청남도 아산시 영인면 영인산로 622,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
475,(주)신명RS,충청남도 아산시 영인면 아산호로 346 외 1필지,"28123, ",배전반 및 전기 자동제어반 제조업
476,(주)신성엔지니어링,충청남도 아산시 탕정면 음봉로 850,"29171, 29132, 29172, 29174",산업용 냉장 및 냉동 장비 제조업 외 3 종
477,(주)신성티앤티,충청남도 아산시 음봉면 월산로 190-16 외 1필지,"29169, ",기타 물품 취급장비 제조업
478,(주)신세기,충청남도 아산시 음봉면 연암율금로295번길 68-51,"29271, 29163, 29169, 29272",반도체 제조용 기계 제조업 외 3 종
479,(주)신아하이텍,충청남도 아산시 둔포면 봉신로 278-19,"29271, ",반도체 제조용 기계 제조업
480,(주)신안건업,충청남도 아산시 음봉면 쌍룡리 산 3-1번지,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
481,(주)신영,충청남도 아산시 신창면 서부남로 505,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
482,(주)신영유니크,충청남도 아산시 둔포면 아산호로1082번길 16-17,"29294, ",주형 및 금형 제조업
483,(주)신영이엔지,충청남도 아산시 둔포면 석곡리 1951번지,"29173, 29169, 29174",산업용 송풍기 및 배기장치 제조업 외 2 종
484,(주)신원,충청남도 아산시 신창면 서부남로 448,"30320, ",자동차 차체용 신품 부품 제조업
485,(주)신일건업,충청남도 아산시 염치읍 염성리 136-5번지,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
486,(주)신일레미콘,충청남도 아산시 음봉면 음봉면로30번길 110,"23322, ",레미콘 제조업
487,(주)신진스틸,충청남도 아산시 영인면 와신길60번길 85 외 1필지,"30331, 30391, 30392, 30399, 30400",자동차용 신품 동력전달장치 제조업 외 4 종
488,(주)신진포장,충청남도 아산시 둔포면 윤보선로 403-51,"17211, 17212",골판지 제조업 외 1 종
489,(주)신한이엔지,충청남도 아산시 선장면 서부남로172번길 20,"22249, ",기타 기계.장비 조립용 플라스틱 제품 제조업
490,(주)신한자원,충청남도 아산시 선장면 아산만로 517 ((주)신한자원),"38321, 38322",비금속류 해체 및 선별업 외 1 종
491,(주)신화테크 1공장,"충청남도 아산시 둔포면 관용로 206, (신양리 239-1번지) 외 1필지","25112, ",구조용 금속 판제품 및 공작물 제조업
492,(주)신화테크 2공장,충청남도 아산시 둔포면 관용로 206,"25112, ",구조용 금속판제품 및 금속공작물 제조업
493,(주)신흥팩,충청남도 아산시 둔포면 윤보선로 403-63,"17211, 17212",골판지 제조업 외 1 종
494,(주)실크로드시앤티,충청남도 아산시 둔포면 아산밸리동로 68 외 2필지,"20499, 20495",그 외 기타 분류 안된 화학제품 제조업 외 1 종
495,(주)썬테크,충청남도 아산시 인주면 인주산단로 75-39 ((주)썬테크),"25941, 25912, 25942, 25999",볼트 및 너트류 제조업 외 3 종
496,(주)쎄비오,충청남도 아산시 배방읍 호서로79번길 20 (호서대학교),"15220, ",신발 부분품 제조업
497,(주)씨쓰리,충청남도 아산시 둔포면 이화동길115번길 23 외 1필지,"28122, ",전기회로 접속장치 제조업
498,(주)씨알로보틱스,충청남도 아산시 음봉면 음봉로681번길 48,"29280, ",산업용 로봇 제조업
499,(주)씨앤비텍,충청남도 아산시 배방읍 행단길 45 (㈜씨앤비텍),"22299, ",그 외 기타 플라스틱 제품 제조업
500,(주)씨앤에프,충청남도 아산시 영인면 와신길60번길 113-20,"13992, ",부직포 및 펠트 제조업
501,(주)씨앤제이글로벌,"충청남도 아산시 음봉면 월산로 231, 2동","17909, ",그 외 기타 종이 및 판지 제품 제조업
502,(주)씨앤제이플랜트,충청남도 아산시 음봉면 월산로 128-132,"27215, ",기기용 자동측정 및 제어장치 제조업
503,(주)씨앤티오토메이션,충청남도 아산시 둔포면 이화서길 55-50 외 1필지,"29163, ",컨베이어장치 제조업
504,(주)씨에스,충청남도 아산시 음봉면 연암율금로295번길 32-7,"28511, ",주방용 전기기기 제조업
505,(주)씨에스엠,충청남도 아산시 음봉면 월암로 336-43,"23321, 23993",비내화 모르타르 제조업 외 1 종
506,(주)씨에스켐텍,충청남도 아산시 염치읍 아산로671번길 5-35 외 3필지,"20422, 17212, 20423","치약, 비누 및 기타 세제 제조업 외 2 종"
507,(주)씨엘팜,충청남도 아산시 신창면 가내길 101,"21210, 10797, 10799, 10802",완제 의약품 제조업 외 3 종
508,(주)씨엠산업,충청남도 아산시 둔포면 윤보선로 517,"22291, 22211, 22213, 22292, 22299, 31113, 33302",플라스틱 접착처리 제품 제조업 외 6 종
509,(주)씨엠코머트리얼즈,"충청남도 아산시 음봉면 연암산로 88, 108호","25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업
510,(주)씨케이소닉,충청남도 아산시 탕정면 꾀꼴성길 130-3,"28909, 29199",그 외 기타 전기장비 제조업 외 1 종
511,(주)씨케이이엔지,충청남도 아산시 음봉면 월암로436번길 81-21,"25924, ",절삭가공 및 유사처리업
512,(주)씨케이코퍼레이션,충청남도 아산시 탕정로 484 (음봉면),"31999, ",그 외 기타 달리 분류되지 않은 운송장비 제조업
513,(주)씨케이텍,충청남도 아산시 신창면 궁화로 183 외 7필지,"30399, ",그 외 자동차용 신품 부품 제조업
514,(주)씨티비,충청남도 아산시 염치읍 강청리 294-6,"25929, ",그 외 기타 금속가공업
515,(주)씽크소프트,충청남도 아산시 음봉면 월산로 247,"27216, ",산업처리공정 제어장비 제조업
516,(주)아너시스템도어,"충청남도 아산시 신창면 서부남로 480-38, 5동","25111, ","금속 문, 창, 셔터 및 관련제품 제조업"
517,(주)아노스,"충청남도 아산시 염치읍 서원길 78-2, 2동","23999, ",그 외 기타 분류 안된 비금속 광물제품 제조업
518,(주)아드반텍,충청남도 아산시 산동로 293 -6(음봉면),"29272, ",디스플레이 제조용 기계 제조업
519,(주)아산,충청남도 아산시 음봉면 음봉로681번길 40-48,"29210, 29133",농업 및 임업용 기계 제조업 외 1 종
520,(주)아산 성우하이텍,충청남도 아산시 온천대로1122번길 45-4 (득산동),"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
521,(주)아산금창,충청남도 아산시 염치읍 충무로 471-20,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
522,(주)아산기계,충청남도 아산시 둔포면 충무로 2143,"29294, ",주형 및 금형 제조업
523,(주)아산밸브,충청남도 아산시 음봉면 음봉로681번길 40-34,"29133, ","탭, 밸브 및 유사장치 제조업"
524,(주)아산성우하이텍,충청남도 아산시 신창면 서부남로 591,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
525,(주)아산성우하이텍,충청남도 아산시 선장면 삼봉로162번길 17,"30320, 30399",자동차 차체용 신품 부품 제조업 외 1 종
526,(주)아산성우하이텍 선장공장,충청남도 아산시 선장면 삼봉로162번길 19-11,"30320, ",자동차 차체용 신품 부품 제조업
527,(주)아산엠인터내셔널,충청남도 아산시 배방읍 수철리길 90-15 (아산엠이터네셔) 외 3필지,"29180, ",사무용 기계 및 장비 제조업
528,(주)아성산업,충청남도 아산시 신창면 서부남로 768-11 외 1필지,"17909, ",그 외 기타 종이 및 판지 제품 제조업
529,(주)아세아콘크리트,충청남도 아산시 영인면 신봉리 450-2 외 2필지,"23325, ",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
530,(주)아이바닥,충청남도 아산시 신창면 서부남로 480-7,"22199, ",그 외 기타 고무제품 제조업
