순번,회사명,대표업종차수,대표업종번호,업종번호,업종명,시도,시군구,사업유형,남종업원,여종업원,외국인(남),외국인(여),종업원수
12664,지앤지전선주식회사,11,28302,"28302, ",기타 절연선 및 케이블 제조업,충청남도,예산군,제조업,6,1,,,7
12665,지에스건설(주),11,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,아산시,제조업,6,1,0,0,7
12666,지에스네오텍(주),11,25119,"25119, ",기타 구조용 금속제품 제조업,충청남도,당진시,제조업,10,1,,,11
12667,지에스이엔이(주),11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,계룡시,제조업,20,8,10,,38
12668,지에스테크,11,18119,"18119, 18113",기타 인쇄업 외 1 종,충청남도,아산시,제조업,2,1,0,0,3
12669,지에스텍,11,29271,"29271, ",반도체 제조용 기계 제조업,충청남도,천안시 서북구,제조업,2,0,0,0,2
12670,지에스텍,11,26121,"26121, 26129",발광 다이오드 제조업 외 1 종,충청남도,아산시,제조업,13,2,0,0,15
12671,지에스티반도체장비(주),11,29271,"29271, ",반도체 제조용 기계 제조업,충청남도,천안시 서북구,제조업,22,1,0,0,23
12672,지에이비테크,11,25112,"25112, ",구조용 금속 판제품 및 공작물 제조업,충청남도,아산시,제조업,3,0,0,0,3
12673,지에이치(주),11,10901,"10901, 10902, 10903, 21100",반려동물용 사료 제조업 외 3 종,충청남도,예산군,제조업,12,4,0,0,16
12674,지에이티,11,29271,"29271, 26294, 26299",반도체 제조용 기계 제조업 외 2 종,충청남도,천안시 서북구,제조업,6,1,0,0,7
12675,지에이피시스템 주식회사,11,29210,"29210, ",농업 및 임업용 기계 제조업,충청남도,천안시 서북구,제조업,5,2,1,,8
12676,지에프,11,29271,"29271, ",반도체 제조용 기계 제조업,충청남도,천안시 서북구,제조업,15,1,,,16
12677,지에프에너지(주),11,10832,"10832, ",천연 및 혼합조제 조미료 제조업,충청남도,천안시 서북구,제조업,4,1,0,0,5
12678,지엔에스티(주),11,30399,"30399, 26224, 26299, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 5 종,충청남도,천안시 서북구,제조업,23,57,0,0,80
12679,지엠기공(주),11,29199,"29199, ",그 외 기타 일반목적용 기계 제조업,충청남도,계룡시,제조업,5,2,,,7
12680,지엠비코리아(주),11,30310,"30310, 30331, 30400",자동차 엔진용 신품 부품 제조업 외 2 종,충청남도,서산시,제조업,77,56,44,12,189
12681,지엠산업,11,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,금산군,제조업,2,1,,,3
12682,지엠산업 제2공장,11,25113,"25113, ",육상 금속 골조 구조재 제조업,충청남도,금산군,제조업,3,0,,,3
12683,지엠정밀광학 주식회사,11,23119,"23119, ",기타 판유리 가공품 제조업,충청남도,천안시 서북구,제조업,0,0,0,0,0
12684,지영산업,11,23231,"23231, ","점토 벽돌, 블록 및 유사 비내화 요업제품 제조업",충청남도,금산군,제조업,4,1,,,5
12685,지오그린텍주식회사,11,10901,"10901, 10903, 20312, 20499, 21301",반려동물용 사료 제조업 외 4 종,충청남도,서천군,제조업,8,1,0,0,9
12686,지오웨이 주식회사,11,22259,"22259, 22251",기타 플라스틱 발포 성형제품 제조업 외 1 종,충청남도,홍성군,제조업,2,,,,2
12687,지원산업,11,22223,"22223, ",플라스틱 창호 제조업,충청남도,금산군,제조업,8,2,,,10
12688,지원상사,11,30320,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종,충청남도,아산시,제조업,3,0,0,0,3
12689,지원테크놀로지,11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,천안시 서북구,제조업,5,0,0,0,5
12690,지은시스템,11,29120,"29120, ",유압기기 제조업,충청남도,천안시 동남구,제조업,5,0,0,0,5
12691,지제이엠(주),11,26323,"26323, ",컴퓨터 프린터 제조업,충청남도,천안시 서북구,제조업,2,2,0,0,4
12692,지케이산업,11,22212,"22212, ",플라스틱 필름 제조업,충청남도,아산시,제조업,5,1,0,0,6
12693,지코아(주),11,25929,"25929, ",그 외 기타 금속가공업,충청남도,공주시,제조업,9,1,,,10
12694,지큐에스,11,29163,"29163, 29169",컨베이어장치 제조업 외 1 종,충청남도,아산시,제조업,4,1,0,0,5
12695,지투파워(주),11,25113,"25113, 28111, 28119",육상 금속 골조 구조재 제조업 외 2 종,충청남도,금산군,제조업,3,0,,,3
12696,지티에스(주),11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,천안시 동남구,제조업,20,10,0,0,30
12697,지파워텍,11,24321,"24321, ",알루미늄주물 주조업,충청남도,천안시 서북구,제조업,4,1,0,0,5
12698,지폴드 에어싸인,11,33910,"33910, ",간판 및 광고물 제조업,충청남도,서천군,제조업,1,0,0,0,1
12699,지피아이(주),11,28909,"28909, ",그 외 기타 전기장비 제조업,충청남도,천안시 서북구,제조업,4,3,,,7
12700,지피에스코리아(주),11,22251,"22251, 22259",폴리스티렌 발포 성형제품 제조업 외 1 종,충청남도,천안시 서북구,제조업,39,6,0,0,45
12701,지피엠,11,20202,"20202, ",합성수지 및 기타 플라스틱 물질 제조업,충청남도,아산시,제조업,5,0,0,0,5
12702,지한이엔씨,11,25112,"25112, ",구조용 금속 판제품 및 공작물 제조업,충청남도,아산시,제조업,2,3,0,0,5
12703,직통미트 주식회사,11,10122,"10122, ",육류 포장육 및 냉동육 가공업 (가금류 제외),충청남도,계룡시,제조업,3,5,,,8
12704,진경식품,11,10309,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업,충청남도,예산군,제조업,11,7,0,0,18
12705,진광,11,29271,"29271, ",반도체 제조용 기계 제조업,충청남도,아산시,제조업,12,3,0,0,15
12706,진광산기(주),11,25113,"25113, 25114, 29171",육상 금속 골조 구조재 제조업 외 2 종,충청남도,천안시 서북구,제조업,6,1,0,0,7
12707,진광학,11,27195,"27195, ",안경 및 안경렌즈 제조업,충청남도,금산군,제조업,,,,,0
12708,진광학,11,27195,"27195, 27301",안경 및 안경렌즈 제조업 외 1 종,충청남도,금산군,제조업,4,3,0,0,7
12709,진데크,11,25112,"25112, 25929, 28909, 30391, 30392, 30399, 30400, 31114, 31202",구조용 금속 판제품 및 공작물 제조업 외 8 종,충청남도,금산군,제조업,,,,,0
12710,진도산업기계,11,29169,"29169, ",기타 물품 취급장비 제조업,충청남도,당진시,제조업,12,1,0,0,13
12711,진명수산,11,10212,"10212, ",수산동물 건조 및 염장품 제조업,충청남도,보령시,제조업,2,2,,,4
12712,진미수산,11,10220,"10220, ",수산식물 가공 및 저장 처리업,충청남도,서천군,제조업,2,,0,0,2
12713,진보산업,11,13104,"13104, ",연사 및 가공사 제조업,충청남도,논산시,제조업,3,10,0,0,13
12714,진보산업,11,30320,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종,충청남도,천안시 동남구,제조업,3,13,0,0,16
12715,진산업 주식회사,11,23999,"23999, ",그 외 기타 분류 안된 비금속 광물제품 제조업,충청남도,당진시,제조업,0,0,0,0,0
12716,진산업Co,11,14199,"14199, ",그 외 기타 봉제의복 제조업,충청남도,천안시 동남구,제조업,5,1,0,0,6
12717,진샘테크,11,29293,"29293, ",주형 및 금형 제조업,충청남도,천안시 서북구,제조업,5,1,0,0,6
12718,진생바이오텍,11,10895,"10895, ",인삼식품 제조업,충청남도,당진시,제조업,1,2,,,3
12719,진선,11,22232,"22232, ",포장용 플라스틱 성형용기 제조업,충청남도,아산시,제조업,4,0,0,0,4
12720,진성기건,11,25111,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업",충청남도,서천군,제조업,4,0,0,0,4
12721,진성기공,11,29120,"29120, 29222, 29224",유압기기 제조업 외 2 종,충청남도,당진시,제조업,8,1,0,0,9
