순번,회사명,대표업종차수,대표업종번호,업종번호,업종명,시도,시군구,사업유형,남종업원,여종업원,외국인(남),외국인(여),종업원수
1, 수덕산업,11,25923,"25923, ",도장 및 기타 피막처리업,충청남도,천안시 서북구,제조업,4,1,0,0,5
2, 주식회사 아산레미콘,11,23322,"23322, ",레미콘 제조업,충청남도,당진시,제조업,10,1,0,0,11
3, 플렉스폼코리아(유)천안2공장(성거),11,30399,"30399, ",그 외 자동차용 신품 부품 제조업,충청남도,천안시 서북구,제조업,2,2,,,4
4,(농)아이파머스(주),11,10309,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업,충청남도,예산군,제조업,2,4,,,6
5,(사)두리장애인복지회 두리다담사업단,11,22212,"22212, 22231",플라스틱 필름 제조업 외 1 종,충청남도,천안시 동남구,제조업,,,,,0
6,(사)반딧불나눔복지재단 해나루빠삭뽀삭부각,11,10220,"10220, ",수산식물 가공 및 저장 처리업,충청남도,당진시,제조업,10,10,,,20
7,(사)우리들행복나눔장애인복지회(화장지사업단),11,17902,"17902, ",위생용 종이제품 제조업,충청남도,천안시 서북구,제조업,4,1,0,0,5
8,(사)충청남도 장애인보모회 금산지회,11,17902,"17902, ",위생용 종이제품 제조업,충청남도,금산군,제조업,3,2,,,5
9,(사)한국지체장애인협회 공주사업소,11,27214,"27214, 27215, 28123",속도계 및 적산계기 제조업 외 2 종,충청남도,공주시,제조업,10,3,0,0,13
10,(사)한마음장애인복지회,11,28123,"28123, 26410, 26421, 28410, 28422",배전반 및 전기 자동제어반 제조업 외 4 종,충청남도,천안시 동남구,제조업,9,6,,,15
11,(사)희망근로장애인협회 통신사업단,11,26421,"26421, 26310, 26329, 26429, 26519, 28422, 28423, 28429",방송장비 제조업 외 7 종,충청남도,공주시,제조업,10,4,,,14
12,(사)희망근로장애인협회 통신사업단,11,26421,"26421, 26310, 26429, 26519, 28422, 28423, 28429",방송장비 제조업 외 6 종,충청남도,공주시,제조업,12,8,0,0,20
13,(유)2000금속,11,24312,"24312, ",강주물 주조업,충청남도,금산군,제조업,,,,,0
14,(유)거성산업,11,25112,"25112, 25119",구조용 금속 판제품 및 공작물 제조업 외 1 종,충청남도,논산시,제조업,6,,,,6
15,(유)금강스틸구조,11,25113,"25113, ",육상 금속 골조 구조재 제조업,충청남도,서천군,제조업,3,1,,,4
16,(유)금산인삼김개발,11,10220,"10220, ",수산식물 가공 및 저장 처리업,충청남도,금산군,제조업,15,,,,15
17,(유)농업회사법인 오린에프엔비,11,10709,"10709, ",기타 식사용 가공처리 조리식품 제조업,충청남도,청양군,제조업,,,,,0
18,(유)다정수산,11,10219,"10219, ",기타 수산동물 가공 및 저장 처리업,충청남도,보령시,제조업,3,7,,,10
19,(유)다함,11,26421,"26421, 26429, 26521, 26529, 28423, 33910",방송장비 제조업 외 5 종,충청남도,금산군,제조업,3,,,,3
20,(유)대하건설산업,11,25113,"25113, ",육상 금속 골조 구조재 제조업,충청남도,서천군,제조업,3,1,,,4
21,(유)레드,11,28119,"28119, 28909",기타 전기 변환장치 제조업 외 1 종,충청남도,천안시 서북구,제조업,3,,,,3
22,(유)목양,11,10602,"10602, 10601",빵류 제조업 외 1 종,충청남도,논산시,제조업,7,12,0,0,19
23,(유)삼각에프엠씨 웰빙랜드,11,10301,"10301, 10302, 11209",김치류 제조업 외 2 종,충청남도,논산시,제조업,36,35,0,0,71
24,(유)삼원,11,25944,"25944, ",금속선 가공제품 제조업,충청남도,아산시,제조업,19,2,0,0,21
25,(유)서해명가,11,10220,"10220, ",수산식물 가공 및 저장 처리업,충청남도,보령시,제조업,4,6,,,10
26,(유)선양지연지점,11,17901,"17901, ",문구용 종이제품 제조업,충청남도,천안시 동남구,제조업,50,4,0,0,54
27,(유)성진,11,17901,"17901, ",문구용 종이제품 제조업,충청남도,천안시 동남구,제조업,44,2,0,0,46
28,(유)성진에스엔씨,11,29169,"29169, 29199",기타 물품 취급장비 제조업 외 1 종,충청남도,당진시,제조업,15,4,40,,59
29,(유)성진에스엔씨,11,29169,"29169, 29199",기타 물품 취급장비 제조업 외 1 종,충청남도,당진시,제조업,25,5,50,,80
30,(유)세종아스콘산업,11,23991,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,충청남도,공주시,제조업,3,0,0,0,3
31,(유)수산업플랜트,11,25113,"25113, 35114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,서천군,제조업,3,,,,3
32,(유)스벤손코리아,11,13999,"13999, 13224, 13229",그 외 기타 분류 안된 섬유제품 제조업 외 2 종,충청남도,논산시,제조업,2,,,,2
33,(유)신태양아스콘,11,23991,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,충청남도,논산시,제조업,9,1,,,10
34,(유)아스틴,11,20312,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종,충청남도,청양군,제조업,3,,,,3
35,(유)아이티더블유오토모티브코리아 아산공장,11,22299,"22299, ",그 외 기타 플라스틱 제품 제조업,충청남도,아산시,제조업,53,33,0,0,86
36,(유)안성홍삼,11,10895,"10895, ",인삼식품 제조업,충청남도,금산군,제조업,7,,,,7
37,(유)에이엠엠케이,11,22249,"22249, ",기타 기계.장비 조립용 플라스틱 제품 제조업,충청남도,천안시 서북구,제조업,84,6,0,0,90
38,(유)에이엠엠케이 제2공장,11,26221,"26221, ",인쇄회로기판용 적층판 제조업,충청남도,천안시 서북구,제조업,45,3,0,0,48
39,(유)에이엠엠케이 제3공장,11,26221,"26221, ",인쇄회로기판용 적층판 제조업,충청남도,천안시 서북구,제조업,19,1,0,0,20
40,(유)에치비,11,10831,"10831, 10832, 10839","식초, 발효 및 화학 조미료 제조업 외 2 종",충청남도,예산군,제조업,30,10,5,0,45
41,(유)엔비오그린,11,20499,"20499, 20495, 21301",그 외 기타 분류 안된 화학제품 제조업 외 2 종,충청남도,천안시 동남구,제조업,8,0,0,0,8
42,(유)엘케이씨푸드,11,10213,"10213, ",수산동물 냉동품 제조업,충청남도,보령시,제조업,10,16,8,,34
43,(유)영광,11,23911,"23911, ",건설용 석제품 제조업,충청남도,금산군,제조업,,,,,0
44,(유)은호산업,11,17212,"17212, 35114",골판지 상자 및 가공제품 제조업 외 1 종,충청남도,서천군,제조업,5,2,,,7
45,(유)이엔엠이엔씨,11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,천안시 동남구,제조업,6,3,0,0,9
46,(유)중부그린시스템,11,23239,"23239, ",기타 건축용 비내화 요업제품 제조업,충청남도,논산시,제조업,19,6,0,0,25
47,(유)코리아농업개발,11,25999,"25999, 25995",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,충청남도,논산시,제조업,3,1,0,0,4
48,(유)태광타이어,11,22110,"22110, 20202, 22199",고무 타이어 및 튜브 제조업 외 2 종,충청남도,홍성군,제조업,9,2,6,0,17
49,(유)트윈위더스,11,22292,"22292, ","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",충청남도,천안시 서북구,제조업,,,,,0
50,(유)파워,11,25113,"25113, 35114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,서천군,제조업,5,1,,,6
51,(유)피피지코리아,11,20411,"20411, ",일반용 도료 및 관련제품 제조업,충청남도,천안시 동남구,제조업,114,1,0,0,115
52,(유)해원,11,25113,"25113, 29169, 35114",육상 금속 골조 구조재 제조업 외 2 종,충청남도,서천군,제조업,4,1,,,5
53,(유)현대철망산업,11,25944,"25944, 13992, 25113, 25114",금속선 가공제품 제조업 외 3 종,충청남도,홍성군,제조업,3,1,0,0,4
54,(자)내포연식품,11,10894,"10894, ",두부 및 유사식품 제조업,충청남도,홍성군,제조업,2,1,0,0,3
55,(자)삼일농업회사법인,11,10511,"10511, ",곡물 도정업,충청남도,논산시,제조업,2,0,0,0,2
56,(자)연합공사,11,25112,"25112, 22223, 25111",구조용 금속 판제품 및 공작물 제조업 외 2 종,충청남도,서산시,제조업,2,1,0,0,3
57,(자)웅진전기,11,28123,"28123, 28422, 33301, 33302",배전반 및 전기 자동제어반 제조업 외 3 종,충청남도,공주시,제조업,4,1,0,0,5
58,(자)한국에이디,11,22211,"22211, 22222, 22229","플라스틱 선, 봉, 관 및 호스 제조업 외 2 종",충청남도,논산시,제조업,7,7,0,0,14
59,(재)청양군지역활성화재단,11,10309,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업,충청남도,청양군,제조업,5,5,,,10
60,(재)충남테크노파크,11,29272,"29272, ",디스플레이 제조용 기계 제조업,충청남도,아산시,제조업,200,0,0,0,200
61,(재)한국자카드섬유연구소,11,13402,"13402, ","직물, 편조원단 및 의복류 염색 가공업",충청남도,공주시,제조업,19,1,0,0,20
62,(주) E.N.BEST 치과산업,11,21301,"21301, 21309",체외 진단 시약 제조업 외 1 종,충청남도,공주시,제조업,6,1,0,0,7
63,(주) 건영에스피지,11,25111,"25111, 22223","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",충청남도,부여군,제조업,5,,,,5
64,(주) 그린텍 에프앤씨,11,10901,"10901, 10902",반려동물용 사료 제조업 외 1 종,충청남도,아산시,제조업,7,3,0,0,10
65,(주) 농업회사법인 돈우,11,10129,"10129, 10122",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,충청남도,아산시,제조업,3,3,0,0,6
66,(주) 대경,11,25929,"25929, ",그 외 기타 금속가공업,충청남도,아산시,제조업,4,2,8,0,14
67,(주) 대명테크,11,30399,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,충청남도,아산시,제조업,4,3,7,4,18
68,(주) 대산에스엠,11,11202,"11202, ",생수 생산업,충청남도,공주시,제조업,15,5,0,0,20
69,(주) 대아콤텍,11,22299,"22299, ",그 외 기타 플라스틱 제품 제조업,충청남도,아산시,제조업,3,0,0,0,3
70,(주) 대창스틸,11,24122,"24122, ",냉간 압연 및 압출 제품 제조업,충청남도,서산시,제조업,70,5,,,75
71,(주) 동양엘리베이터,11,29162,"29162, ",승강기 제조업,충청남도,천안시 서북구,제조업,8,1,0,0,9
72,(주) 두원식품,11,10832,"10832, ",천연 및 혼합조제 조미료 제조업,충청남도,천안시 서북구,제조업,13,5,0,0,18
73,(주) 문화이엔지,11,25119,"25119, ",기타 구조용 금속제품 제조업,충청남도,청양군,제조업,9,2,,,11
74,(주) 바이오리치 ,11,20423,"20423, ",화장품 제조업,충청남도,아산시,제조업,1,1,0,0,2
75,(주) 바이오스탠다드,11,21301,"21301, 21309",체외 진단 시약 제조업 외 1 종,충청남도,아산시,제조업,3,1,0,0,4
76,(주) 부일테크,11,30399,"30399, ",그 외 자동차용 신품 부품 제조업,충청남도,아산시,제조업,3,7,0,0,10
77,(주) 비앤피코리아,11,22231,"22231, ","플라스틱 포대, 봉투 및 유사제품 제조업",충청남도,아산시,제조업,2,2,0,0,4
78,(주) 서광중공업,11,31111,"31111, 31112, 31113",강선 건조업 외 2 종,충청남도,보령시,제조업,10,,,,10
79,(주) 성원엔지니어링,11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,아산시,제조업,12,1,0,0,13
80,(주) 성지 아산공장,11,30399,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,충청남도,아산시,제조업,20,10,0,0,30
81,(주) 수도산업기계,11,29132,"29132, ",기체 펌프 및 압축기 제조업,충청남도,천안시 동남구,제조업,5,1,0,0,6
82,(주) 스패너(Xpanner inc),11,29241,"29241, 34011",건설 및 채광용 기계장비 제조업 외 1 종,충청남도,아산시,제조업,11,1,0,0,12
83,(주) 신일,11,22231,"22231, ","플라스틱 포대, 봉투 및 유사제품 제조업",충청남도,천안시 서북구,제조업,15,5,0,0,20
84,(주) 신흥철강,11,25944,"25944, 13992",금속선 가공제품 제조업 외 1 종,충청남도,태안군,제조업,5,1,0,0,6
85,(주) 쓰리나인,11,25923,"25923, ",도장 및 기타 피막처리업,충청남도,아산시,제조업,15,13,0,0,28
86,(주) 씨엠에스,11,25929,"25929, ",그 외 기타 금속가공업,충청남도,천안시 서북구,제조업,21,0,,,21
87,(주) 에스아이판,11,22199,"22199, ",그 외 기타 고무제품 제조업,충청남도,보령시,제조업,1,,,,1
88,(주) 에스플랜트,11,25113,"25113, ",육상 금속 골조 구조재 제조업,충청남도,보령시,제조업,17,2,,,19
89,(주) 용진,11,25924,"25924, ",절삭가공 및 유사처리업,충청남도,천안시 서북구,제조업,5,4,,,9
90,(주) 우먼패키지,11,17212,"17212, 22222, 22232",골판지 상자 및 가공제품 제조업 외 2 종,충청남도,공주시,제조업,20,30,10,20,80
91,(주) 우진하이텍,10,30201,"30201, 30122",차체 및 특장차 제조업 외 1 종,충청남도,천안시 동남구,제조업,6,1,0,0,7
92,(주) 위드림,11,22292,"22292, ","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",충청남도,아산시,제조업,8,2,0,0,10
93,(주) 자이로,11,29131,"29131, ",액체 펌프 제조업,충청남도,천안시 동남구,제조업,3,1,0,0,4
94,(주) 지에이피,11,26294,"26294, ",전자감지장치 제조업,충청남도,천안시 서북구,제조업,10,0,0,0,10
95,(주) 코스타 2공장,11,25924,"25924, ",절삭가공 및 유사처리업,충청남도,아산시,제조업,4,1,0,0,5
96,(주) 태영금속,11,30320,"30320, 30399",자동차 차체용 신품 부품 제조업 외 1 종,충청남도,아산시,제조업,8,4,16,3,31
97,(주) 파란자동화,11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,천안시 동남구,제조업,4,1,0,0,5
98,(주) 팜스토리 서울사료 천안,11,10901,"10901, 10902, 10903",반려동물용 사료 제조업 외 2 종,충청남도,천안시 서북구,제조업,17,3,0,0,20
99,(주) 피제이아이엔씨,11,13221,"13221, ",침구 및 관련제품 제조업,충청남도,아산시,제조업,16,9,0,0,25
100,(주) 한민,11,25113,"25113, ",육상 금속 골조 구조재 제조업,충청남도,아산시,제조업,5,1,0,0,6
101,(주) 해피브릿지 공주공장,11,10129,"10129, 10122, 10513, 10832, 10901, 10903",육류 기타 가공 및 저장처리업 (가금류 제외) 외 5 종,충청남도,공주시,제조업,27,27,0,0,54
102,(주)365마스크,11,13229,"13229, ",기타 직물제품 제조업,충청남도,아산시,제조업,5,1,0,0,6
103,(주)ABB코리아,11,28119,"28119, 27216, 28123, 29280",기타 전기 변환장치 제조업 외 3 종,충청남도,천안시 서북구,제조업,323,22,0,0,345
104,(주)AME,11,26321,"26321, ",기억장치 제조업,충청남도,천안시 동남구,제조업,30,0,0,0,30
105,(주)BDC,11,24132,"24132, 22299, 24133, 25112, 25113, 25114, 25119, 25995, 25999, 26421, 28422, 28423, 28429",강관 제조업 외 12 종,충청남도,금산군,제조업,30,,,,30
106,(주)BDC 제2공장,11,25113,"25113, 25114, 26421",육상 금속 골조 구조재 제조업 외 2 종,충청남도,금산군,제조업,15,3,,,18
107,(주)IHC,11,30399,"30399, ",그 외 자동차용 신품 부품 제조업,충청남도,아산시,제조업,8,41,0,0,49
108,(주)K론난연,11,13219,"13219, 13213",특수 직물 및 기타 직물 직조업 외 1 종,충청남도,공주시,제조업,5,0,0,0,5
109,(주)MS가스,11,20121,"20121, 20122",수소 제조업 외 1 종,충청남도,천안시 서북구,제조업,27,3,0,0,30
110,(주)MS케미칼,11,20129,"20129, 20119",기타 기초 무기 화학물질 제조업 외 1 종,충청남도,천안시 동남구,제조업,5,0,,,5
111,(주)S&K정공,11,30399,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,충청남도,천안시 동남구,제조업,20,6,0,0,26
112,(주)SB식품,11,10309,"10309, 10839",기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,충청남도,천안시 서북구,제조업,7,1,0,0,8
113,(주)SG글로벌,11,25111,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업",충청남도,당진시,제조업,1,,,,1
114,(주)SHB,11,30399,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,충청남도,서산시,제조업,23,3,0,0,26
115,(주)SIMPAC 당진공장,11,24113,"24113, ",합금철 제조업,충청남도,당진시,제조업,70,0,0,0,70
116,(주)SPG수소 당진지점,11,20121,"20121, 20122",수소 제조업 외 1 종,충청남도,당진시,제조업,12,1,,,13
117,(주)STI,11,29271,"29271, 26211",반도체 제조용 기계 제조업 외 1 종,충청남도,아산시,제조업,150,5,0,0,155
118,(주)SW이엔지,11,25932,"25932, ",일반철물 제조업,충청남도,당진시,제조업,1,0,4,6,11
119,(주)가가월드,11,33301,"33301, 25112, 33302","체조, 육상 및 체력단련용 장비 제조업 외 2 종",충청남도,논산시,제조업,2,,,,2
120,(주)가나다라정하우징,11,16229,"16229, 25119",기타 건축용 나무제품 제조업 외 1 종,충청남도,아산시,제조업,15,5,0,0,20
121,(주)가나스틸,11,24199,"24199, 24132, 24133",그 외 기타 1차 철강 제조업 외 2 종,충청남도,서산시,제조업,20,4,,,24
122,(주)가나안농업경영기술연구소,11,20312,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종,충청남도,논산시,제조업,18,2,0,0,20
123,(주)가나텍,11,27213,"27213, ","물질 검사, 측정 및 분석기구 제조업",충청남도,금산군,제조업,6,0,,,6
124,(주)가람이엔알,11,38311,"38311, 38312",금속류 해체 및 선별업 외 1 종,충청남도,아산시,제조업,3,,,,3
125,(주)가람이엔지,11,29271,"29271, ",반도체 제조용 기계 제조업,충청남도,아산시,제조업,33,2,0,0,35
126,(주)가람지기,8,21213,"21213, ",식품위생용종이제품제조업,충청남도,천안시 서북구,제조업,15,0,0,0,15
127,(주)가람테크,11,29132,"29132, ",기체 펌프 및 압축기 제조업,충청남도,아산시,제조업,10,1,0,0,11
128,(주)가람테크,11,23999,"23999, 19229, 23991, 23995",그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,충청남도,서산시,제조업,4,1,,,5
129,(주)가람텍,11,13300,"13300, 13994",편조원단 제조업 외 1 종,충청남도,공주시,제조업,13,13,1,,27
130,(주)가민무인기술,11,29210,"29210, 31113",농업 및 임업용 기계 제조업 외 1 종,충청남도,당진시,제조업,2,,,,2
131,(주)가야,11,20422,"20422, ","치약, 비누 및 기타 세제 제조업",충청남도,아산시,제조업,5,0,0,0,5
132,(주)가야엔지니어링,11,27212,"27212, ","전자기 측정, 시험 및 분석기구 제조업",충청남도,서산시,제조업,11,1,0,0,12
133,(주)가연,11,25112,"25112, 22299, 25113, 25114, 25119, 28422, 33301, 33302",구조용 금속 판제품 및 공작물 제조업 외 7 종,충청남도,천안시 동남구,제조업,3,1,0,0,4
134,(주)가온에프앤비,11,10309,"10309, 10839",기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,충청남도,천안시 동남구,제조업,7,2,0,0,9
135,(주)가온텍,11,29271,"29271, ",반도체 제조용 기계 제조업,충청남도,천안시 서북구,제조업,10,0,0,0,10
136,(주)가우이엔지,11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,아산시,제조업,5,1,0,0,6
137,(주)갈산,11,20202,"20202, 25995, 25999",합성수지 및 기타 플라스틱 물질 제조업 외 2 종,충청남도,금산군,제조업,3,,,,3
138,(주)감동란,11,10899,"10899, ",그 외 기타 식료품 제조업,충청남도,논산시,제조업,29,43,,4,76
139,(주)강남에너텍,11,29150,"29150, 29171","산업용 오븐, 노 및 노용 버너 제조업 외 1 종",충청남도,보령시,제조업,5,1,0,0,6
140,(주)강민코퍼레이션,11,25112,"25112, 24199",구조용 금속 판제품 및 공작물 제조업 외 1 종,충청남도,아산시,제조업,5,1,0,0,6
141,(주)강산,11,23999,"23999, ",그 외 기타 분류 안된 비금속 광물제품 제조업,충청남도,공주시,제조업,3,,,,3
142,(주)강산,11,30203,"30203, ",트레일러 및 세미트레일러 제조업,충청남도,금산군,제조업,4,1,,,5
143,(주)강원엔티에스,11,25121,"25121, 25122, 25123",산업용 난방보일러 및 방열기 제조업 외 2 종,충청남도,당진시,제조업,4,,,,4
144,(주)강일금속,11,25912,"25912, ",금속 단조제품 제조업,충청남도,서산시,제조업,,,,,0
145,(주)강천건설,11,29293,"29293, ",주형 및 금형 제조업,충청남도,천안시 서북구,제조업,6,2,,,8
146,(주)강토에프엔엘,11,17902,"17902, ",위생용 종이제품 제조업,충청남도,논산시,제조업,4,1,,,5
147,(주)강호,11,30310,"30310, 30320, 30400",자동차 엔진용 신품 부품 제조업 외 2 종,충청남도,보령시,제조업,12,12,,,24
148,(주)거륜,11,30399,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,충청남도,아산시,제조업,15,30,0,0,45
149,(주)거산,11,22299,"22299, 22213",그 외 기타 플라스틱 제품 제조업 외 1 종,충청남도,아산시,제조업,3,1,5,0,9
150,(주)거산케미칼,11,25922,"25922, ",도금업,충청남도,천안시 서북구,제조업,10,0,0,0,10
151,(주)거상펄프산업천안공장,11,17902,"17902, ",위생용 종이제품 제조업,충청남도,천안시 서북구,제조업,6,2,0,0,8
152,(주)거성,11,29272,"29272, 29271",디스플레이 제조용 기계 제조업 외 1 종,충청남도,아산시,제조업,90,6,0,0,96
153,(주)거성금속,11,24212,"24212, ","알루미늄 제련, 정련 및 합금 제조업",충청남도,당진시,제조업,,,,,0
154,(주)거성스틸,11,25929,"25929, ",그 외 기타 금속가공업,충청남도,천안시 동남구,제조업,2,1,2,0,5
155,(주)거성포장 보령지점,11,17211,"17211, 17212, 17221, 17222",골판지 제조업 외 3 종,충청남도,보령시,제조업,12,,,,12
156,(주)건강마을,11,11209,"11209, 10309",기타 비알코올 음료 제조업 외 1 종,충청남도,논산시,제조업,12,13,0,0,25
157,(주)건곤건설산업,11,22229,"22229, 22223",기타 건축용 플라스틱 조립제품 제조업 외 1 종,충청남도,아산시,제조업,20,4,0,0,24
158,(주)건국정밀,11,25999,"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업,충청남도,아산시,제조업,20,2,0,0,22
159,(주)건민이앤씨,11,23993,"23993, ",비금속광물 분쇄물 생산업,충청남도,청양군,제조업,1,0,0,0,1
160,(주)건양,11,23322,"23322, ",레미콘 제조업,충청남도,보령시,제조업,13,4,0,0,17
161,(주)건양이엔씨,11,25994,"25994, 25113",금속 표시판 제조업 외 1 종,충청남도,논산시,제조업,6,1,,,7
162,(주)건양전력,11,28119,"28119, 28111, 28123",기타 전기 변환장치 제조업 외 2 종,충청남도,금산군,제조업,7,6,,,13
163,(주)건영 비앤에프,11,11209,"11209, ",기타 비알코올 음료 제조업,충청남도,천안시 서북구,제조업,10,15,,,25
164,(주)건영아스콘,11,23991,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,충청남도,부여군,제조업,3,2,,,5
165,(주)건영정보통신,11,26421,"26421, ",방송장비 제조업,충청남도,논산시,제조업,2,2,,,4
166,(주)건영철강,11,25119,"25119, ",기타 구조용 금속제품 제조업,충청남도,논산시,제조업,4,1,0,0,5
167,(주)건우인터팩,11,17222,"17222, ",판지 상자 및 용기 제조업,충청남도,천안시 서북구,제조업,13,2,0,0,15
168,(주)건하,11,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,당진시,제조업,5,0,0,0,5
169,(주)건행,11,13992,"13992, ",부직포 및 펠트 제조업,충청남도,아산시,제조업,10,0,0,0,10
170,(주)건화,11,16292,"16292, ",장식용 목제품 제조업,충청남도,논산시,제조업,20,11,0,0,31
171,(주)건화서비스,11,28121,"28121, 28122, 28123","전기회로 개폐, 보호장치 제조업 외 2 종",충청남도,천안시 서북구,제조업,6,1,0,0,7
172,(주)건화서비스,11,28121,"28121, 28122","전기회로 개폐, 보호장치 제조업 외 1 종",충청남도,천안시 서북구,제조업,4,1,0,0,5
173,(주)검배촌건강마을,11,25932,"25932, ",일반철물 제조업,충청남도,논산시,제조업,5,1,,,6
174,(주)게링코리아,11,29193,"29193, ",동력식 수지공구 제조업,충청남도,당진시,제조업,33,9,0,0,42
175,(주)견지포장,11,17229,"17229, ",기타 종이 상자 및 용기 제조업,충청남도,천안시 서북구,제조업,4,1,1,,6
176,(주)경남금속,11,24321,"24321, ",알루미늄주물 주조업,충청남도,홍성군,제조업,26,4,3,,33
177,(주)경덕산업,11,27199,"27199, ",그 외 기타 의료용 기기 제조업,충청남도,공주시,제조업,12,8,0,0,20
178,(주)경도전자,11,26121,"26121, 26129, 26410, 27214",발광 다이오드 제조업 외 3 종,충청남도,천안시 서북구,제조업,40,10,0,0,50
179,(주)경동에버런,11,28520,"28520, ",가정용 비전기식 조리 및 난방 기구 제조업,충청남도,아산시,제조업,10,0,11,0,21
180,(주)경동원 아산2공장,11,25111,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업",충청남도,아산시,제조업,30,5,0,0,35
181,(주)경동원 아산공장,11,22251,"22251, 20202, 22259, 23999",폴리스티렌 발포 성형제품 제조업 외 3 종,충청남도,아산시,제조업,150,45,0,0,195
182,(주)경동폴리움,11,22213,"22213, 22249",플라스틱 시트 및 판 제조업 외 1 종,충청남도,아산시,제조업,50,20,0,0,70
183,(주)경동한방제약,11,10895,"10895, 10897, 10899",인삼식품 제조업 외 2 종,충청남도,금산군,제조업,2,1,,,3
184,(주)경림,11,16231,"16231, 16232",목재 깔판류 및 기타 적재판 제조업 외 1 종,충청남도,아산시,제조업,44,0,0,0,44
185,(주)경민에프에이,11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,천안시 서북구,제조업,13,2,0,0,15
186,(주)경보엔지니어링,11,25121,"25121, ",산업용 난방보일러 및 방열기 제조업,충청남도,아산시,제조업,13,2,0,0,15
187,(주)경보제약,11,21100,"21100, ",기초 의약 물질 제조업,충청남도,아산시,제조업,170,30,0,0,200
188,(주)경보제약 2공장,11,21100,"21100, 21301",기초 의약 물질 제조업 외 1 종,충청남도,아산시,제조업,380,120,0,0,500
189,(주)경성에프에이,11,29271,"29271, 29272",반도체 제조용 기계 제조업 외 1 종,충청남도,아산시,제조업,7,2,,,9
190,(주)경성인더스트리,11,25924,"25924, ",절삭가공 및 유사처리업,충청남도,천안시 서북구,제조업,,,,,0
191,(주)경성인물,11,25931,"25931, 25921, 35114, 35115, 35119",날붙이 제조업 외 4 종,충청남도,아산시,제조업,25,2,6,0,33
192,(주)경성플랜트,11,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,당진시,제조업,8,2,0,0,10
193,(주)경수제철건설,11,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,당진시,제조업,55,5,,,60
194,(주)경신엘에스,11,14199,"14199, ",그 외 기타 봉제의복 제조업,충청남도,천안시 서북구,제조업,15,,0,0,15
195,(주)경신전선,11,28302,"28302, 30310, 30400",기타 절연선 및 케이블 제조업 외 2 종,충청남도,천안시 서북구,제조업,230,20,0,0,250
196,(주)경안섬유,11,13211,"13211, ",면직물 직조업,충청남도,예산군,제조업,15,1,0,0,16
197,(주)경양산업,9,30320,"30320, 22291",자동차 차체용 부품 제조업 외 1 종,충청남도,예산군,제조업,30,10,0,0,40
198,(주)경원사료,11,10901,"10901, 10902, 10903",반려동물용 사료 제조업 외 2 종,충청남도,당진시,제조업,10,1,0,0,11
199,(주)경원에프앤비,11,10901,"10901, 10902, 10903",반려동물용 사료 제조업 외 2 종,충청남도,당진시,제조업,14,8,0,0,22
200,(주)경인,11,20499,"20499, 20495, 21301",그 외 기타 분류 안된 화학제품 제조업 외 2 종,충청남도,당진시,제조업,19,1,0,0,20
201,(주)경인양행,11,20491,"20491, ",감광재료 및 관련 화학제품 제조업,충청남도,예산군,제조업,14,2,,,16
202,(주)경일산업,11,29133,"29133, ","탭, 밸브 및 유사장치 제조업",충청남도,천안시 동남구,제조업,30,2,0,0,32
203,(주)경일엔텍,11,29163,"29163, 29169",컨베이어장치 제조업 외 1 종,충청남도,당진시,제조업,5,0,0,0,5
