순번,회사명,대표자명,공장대표주소(도로명),업종명
232,제제,김소연,"부산광역시 금정구 금강로 571-7, 1층 (구서동)",간판 및 광고물 제조업
233,조은금속,조상민,부산광역시 금정구 회천로19번길 10 (회동동),구조용 금속 판제품 및 공작물 제조업
234,조은장갑,유서미외 2명,"부산광역시 금정구 회천로19번길 9, 지층 (회동동)",기타 편조의복 액세서리 제조업
235,주식회사 감동스토리,강현일,"부산광역시 금정구 개좌로 15, 3층 (서동)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
236,주식회사 글로렉스,송희창,"부산광역시 금정구 중앙대로 1946, 1층 (남산동)",구조용 금속 판제품 및 공작물 제조업 외 2 종
237,주식회사 금정하이텍,신왕기,"부산광역시 금정구 공단동로41번길 10, 605호(금사동, 보림팩토피아) 605호",부직포 및 펠트 제조업
238,주식회사 대하필터,박상진,"부산광역시 금정구 금사로 106 (금사동, 금정갈비)",그 외 기타 분류 안된 섬유제품 제조업
239,주식회사 동남계전,문창민,"부산광역시 금정구 동천로 6(회동동, 동남계전)",배전반 및 전기 자동제어반 제조업 외 2 종
240,주식회사 디엔테크윈,남정탄,"부산광역시 금정구 금사로 227, 1층 일부 (회동동)",일반용 전기 조명장치 제조업 외 1 종
241,주식회사 디케이산업,이순창,부산광역시 금정구 서금로 37-13 (서동),"금속 문, 창, 셔터 및 관련제품 제조업"
242,주식회사 랩904,김현우,"부산광역시 금정구 반송로 492, 1층 (금사동)",플라스터 혼합제품 제조업
243,주식회사 루고랩스,강지훈,부산광역시 금정구 동천로7번길 48-19 (회동동),디지털 적층 성형기계 제조업
244,주식회사 리프패럿,김승수,부산광역시 금정구 공단동로29번길 47(금사동),배합 사료 제조업
245,주식회사 미래다이스,유문현,"부산광역시 금정구 개좌로 165 (회동동, 기수정밀)",주형 및 금형 제조업
246,주식회사 부일필터,정현주,부산광역시 금정구 개좌로 204(회동동),액체 여과기 제조업 외 3 종
247,주식회사 사회복지동행,정은호,"부산광역시 금정구 구서온천천로 59, 지하1층(구서동, 하나로아파트 3차)",기타 식품 첨가물 제조업
248,주식회사 스마트에프앤디,송수만,"부산광역시 금정구 개좌로 9, 2층(서동)",셔츠 및 블라우스 제조업 외 11 종
249,주식회사 신일축산,김남규,"부산광역시 금정구 공단서로8번길 26, 2층(금사동)",육류 포장육 및 냉동육 가공업 (가금류 제외)
250,주식회사 싱싱로드,홍병유,"부산광역시 금정구 공단동로41번길 35, 4층 (금사동)",합성수지 및 기타 플라스틱 물질 제조업 외 4 종
251,주식회사 씨지씨,고현규,부산광역시 금정구 산성로 424-1(금성동),커피 가공업
252,주식회사 씨큐테크,황윤순,"부산광역시 금정구 중앙대로 2013, 2층(남산동, 동수빌딩)",방송장비 제조업 외 2 종
253,주식회사 아벡스테크닉,이종만,"부산광역시 금정구 공단동로41번길 10, 2층 206호(금사동, 보림팩토피아) 2층 206호",기타 무선 통신장비 제조업 외 2 종
254,주식회사 아이비인터내셔날,김홍문,"부산광역시 금정구 공단동로29번길 46, 1층 (금사동)",기타 신발 제조업 외 4 종
255,주식회사 알코에스씨,김영일,부산광역시 금정구 개좌로 260 (회동동),그 외 자동차용 신품 부품 제조업 외 3 종
256,주식회사 에스엠어패럴,송재만,"부산광역시 금정구 개좌로 9, 3층(서동)","근무복, 작업복 및 유사의복 제조업 외 9 종"
257,주식회사 에이비스포츠,허창균,"부산광역시 금정구 공단로50번길 1, A동 2층, 3층 (금사동)","근무복, 작업복 및 유사의복 제조업 외 3 종"
258,주식회사 에코시즌,정원화,"부산광역시 금정구 동천로 4, 1층 (회동동)",그 외 기타 달리 분류되지 않은 제품 제조업
259,주식회사 에코이,강예슬,"부산광역시 금정구 반송로490번길 23, (건물전체 중 공장동 1층 일부 제외) (금사동)",기체 여과기 제조업
260,주식회사 엠디에프앤씨,오수희,"부산광역시 금정구 금사로 75, 2층 (금사동)",남자용 겉옷 제조업 외 9 종
261,주식회사 엠씨,정연규,부산광역시 금정구 안뜰로20번길 42 (구서동),기체 여과기 제조업
262,주식회사 올립스,하현수,"부산광역시 금정구 중앙대로 2140, B103호 (청룡동)",커튼 및 유사제품 제조업
263,주식회사 우성실업,김종학,부산광역시 금정구 개좌로 158-20 (회동동),면직물 직조업 외 1 종
264,주식회사 우정컴퍼니,고정완,"부산광역시 금정구 금사로 101, 금사동 56-21번지 외 1필지 지하 (금사동)","근무복, 작업복 및 유사의복 제조업 외 12 종"
265,주식회사 우정컴퍼니,고정완,"부산광역시 금정구 공단동로41번길 37, 2층(금사동, 은하정밀)",남자용 겉옷 제조업 외 12 종
266,주식회사 유니키,김재범,부산광역시 금정구 금샘로 540 (남산동) 지하1층,유선 통신장비 제조업 외 1 종
267,주식회사 이룸에프앤씨,김남규,"부산광역시 금정구 공단서로8번길 26, 2층(금사동)",천연 및 혼합조제 조미료 제조업
268,주식회사 제이앤,박영진,부산광역시 금정구 공단로 68-4(금사동),기타 음향기기 제조업 외 4 종
269,주식회사 포앤텍,임광춘,"부산광역시 금정구 개좌로 15, B동 (서동) 외 1필지",간판 및 광고물 제조업 외 18 종
270,주식회사 포앤텍,임광춘,부산광역시 금정구 개좌로 13 (서동),간판 및 광고물 제조업 외 22 종
271,주식회사 한국몰드,이재화,부산광역시 금정구 동천로7번길 14 (회동동),그 외 기타 플라스틱 제품 제조업
272,주식회사 허브동산,장기웅,"부산광역시 금정구 중앙대로 1946 (남산동, 동신약국)",기타 구조용 금속제품 제조업 외 1 종
273,주식회사 호암이엘,배범석,"부산광역시 금정구 공단동로29번길 42, 2층 (금사동)",배전반 및 전기 자동제어반 제조업 외 4 종
274,주식회사동부애드컴,안병영,부산광역시 금정구 공단로50번길 1 (금사동),간판 및 광고물 제조업 외 5 종
275,주식회사브로넷,정지원,"부산광역시 금정구 남산로 41, 지하1층(남산동, EditionB) 외 1필지",비디오 및 기타 영상기기 제조업 외 2 종
276,주식회사어드벤텍,이주호,"부산광역시 금정구 공단동로41번길 10,  보림팩토피아 609호 (금사동)",기타 전기 변환장치 제조업 외 1 종
277,주식회사엘삼성정밀,김태열,부산광역시 금정구 반송로490번길 38-12 (금사동),그 외 기타 특수목적용 기계 제조업 외 1 종
278,주앤솝,박선주,부산광역시 금정구 구서중앙로15번길 1 (구서동),계면활성제 제조업 외 3 종
279,지니텍,이대욱,부산광역시 금정구 공단동로 51(금사동),그 외 기타 전자부품 제조업 외 3 종
280,지오센스멀티테크,지효선,부산광역시 금정구 동천로7번길 48-8 (회동동),그 외 기타 전자부품 제조업 외 1 종
281,진성NTC,곽진성,"부산광역시 금정구 개좌로 73, 2층 (금사동)",접착제 및 젤라틴 제조업
282,찰스인코리아,BAEK CHARLES,"부산광역시 금정구 서부로 62, 1층(서동)","천막, 텐트 및 유사 제품 제조업 외 11 종"
283,천지정밀산업,이도섭,"부산광역시 금정구 반송로489번길 6 (금사동, 천지정밀산업)",고무패킹류 제조업 외 31 종
284,케이엠제이(주),최희란,"부산광역시 금정구 공단동로41번길 10, 7층 701 (금사동) 7층 701호",완제 의약품 제조업
285,케이텍,오상민,"부산광역시 금정구 오륜대로 57, 정보공학관 B동 001호(부곡동, 부산가톨릭대학교)",무인 항공기 및 무인 비행장치 제조업
286,코리아마린솔루션,"최기원,한유미","부산광역시 금정구 금샘로 556-1, (3층) (남산동)",그 외 기타 전기장비 제조업 외 1 종
287,태경비철금속,유태경,부산광역시 금정구 개좌로 213 (회동동),기타 1차 비철금속 제조업
288,태광산업(주),심재혁,부산광역시 금정구 구서동 90번지,화학섬유 방적업 외 2 종
289,태광제재소,이방규,"부산광역시 금정구 반송로 407 (금사동, 하이마트)",일반 제재업
290,태성,박기호,"부산광역시 금정구 개좌로 101, 지하1층, 1층일부 (금사동)",기타 직물제품 제조업 외 19 종
291,태양MK,이상욱,부산광역시 금정구 반송로 381 (서동),금속 위생용품 제조업 외 7 종
292,태양전자공업,이주호,"부산광역시 금정구 공단동로41번길 10,  보림팩토피아 708호 (금사동)",그 외 기타 전자부품 제조업 외 1 종
293,태양정밀,김정옥,부산광역시 금정구 공단동로41번길 21 (금사동),그 외 자동차용 신품 부품 제조업 외 3 종
294,태양정밀조명,김성환,부산광역시 금정구 범어천로52번길 20 (남산동),운송장비용 조명장치 제조업 외 1 종
295,태양후렘,이상주,부산광역시 금정구 공단동로55번길 1 (금사동),간판 및 광고물 제조업 외 5 종
296,토탈엠에이티(주),유도현,"부산광역시 금정구 공단동로41번길 10, 6층 602 (금사동)",기타 무선 통신장비 제조업 외 5 종
297,파낙스이엠 주식회사,"변현호, 홍성혁",부산광역시 금정구 개좌로 181 (회동동),그 외 기타 분류 안된 화학제품 제조업
298,파시온,도민정,"부산광역시 금정구 기찰로 69, , B1(부곡동)",그 외 기타 분류 안된 섬유제품 제조업 외 21 종
299,파이널위즈,이동기,부산광역시 금정구 수원지로22번길 54 (회동동),방송장비 제조업 외 1 종
300,퍼시픽어구공업사,정두철,"부산광역시 금정구 공단로49번길 21 (금사동, 창신기계)",낚시 및 수렵용구 제조업
301,펨텍,김종현,"부산광역시 금정구 공단동로41번길 10, 2층 210호 (금사동)","탭, 밸브 및 유사장치 제조업"
302,포메라스포츠,김경홍,"부산광역시 금정구 금사로 116, 2층(금사동)",셔츠 및 블라우스 제조업 외 1 종
303,푸른화학,황석태,"부산광역시 금정구 동천로7번길 7 (회동동, 유일금속)","플라스틱 포대, 봉투 및 유사제품 제조업"
304,프로메디칼,박미령,부산광역시 금정구 개좌로 191 (회동동) 102호,기타 직물제품 제조업
305,피앤비,김태관,"부산광역시 금정구 서동로73번길 48, 지하1층 (부곡동)",기타 직물제품 제조업 외 20 종
306,피플&시스템,윤오동,부산광역시 금정구 개좌로 15 (서동) 3층,간판 및 광고물 제조업 외 1 종
307,한성패브릭,류용규,"부산광역시 금정구 개좌로 158-20, 2층 (회동동)",침구 및 관련제품 제조업
308,한진테크윈,안치용,부산광역시 금정구 반송로490번길 36 (금사동),플라스틱 필름 제조업 외 1 종
309,한톨식품,전현철,부산광역시 금정구 중앙대로1944번길 35 (구서동),천연 및 혼합조제 조미료 제조업
310,해관금속공업사,박정희,부산광역시 금정구 반송로489번길 24 (금사동),금속 위생용품 제조업
311,해성정밀,김남숙,부산광역시 금정구 공단로 68-21 (금사동),자동차 엔진용 신품 부품 제조업
312,해송판넬,박동미,부산광역시 금정구 동천로 11 (회동동),벽 및 바닥 피복용 플라스틱제품 제조업
313,해창공업사,이진걸,"부산광역시 금정구 개좌로 189-1 (회동동, 해창공업사)",연사 및 가공사 제조업 외 1 종
314,현진공업사,박상철,부산광역시 금정구 동천로7번길 48-14 (회동동),자동차 차체용 신품 부품 제조업 외 1 종
315,협창산업사,김의웅,"부산광역시 금정구 개좌로 91 (금사동, 협창산업사)",신발 부분품 제조업
316,홍부광고산업,정계현,부산광역시 금정구 부곡로 162-8 (부곡동),간판 및 광고물 제조업 외 1 종
317,훈성산업사,이영우,부산광역시 금정구 공단로49번길 14 (금사동),포장용 플라스틱 성형용기 제조업
318,희림상사,오기림,"부산광역시 금정구 금사로107번길 24, 지하1층, 1층좌 (금사동)",침구 및 관련제품 제조업 외 14 종
319,희림상사,오기림,"부산광역시 금정구 금사로 227, A동 2층(회동동)",침구 및 관련제품 제조업 외 14 종
