순번,회사명,대표자명,공장대표주소(도로명),업종명
74,(주)유니크온,이성명,부산광역시 금정구 놀이마당로 9 (청룡동) 2층,배전반 및 전기 자동제어반 제조업 외 2 종
75,(주)이대명과,"김남호, 윤은지",부산광역시 금정구 금사로 144(금사동),과자류 및 코코아 제품 제조업
76,(주)이룸시트,이상현,"부산광역시 금정구 공단로 60, 제1동(1~3층, 4층 일부), 제3동 1층(금사동)",자동차용 신품 의자 제조업
77,(주)이오스디자인,전기수,"부산광역시 금정구 개좌로 29-1, 2층 (서동)",그 외 기타 금속가공업 외 5 종
78,(주)인펙비전,강현인,"부산광역시 금정구 금강로 585, 3층 (구서동)",기타 주변기기 제조업 외 8 종
79,(주)일광엔지니어링,이점호,"부산광역시 금정구 개좌로 216 (회동동, 일광엔지니어링)",자동차용 금속 압형제품 제조업 외 4 종
80,(주)정일화학,정훈,"부산광역시 금정구 공단서로18번길 95 (금사동, 정일화학)",운송장비 조립용 플라스틱제품 제조업 외 1 종
81,(주)제이케이어패럴,전수경,부산광역시 금정구 공단서로8번길 49 (금사동),"근무복, 작업복 및 유사의복 제조업 외 5 종"
82,(주)제일,안중민,"부산광역시 금정구 금사로107번길 24, 3층(금사동)",남자용 겉옷 제조업 외 7 종
83,(주)지에이치이노텍,권유홍,"부산광역시 금정구 반송로 356, 301호 (서동)",그 외 기타 의료용 기기 제조업 외 1 종
84,(주)창성이앤지,지치현,부산광역시 금정구 공단로 68-26 (금사동),배전반 및 전기 자동제어반 제조업
85,(주)코렉스,안광선,"부산광역시 금정구 수원지로 8, 3층 일부 (회동동)",침구 및 관련제품 제조업 외 19 종
86,(주)코리아오션텍,정광현,"부산광역시 금정구 동대로 20, A동 3층전체 (회동동)",선박 구성 부분품 제조업 외 7 종
87,(주)코리아정보통신,김영식,부산광역시 금정구 공단로 68-13 (금사동),컴퓨터 제조업 외 3 종
88,(주)태양이엔지,신맹균,부산광역시 금정구 무학송로 66-1 (부곡동),금속탱크 및 저장용기 제조업 외 1 종
89,(주)태영하이텍,신경섭,"부산광역시 금정구 금사로 166, 1층(회동동, 한일상업사)",고무패킹류 제조업 외 1 종
90,(주)태원에프씨,김학원,"부산광역시 금정구 서부로 73 (서동, 가인독서실)",남자용 겉옷 제조업 외 7 종
91,(주)파크랜드,곽국민,"부산광역시 금정구 반송로 365 (서동, 파크랜드)",남자용 겉옷 제조업 외 1 종
92,(주)파크랜드제7공장,곽국민,"부산광역시 금정구 개좌로 12 (금사동, 파크랜드)",셔츠 및 블라우스 제조업 외 1 종
93,(주)파크유통,임윤자,"부산광역시 금정구 공단로50번길 23 (금사동, 신화물산(주)파크랜드신사복공장)",남자용 겉옷 제조업
94,(주)포앰,정광현,"부산광역시 금정구 동대로 20, 에이동 2층 201호 (회동동)",교통 신호장치 제조업 외 15 종
95,(주)피엘엔코,신용대,"부산광역시 금정구 중군진로 10, 1F (금사동)","근무복, 작업복 및 유사의복 제조업 외 7 종"
96,(주)필립트론,"이인화,도기주",부산광역시 금정구 회천로19번길 18(회동동),교통 신호장치 제조업 외 2 종
97,(주)한국엘에프피,황동근,"부산광역시 금정구 공단동로41번길 10, 609호(금사동, 보림팩토피아) 609호 외 1필지",축전지 제조업
98,(주)한성아이넷,강원수,"부산광역시 금정구 중앙대로1841번길 45 (구서동, 한성빌딩(동은학원))",유선 통신장비 제조업
99,(주)한성전장부산공장,송상길,부산광역시 금정구 팔송로53번길 43 (남산동),자동차용 신품 동력전달장치 제조업 외 1 종
100,(주)한일특수휠타,정종근,부산광역시 금정구 청룡예전로 108 (청룡동),기체 여과기 제조업 외 1 종
101,(주)해림푸드시스템,이은남,"부산광역시 금정구 반송로490번길 14, 1층 (금사동)",도시락류 제조업 외 2 종
102,HBS피아노,황봉수,부산광역시 금정구 공단동로41번길 10 (금사동) 1동 4층 401~403호,건반 악기 제조업
103,SS패션(경동어패럴),박영희외 1명,부산광역시 금정구 반송로 391 (서동),"근무복, 작업복 및 유사의복 제조업 외 7 종"
104,가꿈복지직업재활시설,석진숙,"부산광역시 금정구 금사로 9, 지하2층 B101호(서동, 트레비앙)",경 인쇄업 외 1 종
105,가로테크,문신환,"부산광역시 금정구 동대로 20, A동 1층 (회동동)",기타 신발 제조업
106,거도정밀,최희철,"부산광역시 금정구 개좌로 98 (금사동, 깨끗한사람들)",주형 및 금형 제조업
107,건우초경(주),이기화,"부산광역시 금정구 개좌로 129 (금사동, 세광텍스타일)",주형 및 금형 제조업
108,광명사,이희,"부산광역시 금정구 금사로 206 (회동동, (주) 동광물류)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
109,굿모닝21,김태란,부산광역시 금정구 남산로 49 (남산동),그 외 기타 플라스틱 제품 제조업 외 2 종
110,금강통신(주),이영자,부산광역시 금정구 개좌로 266-19 (회동동),유선 통신장비 제조업 외 7 종
111,금성후직공업사,"오세웅, 오동석",부산광역시 금정구 공단로8번길 30 (금사동) 외 3필지,"천막, 텐트 및 유사 제품 제조업"
112,금양공업사,이민식,"부산광역시 금정구 공단로33번길 30 (금사동, 금양공업사)",날붙이 제조업
113,금호기술(주),권희진,부산광역시 금정구 동부곡로15번길 46 (부곡동),방송장비 제조업 외 2 종
114,금호이엔에스,권대호,"부산광역시 금정구 부곡로 119, 2층 (부곡동)",방송장비 제조업 외 3 종
115,나건 테크노,구본열,부산광역시 금정구 개좌로 62 (금사동),그 외 기타 일반목적용 기계 제조업 외 1 종
116,남광사,류경형,"부산광역시 금정구 회천로13번길 16 (회동동, (주)금동)",그 외 기타 전자부품 제조업 외 1 종
117,남양모방(주),이용문,"부산광역시 금정구 공단로61번길 25 (금사동, 남양모방(주))",모 방적업
118,남정산업,김수근,"부산광역시 금정구 서금로25번안길 20-4(서동, 회림어페럴)",기타 신발 제조업
119,대경,이윤호,부산광역시 금정구 공단서로18번길 67 (금사동),날붙이 제조업 외 1 종
120,대경샷다,권준우,"부산광역시 금정구 반송로 469(금사동, 부산직물공업사)","금속 문, 창, 셔터 및 관련제품 제조업"
121,대동스텐,김석효,부산광역시 금정구 부곡로 27-1 (부곡동),주방용 전기기기 제조업 외 3 종
122,대림로어패럴,고광후,부산광역시 금정구 서금로 37-12 (서동),"근무복, 작업복 및 유사의복 제조업 외 14 종"
123,대림목재,박수찬,부산광역시 금정구 반송로 452 (금사동),플라스틱 창호 제조업
124,대림정밀,최정호,"부산광역시 금정구 공단로 77 (금사동, 대림정밀)",볼트 및 너트류 제조업 외 2 종
125,대성방직(주),김병조,부산광역시 금정구 공단로 68-11 (금사동),모 방적업
126,대성방직(주),김병조,"부산광역시 금정구 공단로33번길 16 (금사동, 대성방직공업사(주))",모 방적업
127,대성화학,정갑열,부산광역시 금정구 동천로7번길 48-21 (회동동),운송장비 조립용 플라스틱제품 제조업 외 1 종
128,대양기계,박상수,"부산광역시 금정구 공단서로8번길 25-7 (금사동, 대양기계)",어망 및 기타 끈 가공품 제조업
129,대유실업,류재긴,"부산광역시 금정구 개좌로 63-1, 부산광역시 금정구 개좌로 63-1(금사동)",그 외 기타 분류 안된 섬유제품 제조업
130,대일기공,김종만,부산광역시 금정구 수원지로 10 (회동동),"증류기, 열교환기 및 가스발생기 제조업 외 1 종"
131,대진문화사,김상태,"부산광역시 금정구 오륜대로 45, 진주타워 101호 (부곡동)",경 인쇄업
132,대한정수,채기명,"부산광역시 금정구 금샘로 557, 1층(남산동, 동림빌딩)",액체 여과기 제조업
133,대현정밀,최성규,"부산광역시 금정구 개좌로 103 (금사동, 대현정밀)",그 외 자동차용 신품 부품 제조업 외 3 종
134,동남계전,문은상,"부산광역시 금정구 동천로 6 (회동동, 동남계전)",배전반 및 전기 자동제어반 제조업 외 2 종
135,동남어패럴,김진호,"부산광역시 금정구 회천로32번길 20 (회동동, 대림산업)",셔츠 및 블라우스 제조업 외 4 종
136,동명화학,김창완,"부산광역시 금정구 개좌로 24 (금사동, 동명화학)","플라스틱 선, 봉, 관 및 호스 제조업"
137,동성아이앤씨 주식회사,최정화,부산광역시 금정구 공단로 68-23(금사동),셔츠 및 블라우스 제조업 외 7 종
138,동신금속,이진우,"부산광역시 금정구 반송로490번길 12-12, 1층 (금사동)",금속 가구 제조업
139,동영TEXTILE,이기식,"부산광역시 금정구 공단로61번길 22 (금사동, 우영섬유)",모직물 직조업
140,동영사,"안광선,신은자","부산광역시 금정구 금사로 35, 2층 (서동)",기타 직물제품 제조업 외 19 종
141,동오그린,심창섭,"부산광역시 금정구 공단동로41번길 10, B1층 101호(금사동, 보림팩토피아) B1층 101호 외 1필지",기타 가정용 전기기기 제조업
142,동원,김주남,"부산광역시 금정구 개좌로 51 (금사동, 명기정밀)",장식용 목제품 제조업 외 8 종
143,동원알미늄,윤갑수,부산광역시 금정구 기찰로 1 (부곡동),"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종"
144,동일고무벨트(주),이윤환,"부산광역시 금정구 공단동로55번길 28 (금사동, 동일고무벨트(주))",고무패킹류 제조업 외 10 종
145,동진사,권경현,"부산광역시 금정구 동부곡로6번길 48, 지하1층 (부곡동)",절연 코드세트 및 기타 도체 제조업
