산업분류,연제구 사업체수,연제구 종사자수,거제1동 사업체수,거제1동 종사자수,거제2동 사업체수,거제2동 종사자수,거제3동 사업체수,거제3동 종사자수,거제4동 사업체수,거제4동 종사자수,연산1동 사업체수,연산1동 종사자수,연산2동 사업체수,연산2동 종사자수,연산3동 사업체수,연산3동 종사자수,연산4동 사업체수,연산4동 종사자수,연산5동 사업체수,연산5동 종사자수,연산6동 사업체수,연산6동 종사자수,연산8동 사업체수,연산8동 종사자수,연산9동 사업체수,연산9동 종사자수
 204.기타 화학제품 제조업,6,8,2,X,1,X,0,0,1,X,0,0,1,X,0,0,0,0,0,0,0,0,1,X,0,0
 205.화학섬유 제조업,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0
 21.의료용 물질 및 의약품 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 211.기초 의약물질 및 생물학적 제제 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 212.의약품 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 213.의료용품 및 기타 의약 관련제품 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 22.고무 및 플라스틱제품 제조업,15,57,1,X,0,0,3,8,1,X,3,4,1,X,0,0,2,X,2,X,1,X,0,0,1,X
 221.고무제품 제조업,1,X,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 222.플라스틱제품 제조업,14,55,1,X,0,0,2,X,1,X,3,4,1,X,0,0,2,X,2,X,1,X,0,0,1,X
 23.비금속 광물제품 제조업,11,38,0,0,1,X,0,0,0,0,2,X,1,X,0,0,1,X,1,X,0,0,3,7,2,X
 231.유리 및 유리제품 제조업,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,1,X,1,X
" 232.내화, 비내화 요업제품 제조업",5,9,0,0,1,X,0,0,0,0,1,X,0,0,0,0,0,0,1,X,0,0,2,X,0,0
" 233.시멘트, 석회, 플라스터 및 그 제품 제조업",2,X,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0,1,X
 239.기타 비금속 광물제품 제조업,1,X,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0
 24.1차 금속 제조업,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0
