title,description,link,pubDate
"[특징주] 다날 상한가, 한국 최초 오픈AI·구글 참여 'AAIF' 합류에 투자...","리눅스 재단 산하의 AAIF는 AI 에이전트 기술 표준화를 목적으로 오픈AI, <b>앤트로픽</b>, 서클, 구글, 마이크로소프트, 아마존 웹서비스(AWS) 등이 멤버로 활동 중인 거대 컨소시엄이다. 다날은 AI 에이전트의 핵심인 결제... ",https://www.widedaily.com/news/articleView.html?idxno=291671,"Mon, 06 Apr 2026 10:20:00 +0900"
"오픈AI CEO-CFO, 상장 시기 이견…&quot;연내상장&quot; vs &quot;시기상조&quot;","한편, 올트먼 CEO가 연내 IPO를 추진하는 데는 경쟁자인 <b>앤트로픽</b>보다 빨리 상장해야 한다는 이유도 있는 것으로 알려졌다. 반면 다리오 아모데이 <b>앤트로픽</b> CEO는 지난 2월 한 팟캐스트에 출연해 &quot;예상대로 기술의 발전... ",https://n.news.naver.com/mnews/article/001/0016004212?sid=104,"Mon, 06 Apr 2026 10:18:00 +0900"
"<b>앤트로픽</b>, '클로드 코드' 외부 도구에 별도 과금…AI 에이전트 생태계 ...",<b>앤트로픽</b>이 인공지능(AI) 코딩 도구 '클로드 코드(Claude Code)'에서 외부 연동 도구 사용에 대해 별도 요금을... <b>앤트로픽</b>은 4일(현지시간)부터 클로드 구독자가 오픈클로 등 외부 하네스(3rd party harness)에 기존 구독 한도를... ,https://www.mstoday.co.kr/news/articleView.html?idxno=101092,"Mon, 06 Apr 2026 10:14:00 +0900"
“인턴에게 ERP 전권을 주겠는가” 오픈클로 도입 전 반드시 들어야 할...,"에이전트가 오픈AI, <b>앤트로픽</b> 또는 다른 원격 모델 서비스를 호출하고, 세일즈포스, 워크데이, 서비스나우, SAP, 오라클, 마이크로소프트 365 또는 커스텀 기업 시스템을 읽고, 클라우드 호스팅 API를 통해 워크플로우를... ",https://www.itworld.co.kr/article/4154368/인턴에게-erp-전권을-주겠는가-오픈클로-도입-전-반드.html,"Mon, 06 Apr 2026 09:56:00 +0900"
&quot;스페이스X 주주되려면 그록 구독해&quot; 머스크의 끼워팔기,"그록은 챗봇의 원조 오픈AI의 챗GPT, <b>앤트로픽</b>의 클로드, 구글의 제미나이에 이어 챗봇 시장점유율 4위에 머물고 있다. 이에 몇몇 투자은행은 그록에 수천만 달러를 쓰겠다고 약속했고, 또 일부는 자사 IT 시스템에... ",https://n.news.naver.com/mnews/article/421/0008871709?sid=104,"Mon, 06 Apr 2026 09:51:00 +0900"
[뉴욕 브리핑] 뉴욕증시 6주만에 반등…트럼프 데드라인·CPI 변수,"◇&quot;런던증시로 와라&quot;…영국, <b>앤트로픽</b> 이중상장 '러브콜' - 영국 정부와 런던시가 미국 국방부와 갈등을 빚는 인공지능(AI) 기업 <b>앤트로픽</b>을 유치하기 위해 속도를 내고 있다. - 영국 일간 파이낸셜타임스(FT)에 따르면... ",https://news.dealsitetv.com/articles/168106,"Mon, 06 Apr 2026 09:44:00 +0900"
"다날, AI 에이전트 재단 'AAIF' 가입 &quot;결제 기술 협업 및 표준화 추진&quot;","다날이 한국 기업 최초로 글로벌 혁신기구 '에이전틱 AI 재단(Agentic AI Foundation, 이하 AAIF)' 공식 멤버로 합류한다고 6일 밝혔다 리눅스 재단 산하의 AAIF는 AI 에이전트 기술 표준화를 목적으로 오픈AI, <b>앤트로픽</b>, 서클... ",https://n.news.naver.com/mnews/article/008/0005340133?sid=101,"Mon, 06 Apr 2026 09:44:00 +0900"
"영국, <b>앤트로픽</b>에 런던 사무소 '러브콜'…오픈AI와 경쟁 불가피",영국 정부가 <b>앤트로픽</b>의 런던 확장과 상장 가능성까지 검토하며 영국 확장을 선언한 오픈AI와 경쟁이 치열해질 것으로 보인다.  [사진: Reve AI] 영국 정부가 생성형 인공지능(AI) 기업 <b>앤트로픽</b>(Anthropic)의 런던 거점... ,https://www.digitaltoday.co.kr/news/articleView.html?idxno=653703,"Mon, 06 Apr 2026 09:36:00 +0900"
"英, <b>앤트로픽</b> 사업 확장 유도…‘AI 주권’ 강화 움직임",영국 정부가 <b>앤트로픽</b>의 자국 내 사업 확장을 유도하고 있다. 미국과의 갈등 국면을 기회로 삼아 연구·투자... 5일(현지시간) 파이낸셜타임스 등 외신에 따르면 영국 과학·혁신·기술(DSIT) 관계자들은 <b>앤트로픽</b>을... ,https://n.news.naver.com/mnews/article/092/0002417519?sid=105,"Mon, 06 Apr 2026 09:31:00 +0900"
"'미 정부 갈등' <b>앤트로픽</b>, 자체 정치자금 슈퍼팩 '앤트로팩' 설립",▲ 다리오 아모데이 <b>앤트로픽</b> 최고경영자(CEO) 미국 정부와 소송전을 벌이고 있는 인공지능(AI) 기업 <b>앤트로픽</b>이 자체 정치자금 모금 기관인 슈퍼팩(SuperPAC·특별정치활동위원회)을 설립했습니다. 5일(현지시간) 미국... ,https://n.news.naver.com/mnews/article/055/0001346137?sid=104,"Mon, 06 Apr 2026 09:19:00 +0900"
궁지에 몰린 AI는 무슨 짓을 할까…<b>앤트로픽</b>의 충격 실험,<b>앤트로픽</b> 연구진이 이 물음에 답하기 위해 나섰다. 최근 발표된 연구 논문에서 충분한 압박을 받은 AI 모델이... 한 실험에서 <b>앤트로픽</b> 연구진은 아직 공개되지 않은 클로드 소넷 4.5 초기 버전에 난도 높은 코딩 과제를... ,https://www.itworld.co.kr/article/4154363/궁지에-몰린-ai는-무슨-짓을-할까앤트로픽의-충격-실.html,"Mon, 06 Apr 2026 09:00:00 +0900"
"'美정부 갈등' <b>앤트로픽</b>, 자체 정치자금 슈퍼팩 '앤트로팩' 설립",기업 <b>앤트로픽</b>이 자체 정치자금 모금 기관인 슈퍼팩(SuperPAC·특별정치활동위원회)을 설립했다. 5일(현지시간) 미국 연방선거위원회(FEC)에 따르면 <b>앤트로픽</b>은 자체 슈퍼팩인 '앤트로팩'(AnthroPAC)의 설립 신고서를 3일... ,https://www.tfmedia.co.kr/news/article.html?no=203420,"Mon, 06 Apr 2026 08:54:00 +0900"
"메리츠證 &quot;네이버, 소프트웨어 부진과 두나무 합병 지연…목표가↓&quot;","이 연구원은 &quot;높아지는 반도체 가격과 <b>앤트로픽</b>·오픈AI의 기업공개(IPO)에 앞선 신모델 공개 이벤트는 소프트웨어 업체들에게 부담으로 작용하고 있다&quot;며 &quot;구글, 아마존 등 글로벌 사업자는 시설투자 비용 증가를... ",https://n.news.naver.com/mnews/article/003/0013868818?sid=101,"Mon, 06 Apr 2026 08:40:00 +0900"
"과장된 슬로건, 공허한 서사… 기업 스토리텔러 시대의 명암","코토넬(Cottonelle)은 당신이 &quot;깨끗해지길(Come Clean)&quot; 원하고, 아메리칸 이글은 &quot;당신의 삶을 살라&quot;라고 주장하며, <b>앤트로픽</b>의 클로드(Claude)는 당신이 영리하다고 가정하면서도 자기 부정을 유도하는 &quot;계속 생각하라&quot;라는... ",https://www.fortunekorea.co.kr/news/articleView.html?idxno=52079,"Mon, 06 Apr 2026 08:26:00 +0900"
"영국-EU, '탈미국' <b>앤트로픽</b> 유치 공세 치열",기업 <b>앤트로픽</b>에 파격적인 유치 공세를 시작한 가운데 유럽연합(EU) 국가들도 가세하면서 글로벌 테크 허브 구축을 위한 경쟁이 치열해지고 있다. 5일(현지시간) 파이낸셜타임즈와 가디언에 따르면 영국은 <b>앤트로픽</b>에... ,http://www.choicenews.co.kr/news/articleView.html?idxno=163316,"Mon, 06 Apr 2026 08:18:00 +0900"
클로드 월 20달러 시대 흔들…오픈클로 ‘별도 과금’ 전환,<b>앤트로픽</b>이 자사 인공지능(AI) 모델 ‘클로드(Claude)’ 구독 서비스에서 외부 에이전트 도구 ‘오픈클로... <b>앤트로픽</b> 측도 “타사 도구는 시스템에 과도한 부담을 준다”며 이번 조치의 배경이 인프라 부담에 있음을... ,https://n.news.naver.com/mnews/article/018/0006250714?sid=105,"Mon, 06 Apr 2026 08:18:00 +0900"
[매아리] 트럼프 &quot;화요일 오후 8시!&quot; 협상 기한 또 연장…이란 &quot;생필품·...,"영국, <b>앤트로픽</b> 확장 적극 추진 영국 정부는 미국의 AI 기업 <b>앤트로픽</b>을 자국에 확장하기 위해 힘쓰고 있습니다. 영국의 과학혁신 기술부 직원들이 <b>앤트로픽</b>의 런던 사무실 확장부터 미국과 영국에 이중 상장하는... ",http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005806809,"Mon, 06 Apr 2026 07:38:00 +0900"
