순번,회사명,공장소재지주소,생산품,업종명,데이터기준일자
399,(주)영신특수코아,,"L1700 FRONT BRAKE DISC 중자, T1200 FRONT BRAKE DISC 중자",주형 및 금형 제조업,2025-08-13
400,(주)영일,경상북도 포항시 남구 대송면 홍계길80번길 24-24,목제 판제품,일반 제재업,2025-08-13
401,(주)영진레미콘,경상북도 포항시 북구 청하면 동해대로 2534-90 ((주)영진아스콘),레미콘,레미콘 제조업 외 3 종,2025-08-13
402,(주)영진이엠티,경상북도 포항시 남구 대송면 송덕로 36 (영진E&C),"산업기계,철구조물",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
403,(주)영테크,경상북도 포항시 남구 대송면 제내길53번길 27,금속절삭가공기,금속 절삭기계 제조업,2025-08-13
404,(주)영흥,경상북도 포항시 남구 대송면 송덕로 7 (대송면),"방청지, 방습지, 판지","적층, 합성 및 특수표면처리 종이 제조업",2025-08-13
405,(주)예도산업,경상북도 포항시 북구 흥해읍 덕장길 35,"샷시, 창호, 문틀, 알루미늄, 창호",플라스틱 창호 제조업 외 1 종,2025-08-13
406,(주)예스테크,"경상북도 포항시 북구 흥해읍 용금길 167, 금장리 608-2","플라스틱 접착처리 제품, 산업용 포장지, 산업용 포장지, 표면처리 제품, 표면처리 특수 종이 제조",골판지 원지 제조업 외 4 종,2025-08-13
407,(주)예스파워테크닉스,"경상북도 포항시 남구 청암로 77, 나노융합기술원 3층 R&D동 및 클린룸 (지곡동)",반도체 소자,발광 다이오드 제조업 외 1 종,2025-08-13
408,(주)오대양,경상북도 포항시 남구 구룡포읍 동해안로 4447-11 외 1필지,"오징어, 과메기 가공품",기타 수산동물 가공 및 저장 처리업,2025-08-13
409,(주)오션네트웍스,경상북도 포항시 남구 연일읍 동문로76번길 11-6,"CCTV, 영상감시장치",방송장비 제조업,2025-08-13
410,(주)오션네트웍스,경상북도 포항시 남구 대해로 140 (대도동),영상감시장치,기타 무선 통신장비 제조업,2025-08-13
411,(주)옵티코,"경상북도 포항시 북구 흥해읍 융합기술로 66, 312호","초음파 진단기, 현미경",전기식 진단 및 요법 기기 제조업 외 1 종,2025-08-13
412,(주)와이브미디어,"경상북도 포항시 북구 흥해읍 신덕로 60, 창업보육센터 123호 (포항대학)","키오스크, 터치모니터 등",컴퓨터 모니터 제조업,2025-08-13
413,(주)와이시스템,경상북도 포항시 남구 연일읍 동문로54번길 55 (총 2 필지) 외 1필지,전기제어반,배전반 및 전기 자동제어반 제조업 외 3 종,2025-08-13
414,(주)와이앤에이치,"경상북도 포항시 북구 흥해읍 달전로 11, 2층",영상감시장치 및 방송장치,유선 통신장비 제조업 외 5 종,2025-08-13
415,(주)와이테크,경상북도 포항시 남구 대송면 운제로 457,전기자동제어반 및 전기부품,배전반 및 전기 자동제어반 제조업,2025-08-13
416,(주)와이펙,경상북도 포항시 남구 연일읍 형산강남로380번길 9 ((주)와이펙) (총 2 필지),철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
417,(주)용마루,경상북도 포항시 남구 청림동 1157-38번지 외 1필지,건설기계정비 및 부품가공,건설 및 채광용 기계장비 제조업,2025-08-13
418,(주)용성,경상북도 포항시 남구 연일읍 형산강남로418번길 9,배전반,배전반 및 전기 자동제어반 제조업,2025-08-13
419,(주)용지,경상북도 포항시 남구 동해면 동해안로 5327,불석B,비금속광물 분쇄물 생산업 외 4 종,2025-08-13
420,(주)우리황토,"경상북도 포항시 북구 청하면 동해대로 2694-67, (월포리 626)",친환경웰빙 황토벽돌,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1 종",2025-08-13
421,(주)우미산업,경상북도 포항시 북구 청하면 고현길17번길 47,"암거블록, 옹벽블력","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",2025-08-13
422,(주)우성기연,경상북도 포항시 북구 기계면 봉계길 82-17,FRP파이프,운송장비 조립용 플라스틱제품 제조업 외 1 종,2025-08-13
423,(주)우전지앤에프,경상북도 포항시 북구 흥해읍 영일만산단남로37번길 7,"황산코발트,황산니켈,황산망간",기타 1차 비철금속 제조업,2025-08-13
424,(주)우전지앤에프,경상북도 포항시 북구 흥해읍 해안로1106번길 54 외 1필지,"황산니켈, 황산코발트, 조탄산리튬, 황산니켈, 황산코발트, 조탄산리튬",운송장비용 이차전지 제조업 외 1 종,2025-08-13
425,(주)우현레미콘,경상북도 포항시 북구 청하면 고현길17번길 41 (총 4 필지) 외 3필지,"레미콘,아스콘, 아스팔트 콘크리트, 콘크리트 블록, 콘크리트 블록, 콘크리트 관, 콘크리트 관",레미콘 제조업 외 4 종,2025-08-13
426,(주)원티에스,경상북도 포항시 남구 철강로 343-10 (호동),마킹머신,기타 가공 공작기계 제조업,2025-08-13
427,(주)원풍씨엔에스,경상북도 포항시 북구 흥해읍 덕장길16번길 50 외 2필지,금속지붕 데크,구조용 금속 판제품 및 공작물 제조업,2025-08-13
428,(주)윈스틸,경상북도 포항시 남구 장흥로39번길 27 (장흥동),"철판제조,GUAED RAIL DECK PLATE",그 외 기타 1차 철강 제조업 외 3 종,2025-08-13
429,(주)윈티앤에스,경상북도 포항시 북구 흥해읍 달전로5번길 106-6,폐쇄회로 카메라 ,방송장비 제조업,2025-08-13
430,(주)유니온,경상북도 포항시 남구 대송면 송덕로 143 ((주)유니온) (총 2 필지),시멘트,시멘트 제조업,2025-08-13
431,(주)유니온레미콘,경상북도 포항시 북구 흥해읍 동해대로1954번길 43 외 2필지,레미콘,레미콘 제조업 외 2 종,2025-08-13
432,(주)유니코정밀화학,경상북도 포항시 남구 섬안로46번길 25 (괴동동),"세정제,방식제",기타 기초 무기 화학물질 제조업 외 3 종,2025-08-13
433,(주)유니코정밀화학,경상북도 포항시 남구 연일읍 형산강남로418번길 68,탄산수소나트륨,기타 기초 무기 화학물질 제조업,2025-08-13
434,(주)유니코정밀화학,"경상북도 포항시 북구 흥해읍 영일만산단남로117번길 71, 외 2필지","VCM 필름 적층 칼라강판(필름부착철판), 방청제, 방청제, Hybrid Graphite Sheet, 방열 액정, 유기 발광 방열 액정, 플라즈마 디스플레이 모듈 및 부분품 제조 등, 전자감지장치, 그라파이트 외, 기타 기초 무기화학물질, 바이오 연료 및 혼합물","도금, 착색 및 기타 표면처리강재 제조업 외 10 종",2025-08-13
435,(주)유비,경상북도 포항시 남구 중앙로 115 (해도동),컴퓨터 키오스크,기타 주변기기 제조업 외 2 종,2025-08-13
436,(주)유비,경상북도 포항시 북구 아치로55번길 13 (우현동),키오스크,기타 주변기기 제조업 외 2 종,2025-08-13
437,(주)유선인터내셔날 포항지점 ,경상북도 포항시 남구 오천읍 철강산단로130번길 227,"산업기계, 밸브, 철 구조물","탭, 밸브 및 유사장치 제조업 외 2 종",2025-08-13
438,(주)유아건설,경상북도 포항시북구 청하면 고현리 252-11 번지,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
439,(주)유아산업,경상북도 포항시 북구 청하면 고현길17번길 70,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
440,(주)유아산업,경상북도 포항시 북구 청하면 고현길17번길 70,금속기계,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
441,(주)유에스티 ,경상북도 포항시 남구 철강로 290 (장흥동),스테인레스강관,강관 제조업 외 1 종,2025-08-13
442,(주)유에스티 제2공장 ,경상북도 포항시 남구 철강로 306 (장흥동),스테인레스 강관 ,강관 제조업,2025-08-13
443,(주)유진,경상북도 포항시 남구 정몽주로848번길 3 (청림동),철구조물(기계제작),육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
444,(주)유진이엔지,경상북도 포항시 남구 연일읍 철강로107번길 61,철구조물,구조용 금속 판제품 및 공작물 제조업,2025-08-13
445,(주)유텍엔지니어링,경상북도 포항시 남구 대송면 장동홍계길80번길 24-24 (대송면),배전반,배전반 및 전기 자동제어반 제조업,2025-08-13
446,(주)유현테크,"경상북도 포항시 남구 오천읍 광명산단로85번길 10, (광명일반산업단지 8블럭 2로트)",칼라시트,절삭가공 및 유사처리업 외 1 종,2025-08-13
447,(주)융진 제1공장,경상북도 포항시 남구 대송면 철강산단로66번길 86,SHOT-BLAST,"도금, 착색 및 기타 표면처리강재 제조업",2025-08-13
448,(주)융진 제2공장,경상북도 포항시 남구 대송면 송덕로 18 ((주)융진) (총 2 필지),조선기자재,도장 및 기타 피막처리업 외 1 종,2025-08-13
449,(주)융진 제3공장 (1동),경상북도 포항시남구 동해면 상정리 79-6번지,형강류,도장 및 기타 피막처리업 외 1 종,2025-08-13
450,(주)융진 제3공장 (2동),경상북도 포항시 남구 동해면 상정길100번길 34 외 4필지,산업기계,그 외 기타 금속가공업,2025-08-13
451,(주)융진 제5공장,경상북도 포항시 남구 오천읍 송덕로212번길 101,조선기자재,그 외 기타 금속가공업,2025-08-13
452,(주)은성씨앤씨,경상북도 포항시 북구 청하면 비학로 1804,공작기계,기타 가공 공작기계 제조업,2025-08-13
453,(주)이너센서,"경상북도 포항시 남구 지곡로 394, 포항테크노파크 309호, 310호 (지곡동)",반도체 소자,기타 반도체소자 제조업,2025-08-13
454,(주)이니스텍,경상북도 포항시 남구 대송면 장흥로 38-27,계장제어장치,배전반 및 전기 자동제어반 제조업,2025-08-13
455,(주)이레바이오,경상북도 포항시 북구 청하면 동해대로 2694-71 (동해화학공업(주)월포공장),"상토,팽창질석",복합비료 및 기타 화학비료 제조업 외 1 종,2025-08-13
456,(주)이스온,경상북도 포항시 북구 흥해읍 영일만산단로118번길 151,CCTV외승하강폴,유선 통신장비 제조업 외 5 종,2025-08-13
457,(주)이에스솔루션즈,경상북도 포항시 남구 연일읍 동문로94번길 8-7,철강표면 산화 반응 촉진제,기타 기초 무기 화학물질 제조업,2025-08-13
458,(주)이에스알,경상북도 포항시 남구 대송면 송덕로126번길 13,폐내화물재생품,비금속류 원료 재생업,2025-08-13
459,(주)이엠에스,경상북도 포항시 남구 오천읍 문덕로63번길 15-4,자동제어반,배전반 및 전기 자동제어반 제조업 외 1 종,2025-08-13
460,(주)이온플럭스,,"흑연, 규소 분말",비금속광물 분쇄물 생산업,2025-08-13
461,(주)이젠테크,경상북도 포항시 남구 동해면 블루밸리동로248번길 8-17 외 1필지,"배전반, 크레인, 발전기 및 조명장치, 용수처리 및 공급장치, 수처리 및 공급장비, 리프트장비 및 액서사리, 전동기 배전반, 태양광발전장치",기타 물품 취급장비 제조업 외 17 종,2025-08-13
462,(주)이젠테크 ,,"배전반, 크레인 등",기타 물품 취급장비 제조업 외 17 종,2025-08-13
463,(주)이현정보통신 남구지점,경상북도 포항시 남구 연일읍 철강로107번길 75-5 A동,금속판제품 외 16종,구조용 금속 판제품 및 공작물 제조업 외 16 종,2025-08-13
464,(주)인동,경상북도 포항시 남구 연일읍 철강로141번길 73,적재함,건설 및 채광용 기계장비 제조업,2025-08-13
465,(주)인동이알씨,경상북도 포항시 남구 청림서길 63 (청림동),산업기계 및 부품,기타 가공 공작기계 제조업,2025-08-13
466,(주)인동티에스,경상북도 포항시 남구 대송면 철강산단로34번길 28,주차장운영,주차장 운영업,2025-08-13
467,(주)인텍,경상북도 포항시 북구 청하면 수목원로 1270,"필라, 칼라스톤",정형 내화 요업제품 제조업 외 1 종,2025-08-13
468,(주)인텍,경상북도 포항시북구 청하면 소동리 518번지 외 2필지 외 2필지,칼라스톤,정형 내화 요업제품 제조업 외 1 종,2025-08-13
469,(주)인텍,경상북도 포항시 북구 청하면 동해대로2315번길 46,Mg주조품,기타 비철금속 주조업,2025-08-13
470,(주)인텍,경상북도 포항시 북구 청하면 동해대로2315번길 54,슬래그 다트,가정용 및 장식용 도자기 제조업,2025-08-13
471,(주)일진포장,경상북도 포항시 북구 흥해읍 도음로 890 외 2필지,골판지상자,골판지 제조업 외 1 종,2025-08-13
472,(주)일진피앤에프,경상북도 포항시 남구 상공로 3 (대도동),강관재 니플,강관 가공품 및 관 연결구류 제조업,2025-08-13
473,(주)자연스레,경상북도 포항시 북구 아치로 37 (우현동),마스크,기타 직물제품 제조업,2025-08-13
474,(주)장덕하드텍 ,경상북도 포항시 남구 오천읍 철강산단로130번길 190-1,롤러표면강화육성 ,그 외 기타 금속가공업,2025-08-13
475,(주)장우,경상북도 포항시 남구 오천읍 철강산단로130번길 207-20 ((주)장우),전기배전반,배전반 및 전기 자동제어반 제조업,2025-08-13
476,(주)재원이엔아이,"경상북도 포항시 남구 정몽주로861번길 28-16(청림동, (주)재원이엔아이)",전기자동 제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
477,(주)정건,경상북도 포항시 북구 청하면 신흥리 565번지 외 7필지,제철설비제작,그 외 기타 금속가공업,2025-08-13
478,(주)정동원,경상북도 포항시 북구 신광면 비학로519번길 35,정수기,액체 여과기 제조업,2025-08-13
479,(주)정우씨엠피,경상북도 포항시 북구 기계면 기북로 20 외 1필지,비금속 광물,그 외 기타 분류 안된 비금속 광물제품 제조업,2025-08-13
480,(주)정우아이앤씨,경상북도 포항시 남구 동해면 동해안로5277번길 18,건축용 철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
481,(주)제이디컴퍼니,경상북도 포항시 남구 호동로58번길 52 (호동),절단금속,그 외 기타 1차 철강 제조업,2025-08-13
482,(주)제이씨에스,경상북도 포항시 남구 중앙로91번길 29-7 (대도동),"엔지니어링,자동제어기기,H/L V/PANEL, PLC",배전반 및 전기 자동제어반 제조업,2025-08-13
483,(주)제이아이테크,경상북도 포항시 남구 오천읍 송덕로212번길 113,"CAP데크, 철판 전처리",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
484,(주)제이에이치플랜트,경상북도 포항시 남구 대송면 철강로 220-10,"철구조물, 산업기계",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
485,(주)제이엔씨,경상북도 포항시 남구 연일읍 형산강남로380번길 8 (재성ENG),내열수지 적층판,플라스틱 접착처리 제품 제조업 외 1 종,2025-08-13
486,(주)제이엔씨,경상북도 포항시 남구 섬안로46번길 3 (괴동동),산업용고무제품,그 외 기타 고무제품 제조업,2025-08-13
487,(주)제이엔씨,경상북도 포항시 남구 연일읍 형산강남로380번길 9,고무제품 제조업,그 외 기타 고무제품 제조업,2025-08-13
488,(주)제이엔테크,경상북도 포항시 남구 연일읍 철강로141번길 15,탈수기,액체 여과기 제조업,2025-08-13
489,(주)제이제이산업,경상북도 포항시 남구 오천읍 철강산단로130번길 198,"포장자재, 철재 내/외주링, 단면측판",그 외 기타 1차 철강 제조업,2025-08-13
490,(주)제이테크,경상북도 포항시 남구 오천읍 철강산단로130번길 207-18,철구조물,육상 금속 골조 구조재 제조업,2025-08-13
491,(주)제일테크노스 제1공장,"경상북도 포항시 남구 장흥로39번길 7 (장흥동, (주)제일테크노스)",테크플레이트,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
492,(주)제일테크노스 제3공장,경상북도 포항시 남구 대송로 199 (괴동동) (총 4 필지),숏트블라스트,도장 및 기타 피막처리업,2025-08-13
493,(주)제일테크노스 제5공장,경상북도 포항시 남구 대송면 송덕로212번길 244,조선용T_바,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
494,(주)제철세라믹,"경상북도 포항시 남구 철강로 443 (장흥동, 제철세라믹)","비료, 건축물 내외장제, 페로니켈",복합비료 및 기타 화학비료 제조업 외 4 종,2025-08-13
495,(주)제철세라믹,경상북도 포항시 남구 호동로 2(호동),철강재 철단 가공,육상 금속 골조 구조재 제조업,2025-08-13
496,(주)제철에프에이,경상북도 포항시 남구 연일읍 철강로107번길 70-6,산업자동화기계,그 외 기타 특수목적용 기계 제조업 외 3 종,2025-08-13
497,(주)주은산업,경상북도 포항시 북구 흥해읍 용금길 207,건축유리제작,안전유리 제조업 외 1 종,2025-08-13
498,(주)주은스틸,경상북도 포항시 남구 철강로 506 (장흥동),"파이프(기계구조용,사각)",강관 제조업 외 1 종,2025-08-13
499,(주)주은스틸,,STEEL PIPE,강관 제조업,2025-08-13
500,(주)중문,경상북도 포항시 북구 청하면 용산길 168,"파이넥스 슈트, 단파",그 외 기타 금속가공업,2025-08-13
501,(주)지에스기어 ,경상북도 포항시 남구 대송면 송덕로126번길 97,"산업용기어, 감속기, 베어링",기어 및 동력전달장치 제조업,2025-08-13
502,(주)지에스기어 2공장,경상북도 포항시 남구 오천읍 철강산단로130번길 187,"기어,베어링,감속기",기어 및 동력전달장치 제조업,2025-08-13
503,(주)지에스알테크,경상북도 포항시 북구 청하면 청하로 51,"내화물원료, 탄산리튬 등",그 외 기타 분류 안된 비금속 광물제품 제조업,2025-08-13
504,(주)지에스피,경상북도 포항시 남구 오천읍 송덕로212번길 71,강관,강관 제조업,2025-08-13
505,(주)지엔씨솔루션,"경상북도 포항시 남구 청암로 67, 6실험동 6102/3, 6201(효자동, 포항산업과학연구원)",제어용 판넬 등,산업처리공정 제어장비 제조업,2025-08-13
506,(주)지이엠,경상북도 포항시 남구 연일읍 동문로94번길 42,"자동화기계, 일반산업기계",기타 직물제품 제조업,2025-08-13
507,(주)진농산업,경상북도 포항시 북구 흥해읍 동해대로1845번길 67,제오라이트,비금속광물 분쇄물 생산업,2025-08-13
508,(주)진명건설,경상북도 포항시 북구 장량로140번길 18-8 (장성동),창문,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",2025-08-13
509,(주)진셀바이오텍,경상북도 포항시 북구 흥해읍 융합기술로 66-2,"산업용효소, 동물의약품",기초 의약 물질 제조업 외 2 종,2025-08-13
510,(주)진양테크,경상북도 포항시 남구 동해면 석리 143번지,"탭, 밸브 및 유상장치 제조업","탭, 밸브 및 유사장치 제조업",2025-08-13
511,(주)차바치,,자동차 관련 내외장용품,전자감지장치 제조업,2025-08-13
512,(주)창,경상북도 포항시 북구 청하면 동해대로2315번길 13-3 ((주)창),커튼,커튼 및 유사제품 제조업,2025-08-13
513,(주)창신산업개발,경상북도 포항시 북구 흥해읍 용천리 1014-2번지,"인공어초블록, 레미콘",그 외 기타 콘크리트 제품 및 유사제품 제조업 외 1 종,2025-08-13
514,(주)창원이앤티,경상북도 포항시 남구 연일읍 형산강남로 390-7 (연일읍),철구조물,절삭가공 및 유사처리업,2025-08-13
515,(주)창원이앤티,경상북도 포항시 남구 연일읍 형산강남로380번길 27,압연기 및 부분품,절삭가공 및 유사처리업,2025-08-13
516,(주)채움푸드,경상북도 포항시 남구 문예로 39 (대도동),시금치 장아찌,과실 및 그 외 채소 절임식품 제조업,2025-08-13
517,(주)천봉특수금속,경상북도 포항시 북구 송라면 삼송길 59,합금주물강,강주물 주조업,2025-08-13
518,(주)천봉특수금속,경상북도 포항시 북구 송라면 삼송길 59 ((주)천봉특수금속),플라스틱창호,플라스틱 창호 제조업,2025-08-13
519,(주)천일가스,경상북도 포항시 남구 호동로 33 (호동),"LPG, 산소,질소",수소 제조업 외 1 종,2025-08-13
520,(주)천일티엘에스,경상북도 포항시 남구 오천읍 광명리 1번지 광명일반산업단지 4B,창고업,일반 창고업 외 1 종,2025-08-13
521,(주)청슬전통도가,경상북도 포항시 북구 기북면 구관길245번길 40,탁주,탁주 및 약주 제조업 외 1 종,2025-08-13
522,(주)청인피에스피,경상북도 포항시 북구 청하면 동해대로2368번길 60-1 외 2필지,철구조물,육상 금속 골조 구조재 제조업,2025-08-13
523,(주)축산랜드,경상북도 포항시 북구 장량로262번길 23 (양덕동),한우부분육,육류 기타 가공 및 저장처리업 (가금류 제외),2025-08-13
524,(주)친정집금치,경상북도 포항시 북구 기계면 인비길45번길 16-5 외 1필지,김치,김치류 제조업 외 1 종,2025-08-13
525,(주)카비,경상북도 포항시 남구 대송면 철강산단로 78,알루미늄 잉곳,"알루미늄 제련, 정련 및 합금 제조업",2025-08-13
526,(주)카이시스,경상북도 포항시 남구 대이로15번길 18 (대잠동),산업용계측장치 외 전기제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
527,(주)캐노아,경상북도 포항시 북구 용당로 24-6 (용흥동) 외 1필지,디지털 무선 송수신 장치,기타 무선 통신장비 제조업,2025-08-13
528,(주)케머스코리아,경상북도 포항시 남구 오천읍 철강산단로130번길 187-8,보관창고,기타 보관 및 창고업,2025-08-13
529,(주)케머스코리아,경상북도 포항시 남구 대송면 장흥로 38-33,운활유 및 그리스,윤활유 및 그리스 제조업,2025-08-13
530,(주)케스트,경상북도 포항시 북구 기계면 성계길 226,연소장치 및 가열설비,그 외 기타 금속가공업,2025-08-13
531,(주)케이대응로봇,"경상북도 포항시 북구 흥해읍 해안로1106번길 30, 314호",연구,기타 공학 연구개발업,2025-08-13
532,(주)케이아이씨,경상북도 포항시 북구 청하면 고현길17번길 47,"철구조물, 제철설비, 특정설비",기타 구조용 금속제품 제조업,2025-08-13
533,(주)케이알엠,경상북도 포항시 남구 철강로314번길 53 (장흥동),전융 마그네시아 클린커,정형 내화 요업제품 제조업 외 1 종,2025-08-13
534,(주)케이알티,경상북도 포항시 남구 대송면 철강로492번길 76 (주식회사케이알티),"고화재,그라우트재",비내화 모르타르 제조업,2025-08-13
535,(주)케이알티 2공장,경상북도 포항시 남구 철강로 521 (장흥동) 외 2필지,비금속광물 분쇄물,비금속광물 분쇄물 생산업,2025-08-13
536,(주)케이알티 기계공장,경상북도 포항시 북구 기계면 새마을로 2012,"특수모르타르, 특수시멘트",비내화 모르타르 제조업,2025-08-13
537,(주)케이에스티,경상북도 포항시 남구 대송면 송덕로 30,"페로실리콘 브리켓, 페로망간",합금철 제조업 외 3 종,2025-08-13
538,(주)케이엠엠아이,,영구자석,그 외 기타 분류 안된 금속 가공 제품 제조업,2025-08-13
539,(주)케이엠엠아이 ,,영구자석,그 외 기타 분류 안된 금속 가공 제품 제조업,2025-08-13
540,(주)케이유테크,경상북도 포항시 남구 오천읍 철강산단로130번길 187-6,산업기계 및 건설 해양 플랜트 제작,기타 구조용 금속제품 제조업,2025-08-13
541,(주)케이이앤피,경상북도 포항시 남구 오천읍 송덕로 207 (PSP주식회사),STS 스크랩,금속류 해체 및 선별업 외 1 종,2025-08-13
542,(주)케이이앤피,,스테인레스  스크랩 가공품,금속류 해체 및 선별업,2025-08-13
543,(주)케이이앤피 포항제2공장,경상북도 포항시 남구 오천읍 송덕로 200,보관창고,일반 창고업 외 1 종,2025-08-13
544,(주)케이텍,경상북도 포항시 남구 뱃머리길 16 (상도동),컴퓨터주변기기 외,배전반 및 전기 자동제어반 제조업 외 7 종,2025-08-13
545,(주)케이피코리아,경상북도 포항시 북구 신광면 비학로519번길 42,공작기계,기타 가공 공작기계 제조업,2025-08-13
546,(주)코스와이어,경상북도 포항시 남구 대송면 송덕로126번길 38,스테인레스 와이어,철강선 제조업,2025-08-13
547,(주)코스틸 포항1공장,경상북도 포항시 남구 호동로 35 외 4필지,"선재(WIRE ROD), 철근, 매쉬망, 철근매트",철강선 제조업 외 2 종,2025-08-13
548,(주)코스틸 포항3공장,"경상북도 포항시 남구 호동로58번길 40 (호동, (주)코스틸제2공장)","철강선,철못",철강선 제조업 외 1 종,2025-08-13
549,(주)코아시스템,경상북도 포항시 남구 연일읍 철강로107번길 75-1,산업자동화 기계장치 제조업,기기용 자동측정 및 제어장치 제조업,2025-08-13
550,(주)코아시스템,경상북도 포항시 남구 연일읍 철강로107번길 46,"배전반, 전기 자동제어반",배전반 및 전기 자동제어반 제조업,2025-08-13
551,(주)코인스이앤씨,경상북도 포항시 남구 인덕로7번길 29 (인덕동),전기자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
552,(주)코지스,경상북도 포항시 남구 오천읍 송덕로212번길 228-10,"레일, BASE PLATE",그 외 기타 1차 철강 제조업 외 1 종,2025-08-13
553,(주)크리버코리아,경상북도 포항시 남구 대송면 철강산단로66번길 90,윤활유제조,윤활유 및 그리스 제조업,2025-08-13
554,(주)탑코리아,경상북도 포항시 남구 연일읍 형산강남로 408-8,전기자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
555,(주)탑코리아,경상북도 포항시 남구 연일읍 동문로36번길 24-2 외 1필지,전기자동 제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
556,(주)태경엔지니어링,경상북도 포항시 남구 장기면 장기로 1152 외 1필지,공드럼,자동차용 신품 동력전달장치 제조업 외 1 종,2025-08-13
557,(주)태경포장,경상북도 포항시 북구 청하면 동해대로2315번길 33 외 2필지,"패드용 판지, 식품용 박스, 골판지, 골판지 상자",골판지 제조업 외 3 종,2025-08-13
558,(주)태광기전,경상북도 포항시 남구 청림서길 61 (청림동),폐수처리기계,액체 여과기 제조업,2025-08-13
559,(주)태림,경상북도 포항시 남구 청림서길 65 (청림동),"파레트, 각목, 판재",일반 제재업,2025-08-13
560,(주)태연,경상북도 포항시 남구 오천읍 오어로 341 외 2필지,"육상 금속 철구조물, 수상 금속 구조재, 가스발생기 제조, 그 외 기계 제조",육상 금속 골조 구조재 제조업 외 3 종,2025-08-13
561,(주)태영산전,경상북도 포항시 남구 대송면 운제로 445 (총 3 필지) 외 2필지,전기자동 제어반,배전반 및 전기 자동제어반 제조업 외 1 종,2025-08-13
562,(주)태영산전,경상북도 포항시 북구 흥해읍 융합기술로 142,"배전반, 자동제어반, 전력변환장치, 프로세스 제어반, 특수목적컴퓨터",배전반 및 전기 자동제어반 제조업 외 3 종,2025-08-13
563,(주)태왕목재,경상북도 포항시 남구 동해면 동해안로5277번길 53,표면가공목재,표면 가공 목재 및 특정 목적용 제재목 제조업,2025-08-13
564,(주)태원스틸,경상북도 포항시 남구 오천읍 광명산단로120번길 1,금속류 고철,금속류 해체 및 선별업,2025-08-13
565,(주)태원판넬,경상북도 포항시 북구 흥해읍 덕장길 32,"샌드위치판넬,철구조물",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
566,(주)태원판넬,경상북도 포항시 북구 흥해읍 덕장길 32,"패널, 칼라시트",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
567,(주)태율,경상북도 포항시 남구 대송면 철강로492번길 82,금속원료,금속류 원료 재생업,2025-08-13
568,(주)태현산업,경상북도 포항시 남구 인덕로16번길 13(인덕동),송전용 커넥트,전기회로 접속장치 제조업,2025-08-13
569,(주)태화산업,경상북도 포항시 남구 장흥로197번길 21 (호동),산업기계,금속 절삭기계 제조업 외 2 종,2025-08-13
570,(주)태화중공업 ,경상북도 포항시 남구 장흥로197번길 21 (호동),"철구조물, 철편가공(검사)",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
571,(주)투디엠,,"탄소나노튜브 분말제품, 탄소나노튜브 분산액제품",전기용 탄소제품 및 절연제품 제조업,2025-08-13
572,(주)투엔,,나노와이어,그 외 기타 전기장비 제조업,2025-08-13
573,(주)티시테크 성형공장,경상북도 포항시 남구 대송면 철강산단로66번길 88,"굴삭기, 굴삭기 부품",건설 및 채광용 기계장비 제조업,2025-08-13
574,(주)티시테크 중장비1공장,경상북도 포항시 남구 대송면 철강산단로66번길 89 (TCTECH) 외 1필지,"굴삭기, 중장비부품",건설 및 채광용 기계장비 제조업,2025-08-13
575,(주)티시테크 중장비2공장,경상북도 포항시 남구 대송면 철강산단로66번길 89 (TCTECH) 외 1필지,"굴삭기, 중장비부품",건설 및 채광용 기계장비 제조업,2025-08-13
576,(주)티씨씨강판,경상북도 포항시 남구 철강로314번길 18 (장흥동),"SLITTING,CUTTING",그 외 기타 1차 철강 제조업,2025-08-13
577,(주)티씨씨강판 포항2공장,경상북도 포항시 남구 섬안로 42 (괴동동),"금속,비철금속가공",그 외 기타 1차 철강 제조업,2025-08-13
578,(주)티씨씨강판 포항3공장,경상북도 포항시 남구 괴동로 100(장흥동),표면처리강제,그 외 기타 금속가공업,2025-08-13
579,(주)티씨씨스틸 ,경상북도 포항시 남구 괴동로 100 (장흥동),전기주석도금강판,"도금, 착색 및 기타 표면처리강재 제조업",2025-08-13
