순번,회사명,공장대표주소(지번),업종명
201,(주)문경신소재,문경시 산북면 종곡길 158-258,비금속광물 분쇄물 생산업
119,마스터엠앤피(주),경상북도 문경시 영순면 의곡리 1278-0,부직포 및 펠트 제조업 외 1 종
149,윌링스,경상북도 문경시 영순면 의곡리 1278-1,부직포 및 펠트 제조업 외 1 종
11,(주)대명화학4공장,경상북도 문경시 산양면 진정리 630-10번지 대명화학,부직포 및 펠트 제조업
65,(주)프라임,경상북도 문경시 영순면 의곡리 1278-1,부직포 및 펠트 제조업
249,토민,문경시 신기로 58-21 (신기동),복합비료 및 기타 화학비료 제조업 외 1종
277,주식회사 대원바이오,문경시 마성면 외어리 22-1번지,복합비료 및 기타 화학비료 제조업 외 1종
306,금화영농조합법인,문경시 산양면 금천로 188-5,복합비료 및 기타 화학비료 제조업 외 1종
258,문경축산업협동조합,문경시 산양면 추산로 97,배합 사료 제조업 외 1종
261,밀바이오 농업회사법인주식회사,문경시 호계면 가섭길 265,배합 사료 제조업
191,화인시스템주식회사,경상북도 문경시 산양면 진정리 692-4,배전반 및 전기 자동제어반 제조업 외 7 종
129,새재전기통신소방,경상북도 문경시 산양면 진정리 695번지,배전반 및 전기 자동제어반 제조업 외 5 종
85,경민전기,경상북도 문경시 산양면 진정리 691-1번지,배전반 및 전기 자동제어반 제조업
128,산양전력,경상북도 문경시 산양면 진정리 695-1번지,배전반 및 전기 자동제어반 제조업
58,(주)제이에스지테크 ,경상북도 문경시 신기동 1142-1,방송장비 제조업 외 2 종
225,HP정보통신,문경시 상신로 49-1 (모전동),방송장비 제조업
182,한국효모(주),경상북도 문경시 영순면 의곡리 1282 번지,반려동물용 사료 제조업 외 5 종
184,한두레축산 영농조합법인,경상북도 문경시 산양면 진정리 630-3번지,반려동물용 사료 제조업 외 2 종
291,한국씨앤오테크(주),문경시 영순면 무림길 108-5,무기 및 총포탄 제조업 외 4종
181,한국씨앤오테크(주),경상북도 문경시 영순면 의곡리 1280 번지,무기 및 총포탄 제조업 외 3 종
292,한국씨앤오테크(주),문경시 마성면 오천리 산 31-1,무기 및 총포탄 제조업
232,농업회사법인 주식회사 마각,문경시 농암면 지동길 50,맥아 및 맥주 제조업 외 2종
231,농업회사법인 주식회사 가나다라브루어리,문경시 문경대로 625-1 (유곡동),맥아 및 맥주 제조업 외 1종
200,(주)문경레미콘,문경시 산양면 봉정리 89-1번지,레미콘 제조업
216,(주)점촌레미콘,문경시 신기공단1길 76 (신기동),레미콘 제조업
226,가은레미콘(주),문경시 마성면 은성로 1038 (가은레미콘(주)) (총 2 필지),레미콘 제조업
270,우성산업(주),문경시 신기로 98 (신기동),레미콘 제조업
73,(주)한국자원환경,경상북도 문경시 산양면 진정리 630-5번지,"라이터, 연소물 및 흡연용품 제조업 외 2 종"
6,(주)다온푸드농업회사법인,경상북도 문경시 신기동 1143-5,두부 및 유사식품 제조업
64,(주)푸르미푸드,경상북도 문경시 영순면 의곡리 1278-1번지,두부 및 유사식품 제조업
110,농업회사법인 자연푸드 주식회사,경상북도 문경시 영순면 의곡리 1288,두부 및 유사식품 제조업
288,태봉식품,문경시 호계면 견탄리 513-5번지,두부 및 유사식품 제조업
195,(주)대명오앤씨,문경시 농암면 무운로 277,동물성 유지 제조업 외 1종
248,두현엔지니어링,문경시 호계면 견탄리 373-3번지,동력식 수지공구 제조업
19,(주)명인푸드,경상북도 문경시 영순면 의곡리 1278번지,도장 및 기타 피막처리업 외 1 종
62,(주)코람에스티,경상북도 문경시 영순면 의곡리 1278-2번지,도장 및 기타 피막처리업
309,태흥도장산업,문경시 신기공단1길 22-11 (신기동),도장 및 기타 피막처리업
230,농업회사법인 나누미,"문경시 중앙로 87, 204-207 농업회사법인 나누미 (점촌동)",도시락류 제조업
185,합자회사지구,경상북도 문경시 마성면 오천리 895-1번지,농업 및 임업용 기계 제조업 외 9 종
125,바우,경상북도 문경시 신기동 1142-3,농업 및 임업용 기계 제조업
173,진솔테크,경상북도 문경시 가은읍 왕능리 616-3번지,농업 및 임업용 기계 제조업
82,가은,경상북도 문경시 가은읍 왕능리 646번지,끈 및 로프 제조업
290,푸른산참농원,문경시 마성면 고모산성길 1-32,김치류 제조업 외 2종
99,농업회사법인 (주)세명농산,경상북도 문경시 마성면 오천리 870번지,김치류 제조업 외 2 종
307,농업회사법인 엠케이엠 주식회사,"문경시 호계면 대학길 140-3, 1,2층 (공빌딩)",김치류 제조업 외 1종
14,(주)두메식품,경상북도 문경시 산양면 진정리 622-4번지,김치류 제조업 외 1 종
29,(주)새롬,경상북도 문경시 가은읍 왕능리 643번지,김치류 제조업 외 1 종
98,농업회사법인 (주)세명농산,경상북도 문경시 마성면 오천리 883번지,김치류 제조업 외 1 종
105,농업회사법인 싱그람 주식회사,경상북도 문경시 영순면 율곡리 1088번지 외 1필지,김치류 제조업 외 1 종
106,농업회사법인 싱그람 주식회사(2공장),경상북도 문경시 영순면 율곡리 1089번지,김치류 제조업 외 1 종
111,농업회사법인 주식회사 상하식품,경상북도 문경시 가은읍 왕능리 644번지,김치류 제조업 외 1 종
115,대자연식품(주),경상북도 문경시 가은읍 왕능리 618번지,김치류 제조업 외 1 종
131,싱그람영농조합법인,경상북도 문경시 영순면 율곡리 1093번지,김치류 제조업 외 1 종
102,농업회사법인 느루담 주식회사,경상북도 문경시 신기동 1143-6,김치류 제조업
103,농업회사법인 느루담 주식회사,경상북도 문경시 신기동 1143-6,김치류 제조업
289,태양글러브,문경시 신기공단2길 51 (신기동),기타 편조의복 액세서리 제조업
68,(주)피앤티디,경상북도 문경시 가은읍 왕능리 616번지 (웰킵스문경캠퍼스),기타 직물제품 제조업 외 6 종
5,(주)다온,경상북도 문경시 영순면 의곡리 1289-1번지,기타 직물제품 제조업 외 3 종
