순번,회사명,공장대표주소(지번),업종명
284,주식회사 정원,문경시 신기공단1길 22-21 (신기동),그 외 기타 플라스틱 제품 제조업
305,(주)폰드솔루션,"문경시 호계면 대학길 161,  창업보육센터 305호",그 외 기타 특수목적용 기계 제조업 외 3종
286,중앙정밀,문경시 경서로 149 (점촌동),그 외 기타 특수목적용 기계 제조업 외 1종
140,여니,경상북도 문경시 산양면 진정리 687,그 외 기타 콘크리트 제품 및 유사제품 제조업
63,(주)태경에스티,경상북도 문경시 신기동 1141-10,그 외 기타 일반목적용 기계 제조업 외 2 종
104,농업회사법인 메이트팜(주),경상북도 문경시 신기동 1139-1,그 외 기타 일반목적용 기계 제조업 외 2 종
55,(주)유일산업,경상북도 문경시 산양면 진정리 692,그 외 기타 일반목적용 기계 제조업
312,(주)네츄럴푸드코리아,"문경시 호계면 대학길 161, 문경대학교 산학협력단 창업보육센터 318호",그 외 기타 식료품 제조업
172,진명탄소,경상북도 문경시 마성면 오천리 901,그 외 기타 분류 안된 화학제품 제조업 외 2 종
162,주식회사 엔코크,경상북도 문경시 신기동 1141-8,그 외 기타 분류 안된 화학제품 제조업 외 1 종
215,(주)유니웨이,문경시 산양면 경서로 523-4,그 외 기타 분류 안된 금속 가공 제품 제조업
279,주식회사 도원아트조경,"문경시 진곡길 115, 도원아트 (공평동)",그 외 기타 나무제품 제조업 외 2종
304,(주)대평개발,문경시 문경읍 새재로 504,그 외 기타 나무제품 제조업
15,(주)디에이치머티리얼즈,경상북도 문경시 유곡동 718,그 외 기타 금속가공업
94,납청유기 이지호공방,경상북도 문경시 가은읍 왕능리 636,그 외 기타 금속가공업
70,(주)피지엠리서치 문경지점,경상북도 문경시 마성면 오천리 895-3번지,귀금속 및 관련제품 제조업
30,(주)수성산업,경상북도 문경시 산양면 진정리 380번지 외 1필지,구조용 금속 판제품 및 공작물 제조업 외 5 종
59,(주)제이엔씨디자인,경상북도 문경시 산양면 진정리 692-1,구조용 금속 판제품 및 공작물 제조업 외 5 종
243,동양이앤지,문경시 영순면 산남로 48,구조용 금속 판제품 및 공작물 제조업 외 4종
269,영신농기계,문경시 영순면 영순로 141,구조용 금속 판제품 및 공작물 제조업 외 2종
153,유한회사 미래금속,경상북도 문경시 유곡동 708-1,구조용 금속 판제품 및 공작물 제조업
151,유풍제과,경상북도 문경시 가은읍 왕능리 646-1,과자류 및 코코아 제품 제조업
308,예품한과,문경시 마성면 오천리 705-5번지 외 1필지,과자류 및 코코아 제품 제조업
109,농업회사법인 엠케이엠 주식회사,경상북도 문경시 신기동 1136-5,과실 및 그 외 채소 절임식품 제조업 외 1 종
116,더 문경팜,경상북도 문경시 영순면 의곡리 1277-0,과실 및 그 외 채소 절임식품 제조업 외 1 종
28,(주)상하식품,경상북도 문경시 가은읍 왕능리 645,과실 및 그 외 채소 절임식품 제조업
97,농업회사법인 (주)더 문경팜,경상북도 문경시 영순면 의곡리 1277-0,과실 및 그 외 채소 절임식품 제조업
154,자연그린 주식회사,경상북도 문경시 마성면 오천리 874,과실 및 그 외 채소 절임식품 제조업
310,한강산업전기(주),문경시 농암면 연천3길 34-15,공기 조화장치 제조업
75,(주)현미나라,경상북도 문경시 마성면 오천리 874번지,곡물 제분업 외 1 종
107,농업회사법인 에프엔디큐웰(주),경상북도 문경시 가은읍 왕능리 622-1번지,곡물 제분업
108,농업회사법인 에프엔디큐웰(주),경상북도 문경시 가은읍 왕능리 613번지,곡물 제분업
83,가은정미소,경상북도 문경시 가은읍 왕능리 615번지,곡물 도정업 외 1 종
146,왕능정미소,경상북도 문경시 가은읍 왕능리 615번지,곡물 도정업
242,동문경농업협동조합,문경시 산양면 금천로 54 산동농협미곡종합처리장,곡물 도정업
268,영강영농조합법인,문경시 영순면 영순로 230,곡물 도정업
296,합동정미소,문경시 산양면 불암3길 12-4 (정부양곡도정합동정미소/정미시설),곡물 도정업
20,(주)문경라텍스,경상북도 문경시 마성면 오천리 890번지,고무 의류 및 기타 위생용 비경화 고무제품 제조업
56,(주)자연산업,경상북도 문경시 산양면 진정리 694,건설용 석제품 제조업
60,(주)지케이,경상북도 문경시 마성면 오천리 896번지,건설용 석제품 제조업
156,주식회사 다한스톤,경상북도 문경시 마성면 오천리 896,건설용 석제품 제조업
84,강남홀딩스(주),경상북도 문경시 신기동 1142-2,건설 및 채광용 기계장비 제조업
209,(주)세일,문경시 신기공단2길 5 (신기동),건설 및 채광용 기계장비 제조업
246,동화건설기계정비공장,"문경시 용지마길 11 (윤직동, 동화자동차정비공장)",건설 및 채광용 기계장비 제조업
176,케이엠지프레임(주),경상북도 문경시 가은읍 왕능리 646-1번지,강관 제조업 외 1 종
262,바이탈스페이스,"문경시 중앙로 140-4 (점촌동, 바이탈스페이스)",간판 및 광고물 제조업 외 3종
188,홍AD,경상북도 문경시 가은읍 왕능리 615번지,가정용 및 장식용 도자기 제조업 외 1 종
228,관문요,문경시 문경읍 화계1길 83,가정용 및 장식용 도자기 제조업
250,려금요,문경시 마성면 외어리 221-6번지,가정용 및 장식용 도자기 제조업
275,조선요,문경시 문경읍 관음리 337번지,가정용 및 장식용 도자기 제조업
295,한솔도예,문경시 신기로 172 (신기동),가정용 및 장식용 도자기 제조업
298,황백원,문경시 마성면 신현리 506-1번지,가정용 및 장식용 도자기 제조업
301,주식회사 다미,문경시 문경읍 고요리 133-1,가정용 및 장식용 도자기 제조업
44,(주)엘케이에스,경상북도 문경시 신기동 1136-6번지,가정용 및 산업용 공기 조화장치 제조업 외 2 종
130,수월한 주식회사,경상북도 문경시 신기동 1136-2번지,가금류 가공 및 저장 처리업 외 3 종
18,(주)마루종합식품,경상북도 문경시 신기동 1143-1,가금류 가공 및 저장 처리업 외 2 종
1,(유)하랑에스에이치,경상북도 문경시 산양면 진정리 630-11 외 1필지,가금류 가공 및 저장 처리업
72,(주)한국식품,경상북도 문경시 산양면 진정리 600-11번지 외 1필지,가금류 가공 및 저장 처리업
100,농업회사법인 (주)여물게,경상북도 문경시 신기동 1143번지,가금류 가공 및 저장 처리업
186,혜성에스에이치,경상북도 문경시 산양면 진정리 630-11,가금류 가공 및 저장 처리업
313,제이에스푸드,문경시 매봉6길 16 (모전동),가금류 가공 및 저장 처리업
