순번,회사명,대표자명,전화번호,팩스번호,생산품,공장대표주소
140,홍천농협미곡종합처리장,박연원,_033_4348391,_033_4348392,일반미,강원도 홍천군 북방면 두개비산로 304
141,홍천사랑말한우영농조합법인,나종구,_033_4330037,_033_4341690,한우 사료,강원도 홍천군 북방면 성동로 1125 (총 2 필지)
142,홍천산업(주),김영민,_033_4328570,_033_4328571,규사,"강원도 홍천군 북방면 영서로 3014-13,  외 6필지"
143,홍천센타,이원재,_033_4342788,_033_4342779,"적재함, 안전다이",강원도 홍천군 북방면 송학정로 36-16
144,홍천순대,선영섭,_033_4329951,_033_4329952,"순대, 편육, 돈두, 기타",강원도 홍천군 동면 먹방길 26
145,홍천축산업협동조합,임홍원,_033_4348618,_033_4343478,축산물 가공,강원도 홍천군 홍천읍 농공단지길 23-10
146,홍천축산업협동조합(늘푸름 홍천한우 전용사료 공장),임홍원,_033_4343412,____________,사료제조,강원도 홍천군 홍천읍 농공단지길 24-14
147,홍천플륨(주),윤쾌로,_033_4354277,_033_4354279,"콘크리트맨홀, 수로관, 호안블럭",강원도 홍천군 홍천읍 느리울길 23
148,홍천한우프라자,이해린,_033_4330155,_033_4336164,한우의 완제품(분쇄육 및 각부위별 포장제품),강원도 홍천군 홍천읍 남산마을길2길 9
149,황토세상(제1공장),신동호,_033_4340801,_033_4345608,"황토벽돌, 황토몰탈",강원도 홍천군 서면 동막리 285-6번지
150,황토세상(제2공장),신동호,____________,_033_4345608,황토몰탈,강원도 홍천군 서면 동막리 286-1번지
151,효신레미콘(주),"최홍석, 최유리",_033_4368811,_033_4369911,레미콘,강원도 홍천군 홍천읍 옥류동길 123-27
152,희망산업,이응배,_033_4325756,____________,"시멘트 벽돌, 블럭",강원도 홍천군 화촌면 삼포4길 10-18 (총 6 필지)
