순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
7075,,서연유니폼,"대구광역시 서구 달서로 29 (내당동, 포시즌반점)",대구광역시 서구 내당동 900-1 번지,"근무복, 작업복 및 유사의복 제조업 외 9 종",대구광역시 서구,일반,의류,원단
7076,,서연유니폼,"대구광역시 서구 국채보상로38길 66 (중리동, OK할인마트)",대구광역시 서구 중리동 111-5번지 OK할인마트,침구 및 관련제품 제조업 외 4 종,대구광역시 서구,일반,유니폼,
7077,,서연유니폼,"대구광역시 서구 국채보상로38길 66, 1층 (중리동)",대구광역시 서구 중리동 111-5번지 1층,침구 및 관련제품 제조업 외 2 종,대구광역시 서구,일반,병원 환자복 등,
7078,달성일반산업단지,서연이엔지(주),대구광역시 달성군 논공읍 논공중앙로 250,대구광역시 달성군 논공읍 북리 1-157번지,그 외 자동차용 신품 부품 제조업 외 1 종,달성1차산업단지관리공단,일반산업단지,자동차오일씰부품,코일
7079,,서연정공,대구광역시 달성군 논공읍 비슬로264길 46-11,대구광역시 달성군 논공읍 상리 774-2번지,기타자동차부품제조업,대구광역시 달성군,일반,자동차부품,
7080,달성2차일반산업단지,서연정공,대구광역시 달성군 구지면 달성2차동3로 5,대구광역시 달성군 구지면 예현리 768-16번지,비주거용 건물 임대업,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,임대업,
7081,달성2차일반산업단지,서영기공,대구광역시 달성군 구지면 달성2차동3로 64 (서영기공),대구광역시 달성군 구지면 예현리 762번지 서영기공,기타 가공 공작기계 제조업,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,"블록성형기, 몰드",철자재
7082,대구제3일반산업단지,서영정공,대구광역시 북구 3공단로43길 14-4 (노원동3가),대구광역시 북구 노원동3가 11-3번지,그 외 기타 특수목적용 기계 제조업 외 3 종,대구제3산업단지관리공단,일반산업단지,산업기계,철판
7083,서대구일반산업단지,서온,대구광역시 서구 문화로19길 34 (이현동),대구광역시 서구 이현동 42-396,포장 및 충전업 외 1 종,서대구산업단지관리공단,일반산업단지,침구류,
7084,대구구지농공단지,서우산업,대구광역시 달성군 구지면 국가산단동로42길 17 (구지면),대구광역시 달성군 구지면 고봉리 226-6번지,골판지 제조업 외 1 종,대구광역시 달성군,농공단지,골판지상자,
7085,대구국가산업단지,서우산업(주),대구광역시 달성군 구지면 응암리 1244-1번지,대구광역시 달성군 구지면 응암리 1244-1번지,그 외 자동차용 신품 부품 제조업 외 3 종,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,자동차부품(PET휠가드 등),PET FIBER
7086,,서울건업(주),대구광역시 달서구 와룡로13길 92 (본리동),대구광역시 달서구 본리동 674-3번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",대구광역시 달서구,일반,"알루미늄창틀,난간","알루미늄 형재,스텐파이프"
7087,,서울공조,"대구광역시 북구 침산남로9길 149, 1층 (침산동)",대구광역시 북구 침산동 831 1층,구조용 금속 판제품 및 공작물 제조업,대구광역시 북구,일반,"환풍기, 덕트기구, 함석가공","칼라함석, 알루미늄"
7088,서대구일반산업단지,서울섬유(기숙사),"대구광역시 서구 와룡로 307, 11층 1113호(중리동) 11층 1113호",대구광역시 서구 중리동 1166-1 11층 1113호 11층 1113호,화학섬유직물 직조업,서대구산업단지관리공단,일반산업단지,섬유무역,
7089,,서울열처리공업사,대구광역시 북구 노원로 200 (침산동),대구광역시 북구 침산동 1026-3번지,금속 열처리업,대구광역시 북구,일반,열처리,전기
7090,서대구일반산업단지,서울유리,대구광역시 서구 국채보상로20길 30(중리동),대구광역시 서구 중리동 1065-3,기타 판유리 가공품 제조업,서대구산업단지관리공단,일반산업단지,복층유리,유리
