순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
4708,서대구일반산업단지,디에이치인더스트리(주),대구광역시 서구 와룡로84길 15(이현동),대구광역시 서구 이현동 48-114,비주거용 건물 임대업,서대구산업단지관리공단,일반산업단지,,원단 등
4709,성서지방산업단지,디에이치정밀(주),"대구광역시 달서구 성서4차첨단로 324, (4차단지 7B 2-1L) (대천동)",대구광역시 달서구 대천동 1024-2 (4차단지 7B 2-1L),반도체 제조용 기계 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,"반도체 장비용 핵심부품, 정밀기계부품, 산업기계부품","알루미늄, 철, 테프론, M.C., 테프론"
4710,대구제3일반산업단지,디에이치테크,대구광역시 북구 노원로1길 42 (노원동3가),대구광역시 북구 노원동3가 383-1번지,절삭가공 및 유사처리업 외 3 종,대구제3산업단지관리공단,일반산업단지,측정용ZIG,"철,알미늄"
4711,대구테크노폴리스일반산업단지,디에이치테크,대구광역시 달성군 유가읍 테크노순환로1길 40,대구광역시 달성군 유가읍 금리 1142-2,그 외 자동차용 신품 부품 제조업,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,일반산업단지,자동차 Stamping 부품,"강판(열연, 냉연)"
4712,북구검단일반산업단지,디에치테크,대구광역시 북구 검단로31길 56-11 (검단동),대구광역시 북구 검단동 720-3번지,볼트 및 너트류 제조업 외 2 종,대구시티밸리산업단지관리공단,일반산업단지,"볼트, 너트, 금속 나사, 금속 프레스 가공품",철사
4713,성서지방산업단지,디엔테크,"대구광역시 달서구 달서대로58길 57, 2차단지 52B 10L (대천동)",대구광역시 달서구 대천동 587-7번지,금속 절삭기계 제조업,대구성서산업단지관리공단,일반산업단지,금속절삭가공,
4714,성서지방산업단지,디엘아이코리아,"대구광역시 달서구 성서로36길 30, 2차단지 27B 2L 2차단지 27B 2L (월암동)",대구광역시 달서구 월암동 1068번지 2차단지 27B 2L,그 외 기타 고무제품 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,자동차부품,EPDM
4715,성서지방산업단지,디엘아이코리아(주),"대구광역시 달서구 성서로36길 30, (2차단지 27B 2L) (월암동)",대구광역시 달서구 월암동 1068번지 (2차단지 27B 2L),그 외 자동차용 신품 부품 제조업 외 3 종,대구성서산업단지관리공단,일반산업단지,자동차케이블부품,전선
4716,대구제3일반산업단지,디엠텍,"대구광역시 북구 오봉로 164, 607호 (침산동)",대구광역시 북구 침산동 999-1 607호,톱 및 호환성 공구 제조업 외 1 종,대구제3산업단지관리공단,일반산업단지,초경드릴,"초경, 스틸"
4717,북구검단일반산업단지,디엠티,대구광역시 북구 검단로31길 56-7 (검단동),대구광역시 북구 검단동 720-2번지,그 외 기타 금속가공업,대구시티밸리산업단지관리공단,일반산업단지,자동차금형,"금강석, 그라스피스, 철"
