연번,회사명,공장대표주소,업종
771,(주)참길,"인천광역시 부평구 안남로369번길 30, 4층 (청천동)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종
772,(주)참솔테크,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B107호 외 1필지",기타 구조용 금속제품 제조업 외 6 종
773,(주)창조인텔,인천광역시 부평구 청농로32번길 10 (청천동),그 외 기타 의료용 기기 제조업
774,(주)창진창호,"인천광역시 부평구 부평대로 337, 8층 809호(청천동, 부평 제이타워3차 지식산업센터) 8층 809호","금속 문, 창, 셔터 및 관련제품 제조업"
775,(주)천일육가공,인천광역시 부평구 영성로 78 (삼산동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
776,(주)천해무,"인천광역시 부평구 주부토로 236,(갈산동) 제비동 4층 413호 외 2필지",수산동물 건조 및 염장품 제조업
777,(주)청도테크비즈,인천광역시 부평구 청농로 28(청천동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종
778,(주)청송,인천광역시 부평구 길주남로 118-10 (부개동),"플라스틱 포대, 봉투 및 유사제품 제조업 외 1 종"
779,(주)카모스,"인천광역시 부평구 부평대로 283, C동 8층 810호 (청천동, 부평 우림라이온스밸리)",비디오 및 기타 영상기기 제조업
780,(주)카모스,"인천광역시 부평구 안남로402번길 80, 1층, 4층, 5층(청천동)",비디오 및 기타 영상기기 제조업
781,(주)카스하이퍼씨앤씨,"인천광역시 부평구 수변로 99, 지하1층 (부개동)",유선 통신장비 제조업 외 2 종
782,(주)카슬라,"인천광역시 부평구 주부토로 236,(갈산동) 제비동 6층 614호",그 외 기타 플라스틱 제품 제조업
783,(주)캐리어바른시스템,"인천광역시 부평구 부평대로 337, 3층 318호 (청천동, 부평 제이타워3차 지식산업센터) 3층 318호",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
784,(주)컨텍,"인천광역시 부평구 청천마차로 218, 1층 (청천동)",일반용 전기 조명장치 제조업
785,(주)컨텍,"인천광역시 부평구 부평대로 301, 5층 525호 (청천동, 남광센트렉스) 5층 525호",일반용 전기 조명장치 제조업
786,(주)컬러스토리,"인천광역시 부평구 평천로255번길 13, 6층 606호(청천동) 6층 606호",인형 및 장난감 제조업 외 1 종
787,(주)컴위드(COMWID Inc.),"인천광역시 부평구 부평대로 337, 11층 1141호(청천동, 부평 제이타워3차 지식산업센터) 11층 1141호 외 2필지",포장 및 충전업
788,(주)케미텍코리아,"인천광역시 부평구 평천로255번길 13, 5층 509호  (청천동) 5층 509호 외 1필지",플라스틱 접착처리 제품 제조업
789,(주)케어라이브,"인천광역시 부평구 부평대로 337, 8층 801호 (청천동, 부평 제이타워3차 지식산업센터) 8층 801호",시스템 소프트웨어 개발 및 공급업
790,(주)케이로지스틱스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 5층 505호",컴퓨터시스템 통합 자문 및 구축 서비스업
791,(주)케이씨네트웍스,"인천광역시 부평구 안남로369번길 34, 3층 (청천동)",기타 무선 통신장비 제조업 외 1 종
792,(주)케이씨엠텍,"인천광역시 부평구 안남로369번길 34, 3층 (청천동)",비디오 및 기타 영상기기 제조업
793,(주)케이씨이,인천광역시 부평구 안남로369번길 34 (청천동),비디오 및 기타 영상기기 제조업 외 1 종
794,(주)케이아이씨텍,"인천광역시 부평구 부평대로 283, C동 8층 803 (청천동, 부평 우림라이온스밸리)",그 외 기타 전자부품 제조업 외 1 종
795,(주)케이알티,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B219호",그 외 기타 일반목적용 기계 제조업 외 1 종
796,(주)케이앤피,"인천광역시 부평구 부평대로 293, 11층 1104호(청천동, 부평테크시티) 11층 1104호",경영 컨설팅업
797,(주)케이에스앤,"인천광역시 부평구 안남로434번길 79, C동 (청천동)",금속선 가공제품 제조업
798,(주)케이에프씨,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) C동 3층 306호",비주거용 건물 임대업
799,(주)케이엔디,"인천광역시 부평구 안남로 404, 1~2층(일부) (청천동)",전자저항기 및 전자카드 제조업 외 1 종
800,(주)케이오피,"인천광역시 부평구 부평대로329번길 42 (청천동) 1, 2, 3층",기타 구조용 금속제품 제조업 외 1 종
801,(주)케이원아이엔씨,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 9층 901호",산업용 로봇 제조업 외 1 종
802,(주)케이제이씨디스플레이코퍼레이션,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 씨동 5층 501호 외 1필지",컴퓨터 모니터 제조업 외 2 종
803,(주)케이지비이엔지,"인천광역시 부평구 새벌로 29 2층 209호 (청천동, 부평테크노타워) 2층 209호",포장 및 충전업
804,(주)케이지옵틱스,"인천광역시 부평구 부평대로313번길 84, 416-1 (청천동)",안경 및 안경렌즈 제조업 외 1 종
805,(주)케이지일렉트론,인천광역시 부평구 부평대로329번길 42 (청천동),액체 여과기 제조업 외 1 종
806,(주)케이케이로드웍스,"인천광역시 부평구 서달로298번길 73, 3층 (청천동)",낚시 및 수렵용구 제조업
807,(주)케이피에프이노베이션,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) C동 6층 605호",태양력 발전업
808,(주)코넥터,"인천광역시 부평구 부평대로 337, 6층 603호 (청천동, 부평 제이타워3차 지식산업센터) 6층 603호",그 외 기타 전자부품 제조업
809,(주)코리아노바,"인천광역시 부평구 평천로255번길 13, 3층 305호  (청천동) 3층 305호",농업 및 임업용 기계 제조업 외 1 종
810,(주)코리아비티에스,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 2층 223호",운송장비용 이차전지 제조업 외 1 종
811,(주)코리아하이테크,인천광역시 부평구 청천2동 422-10번지 외 1필지,액정 표시장치 제조업
812,(주)코마스지점,인천광역시 부평구 평천로141번길 16(청천동) 외 1필지,그 외 기타 일반목적용 기계 제조업 외 1 종
813,(주)코스앤피플,"인천광역시 부평구 안남로 414, 3층, 4층(청천동)",화장품 제조업
814,(주)코스티모,인천광역시 부평구 부평북로 244 (청천동),주방용 전기기기 제조업 외 6 종
815,(주)코썸사이언스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 12층 1203-B호",전자 응용 절삭기계 제조업
816,(주)코썸사이언스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B1층 B101호",전자 응용 절삭기계 제조업
817,(주)코어텍,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 제비동 6층 619호",배전반 및 전기 자동제어반 제조업
818,(주)코엠테크,"인천광역시 부평구 평천로115번길 25, 1층 (청천동)",기타 1차 비철금속 제조업
819,(주)큐원,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B234호",그 외 기타 일반목적용 기계 제조업
820,(주)크린에이드,인천광역시 부평구 안남로 404 (청천동) 3층,기타 직물제품 제조업
821,(주)큰기술,"인천광역시 부평구 부평대로 283, C동 9층 911 (청천동, 부평 우림라이온스밸리)",메모리용 전자집적회로 제조업 외 1 종
822,(주)큰비젼,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 8층 808호",비주거용 건물 임대업
823,(주)큰비젼,"인천광역시 부평구 평천로255번길 13, 8층 804호(청천동) 8층 804호",기기용 자동측정 및 제어장치 제조업 외 1 종
824,(주)클락,"인천광역시 부평구 부평대로 301 5층 515호 (청천동, 남광센트렉스) 5층 515호",기타 주변기기 제조업
825,(주)클리어윈,"인천광역시 부평구 부평대로 337, 6층 640호 (청천동, 부평 제이타워3차 지식산업센터) 6층 640호",그 외 기타 전기장비 제조업
826,(주)키움,"인천광역시 부평구 부평대로 293, 12층 1214호 (청천동, 부평테크시티) 12층 1214호",교과서 및 학습서적 출판업
827,(주)타이드,인천광역시 부평구 안남로402번길 11 (청천동),기타 전기 변환장치 제조업 외 1 종
828,(주)태광이엔이,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B1층 B111호",가정용 및 산업용 공기 조화장치 제조업 외 2 종
829,(주)태동디엔씨,"인천광역시 부평구 부평대로 337, 11층 1129호 (청천동, 부평 제이타워3차 지식산업센터) 11층 1129호",일반용 전기 조명장치 제조업
830,(주)태영방재,"인천광역시 부평구 평천로255번길 13, 6층 604호  (청천동) 6층 604호",분사기 및 소화기 제조업
831,(주)태일,인천광역시 부평구 백범로578번길 65 (십정동),도금업
832,(주)태크녹스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B1층 B118호 외 2필지",배전반 및 전기 자동제어반 제조업 외 1 종
833,(주)태평양기업,"인천광역시 부평구 부평대로 301 7층 712호 (청천동, 남광센트렉스) 7층 712호",그 외 기타 전기장비 제조업 외 5 종
834,(주)태평컴퍼니,"인천광역시 부평구 부평대로329번길 3 (청천동) 303호, 305호",기타 직물제품 제조업
835,(주)태환자동화산업,"인천광역시 부평구 부평대로 337, 8층 828호(청천동, 부평 제이타워3차 지식산업센터) 8층 828호",음ㆍ식료품 및 담배 가공기계 제조업
836,(주)테루아,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 4층 404-B호",그 외 기타 분류 안된 화학제품 제조업 외 1 종
837,(주)테크비,"인천광역시 부평구 평천로255번길 13, 5층 505호  (청천동) 5층 505호",톱 및 호환성 공구 제조업
838,(주)테크에이엘,"인천광역시 부평구 부평대로 301, 8층 807호 (청천동, 남광센트렉스) 8층 807호",비디오 및 기타 영상기기 제조업
839,(주)테크엔,인천광역시 부평구 새벌로 29 6층 620호 (청천동) 부평테크노타워 6층 620호,응용 소프트웨어 개발 및 공급업
840,(주)테하,"인천광역시 부평구 부평대로 337, 6층 637호 (청천동, 부평 제이타워3차 지식산업센터) 6층 637호",비주거용 건물 임대업
841,(주)테하,"인천광역시 부평구 부평대로 337, 6층 637호 (청천동, 부평 제이타워3차 지식산업센터) 6층 637호",유선 통신장비 제조업 외 2 종
842,(주)테하,"인천광역시 부평구 주부토로 236,(갈산동) 제비동 9층 922호",유선 통신장비 제조업 외 3 종
843,(주)토시스,인천광역시 부평구 부평대로313번길 77 (청천동),그 외 기타 일반목적용 기계 제조업
844,(주)투게더스,"인천광역시 부평구 부평대로 301, 7층 716호 (청천동, 남광센트렉스) 7층 716호",컴퓨터시스템 통합 자문 및 구축 서비스업
845,(주)투에스디,인천광역시 부평구 새벌로 44 (청천동),기타 광학기기 및 사진기 제조업
846,(주)투에스디,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 제시동 1층 109호",기타 광학기기 및 사진기 제조업
847,(주)트리플,"인천광역시 부평구 부평대로 293, 10층 1024호 (청천동, 부평테크시티) 10층 1024호",애니메이션 영화 및 비디오물 제작업 외 1 종
848,(주)티맥스,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) B동 B1층 B109호",기타 운동 및 경기용구 제조업
849,(주)티베라,"인천광역시 부평구 부평대로329번길 42, 3층 (청천동)",텔레비전 제조업 외 1 종
850,(주)티비엠,인천광역시 부평구 화랑남로5번길 40 (산곡동),전동기 및 발전기 제조업
851,(주)티비오콜렉션,"인천광역시 부평구 부평대로 301 5층 504호 (청천동, 남광센트렉스) 5층 504호 외 2필지","근무복, 작업복 및 유사의복 제조업 외 4 종"
852,(주)티알엑스,"인천광역시 부평구 부평대로 283, A동 7층 710 (청천동, 부평 우림라이온스밸리)",기타 무선 통신장비 제조업
853,(주)티앤에이,인천광역시 부평구 부평북로236번길 49 (청천동) 209호,"용기 세척, 포장 및 충전기 제조업 외 3 종"
854,(주)티앤에이치,"인천광역시 부평구 부평대로297번길 96, 3층 전부, 5층 일부 (청천동, (주)한성엠테크)",남자용 겉옷 제조업
855,(주)티엔아이넷,인천광역시 부평구 항동로125번길 3 (일신동) 2층,방송장비 제조업
856,(주)티젠,"인천광역시 부평구 화랑남로5번길 40, 2~3층 (산곡동)",가정용 및 산업용 공기 조화장치 제조업 외 1 종
857,(주)파란마당,"인천광역시 부평구 부평대로 337, 2층 215호 (청천동, 부평 제이타워3차 지식산업센터) 2층 215호",그 외 기타 플라스틱 제품 제조업
858,(주)파서블에너지,"인천광역시 부평구 부평대로 301 8층 825호 (청천동, 남광센트렉스) 8층 825호","전자기 측정, 시험 및 분석기구 제조업"
859,(주)파서블에너지,"인천광역시 부평구 평천로 251, 424-9, 나동 2층 (청천동)","전자기 측정, 시험 및 분석기구 제조업"
860,(주)파우어엔지니어링,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 6층 611호",배전반 및 전기 자동제어반 제조업
861,(주)파워텍일렉트로닉스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 9층 906호 외 5필지",방송장비 제조업
862,(주)파이코,"인천광역시 부평구 부평대로329번길 26, 426-8 (청천동)",분사기 및 소화기 제조업
863,(주)파크룩스,"인천광역시 부평구 부평대로 301 4층 405호 (청천동, 남광센트렉스) 4층 405호 외 1필지",일반용 전기 조명장치 제조업
864,(주)파티클폼텍,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 6층 609호","고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종"
865,(주)팔팔게임즈,"인천광역시 부평구 부평대로 293, 9층 904호 (청천동, 부평테크시티) 9층 904호",모바일 게임 소프트웨어 개발 및 공급업
866,(주)패러다임,"인천광역시 부평구 부평대로 337, 12층 1271호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1271호",기타 무선 통신장비 제조업
867,(주)패커드코리아,인천광역시 부평구 평천로199번길 53 (청천동),자동차용 신품 전기장치 제조업 외 1 종
868,(주)퍼비스,"인천광역시 부평구 부평북로 308, 1층 (갈산동)",교통 신호장치 제조업 외 2 종
869,(주)페이퍼보트코리아,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 4층 411호",응용 소프트웨어 개발 및 공급업
870,(주)포인트프라자,인천광역시 부평구 십정동 557-36번지,절삭가공 및 유사처리업
871,(주)포트론,"인천광역시 부평구 가재울로 129, 1동 104호 (십정동, 테크노1공장)",방송장비 제조업 외 2 종
872,(주)푸르미코리아,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 12층 1202호",시스템 소프트웨어 개발 및 공급업
873,(주)풍양상사,인천광역시 부평구 평천로199번길 34 (청천동),침구 및 관련제품 제조업 외 1 종
874,(주)프랜즈시스템,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 1층 143호",반도체 제조용 기계 제조업 외 1 종
875,(주)프랜즈시스템,"인천광역시 부평구 백범로577번길 20, 공장동동 1층 142호 (십정동, 경인센타) 공장동 1층 142호",반도체 제조용 기계 제조업 외 1 종
876,(주)프로텍메디칼,인천광역시 부평구 새벌로 9 (청천동),그 외 기타 의료용 기기 제조업 외 9 종
877,(주)프리엠환경,인천광역시 부평구 새벌로 44 (청천동),설치용 및 위생용 플라스틱제품 제조업 외 1 종
878,(주)프리즘,인천광역시 부평구 평천로 221(청천동),일반용 전기 조명장치 제조업 외 1 종
879,(주)플루콘시스,"인천광역시 부평구 주부토로 236, 에이동 810호 (갈산동, 인천테크노밸리 U1센터) 에이동 810호","탭, 밸브 및 유사장치 제조업"
880,(주)피노핀,"인천광역시 부평구 새벌로 4, 공장동 2층  (청천동) 공장동 2층","천막, 텐트 및 유사 제품 제조업 외 24 종"
881,(주)피씨엠엠,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 11층 1110호","물질 검사, 측정 및 분석기구 제조업 외 1 종"
882,(주)피에스텍,"인천광역시 부평구 부평대로 337, 3층 333호 (청천동, 부평 제이타워3차 지식산업센터) 3층 333호",그 외 기타 전자부품 제조업
883,(주)피엘에스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 12층 1204호",기타 물품 취급장비 제조업
884,(주)피엠피,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 5층 502호",그 외 기타 특수목적용 기계 제조업 외 2 종
885,(주)피엠피,"인천광역시 부평구 부평대로 301 3층 318-1호 (청천동, 남광센트렉스) 3층 318-1호",반도체 제조용 기계 제조업
886,(주)피케이엘앤에스,"인천광역시 부평구 안남로 425-16 (청천동, 영광빌딩)",컴퓨터 모니터 제조업 외 6 종
887,(주)피코그램,인천광역시 부평구 부평북로 118 (청천동),액체 여과기 제조업
888,(주)피티에스,인천광역시 부평구 청천동 426,액체 여과기 제조업
889,(주)핀컴퍼니,"인천광역시 부평구 부평북로236번길 12, 1동 3층 (청천동)",셔츠 및 블라우스 제조업 외 22 종
890,(주)필텍정보통신,"인천광역시 부평구 부평대로 337, 5층 549호(청천동, 부평 제이타워3차 지식산업센터) 5층 549호",방송장비 제조업 외 1 종
891,(주)하나이엔디,"인천광역시 부평구 충선로 372, 지하1층,1층 (삼산동)",비디오 및 기타 영상기기 제조업 외 7 종
892,(주)하나컴머셜,인천광역시 부평구 부평대로313번길 83 (청천동),그 외 기타 일반목적용 기계 제조업 외 1 종
893,(주)하늘마음바이오,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 3층 302호",컴퓨터 프로그래밍 서비스업
894,(주)하영엔지니어링,"인천광역시 부평구 부평대로 337, 11층 1123호 (청천동, 부평 제이타워3차 지식산업센터) 11층 1123호",건축설계 및 관련 서비스업
895,(주)하온아텍,인천광역시 부평구 부평북로 242 (청천동),일반용 전기 조명장치 제조업 외 7 종
896,(주)하은정보통신,"인천광역시 부평구 부평대로 301 3층 308-2호 (청천동, 남광센트렉스) 3층 308-2호",이동전화기 제조업 외 1 종
897,(주)하이드로라이프,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 8층 810-B호",기체 여과기 제조업
898,(주)하이드로훼스트,"인천광역시 부평구 부평대로 283, C동 6층 610 (청천동, 부평 우림라이온스밸리) 외 1필지",유압기기 제조업 외 1 종
899,(주)하이베로,"인천광역시 부평구 새벌로 14, 1층 (청천동)","전기회로 개폐, 보호장치 제조업 외 1 종"
900,(주)하이베로,인천광역시 부평구 부평북로236번길 39 (청천동),"전기회로 개폐, 보호장치 제조업 외 4 종"
901,(주)하이비프리,"인천광역시 부평구 부평대로 337, 1층 121호 (청천동, 부평 제이타워3차 지식산업센터) 1층 121호",가방 및 기타 보호용 케이스 제조업 외 1 종
902,(주)하이오스,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) C동 7층 701,702호",체외 진단 시약 제조업 외 1 종
903,(주)한강,인천광역시 부평구 안남로 425-13 (청천동),일반용 전기 조명장치 제조업
904,(주)한강다이아몬드,인천광역시 부평구 부평대로313번길 71 (청천동),톱 및 호환성 공구 제조업
905,(주)한경디자인웍스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 4층 402호",기타 엔지니어링 서비스업
906,(주)한경코퍼레이션,"인천광역시 부평구 부평북로 38, (주)한경코퍼레이션 (청천동)",천연 및 혼합조제 조미료 제조업
907,(주)한국경제신문,인천광역시 부평구 평천로 247 (청천동),오프셋 인쇄업 외 1 종
908,(주)한국바코드시스템,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 3층 304호",시스템 소프트웨어 개발 및 공급업
909,(주)한국비만연구소,"인천광역시 부평구 부평대로 293, 7층 701호 (청천동, 부평테크시티) 7층 701호",광고 대행업
910,(주)한국씨앤비,인천광역시 부평구 새벌로 60 (청천동),화장품 제조업
911,(주)한국케이지티콘설턴트,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 11층 1103호",데이터베이스 및 온라인정보 제공업 외 3 종
912,(주)한국코스모,"인천광역시 부평구 부평대로 283, C동 4층 406호 (청천동, 부평 우림라이온스밸리)",유선 통신장비 제조업
913,(주)한국필립,"인천광역시 부평구 부평대로313번길 83, 2층 (청천동)",그 외 기타 의료용 기기 제조업
914,(주)한국하이텍,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 5층 510-B호 외 3필지",일반용 전기 조명장치 제조업 외 1 종
915,(주)한국하이텍,"인천광역시 부평구 부평대로 293, 7층 704호(청천동, 부평테크시티) 7층 704호",응용 소프트웨어 개발 및 공급업
916,(주)한라인프라코어,"인천광역시 부평구 부평대로 301 6층 614호 (청천동, 남광센트렉스) 6층 614호",전시 및 광고용 조명장치 제조업 외 7 종
917,(주)한밭기술,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) B동 8층 807호","증류기, 열교환기 및 가스발생기 제조업 외 1 종"
918,(주)한비메탈텍,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B1층 B112호",기타 1차 비철금속 제조업
919,(주)한새,"인천광역시 부평구 백범로577번길 20, 848호(십정동, 경인센타)",기체 여과기 제조업
920,(주)한성엠테크,"인천광역시 부평구 부평대로297번길 96(청천동, (주)한성엠테크)",액체 펌프 제조업
921,(주)한영엔지니어링,인천광역시 부평구 청천마차로 136 (청천동),그 외 기타 전기장비 제조업 외 2 종
922,(주)한울이앤씨,"인천광역시 부평구 부평대로 337, 12층 1235호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1235호",환경 관련 엔지니어링 서비스업
923,(주)한일전자시스템,"인천광역시 부평구 새벌로 29 6층 613호 (청천동, 부평테크노타워) 6층 613호",방송장비 제조업
924,(주)한진다이케스팅,인천광역시 부평구 평천로 17 (청천동) (총 3 필지),알루미늄주물 주조업
925,(주)한창아이티,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 7층 731호",유선 통신장비 제조업 외 1 종
926,(주)해동특수지,"인천광역시 부평구 부평대로 337, 6층 608호 (청천동, 부평 제이타워3차 지식산업센터) 6층 608호 외 3필지",오프셋 인쇄업 외 1 종
927,(주)해리,인천광역시 부평구 부평대로329번길 92(청천동),금속 위생용품 제조업 외 1 종
928,(주)해적아일랜드,"인천광역시 부평구 부평대로 293, 9층 903호 (청천동, 부평테크시티) 9층 903호",모바일 게임 소프트웨어 개발 및 공급업
929,(주)행복푸드미트,인천광역시 부평구 부평북로 58 (청천동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
930,(주)향기닥터,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B103호 외 6필지",표면광택제 및 실내가향제 제조업
931,(주)허니플러그,"인천광역시 부평구 부평대로 293 9층 904호 (청천동, 부평테크시티) 9층 904호",비주거용 부동산 관리업
932,(주)헬로버디,"인천광역시 부평구 부평대로 337, 12층 1260호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1260호",데이터베이스 및 온라인정보 제공업 외 2 종
933,(주)현대전기산업,"인천광역시 부평구 부평대로 283, A동 3층 308 (청천동, 부평 우림라이온스밸리)",절연 코드세트 및 기타 도체 제조업
934,(주)현대하이드로젠테크,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 6층 608-B호",기체 여과기 제조업
935,(주)현대하이드로젠테크,"인천광역시 부평구 부평대로 337, 9층 919호 (청천동, 부평 제이타워3차 지식산업센터) 9층 919호",액체 여과기 제조업
936,(주)현성에이원,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 5층 503-A호 외 1필지",가정용 및 산업용 공기 조화장치 제조업 외 6 종
937,(주)현진어패럴,인천광역시 부평구 동수로 83 (부평동) (총 2 필지),여자용 겉옷 제조업
938,(주)협진기계,인천광역시 부평구 마장로364번길 37 (청천동),그 외 기타 일반목적용 기계 제조업
939,(주)형제비에이테크,인천광역시 부평구 청천마차로 24 (청천동),폴리스티렌 발포 성형제품 제조업 외 3 종
940,(주)혜성디자인,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) A동 4층 404호 외 1필지",경 인쇄업 외 1 종
941,(주)호성건설,"인천광역시 부평구 부평대로 301 8층 812호 (청천동, 남광센트렉스) 8층 812호",건물 및 토목 엔지니어링 서비스업
942,(주)홀리랜드테크놀러지,인천광역시 부평구 배곶로 27 (십정동),기타 음향기기 제조업 외 6 종
943,(주)홈앤바스,인천광역시 부평구 부평대로329번길 3 (청천동),위생용 및 산업용 도자기 제조업
944,(주)홍대오마카세,"인천광역시 부평구 부평대로 337, 4층 423호(청천동, 부평 제이타워3차 지식산업센터) 4층 423호 외 2필지",가금류 가공 및 저장 처리업
945,(주)화신이앤비,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 12층 1207호 외 1필지",비주거용 건물 임대업
946,(주)황금휘날레,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 3층 311호",교통 신호장치 제조업
947,(주)황금휘날레,"인천광역시 부평구 부평대로 301, 5층 511호(청천동, 남광센트렉스) 5층 511호",교통 신호장치 제조업 외 3 종
948,(주)황뜰미트,"인천광역시 부평구 백범로577번길 15-19, 1층 일부, 2층 일부 (십정동)",육류 포장육 및 냉동육 가공업 (가금류 제외)
949,(주)효선전기,인천광역시 부평구 평천로255번길 38 (청천동),일반용 전기 조명장치 제조업
950,(주)효성정밀,인천광역시 부평구 항동로103번길 32 (일신동),자동차용 금속 압형제품 제조업 외 1 종
951,(주)효성축산유통,"인천광역시 부평구 부평대로 301 4층 408-2호 (청천동, 남광센트렉스) 4층 408-2호",육류 포장육 및 냉동육 가공업 (가금류 제외)
952,(주)후로셀,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) C동 3층 306호",속도계 및 적산계기 제조업
953,(주)휴리스,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 1층 123호",간판 및 광고물 제조업 외 1 종
954,(주)휴먼이비즈,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 5층 508호",응용 소프트웨어 개발 및 공급업
955,(주)휴먼파트너,"인천광역시 부평구 청천마차로 188, 5층(청천동, 가연산업)",그 외 기타 봉제의복 제조업 외 17 종
956,(주)휴먼파트너,"인천광역시 부평구 새벌로 29, 6층 615호(청천동, 부평테크노타워) 6층 615호",침구 및 관련제품 제조업 외 19 종
957,(주)휴앤소프트,"인천광역시 부평구 부평대로 301, 6층 604호 (청천동, 남광센트렉스) 6층 604호 외 1필지",방송장비 제조업 외 2 종
958,(주)휴젬,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 5층 502호",그 외 기타 의료용 기기 제조업
959,(주)휴텍,인천광역시 부평구 평천로37번길 19 (청천동),금속 절삭기계 제조업
960,(주)희수정보통신,"인천광역시 부평구 가재울로 129, 제1동 104호 (십정동, 테크노1공장)",유선 통신장비 제조업 외 4 종
961,(주)희창,"인천광역시 부평구 평천로37번길 16, (주)희창 (청천동)",운송장비 조립용 플라스틱제품 제조업 외 4 종
962,(주)히팅온,"인천광역시 부평구 주부토로 236,(갈산동) 제비동 9층 917호",절연 코드세트 및 기타 도체 제조업
963,(주)힌지코리아,인천광역시 부평구 부평대로313번길 83 (청천동),주방용 전기기기 제조업
964,(주엠엘이엔씨,"인천광역시 부평구 새벌로 44, 4층 (청천동)",일반용 전기 조명장치 제조업
965,2000엔지니어링,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 2층 209호",운송장비 조립용 플라스틱제품 제조업 외 1 종
966,22레이저,"인천광역시 부평구 부평대로 337, 2층 236호 (청천동, 부평 제이타워3차 지식산업센터) 2층 236호",전시용 모형 제조업
967,AACO(아코),"인천광역시 부평구 부평대로 337, 8층 832호 (청천동, 부평 제이타워3차 지식산업센터) 8층 832호",포장 및 충전업
968,ACETEC,"인천광역시 부평구 부평대로 301 4층 414호 (청천동, 남광센트렉스) 4층 414호",도장 및 기타 피막처리업
