행정구역(구군)별_광업및제조업별,사업체수 (개),종사자수 (명),연간급여액(퇴직금제외) (백만원),출하액 (백만원),연초_완제품_반제품_재공품 재고액 (백만원),연말_완제품_반제품_재공품 재고액 (백만원),주요생산비 (백만원),부가가치 (백만원),유형자산연말잔액(건설중인자산제외) (백만원)
계양구_광업 및 제조업,277,8149,345610,2475778,321109,414784,1574046,951334,1632145
동구_광업 및 제조업,91,6810,470207,10153585,0,0,7967930,2244320,5134275
미추홀구_광업 및 제조업,320,8662,358667,2384651,0,0,1508981,902595,1266398
서구_광업 및 제조업,1524,45960,2111948,27447846,1526385,1727810,19783448,7865823,11140847
연수구_광업 및 제조업,164,19763,1192781,11229488,2519094,3053076,6021697,5372250,5290072
중구_광업 및 제조업,83,9605,504104,8589355,0,0,2665048,1477494,2235698
옹진군_광업 및 제조업,4,0,0,0,0,0,0,0,0
