회사명,업종명,생산품,주소,연락처,출처파일
나은테크,그 외 기타 분류 안된 금속 가공 제품 제조업 (25999),금속 부품(산업기계),,,대전광역시_공장현황_20221231.csv
미성엔지니어링,절삭가공 및 유사처리업 (25924),부품가공(발효기 등),,,대전광역시_공장현황_20221231.csv
성원ENG,금속 단조제품 제조업 (25912),화장품 포장기계 부품(지그 등),,,대전광역시_공장현황_20221231.csv
인성테크,절삭가공 및 유사처리업 (25924),부품가공(브라켓),,,대전광역시_공장현황_20221231.csv
투랩,기타 광학기기 제조업 (27309),광학부품,,,대전광역시_공장현황_20221231.csv
(주)테크노블루,그 외 기타 전자부품 제조업 (26299),"전지,전자 및 정밀기기 전자회로, 기판, 부속품",,,대전광역시_공장현황_20221231.csv
(주)셀포인트,전기ㆍ전자공학 연구개발업 (70121),자동차용 반도체 및 회로,,,대전광역시_공장현황_20221231.csv
(주)재연,그 외 기타 특수목적용 기계 제조업 (29299),"가스공급시스템, 수소차량 부품용 시험 장비",,,대전광역시_공장현황_20221231.csv
(주)테그웨이,그 외 기타 전자부품 제조업 (26299),유연열전소자,,,대전광역시_공장현황_20221231.csv
주식회사 제이제이엔에스,"그 외 자동차용 신품 부품 제조업 외 1종 (30399, 72122)",자동차용 신품 부품 제조업,,,대전광역시_공장현황_20221231.csv
