번호,산업분류번호,업체명,소재지,주생산품,데이터기준일자
508,29,(주)중앙목형,대전광역시 대덕구 대전로1331번길 110 (대화동),"전기엔지니어링서비스, 배전반 제조 ",2025-08-18
509,10,(주)지구식품,대전광역시 대덕구 갑천도시고속도로 735 (상서동),배전반 및 전기자동제어,2025-08-18
510,30,(주)지노스,"대전광역시 대덕구 문평서로 42 (문평동, (주)진합)","태양광 발전장치, 태양광 발전용 에너지 저장장치",2025-08-18
511,29,(주)지디웍스,대전광역시 대덕구 상서당1길 24-1 (상서동),재료시험기,2025-08-18
512,27,(주)지성메디컬,대전광역시 대덕구 무지니1길 54 (평촌동),자동차부품,2025-08-18
513,28,(주)지앤테크,"대전광역시 대덕구 신일서로86번길 53, 1층 (신일동)",가습 분사기,2025-08-18
514,29,(주)지에스지,대전광역시 대덕구 신일동로 105 (신일동) 벤쳐타운장영실관 302호,산업용케이스,2025-08-18
515,25,(주)지에스컴퍼니,"대전광역시 대덕구 대화로106번길 66, 4층 433호(대화동, 펜타플렉스) 4층 433호 4층 433호",산업용케이스,2025-08-18
516,27,(주)지엘테크,대전광역시 대덕구 신일서로85번길 65 (신일동),계량계측기,2025-08-18
517,29,(주)지엘홀딩스,"대전광역시 대덕구 대화로 120, 8층 830호(대화동, 가온비즈타워) 8층 830호","금속표지판, 간판",2025-08-18
518,59,(주)지엠코퍼레이션홀딩스,대전광역시 대덕구 대화로234번길 5-10 (대화동),구조용금속판제품,2025-08-18
519,37,(주)지왕산업,대전광역시 대덕구 대화로132번안길 34(대화동) 외 4필지,드론 교통관리 소프트웨어,2025-08-18
520,70,(주)지지브레인파워연구소,"대전광역시 대덕구 대화로106번길 66, 7층 727호(대화동, 펜타플렉스) 7층 727호 외 1필지",와이퍼 모터,2025-08-18
521,30,(주)지케이네트웍스,대전광역시 대덕구 대화로161번길 50 (대화동),반도체 관련수지 등,2025-08-18
522,14,(주)진영씨엔에스,"대전광역시 대덕구 대화로50번길 63, A동 201,202,203호(대화동)","목재 가구, 건축용 나무제품, 인테리어 디자인",2025-08-18
523,25,(주)진우텍,대전광역시 대덕구 대전천북로 274 (오정동),전자담배 액상,2025-08-18
524,30,(주)진합,"대전광역시 대덕구 문평서로 42 (문평동, (주)진합) 외 1필지",안경렌즈,2025-08-18
525,47,(주)차세대주유소,대전광역시 대덕구 아리랑로 73 (읍내동) 외 2필지,공기식 태양열 집열패널 및 프레임,2025-08-18
526,28,(주)천광이엔씨,"대전광역시 대덕구 대화로106번길 66, 7층 724호(대화동, 펜타플렉스) 7층 724호",이동형청소장치,2025-08-18
527,29,(주)천일시스템,대전광역시 대덕구 신일동로93번길 2 (신일동),"미세먼지, 악취 저감 필터 장치(집진기)",2025-08-18
528,25,(주)청솔건설산업,대전광역시 대덕구 오정로14번길 13 (오정동),화장품,2025-08-18
529,28,(주)청오엔지니어링,대전광역시 대덕구 대화로32번길 60-9 (대화동),과자류,2025-08-18
530,29,(주)청오팜테크,대전광역시 대덕구 오정로52번길 15-2 (오정동),액체 여과기,2025-08-18
531,72,(주)충일전기,"대전광역시 대덕구 대화로106번길 66, 1층 115호(대화동, 펜타플렉스) 1층 115호",타올,2025-08-18
532,28,(주)칠성이엔씨,"대전광역시 대덕구 아리랑로 113, 3층 (읍내동)",화장품 원료,2025-08-18
533,28,(주)캐리그린,"대전광역시 대덕구 대화로 120, 8층 823호(대화동, 가온비즈타워) 8층 823호","포장기계, 정량주입기",2025-08-18
534,27,(주)커스텀이엔지,"대전광역시 대덕구 대화로 120, 3층 306호(대화동, 가온비즈타워) 3층 306호",미용재료 등,2025-08-18
535,30,(주)케이 이 엠,"대전광역시 대덕구 벚꽃길 76 (상서동, 그린회관)",금속커버 및 브라켓류,2025-08-18
536,29,(주)케이세이프,"대전광역시 대덕구 대화로 120, 6층 620호(대화동, 가온비즈타워) 6층 620호 6층 620호",산업용 자동화기기,2025-08-18
537,25,(주)케이스포유,대전광역시 대덕구 대덕대로1417번길 12 (문평동),"수문 및 밸브, 권양기, 흡수식냉온수기, 공기청정기, 하수처리장치 및 구성품, 공조관련제품, 주철제보일러",2025-08-18
538,25,(주)케이스포유,대전광역시 대덕구 신일서로67번길 54 (신일동),산업용기계(압출기계),2025-08-18
539,29,(주)케이씨티랩,"대전광역시 대덕구 대화로 120, 7층 717호(대화동, 가온비즈타워) 7층 717호 외 1필지","진공펌프 및 관련부품, 반도체장비 및 실험기기",2025-08-18
540,25,(주)케이에스광고,대전광역시 대덕구 대화로32번길 36 (대화동),"스크린골프매트, 미끄럼방지용품, 기타고무제품",2025-08-18
541,25,(주)케이에스텍,대전광역시 대덕구 오정로109번길 26 (오정동),안경렌즈,2025-08-18
542,58,(주)케이지에프씨,"대전광역시 대덕구 대화로 120, 10층 1025호(대화동, 가온비즈타워) 10층 1025호",자동차부품(볼트),2025-08-18
543,58,(주)케이지에프씨,"대전광역시 대덕구 대전로1331번길 40, (읍내동, 대전 플랫폼시티 지식산업센터) 1동 8층 817호 외 2필지",스마트제조실습장비,2025-08-18
544,30,(주)케이텍,대전광역시 대덕구 신일동 1683-4 번지,금속브라켓,2025-08-18
545,20,(주)켐이,대전광역시 대덕구 문평서로 8-8 (문평동),"전기. 전자 및 정밀기기 전자회로, 기판, 부속품",2025-08-18
546,24,(주)코나솔,대전광역시 대덕구 문평서로 26 (문평동),솔루션탑재 모바일,2025-08-18
547,32,(주)코너스톤,"대전광역시 대덕구 대화로150번길 113, 109, 110호 (대화동)",판금제품,2025-08-18
548,20,(주)코니케미칼,"대전광역시 대덕구 신일서로 12, B동(신일동)",항온항습기,2025-08-18
549,27,(주)코리아옵티칼,대전광역시 대덕구 신일서로18번길 100 (신일동),홈페이지 개발,2025-08-18
550,25,(주)코리아퓨쳐텍,"대전광역시 대덕구 오정로9번길 2, 에이-201(오정동) (오정동)",금속 가공품,2025-08-18
551,29,(주)코리아환경산업,"대전광역시 대덕구 대화로106번길 66, 3층 322호(대화동, 펜타플렉스) 3층 322호","무정전 전원장치(UPS), 자동전압조정기(AVR)",2025-08-18
552,29,(주)코발트테크놀러지,"대전광역시 대덕구 대화로150번길 113, 304, 305호(대화동)",기타 전기 변환장치 제조업,2025-08-18
553,20,(주)코스비전,대전광역시 대덕구 대화로 80 (대화동),전자부품,2025-08-18
554,10,(주)크라운제과,"대전광역시 대덕구 신일서로67번길 57 (신일동, (주)크라운제과)",목상자,2025-08-18
555,13,(주)클라우망,대전광역시 대덕구 문평서로 52 (문평동),산업용 제습제,2025-08-18
556,20,(주)키프로젠,"대전광역시 대덕구 신일동로 105, 404호(신일동, 벤쳐타운장영실관) 404호",신소재 고분자 개발 및 평가,2025-08-18
557,29,(주)킴스인더스트리,대전광역시 대덕구 신일서로67번길 54(신일동),JOT기기 제조 및 앱/물류관리시스템,2025-08-18
558,20,(주)탑드림,"대전광역시 대덕구 신일동로 105, 1동 4층 402-1 (신일동, 벤쳐타운장영실관)",고분자 화합물,2025-08-18
559,25,(주)탑레이저,대전광역시 대덕구 대화로132번길 111 (대화동),"펌프, 밸브",2025-08-18
560,29,(주)태건이엔지,대전광역시 대덕구 대덕대로 1324 (신일동),펌프임펠러,2025-08-18
561,25,(주)태공,"대전광역시 대덕구 대전로1112번길 22-7, 1층 (오정동)",복사용지,2025-08-18
562,29,(주)태광플랜트,대전광역시 대덕구 벚꽃길 114 (상서동),건물 엔지니어링 서비스,2025-08-18
563,29,(주)태백진공,대전광역시 대덕구 대화로139번길 29 (대화동),광통신용 모듈,2025-08-18
564,22,(주)태성폴리텍,대전광역시 대덕구 벚꽃길 103 (상서동) 외 1필지,보안소프트웨어,2025-08-18
565,62,(주)태안솔루션,"대전광역시 대덕구 대화로106번길 66, (대화동, 펜타플렉스) 1동 3층 304호",반도체장비 및 부품,2025-08-18
566,26,(주)태정테크,대전광역시 대덕구 신일동 1690-16,의료기기용 소프트웨어,2025-08-18
567,25,(주)태현정공,대전광역시 대덕구 청자마을길 33 (평촌동),목재칩(펄프원료),2025-08-18
568,26,(주)테스앤테스,대전광역시 대덕구 문평동로 41-32 (문평동),옥내외 광고물,2025-08-18
569,25,(주)테크노블루,대전광역시 대덕구 신일서로67번길 56 (신일동) 외 5필지,반도체용접착제,2025-08-18
570,58,(주)텔콤,"대전광역시 대덕구 대화로 120, 7층 709호(대화동, 가온비즈타워) 7층 709호 외 1필지","배전반, 분전반, CCTV, 전동기, 무인항공기",2025-08-18
571,25,(주)토탈테크,"대전광역시 대덕구 문평동로 41-36 (문평동, 토탈)","백상지, 컬러전용지",2025-08-18
572,29,(주)토퍼스엔지니어링,대전광역시 대덕구 대전천북로 272 (오정동),주차관제시스템,2025-08-18
573,58,(주)티아이티소프트웨어,"대전광역시 대덕구 대화로 120, 11층 1129호(대화동, 가온비즈타워) 11층 1129호",LED전구 및 램프,2025-08-18
574,25,(주)티앤엠,"대전광역시 대덕구 문평동로 41-43 (문평동, (주)템코)",도금품 및 기타피막저리물,2025-08-18
575,28,(주)티에스,"대전광역시 대덕구 대화로50번길 63, 1층 (대화동)",전자부품,2025-08-18
576,28,(주)티에스,"대전광역시 대덕구 신탄진로115번안길 12(신대동, (주)티에스)",안경필름,2025-08-18
577,26,(주)티제이텍,대전광역시 대덕구 문평동로 43 (문평동),공조여과기,2025-08-18
578,16,(주)티지엘,대전광역시 대덕구 문평동로 41-16 (문평동),"해수담수화설비, 수처리장비, 미스트노즐, 쿨링포그시스템 등",2025-08-18
579,20,(주)티케이이엔에스,"대전광역시 대덕구 신일동로 101, 주1동 (신일동)","자동결속기, 결속선",2025-08-18
580,70,(주)파이솔루션테크놀로지,"대전광역시 대덕구 대화로 120, 7층 705호(대화동, 가온비즈타워) 7층 705호",칫솔 ,2025-08-18
581,58,(주)파인드미,"대전광역시 대덕구 대화로106번길 66, 5층 510호(대화동, 펜타플렉스) 5층 510호",화장품,2025-08-18
582,20,(주)파인랩,대전광역시 대덕구 신일서로126번길 97(신일동),마스크,2025-08-18
583,29,(주)펌스터,대전광역시 대덕구 대화로106번길 140 (대화동),수소시험장비,2025-08-18
584,29,(주)펌프케어,"대전광역시 대덕구 대화로106번길 66, 7층 734호(대화동, 펜타플렉스) 7층 734호","유압파워팩, 유압기기 등",2025-08-18
585,17,(주)페이퍼칼라,"대전광역시 대덕구 대화로50번길 52 (대화동, 페이퍼칼라)",웹 및 앱,2025-08-18
586,72,(주)펜타건설,대전광역시 대덕구 대전로 1295 (읍내동),"시트, 환의, 기계포 등",2025-08-18
587,26,(주)포벨,"대전광역시 대덕구 문평동로 41-22, 2층(문평동)",인쇄회로기판,2025-08-18
588,58,(주)포엘아이티,"대전광역시 대덕구 대화로 120, 10층 1015호(대화동, 가온비즈타워) 10층 1015호","기계, 전기기술 개발 및 엔지니어링 기술 제공",2025-08-18
589,29,(주)포올,"대전광역시 대덕구 덕암로125번안길 141, (주)포올 (덕암동)",낙뢰보호전기제품,2025-08-18
590,58,(주)폴스랩코리아,"대전광역시 대덕구 대화로 120, 8층 832호(대화동, 가온비즈타워) 8층 832호",타이어 제조부품,2025-08-18
591,17,(주)풍림,"대전광역시 대덕구 대화로52번안길 160, 외7필지 (대화동)",전기mcc 판넬 및 자동제어판넬,2025-08-18
592,33,(주)프랜즈아이플러스,"대전광역시 대덕구 오정로63번길 65, 1층 (오정동)","가로등주, 경관조명, 가로등기구",2025-08-18
593,20,(주)프로타빅코리아,"대전광역시 대덕구 신일서로 70 (신일동, (주)프로타빅코리아)",타이어몰드금형,2025-08-18
594,26,(주)플러스전기공사,대전광역시 대덕구 대화로 178(대화동),"화목보일러, 화목난로",2025-08-18
595,17,(주)플로터하우스,"대전광역시 대덕구 대화로106번길 66, 6층 622호(대화동, 펜타플렉스) 6층 622호","산업용기계, 부품가공",2025-08-18
596,28,(주)피디,"대전광역시 대덕구 대화로106번길 66, 2층 215호(대화동, 펜타플렉스) 2층 215호 2층 215호",난연보조제,2025-08-18
597,28,(주)피스코,"대전광역시 대덕구 대화로 29, 402호 (대화동, 충청하나은행)",가공보조제,2025-08-18
598,25,(주)피앤씨테크,대전광역시 대덕구 신일동로67번길 24 (신일동),UV엣지 코팅 자동화 플랜트,2025-08-18
599,26,(주)피코팩,"대전광역시 대덕구 신일서로85번길 91, 105호(신일동, 벤쳐타운다산관) 105호 외 9필지",안경렌즈,2025-08-18
600,27,(주)피티앤티,대전광역시 대덕구 신일서로 45 (신일동),정수기필터,2025-08-18
601,29,(주)필엔텍,"대전광역시 대덕구 대화로 120, 2층 220호(대화동, 가온비즈타워) 2층 220호 외 2필지","금속제 패널,금속 문, 창, 셔터 및 관련제품",2025-08-18
602,29,(주)필터테크,대전광역시 대덕구 덕암북로70번길 35 (덕암동),공기압축기,2025-08-18
603,29,(주)하나,"대전광역시 대덕구 대전로 1092, 3층 (오정동)","천막, 어닝",2025-08-18
604,33,(주)하우,대전광역시 대덕구 대화로 121 (대화동),금속절단가공품,2025-08-18
605,20,(주)하우뷰티,대전광역시 대덕구 대화로 121 (대화동),기계부품가공,2025-08-18
606,70,(주)하이드로시스,"대전광역시 대덕구 대화로106번길 66, 11층 1126호(대화동, 펜타플렉스) 11층 1126호","조명기구, 배전반, 점멸기 등",2025-08-18
607,29,(주)하이패커,대전광역시 대덕구 신일서로67번길 64(신일동),전기배전반 및 전기자동제어반,2025-08-18
608,58,(주)하이퍼센싱,"대전광역시 대덕구 대화로106번길 66, 6층 631호(대화동, 펜타플렉스) 6층 631호 외 1필지",태양전기시설 및 기계제작,2025-08-18
609,14,(주)한국메디칼,"대전광역시 대덕구 대전로 1321 (읍내동, 한국메디칼)","농업기계용 트랜스미션류, 농업기계용 부품, 축산기계",2025-08-18
610,26,(주)한국비아테크,대전광역시 대덕구 문평동로 31 (문평동),CHOCK,2025-08-18
611,72,(주)한국산업안전본부,"대전광역시 대덕구 대화로 120, 6층 627호(대화동, 가온비즈타워) 6층 627호 외 1필지",타올,2025-08-18
612,28,(주)한국서지연구소,"대전광역시 대덕구 계족산로81번길 6 (송촌동, 송촌크리닉)",기타플라스틱 제품,2025-08-18
613,25,(주)한국정공,대전광역시 대덕구 대덕대로1284번길 1295-15 (신일동),"시스템마루틀, 목재테크",2025-08-18
614,28,(주)한국제일,"대전광역시 대덕구 대화로 120,(대화동, 가온비즈타워) 1동 11층 1101호 외 2필지",냉장 및 냉동창고업,2025-08-18
615,25,(주)한국조명유통조합,대전광역시 대덕구 오정로 115 (오정동),일반전국화물자동차운송,2025-08-18
616,29,(주)한국프리시전웍스,대전광역시 대덕구 문평서로 45 (문평동) (주)한국프리시전웍스,크롬-합금 알루미늄 분말 및 타겟,2025-08-18
617,26,(주)한기술,"대전광역시 대덕구 신탄진로115번안길 35(신대동, (주)한기술)",코팅기계,2025-08-18
618,25,(주)한길에너지,대전광역시 대덕구 무지니2길 5 (평촌동),"신축이음장치, 거더, 교량",2025-08-18
619,29,(주)한길엔지니어링,"대전광역시 대덕구 신일서로18번길 50 (신일동, (주)한길엔지니어링)","소방안전, 산업시설물 유지관리",2025-08-18
620,20,(주)한나노텍,"대전광역시 대덕구 대덕대로 1330(신일동, (주)한나노텍)",마스크,2025-08-18
621,20,(주)한나노텍 문평지점,대전광역시 대덕구 문평서로 8-16 (문평동),항온항습기 외,2025-08-18
622,29,(주)한나이엔지,대전광역시 대덕구 대화로50번길 65 (대화동),"항공기부품생산, 항공운수, 기타일반기계및장비수리",2025-08-18
623,27,(주)한누리텍,대전광역시 대덕구 신일서로18번길 100 (신일동),수배전반,2025-08-18
624,25,(주)한맥건설,대전광역시 대덕구 신탄진로750번길 40 (신탄진동),수.배전반,2025-08-18
625,29,(주)한맥기계,대전광역시 대덕구 신탄진로750번길 18 (신탄진동),"산업용클러치 , 브레이크",2025-08-18
626,13,(주)한미하이텍,대전광역시 대덕구 아리랑로55번길 191 (신대동),전자/에어클러치&브레이크,2025-08-18
627,24,(주)한밭정공,대전광역시 대덕구 방두말1길 20-32 (상서동),"반도체용 Utility line flange 및 Fitting, 시험 및 측정장비 등",2025-08-18
628,24,(주)한밭정공,"대전광역시 대덕구 대화로132번길 113 (대화동, 유신당인쇄)","가스공급시스템, 고압가스안전케비넷",2025-08-18
629,28,(주)한빛라이팅,대전광역시 대덕구 상서당1길 52-8 (상서동),간판.현수막,2025-08-18
630,28,(주)한빛테크놀로지,"대전광역시 대덕구 대화로 147, 201-2호 (대화동)","홈페이지 제작, 네이버광고대행",2025-08-18
631,28,(주)한서,대전광역시 대덕구 벚꽃길 118 (상서동),레이저가공품,2025-08-18
632,29,(주)한스메카,대전광역시 대덕구 방두말1길 5 (평촌동),배전반 설계(태양력 시설),2025-08-18
633,25,(주)한스코,"대전광역시 대덕구 문평서로17번길 35 (문평동, (주)한스코)",인터네 및 모바일용 S/W개발,2025-08-18
634,13,(주)한신타올공업,대전광역시 대덕구 방두말3길 22 (평촌동),"스텐리스판, 평철",2025-08-18
635,16,(주)한영테크,"대전광역시 대덕구 대화로106번길 66, 4층 403호(대화동, 펜타플렉스) 4층 403호","실험대, 이동서랍장, 이동캐비넷",2025-08-18
636,52,(주)한익스프레스,"대전광역시 대덕구 대화로32번길 335(대화동, 한익스프레스)",메모리펜.수정액,2025-08-18
637,49,(주)한진,"대전광역시 대덕구 대화로106번길 111 (대화동, 한진택배)",폴리에스터,2025-08-18
638,24,(주)한캡,"대전광역시 대덕구 대화로106번길 66, 11층 1115호(대화동, 펜타플렉스) 11층 1115호",레카르딥정,2025-08-18
639,29,(주)한테크,대전광역시 대덕구 신일서로18번길 2 (신일동),"시스템비계,안전작업대,안전발판",2025-08-18
640,25,(주)항신바이탈,"대전광역시 대덕구 대화로106번길 66, 3층 324호(대화동, 펜타플렉스) 3층 324호",밀링머신,2025-08-18
641,74,(주)해냄소방,"대전광역시 대덕구 대화로 120, 10층 1029호(대화동, 가온비즈타워) 10층 1029호",배터리 부품,2025-08-18
642,13,(주)해피데이,대전광역시 대덕구 신일서로 75(신일동),치과용 3D프린터,2025-08-18
643,29,(주)헤팍엔지니어링,대전광역시 대덕구 방두말4길 31 (평촌동),배전반,2025-08-18
644,31,(주)헬리코리아,"대전광역시 대덕구 한밭대로1003번길 158, (대화동 282-16) (대화동, 삼주물산)",창호,2025-08-18
645,28,(주)현대기전,"대전광역시 대덕구 산업단지로 122 (신일동, 현대기전)",용접작업대,2025-08-18
646,28,(주)현대전기,"대전광역시 대덕구 산업단지로 122, A동 (신일동, 현대기전)",자동제어반,2025-08-18
647,29,(주)현대클러치,"대전광역시 대덕구 대화로150번길 133 (대화동, 현대클러치)",식판세척기,2025-08-18
648,29,(주)현대클러치,대전광역시 대덕구 대화로132번길 111 (대화동),진공 및 공조설비 설계 엔지니어링,2025-08-18
649,25,(주)현진에프엔에스,"대전광역시 대덕구 대화로106번길 66, 7층 726호(대화동, 펜타플렉스) 7층 726호","정밀가공, 특수목적 기계 제작",2025-08-18
650,29,(주)현테크,"대전광역시 대덕구 대화로106번길 66, 2층 205호(대화동, 펜타플렉스) 2층 205호","콘트롤러, rgb매트릭스, zkapfk",2025-08-18
651,33,(주)호암애드텍,대전광역시 대덕구 대전로1033번길 43 (오정동),설치용금속탱크,2025-08-18
652,71,(주)홍련닷컴,"대전광역시 대덕구 대화로 120, 10층 1023호(대화동, 가온비즈타워) 10층 1023호",배전반 및 전기 자동제어반,2025-08-18
653,25,(주)화성스틸,대전광역시 대덕구 오정로75번길 39 (오정동),증류장치,2025-08-18
654,72,(주)화성스틸,"대전광역시 대덕구 대화로 120, 12층 1201호(대화동, 가온비즈타워) 12층 1201호 외 36필지",정수기,2025-08-18
655,58,(주)화인산업개발,"대전광역시 대덕구 대화로106번길 66, 8층 815호(대화동, 펜타플렉스) 8층 815호 외 1필지",공조기항온항습기,2025-08-18
656,24,(주)황금에스티,"대전광역시 대덕구 신일서로 2 (신일동, 한남엔지니어링)","용접기, 콘프레샤",2025-08-18
657,32,(주)휴랩제2공장,대전광역시 대덕구 문평동로48번길 80(문평동),산업기계,2025-08-18
658,33,(주)휴렉스,"대전광역시 대덕구 대전로1291번길 145 (대화동, 모나미)",기기용 자동측정 및 자동제어장치제조업,2025-08-18
659,70,(주)휴비스,"대전광역시 대덕구 신일서로 90 (신일동, (주)휴비스)","가로등, 분전반, 대차, 철재파레트",2025-08-18
660,21,(주)휴비스트제약,대전광역시 대덕구 신일서로104번길 46 (신일동),도로안전시설물,2025-08-18
661,25,(주)휴하리,대전광역시 대덕구 새말2길 49(상서동),"플라스틱 가공기, 금형산업장비",2025-08-18
662,29,(주)흥환기계,"대전광역시 대덕구 대화로32번길 351 (대화동, 흥환기계)",무인기엔진지상리그시험장치,2025-08-18
663,24,(주)희정,대전광역시 대덕구 무지니1길 47 (평촌동),공조덕트,2025-08-18
664,28,(합)한영전기,대전광역시 대덕구 신일서로86번길 57 (신일동),콘베이어벨트,2025-08-18
665,25,(합)형제건설산업,대전광역시 대덕구 석봉로58번길 77 (석봉동),"방폭형 진공 게이지, 진공장비제조(디스플레이반도체)",2025-08-18
666,32,21C교육시스템,"대전광역시 대덕구 대화로106번길 66, 9층 929호(대화동, 펜타플렉스) 9층 929호",반응조 등,2025-08-18
667,33,3Dmeca,"대전광역시 대덕구 대화로150번길 113, 111호 (대화동)",여과장치 외,2025-08-18
668,28,A.C.E-TECH,"대전광역시 대덕구 대화로106번길 66, 3층 317호(대화동, 펜타플렉스) 3층 317호",임대업,2025-08-18
669,30,CM시스템,"대전광역시 대덕구 대전로1331번길 40,(읍내동, 대전 플랫폼시티 지식산업센터) 1동 6층 610호 외 1필지","전자식 모의훈련기기, 실물모형",2025-08-18
670,28,CPM세척기산업,"대전광역시 대덕구 방두말2길 5 (상서동, 청도정밀)",광점프코드 외,2025-08-18
671,72,CS진공,"대전광역시 대덕구 대화로106번길 66, 1층 110호(대화동, 펜타플렉스) 1층 110호",배전반 및 전기 자동 제어반,2025-08-18
672,25,EMT플러스,"대전광역시 대덕구 대화로106번길 66, B1층 B102호(대화동, 펜타플렉스) B1층 B102호",광섬유 전송시스템,2025-08-18
673,26,HF테크,"대전광역시 대덕구 덕암로233번길 17, 가동 2층 (덕암동)","3D프린터, 3D프린터 보관함, 실습기자재 보관함",2025-08-18
674,27,HM엔지니어링,대전광역시 대덕구 대화로32번길 132 (대화동),유전자 분석,2025-08-18
675,28,HS정보통신,"대전광역시 대덕구 대화로106번길 66, 3층 312호(대화동, 펜타플렉스) 3층 312호",비철금속 절단 및 각가공,2025-08-18
676,29,HUNI TECH,"대전광역시 대덕구 대화로 120, 7층 701호(대화동, 가온비즈타워) 7층 701호","전기조명소켓플레이트, 알루미늄 프로파일과 목공용지그, 금속절단 및 비철금속 절단",2025-08-18
677,29,IT정수산업,대전광역시 대덕구 오정로24번길 12 (오정동),"알루미늄유리도어, 금속가구",2025-08-18
678,29,KD시스템,"대전광역시 대덕구 대화로106번길 66, 204호(대화동, 펜타플렉스) 204호 외 1필지","철판 임가공, 철판구조물",2025-08-18
679,28,KS일렉트로닉스,대전광역시 대덕구 대화로 169 (대화동),기체연료 및 관련 제품 도매,2025-08-18
680,29,LGO산업기계,"대전광역시 대덕구 대화로 133, 2층 211호 (대화동)","창호단조, 철제제품",2025-08-18
681,27,MS 기술,"대전광역시 대덕구 대화로 120, 3층 323호(대화동, 가온비즈타워) 3층 323호",기계 엔지니어링 서비스,2025-08-18
682,25,NHS,대전광역시 대덕구 벚꽃길 116 (상서동),지능형 전동카트,2025-08-18
683,33,OATMNC,대전광역시 대덕구 상서동 435-12번지 산39-10,안경 및 안경렌즈,2025-08-18
684,25,S.H산업,대전광역시 대덕구 대화로50번길 57-18 (대화동),"플라스틱, 비닐 압축",2025-08-18
685,31,TEC-EYE SYSTEM ENGINEERING,대전광역시 대덕구 신일서로18번길 48 (신일동),전기차 EV충전불량 테스터 전자기기 연구개발,2025-08-18
686,25,TOP 엔지니어링,대전광역시 대덕구 방두말5길 18 (상서동),일반경영자문,2025-08-18
687,22,TR벨트랙(주),"대전광역시 대덕구 대화로106번길 43(대화동, 티알벨트랙(주))","펌프, UV/03 수질 및 공기 살균정화기",2025-08-18
688,27,VnC,"대전광역시 대덕구 대화로106번길 66, 10층 1014호(대화동, 펜타플렉스) 10층 1014호",논슬립,2025-08-18
689,29,YM테크,대전광역시 대덕구 대전로1076번길 32 (오정동),수성발수제,2025-08-18
690,10,tune,"대전광역시 대덕구 대화로106번길 66, 5층 534호(대화동, 펜타플렉스) 5층 534호 5층 534호",압력탱크 제작 및 철구조물 제작,2025-08-18
691,29,㈜21세기하이테크,대전광역시 대덕구 대화로32번길 78 (대화동),수.배전반,2025-08-18
692,68,㈜국제에스티,대전광역시 대덕구 대화동 404-6 외 12필지,소프트웨어 어플 개발,2025-08-18
693,29,㈜글림시스템즈,"대전광역시 대덕구 대화로32번길 79, 1동, 4동(대화동, 대원종합물산)",샷다,2025-08-18
694,28,㈜기린정보통신,대전광역시 대덕구 대화로50번길 63 (대화동),유무선기기및컴퓨터주변기기,2025-08-18
695,28,㈜기전케이블,대전광역시 대덕구 대화동 1-56,"각재,판재",2025-08-18
696,26,㈜누리폰즈,대전광역시 대덕구 대전로1331번길 110 (대화동),페인트롤러,2025-08-18
697,29,㈜더하임,"대전광역시 대덕구 대화로50번길 63, 101호, 201호 (대화동)",산업기계,2025-08-18
698,58,㈜메타뱅크,"대전광역시 대덕구 한남로 70, B205(오정동, 한남대학교)",식품기계,2025-08-18
699,72,㈜바이오닉스,"대전광역시 대덕구 대화로106번길 66, 504호(대화동, 펜타플렉스) 504호 외 2필지",폴리우레아(방수재),2025-08-18
700,20,㈜보네스티,"대전광역시 대덕구 한남로 70, 산학연혁신허브 A303~304(오정동, 한남대학교)",금속구조물,2025-08-18
701,25,㈜비엠메탈,"대전광역시 대덕구 대화로32번길 89 (대화동, 금성석재)",금속절삭및시험기기제작,2025-08-18
702,58,㈜비주얼라이트,"대전광역시 대덕구 한남로 70, B406(오정동, 한남대학교)",산업용 부품가공,2025-08-18
703,25,㈜손잡이닷컴,대전광역시 대덕구 대화로50번길 35 (대화동),화섬직,2025-08-18
704,25,㈜아이엘산업,대전광역시 대덕구 대화로 125 (대화동),금형,2025-08-18
705,26,㈜올뉴시스템즈,"대전광역시 대덕구 한남로 70, 산학연혁신허브 A310~311(오정동, 한남대학교)",하수관로 연결용 패킹,2025-08-18
706,25,㈜위너스틸,대전광역시 대덕구 대전로1331번길 110 (대화동),직교로봇,2025-08-18
707,46,㈜이원,대전광역시 대덕구 대화로50번길 90 (대화동),"가구제조, 실험기구",2025-08-18
708,25,㈜청월당,"대전광역시 대덕구 대화로32번길 79 (대화동, 대원종합물산)",석재고정용앵글,2025-08-18
709,72,㈜케미스카이,"대전광역시 대덕구 대화로106번길 66, 813호(대화동, 펜타플렉스) 813호",석재 고정용 앵글,2025-08-18
710,29,㈜콜리,대전광역시 대덕구 대전로1331번길 40 (읍내동) 외 6필지,석재고정용앵글,2025-08-18
711,38,㈜희망그린,대전광역시 대덕구 대화로32번길 191 (대화동),자수,2025-08-18
712,70,가온전지산업,"대전광역시 대덕구 대화로 120, 7층 733호(대화동, 가온비즈타워) 7층 733호",공장임대,2025-08-18
713,71,가온홀딩스,"대전광역시 대덕구 대화로 120, 6층 615호(대화동, 가온비즈타워) 6층 615호 외 1필지","냉면육수,냉면,갈비탕 등",2025-08-18
714,29,가인테크,"대전광역시 대덕구 대화로106번길 66, 2층 207호(대화동, 펜타플렉스) 2층 207호",항온항습기,2025-08-18
715,25,가호산업,대전광역시 대덕구 대화로150번길 42-11 (대화동) 205호,소방차.청소차.구조차,2025-08-18
716,20,강남제비스코(주),"대전광역시 대덕구 신일동로67번길 7 (신일동, 건설화학공업(주)) 외 1필지",모터 드라이버,2025-08-18
