번호,산업분류번호,업체명,소재지,주생산품,데이터기준일자
52,58,(주)누림소프트,"대전광역시 대덕구 대화로 120, 7층 711호(대화동, 가온비즈타워) 7층 711호 외 3필지","자동판매기, 출입통제시스템 등",2025-08-18
53,29,(주)뉴들,"대전광역시 대덕구 대화로 120, 4층 411호(대화동, 가온비즈타워) 4층 411호 4층 411호","물비누, 제정제",2025-08-18
54,20,(주)뉴젠사이언스,대전광역시 대덕구 문평서로18번길 1(문평동),연구소용 시험장비,2025-08-18
55,29,(주)뉴텍뱅크,대전광역시 대덕구 대화로 213 (대화동),"스윙플레이트, 스윙플레이트, 산업용작업대, 스윙플레이트, 스윙플레이트, 승강기리프트, 스윙플레이트, 스윙플레이트, 스윙플레이트, 산업용작업대",2025-08-18
56,29,(주)다성테크놀로지,대전광역시 대덕구 문평동로 41-32 (문평동),"스토리보드, 모션그래픽, 캐릭터디자인, 그래픽디자인 , 세정제, 세제(표백제)",2025-08-18
57,20,(주)다온켐텍,"대전광역시 대덕구 대화로106번길 66, 6층 634호(대화동, 펜타플렉스) 6층 634호",의료용 시멘트 혼합기,2025-08-18
58,27,(주)다옴메디,"대전광역시 대덕구 대화로106번길 66,(대화동, 펜타플렉스) 1동 6층 626호",산업용휠터사,2025-08-18
59,13,(주)다우산업,"대전광역시 대덕구 문평동로48번길 114 (문평동, 대우섬유)","수배전반, 인버터, 제어반 등",2025-08-18
60,28,(주)다우엔티,대전광역시 대덕구 신일서로85번길 65 (신일동),자동차기어,2025-08-18
61,30,(주)다이나맥,"대전광역시 대덕구 대화로132번길 184 (대화동, 동영산업)","Buffer, qowl",2025-08-18
62,21,(주)닥터바이오,"대전광역시 대덕구 대화로 120, 10층 1011호(대화동, 가온비즈타워) 10층 1011호 외 3필지",영상 등 콘텐츠 ,2025-08-18
63,71,(주)담커뮤니케이션,"대전광역시 대덕구 대화로106번길 66, 9층 921호(대화동, 펜타플렉스) 9층 921호 외 1필지",에너지관리시스템(EMS),2025-08-18
64,58,(주)대건소프트,"대전광역시 대덕구 대화로 120, 9층 939호(대화동, 가온비즈타워) 9층 939호 외 1필지",철도차량부품,2025-08-18
65,31,(주)대경솔루션,"대전광역시 대덕구 대화로106번길 66, 7층 701호(대화동, 펜타플렉스) 7층 701호","철판절단, 절곡, 용접",2025-08-18
66,29,(주)대광이엔지,대전광역시 대덕구 대화로50번길 35 (대화동),"진공시스템, 태양광전력, 무균함(글로브박스)",2025-08-18
67,29,(주)대기하이텍,대전광역시 대덕구 대화로50번길 47 (대화동),건물 유지보수 관리 서비스,2025-08-18
68,74,(주)대담,"대전광역시 대덕구 대화로 120, 11층 1130호(대화동, 가온비즈타워) 11층 1130호","강화도어, 자동문",2025-08-18
69,25,(주)대덕강화자동문,"대전광역시 대덕구 대전로 1315(읍내동, (주)대덕강화자동문)",AL프로파일 외,2025-08-18
70,25,(주)대덕공조플랜트,대전광역시 대덕구 대화로139번길 25 (대화동) 외 1필지,알루미늄 프로파일 프레임,2025-08-18
71,25,(주)대덕공조플랜트(2공장),"대전광역시 대덕구 대화로 120, 8층 829호(대화동, 가온비즈타워) 8층 829호",발전기 건전성 온라인 통합 감시시스템,2025-08-18
72,28,(주)대덕시스템,"대전광역시 대덕구 대화로106번길 66, 4층 422호(대화동, 펜타플렉스) 4층 422호","전기엔지니어링, 문전반",2025-08-18
73,28,(주)대덕전력,"대전광역시 대덕구 대화로106번길 66, 5층 516호(대화동, 펜타플렉스) 5층 516호",두부,2025-08-18
74,10,(주)대덕종합식품,대전광역시 대덕구 대전로 1330-14 (읍내동),촉매장치,2025-08-18
75,29,(주)대로에이앤티,대전광역시 대덕구 대화로32번길 60-50(대화동),방습제,2025-08-18
76,20,(주)대림산업,대전광역시 대덕구 대전천북로 186 (오정동),급수밸브,2025-08-18
77,29,(주)대명기전,"대전광역시 대덕구 대전로1331번길 40,(읍내동, 대전 플랫폼시티 지식산업센터) 1동 3층 311호 외 1필지",전동기,2025-08-18
78,28,(주)대명중전기,대전광역시 대덕구 신일동로93번길 17-7 (신일동),자동화설비라인,2025-08-18
79,29,(주)대상테크,대전광역시 대덕구 대화로150번길 42-17 (대화동),탄약포장용 철상자,2025-08-18
80,25,(주)대성기공,대전광역시 대덕구 대덕대로1417번길 95(문평동),스치로폴,2025-08-18
81,22,(주)대성케미칼,"대전광역시 대덕구 방두말4길 35 (평촌동, (주)대성케미칼)",논슬립,2025-08-18
82,25,(주)대신기술개발,"대전광역시 대덕구 대화로150번길 42-11, 2층 201호 (대화동)",강.주물주조,2025-08-18
83,29,(주)대양데이즈,"대전광역시 대덕구 대화로150번길 42-6 (대화동, 대양알로이스틸)",전기분전반,2025-08-18
84,28,(주)대양이엔씨,"대전광역시 대덕구 아리랑로125번길 11, (주)대양이엔씨 (읍내동)","주방, 가스기구",2025-08-18
85,25,(주)대양테크,"대전광역시 대덕구 문평동로48번길 142 (문평동, (주)리가스)",방화문,2025-08-18
86,25,(주)대오산업,"대전광역시 대덕구 산업단지로87번길 106-9 (신일동, (주)대오산업)","가구류,씽크류",2025-08-18
87,32,(주)대원종합물산,"대전광역시 대덕구 대화로32번길 79 (대화동, 대원종합물산)",식품기계,2025-08-18
88,29,(주)대율산업,"대전광역시 대덕구 평촌2길 4, A동 (평촌동)",자동차종합수리업,2025-08-18
89,95,(주)대전공단모터스기아오토큐,대전광역시 대덕구 신일동로 7 (신일동),파쇄기 ,2025-08-18
