순번,업체명,업종,주생산품,용지면적,제조시설,부대시설,남,여
197,원종남,"비주거용 건물 임대업 외 1종 (68112, 68119)",임대업,1665,0,746.15,0,0
198,유한책임회사 비에스큐팀,경영 컨설팅업 (71531),개인카페 창업컨설팅,9,28.98,0,0,0
199,유한책임회사 팹디노,"그 외 기타 달리 분류되지 않은 제품 제조업 외 1종 (33999, 73202)","제품 시제품 제작, 제품의 디자인 설계",25.4,83.45,83.19,0,0
200,윤민애,컴퓨터 프로그래밍 서비스업 (62010),업무자동화용 프로그램,35.18,115.56,115.2,0,0
201,은하수상사,간판 및 광고물 제조업 (33910),현수막,25.19,82.74,82.49,0,0
202,이로텍,배전반 및 전기 자동제어반 제조업 (28123),PLC제어반,25.19,82.74,82.49,0,0
203,이수테크,제품 디자인업 (73202),가국 디자인,25.19,82.74,82.49,0,0
204,이에이치미디어,응용 소프트웨어 개발 및 공급업 (58222),전장제어함 자동화 소프트웨어,42.69,140.22,139.79,0,0
205,인서스트(주),기타 공학 연구개발업 (70129),고체수소 활용 신재생 에너지관련 연구개발,27.21,88.2,0,4,1
206,인성테크,절삭가공 및 유사처리업 (25924),부품가공(브라켓),27.1,89.04,88.76,0,0
207,자기계발연구소,경영 컨설팅업 (71531),"인사, 재무, 회계 기술 경영관리 및 마케팅",25.19,82.74,82.49,0,0
208,장앤장스,사업 및 무형 재산권 중개업 (73903),상표권 등 재산권 중개,23.52,77.28,77.04,0,0
209,재인FA시스템,배전반 및 전기 자동제어반 제조업 (28123),"TPR, 분전반",25.4,83.45,83.19,0,0
210,정우사이언스,기타 공학 연구개발업 (70129),비말차단 위생가림막 개발,40.58,133.29,132.87,0,0
211,정초자,그 외 기타 분류 안된 금속 가공 제품 제조업 (25999),"SUS임펠라, SUS선반, Telflon제품",47.77,156.92,156.43,2,1
212,정호이엔지,건축설계 및 관련 서비스업 (72111),주택 상가 등 건축설계,43.89,144.2,143.76,0,0
213,제이앤,"광고물 문안, 도안, 설계 등 작성업 (71393)","디자인, 도안, 작성 서비스",25.19,82.74,82.49,0,0
214,제이앤씨솔루션,기타 정보기술 및 컴퓨터운영 관련 서비스업 (62090),"네트워크 구축, 운영 및 번역, 수출 컨설팅 서비스",25.19,82.74,82.49,0,0
215,제이와이,응용 소프트웨어 개발 및 공급업 (58222),보안소프트웨어,41.94,137.76,137.34,0,0
216,제이제이,콜센터 및 텔레마케팅 서비스업 (75991),건강식품 텔레마케팅,20.22,66.42,66.21,0,0
217,제일테크,금속 가구 제조업 (32091),실험실 작업대,29.06,95.44,95.15,0,0
218,주식회사 도안앤텍,산업용 로봇 제조업 (29280),산업용 측정 로봇,34.52,113.4,113.05,0,0
219,준테크,경영 컨설팅업 (71531),"(의료기기 제조업체 대상)시장관리, 전략기획 자문",43.64,143.37,142.93,0,0
220,지오솔루션,컴퓨터 프로그래밍 서비스업 (62010),물류관리 주문형 소프트웨어,23.4,76.86,76.62,0,0
221,지오켐텍,기타 엔지니어링 서비스업 (72129),과학분석장비 관리서비스,25.19,82.74,82.49,0,0
222,진영컨설팅,경영 컨설팅업 (71531),"경영, 재무, 인사 컨설팅",25.19,82.74,82.49,0,0
223,청평컨설팅,경영 컨설팅업 (71531),"마케팅, 재무, 인력 관리",23.52,77.28,77.04,0,0
224,카이로보틱스(주),"그 외 기타 일반목적용 기계 제조업 외 1종 (29199, 31920)","자동판매기, 전동휠체어",71.05,231.69,0,6,2
