기준년월,행정동명,중분류,소비액(천원)
202409,송도1동,기타관광쇼핑,1657356.0
202409,송도1동,의료관광,97951.0
202409,송도1동,뷰티,408370.0
202409,송도1동,일반외식업,4458526.0
202409,송도1동,제과음료업,742388.0
202410,송도1동,호텔,1419020.0
202410,송도1동,기타숙박,16119.0
202410,송도1동,레저용품쇼핑,630338.0
202410,송도1동,관광유원시설,19015.0
202410,송도1동,골프장,1566594.0
202410,송도1동,기타레저,259731.0
202410,송도1동,문화서비스,75711.0
202410,송도1동,육상운송,229574.0
202410,송도1동,렌터카,1627.0
202410,송도1동,대형쇼핑몰,550404.0
202410,송도1동,기타관광쇼핑,1724995.0
202410,송도1동,의료관광,69893.0
202410,송도1동,뷰티,425488.0
202410,송도1동,일반외식업,4776917.0
202410,송도1동,제과음료업,747791.0
202411,송도1동,호텔,1389019.0
202411,송도1동,기타숙박,22925.0
202411,송도1동,레저용품쇼핑,442595.0
202411,송도1동,관광유원시설,13660.0
202411,송도1동,골프장,1364904.0
202411,송도1동,기타레저,259657.0
202411,송도1동,문화서비스,79502.0
202411,송도1동,육상운송,228110.0
202411,송도1동,대형쇼핑몰,561382.0
202411,송도1동,기타관광쇼핑,1553350.0
202411,송도1동,의료관광,70951.0
202411,송도1동,뷰티,441228.0
202411,송도1동,일반외식업,4489044.0
202411,송도1동,제과음료업,672272.0
202412,송도1동,호텔,1884186.0
202412,송도1동,기타숙박,29391.0
202412,송도1동,레저용품쇼핑,198387.0
202412,송도1동,관광유원시설,18635.0
202412,송도1동,골프장,363138.0
202412,송도1동,기타레저,241829.0
202412,송도1동,문화서비스,141458.0
202412,송도1동,육상운송,250198.0
202412,송도1동,대형쇼핑몰,756599.0
202412,송도1동,기타관광쇼핑,1464543.0
202412,송도1동,의료관광,74612.0
202412,송도1동,뷰티,430466.0
202412,송도1동,일반외식업,4783791.0
202412,송도1동,제과음료업,681892.0
202401,송도2동,관광총소비,6848397.0
202402,송도2동,관광총소비,6788519.0
202403,송도2동,관광총소비,7872997.0
202404,송도2동,관광총소비,7555917.0
202405,송도2동,관광총소비,8279330.0
202406,송도2동,관광총소비,8001528.0
202407,송도2동,관광총소비,7573642.0
202408,송도2동,관광총소비,8500950.0
202409,송도2동,관광총소비,7910052.0
202410,송도2동,관광총소비,8125533.0
202411,송도2동,관광총소비,6992216.0
202412,송도2동,관광총소비,7286197.0
202401,송도2동,기타숙박,155700.0
202401,송도2동,여행업,457.0
202401,송도2동,레저용품쇼핑,193142.0
202401,송도2동,기타관광쇼핑,1421334.0
202401,송도2동,문화서비스,11195.0
202401,송도2동,육상운송,7260.0
202401,송도2동,골프장,34966.0
202401,송도2동,기타레저,104235.0
202401,송도2동,의료관광,27658.0
202401,송도2동,뷰티,279473.0
202401,송도2동,일반외식업,4061716.0
202401,송도2동,제과음료업,551264.0
202402,송도2동,기타숙박,205299.0
202402,송도2동,레저용품쇼핑,229212.0
202402,송도2동,기타관광쇼핑,1310090.0
202402,송도2동,문화서비스,11548.0
202402,송도2동,여행업,511.0
202402,송도2동,육상운송,5950.0
202402,송도2동,골프장,33884.0
202402,송도2동,기타레저,114181.0
202402,송도2동,의료관광,25513.0
202402,송도2동,뷰티,292311.0
202402,송도2동,일반외식업,4026935.0
202402,송도2동,제과음료업,533085.0
202403,송도2동,기타숙박,230697.0
202403,송도2동,여행업,1129.0
202403,송도2동,레저용품쇼핑,262033.0
202403,송도2동,기타관광쇼핑,1420210.0
202403,송도2동,문화서비스,11473.0
202403,송도2동,육상운송,7464.0
202403,송도2동,골프장,35881.0
202403,송도2동,기타레저,132076.0
202403,송도2동,의료관광,40820.0
202403,송도2동,뷰티,360113.0
202403,송도2동,일반외식업,4743198.0
202403,송도2동,제과음료업,627904.0
202404,송도2동,기타숙박,296468.0
202404,송도2동,여행업,727.0
202404,송도2동,레저용품쇼핑,324211.0
202404,송도2동,기타관광쇼핑,1375242.0
202404,송도2동,문화서비스,11978.0
202404,송도2동,육상운송,6844.0
202404,송도2동,골프장,29757.0
202404,송도2동,기타레저,106611.0
202404,송도2동,의료관광,33353.0
202404,송도2동,뷰티,297328.0
202404,송도2동,일반외식업,4459186.0
202404,송도2동,제과음료업,614213.0
202405,송도2동,기타숙박,300293.0
202405,송도2동,여행업,1325.0
202405,송도2동,레저용품쇼핑,263998.0
202405,송도2동,기타관광쇼핑,1532163.0
202405,송도2동,문화서비스,14791.0
202405,송도2동,육상운송,10060.0
202405,송도2동,골프장,33831.0
202405,송도2동,기타레저,124607.0
202405,송도2동,의료관광,38763.0
202405,송도2동,뷰티,363490.0
202405,송도2동,일반외식업,4949898.0
202405,송도2동,제과음료업,646110.0
202406,송도2동,기타숙박,199777.0
202406,송도2동,여행업,19066.0
202406,송도2동,레저용품쇼핑,189059.0
202406,송도2동,기타관광쇼핑,1555904.0
202406,송도2동,문화서비스,18239.0
202406,송도2동,육상운송,8468.0
202406,송도2동,골프장,23471.0
202406,송도2동,기타레저,128690.0
202406,송도2동,의료관광,47134.0
202406,송도2동,뷰티,336084.0
202406,송도2동,일반외식업,4775878.0
202406,송도2동,제과음료업,699758.0
202407,송도2동,기타숙박,82418.0
202407,송도2동,여행업,2627.0
202407,송도2동,레저용품쇼핑,300833.0
202407,송도2동,기타관광쇼핑,1423693.0
202407,송도2동,문화서비스,22211.0
202407,송도2동,육상운송,8136.0
202407,송도2동,골프장,31277.0
202407,송도2동,기타레저,136362.0
202407,송도2동,의료관광,36982.0
202407,송도2동,뷰티,257077.0
202407,송도2동,일반외식업,4608968.0
202407,송도2동,제과음료업,663058.0
202408,송도2동,기타숙박,148283.0
202408,송도2동,여행업,20692.0
202408,송도2동,레저용품쇼핑,202287.0
202408,송도2동,기타관광쇼핑,1636675.0
202408,송도2동,문화서비스,19403.0
202408,송도2동,육상운송,6579.0
202408,송도2동,골프장,26868.0
202408,송도2동,기타레저,115445.0
202408,송도2동,의료관광,35638.0
202408,송도2동,뷰티,359834.0
202408,송도2동,일반외식업,5180914.0
202408,송도2동,제과음료업,748331.0
202409,송도2동,기타숙박,421787.0
202409,송도2동,여행업,415.0
202409,송도2동,레저용품쇼핑,191397.0
202409,송도2동,기타관광쇼핑,1486098.0
202409,송도2동,문화서비스,18258.0
202409,송도2동,육상운송,5283.0
202409,송도2동,골프장,61597.0
202409,송도2동,기타레저,103703.0
202409,송도2동,의료관광,45396.0
202409,송도2동,뷰티,277103.0
202409,송도2동,일반외식업,4621423.0
202409,송도2동,제과음료업,677592.0
202410,송도2동,기타숙박,464657.0
202410,송도2동,여행업,1168.0
202410,송도2동,레저용품쇼핑,273717.0
202410,송도2동,기타관광쇼핑,1540669.0
202410,송도2동,문화서비스,11570.0
202410,송도2동,육상운송,14579.0
202410,송도2동,골프장,29308.0
202410,송도2동,기타레저,107448.0
202410,송도2동,의료관광,39860.0
202410,송도2동,뷰티,351445.0
202410,송도2동,일반외식업,4607868.0
202410,송도2동,제과음료업,683244.0
202411,송도2동,기타숙박,203465.0
202411,송도2동,여행업,441.0
202411,송도2동,레저용품쇼핑,154751.0
202411,송도2동,기타관광쇼핑,1440989.0
202411,송도2동,문화서비스,16145.0
202411,송도2동,육상운송,14800.0
202411,송도2동,골프장,22270.0
202411,송도2동,기타레저,105770.0
202411,송도2동,의료관광,39063.0
202411,송도2동,뷰티,338699.0
202411,송도2동,일반외식업,4066373.0
202411,송도2동,제과음료업,589449.0
202412,송도2동,기타숙박,214586.0
202412,송도2동,여행업,537.0
202412,송도2동,레저용품쇼핑,217073.0
202412,송도2동,기타관광쇼핑,1329427.0
202412,송도2동,문화서비스,10832.0
202412,송도2동,육상운송,14825.0
202412,송도2동,골프장,36186.0
202412,송도2동,기타레저,90073.0
202412,송도2동,의료관광,47394.0
202412,송도2동,뷰티,337614.0
202412,송도2동,일반외식업,4417294.0
202412,송도2동,제과음료업,570357.0
202401,송도3동,관광총소비,24065372.0
202402,송도3동,관광총소비,26519503.0
202403,송도3동,관광총소비,31549924.0
202404,송도3동,관광총소비,28006368.0
202405,송도3동,관광총소비,29522440.0
202406,송도3동,관광총소비,27688887.0
202407,송도3동,관광총소비,25649570.0
202408,송도3동,관광총소비,27686894.0
202409,송도3동,관광총소비,32208215.0
202410,송도3동,관광총소비,32794846.0
202411,송도3동,관광총소비,31327869.0
202412,송도3동,관광총소비,33336323.0
202401,송도3동,기타숙박,11683.0
202401,송도3동,여행업,20849.0
202401,송도3동,레저용품쇼핑,256656.0
202401,송도3동,관광유원시설,50238.0
202401,송도3동,골프장,196964.0
202401,송도3동,기타레저,206114.0
202401,송도3동,문화서비스,121721.0
202401,송도3동,육상운송,194849.0
202401,송도3동,대형쇼핑몰,16269193.0
202401,송도3동,기타관광쇼핑,1333813.0
202401,송도3동,의료관광,160027.0
202401,송도3동,뷰티,153645.0
202401,송도3동,일반외식업,4264244.0
202401,송도3동,제과음료업,825377.0
202402,송도3동,기타숙박,6555.0
202402,송도3동,여행업,26266.0
202402,송도3동,레저용품쇼핑,286165.0
202402,송도3동,관광유원시설,41208.0
202402,송도3동,골프장,475021.0
202402,송도3동,기타레저,200041.0
202402,송도3동,문화서비스,158621.0
202402,송도3동,육상운송,203554.0
202402,송도3동,대형쇼핑몰,18146143.0
202402,송도3동,기타관광쇼핑,1263922.0
202402,송도3동,의료관광,193950.0
202402,송도3동,뷰티,177320.0
202402,송도3동,일반외식업,4506883.0
202402,송도3동,제과음료업,833853.0
202403,송도3동,기타숙박,11714.0
202403,송도3동,레저용품쇼핑,473612.0
202403,송도3동,관광유원시설,77870.0
202403,송도3동,골프장,313210.0
202403,송도3동,기타레저,238204.0
202403,송도3동,문화서비스,176599.0
202403,송도3동,육상운송,227704.0
202403,송도3동,대형쇼핑몰,21554999.0
202403,송도3동,기타관광쇼핑,1562392.0
202403,송도3동,의료관광,317451.0
202403,송도3동,뷰티,171927.0
202403,송도3동,일반외식업,5358067.0
202403,송도3동,제과음료업,1066175.0
202404,송도3동,여행업,84783.0
202404,송도3동,레저용품쇼핑,367989.0
202404,송도3동,관광유원시설,43912.0
202404,송도3동,골프장,343256.0
202404,송도3동,기타레저,205341.0
202404,송도3동,문화서비스,127778.0
202404,송도3동,기타숙박,26207.0
202404,송도3동,육상운송,196625.0
202404,송도3동,대형쇼핑몰,18935449.0
202404,송도3동,기타관광쇼핑,1587890.0
202404,송도3동,의료관광,194065.0
202404,송도3동,뷰티,179932.0
202404,송도3동,일반외식업,4724682.0
202404,송도3동,제과음료업,988459.0
202405,송도3동,레저용품쇼핑,462620.0
202405,송도3동,관광유원시설,64859.0
202405,송도3동,골프장,307450.0
202405,송도3동,기타레저,232549.0
202405,송도3동,문화서비스,204974.0
202405,송도3동,기타숙박,6232.0
202405,송도3동,여행업,2384.0
202405,송도3동,육상운송,207457.0
202405,송도3동,대형쇼핑몰,19632054.0
202405,송도3동,기타관광쇼핑,1704373.0
202405,송도3동,의료관광,229652.0
202405,송도3동,뷰티,192113.0
202405,송도3동,일반외식업,5209461.0
202405,송도3동,제과음료업,1066263.0
202406,송도3동,레저용품쇼핑,403903.0
202406,송도3동,관광유원시설,67458.0
202406,송도3동,골프장,344564.0
202406,송도3동,기타레저,195028.0
202406,송도3동,문화서비스,198171.0
202406,송도3동,기타숙박,9949.0
202406,송도3동,육상운송,186825.0
202406,송도3동,대형쇼핑몰,18275789.0
202406,송도3동,기타관광쇼핑,1679033.0
202406,송도3동,의료관광,240781.0
202406,송도3동,뷰티,183781.0
202406,송도3동,일반외식업,4878737.0
202406,송도3동,제과음료업,1024868.0
202407,송도3동,기타숙박,8445.0
202407,송도3동,여행업,98979.0
202407,송도3동,레저용품쇼핑,304594.0
202407,송도3동,관광유원시설,101676.0
202407,송도3동,골프장,255188.0
202407,송도3동,기타레저,205807.0
202407,송도3동,문화서비스,224570.0
202407,송도3동,육상운송,201716.0
202407,송도3동,대형쇼핑몰,16621333.0
202407,송도3동,기타관광쇼핑,1741916.0
202407,송도3동,의료관광,192051.0
202407,송도3동,뷰티,139108.0
202407,송도3동,일반외식업,4627852.0
202407,송도3동,제과음료업,926335.0
202408,송도3동,기타숙박,3752.0
202408,송도3동,레저용품쇼핑,422626.0
202408,송도3동,관광유원시설,91031.0
202408,송도3동,골프장,250934.0
202408,송도3동,기타레저,230426.0
202408,송도3동,문화서비스,192522.0
202408,송도3동,여행업,11240.0
202408,송도3동,육상운송,251680.0
202408,송도3동,대형쇼핑몰,17893752.0
202408,송도3동,기타관광쇼핑,1773602.0
202408,송도3동,의료관광,279018.0
202408,송도3동,뷰티,167797.0
202408,송도3동,일반외식업,5083018.0
202408,송도3동,제과음료업,1035496.0
202409,송도3동,기타숙박,24279.0
202409,송도3동,여행업,80645.0
202409,송도3동,레저용품쇼핑,407334.0
202409,송도3동,관광유원시설,71821.0
202409,송도3동,골프장,367893.0
202409,송도3동,기타레저,240855.0
202409,송도3동,문화서비스,155899.0
202409,송도3동,육상운송,227192.0
202409,송도3동,대형쇼핑몰,22349276.0
202409,송도3동,기타관광쇼핑,1735490.0
202409,송도3동,의료관광,429679.0
202409,송도3동,뷰티,156370.0
202409,송도3동,일반외식업,4970412.0
202409,송도3동,제과음료업,991071.0
202410,송도3동,기타숙박,19654.0
202410,송도3동,레저용품쇼핑,381379.0
202410,송도3동,관광유원시설,58622.0
202410,송도3동,골프장,393910.0
202410,송도3동,기타레저,249271.0
202410,송도3동,문화서비스,139391.0
202410,송도3동,여행업,87560.0
202410,송도3동,육상운송,208131.0
202410,송도3동,대형쇼핑몰,22528299.0
202410,송도3동,기타관광쇼핑,1836648.0
202410,송도3동,의료관광,356822.0
202410,송도3동,뷰티,154680.0
202410,송도3동,일반외식업,5329990.0
202410,송도3동,제과음료업,1050489.0
202411,송도3동,기타숙박,6515.0
202411,송도3동,레저용품쇼핑,284979.0
202411,송도3동,관광유원시설,44969.0
202411,송도3동,골프장,240750.0
202411,송도3동,기타레저,215386.0
202411,송도3동,문화서비스,130986.0
202411,송도3동,여행업,10087.0
202411,송도3동,육상운송,202087.0
202411,송도3동,대형쇼핑몰,21943838.0
202411,송도3동,기타관광쇼핑,1630953.0
202411,송도3동,의료관광,353324.0
202411,송도3동,뷰티,191871.0
202411,송도3동,일반외식업,5131100.0
202411,송도3동,제과음료업,941024.0
202412,송도3동,여행업,12680.0
202412,송도3동,레저용품쇼핑,334736.0
202412,송도3동,관광유원시설,156414.0
202412,송도3동,골프장,81297.0
202412,송도3동,기타레저,223607.0
202412,송도3동,문화서비스,193464.0
202412,송도3동,기타숙박,2835.0
202412,송도3동,육상운송,221480.0
202412,송도3동,대형쇼핑몰,23324592.0
202412,송도3동,기타관광쇼핑,1622530.0
202412,송도3동,의료관광,472342.0
202412,송도3동,뷰티,193744.0
202412,송도3동,일반외식업,5518940.0
202412,송도3동,제과음료업,977663.0
202401,송도4동,관광총소비,3207560.0
202402,송도4동,관광총소비,3011609.0
202403,송도4동,관광총소비,3502016.0
202404,송도4동,관광총소비,3521415.0
202405,송도4동,관광총소비,3661645.0
202406,송도4동,관광총소비,3923723.0
202407,송도4동,관광총소비,3654015.0
202408,송도4동,관광총소비,3941953.0
202409,송도4동,관광총소비,3862800.0
202410,송도4동,관광총소비,4521692.0
202411,송도4동,관광총소비,3996919.0
202412,송도4동,관광총소비,3875115.0
202401,송도4동,호텔,388014.0
202401,송도4동,기타숙박,416043.0
202401,송도4동,레저용품쇼핑,117118.0
202401,송도4동,문화서비스,21087.0
202401,송도4동,육상운송,204925.0
202401,송도4동,기타관광쇼핑,501049.0
202401,송도4동,골프장,10486.0
202401,송도4동,기타레저,93579.0
202401,송도4동,뷰티,203020.0
202401,송도4동,일반외식업,944475.0
202401,송도4동,제과음료업,307764.0
202402,송도4동,호텔,236117.0
202402,송도4동,기타숙박,393220.0
202402,송도4동,레저용품쇼핑,158779.0
202402,송도4동,문화서비스,8542.0
202402,송도4동,육상운송,209982.0
202402,송도4동,렌터카,2180.0
202402,송도4동,기타관광쇼핑,452474.0
202402,송도4동,골프장,11810.0
202402,송도4동,기타레저,73062.0
202402,송도4동,뷰티,186992.0
202402,송도4동,일반외식업,966608.0
202402,송도4동,제과음료업,311844.0
202403,송도4동,호텔,301857.0
202403,송도4동,기타숙박,260589.0
202403,송도4동,레저용품쇼핑,368876.0
202403,송도4동,육상운송,215677.0
202403,송도4동,렌터카,310.0
202403,송도4동,기타관광쇼핑,548894.0
202403,송도4동,골프장,8138.0
202403,송도4동,기타레저,67661.0
202403,송도4동,뷰티,188178.0
202403,송도4동,일반외식업,1137143.0
202403,송도4동,제과음료업,404693.0
202404,송도4동,호텔,208329.0
202404,송도4동,기타숙박,561813.0
202404,송도4동,렌터카,6722.0
202404,송도4동,레저용품쇼핑,349156.0
202404,송도4동,육상운송,207680.0
202404,송도4동,기타관광쇼핑,556980.0
202404,송도4동,골프장,9664.0
202404,송도4동,기타레저,34027.0
202404,송도4동,뷰티,127419.0
202404,송도4동,일반외식업,1086519.0
