CTPRVN_NM,SIGNGU_NM,ADSTRD_CD,PRFPLC_CO,FOOD_FCLTY_CO,LDGMNT_FCLTY_CO,POPLTN_CO,FILE_NM,BASE_DE
인천광역시,동구,2814052500,1,110,6,53414,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,동구,2814053000,0,70,0,53414,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,동구,2814055500,2,150,5,53414,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,동구,2814057000,0,42,0,53414,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,동구,2814058000,1,6,0,53414,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,동구,2814059000,0,75,14,53414,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,동구,2814060500,0,140,28,53414,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,동구,2814061000,0,74,0,53414,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,동구,2814063000,1,132,1,53414,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,동구,2814064000,2,45,1,53414,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817751000,0,203,12,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817752000,2,182,23,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817753000,7,171,8,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817754000,4,663,9,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817755000,0,210,19,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817756000,0,203,8,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817757000,0,774,30,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817758000,6,383,0,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817759000,1,283,0,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817760000,1,261,19,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817761000,2,500,8,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817762000,6,704,142,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817763000,0,252,9,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817764000,0,138,1,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817765000,4,385,7,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817766000,0,331,8,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817767000,0,434,38,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817768000,1,388,0,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817769000,1,285,3,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817770000,3,190,0,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,미추홀구,2817771000,6,239,0,372774,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823751000,3,737,73,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823752000,1,94,1,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823753000,3,254,4,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823754000,1,959,33,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823755000,2,964,104,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823756000,0,208,9,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823757000,0,66,2,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823758000,1,241,0,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823758100,0,99,0,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823758200,1,119,2,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823759100,2,219,2,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823759200,2,564,17,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823764100,3,262,13,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823764200,1,187,2,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823764600,0,238,1,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823764800,2,504,4,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823765000,0,188,5,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823766000,0,206,1,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823766100,0,347,0,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823767000,1,132,0,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823768000,0,183,1,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,부평구,2823769000,1,602,41,452658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826051500,3,529,6,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826053000,3,874,34,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826053600,5,993,3,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826053700,3,661,4,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826053900,1,273,4,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826054200,3,676,3,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826054300,0,17,0,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826054400,2,27,0,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826055000,1,512,54,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826056000,0,516,4,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826056100,0,118,0,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826057500,1,509,2,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826058000,0,357,1,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826059000,0,211,0,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826060000,0,276,2,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826061000,0,192,1,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826068000,1,453,9,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826069000,0,219,0,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
